Date,Eosense,Vaisala,K30
2024-06-14T15:00:00Z,1516.071,581.0164,86.29105
2024-06-14T15:15:00Z,1515.928,571.0425,86.61604
2024-06-14T15:30:00Z,1516.348,561.9905,86.72577
2024-06-14T15:45:00Z,1531.32,560.1843,86.36484
2024-06-14T16:00:00Z,1531.457,530.8164,86.45461
2024-06-14T16:15:00Z,1531.622,541.8002,86.40399
2024-06-14T16:30:00Z,1531.232,580.4141,86.47124
2024-06-14T16:45:00Z,1531.437,582.9505,86.73338
2024-06-14T17:00:00Z,1531.052,570.1563,86.40208
2024-06-14T17:15:00Z,1531.268,547.3588,86.43971
2024-06-14T17:30:00Z,1546.579,561.2252,86.73092
2024-06-14T17:45:00Z,1546.319,527.0143,86.13641
2024-06-14T18:00:00Z,1576.801,548.6089,86.48643
2024-06-14T18:15:00Z,1591.886,517.126,86.40894
2024-06-14T18:30:00Z,1607.331,506.1648,86.26636
2024-06-14T18:45:00Z,1607.167,539.5814,96.32126
2024-06-14T19:00:00Z,1622.027,515.3066,95.99462
2024-06-14T19:15:00Z,1622.26,541.618,96.47484
2024-06-14T19:30:00Z,1637.01,538.0128,96.48746
2024-06-14T19:45:00Z,1637.112,517.2509,95.94254
2024-06-14T20:00:00Z,1652.441,520.5515,96.21225
2024-06-14T20:15:00Z,1652.688,530.4956,96.16
2024-06-14T20:30:00Z,1652.469,509.2931,96.53206
2024-06-14T20:45:00Z,1667.163,528.1802,96.26186
2024-06-14T21:00:00Z,1682.24,504.4094,96.20457
2024-06-14T21:15:00Z,1682.705,505.3578,95.94713
2024-06-14T21:30:00Z,1697.745,505.4208,102.5564
2024-06-14T21:45:00Z,1697.457,518.7065,96.26979
2024-06-14T22:00:00Z,1697.898,518.2299,107.5222
2024-06-14T22:15:00Z,1713.067,525.2808,96.17422
2024-06-14T22:30:00Z,1713.407,530.9669,111.3181
2024-06-14T22:45:00Z,1713.269,495.7162,96.21484
2024-06-14T23:00:00Z,1742.994,525.0512,122.138
2024-06-14T23:15:00Z,1773.705,495.5182,105.7696
2024-06-14T23:30:00Z,1788.712,519.7996,106.3018
2024-06-14T23:45:00Z,1803.973,485.5519,106.0164
2024-06-15T00:00:00Z,1803.799,498.1952,106.0008
2024-06-15T00:15:00Z,1788.746,510.2297,106.2757
2024-06-15T00:30:00Z,1803.846,474.598,105.7705
2024-06-15T00:45:00Z,1788.356,496.5354,106.0813
2024-06-15T01:00:00Z,1773.813,499.9708,106.3004
2024-06-15T01:15:00Z,1773.46,483.8102,105.8387
2024-06-15T01:30:00Z,1773.855,499.9741,106.3312
2024-06-15T01:45:00Z,1758.252,498.2401,105.9429
2024-06-15T02:00:00Z,1758.42,498.1234,105.8838
2024-06-15T02:15:00Z,1743.639,475.3368,105.9689
2024-06-15T02:30:00Z,1743.116,508.1007,106.0755
