Long,Lat,Basin,area,buffer_area,proportion,buffer_radius
-82.25688805,30.00346145,3,770681,3141164,0.245348858,1000
-82.28347531,29.86199177,5,250721,3141164,0.079817864,1000
-82.22783853,29.93629614,7,1031815,3141164,0.328481735,1000
-82.22131229,29.89869601,9,419990,3141164,0.133705212,1000
-82.19340527,29.94465206,6,1948095,3141164,0.620182518,1000
-82.21219105,29.87596927,13,534113,3141164,0.170036649,1000
-82.21179224,29.95843158,6a,883220,3141164,0.281176023,1000
-82.31351806,29.92579179,14,261951,3141164,0.083392972,1000
-82.31886468,29.88793197,15,230821,3141164,0.073482633,1000
-82.25688805,30.00346145,3,4216206,12565487,0.335538607,2000
-82.28347531,29.86199177,5,2458386,12565487,0.195645899,2000
-82.22783853,29.93629614,7,2987865,12565487,0.237783462,2000
-82.22131229,29.89869601,9,2197780,12565487,0.174906074,2000
-82.19340527,29.94465206,6,8083989,12565487,0.643348642,2000
-82.21219105,29.87596927,13,1867040,12565487,0.14858477,2000
-82.21179224,29.95843158,6a,5202075,12565487,0.413997086,2000
-82.31351806,29.92579179,14,1205773,12565487,0.095959114,2000
-82.31886468,29.88793197,15,2041005,12565487,0.162429439,2000
-82.25688805,30.00346145,3,43842,196246,0.22340328,250
-82.28347531,29.86199177,5,31005,196246,0.157990481,250
-82.22783853,29.93629614,7,120336,196246,0.613189568,250
-82.22131229,29.89869601,9,25858,196246,0.131763195,250
-82.19340527,29.94465206,6,42094,196246,0.214496092,250
-82.21219105,29.87596927,13,90834,196246,0.462857842,250
-82.21179224,29.95843158,6a,6677,196246,0.034023623,250
-82.31351806,29.92579179,14,31023,196246,0.158082203,250
-82.31886468,29.88793197,15,28537,196246,0.145414429,250
-82.25688805,30.00346145,3,169516,785188,0.215892245,500
-82.28347531,29.86199177,5,91803,785188,0.116918496,500
-82.22783853,29.93629614,7,360851,785188,0.459572739,500
-82.22131229,29.89869601,9,148605,785188,0.189260406,500
-82.19340527,29.94465206,6,360910,785188,0.459647881,500
-82.21219105,29.87596927,13,212920,785188,0.271170726,500
-82.21179224,29.95843158,6a,82685,785188,0.10530599,500
-82.31351806,29.92579179,14,72464,785188,0.092288726,500
-82.31886468,29.88793197,15,65831,785188,0.083841067,500
