Date,,,CO2,
9/13/2023 8:46,2472,12.53,3841,3841
9/13/2023 8:46,2473,12.53,3839,3839
9/13/2023 8:47,2474,12.53,3828,3828
9/13/2023 8:47,2475,12.53,3805,3805
9/13/2023 8:48,2476,12.53,3791,3791
9/13/2023 8:48,2477,12.53,3767,3767
9/13/2023 8:49,2478,12.53,3740,3740
9/13/2023 8:49,2479,12.53,3730,3730
9/13/2023 8:50,2480,12.53,3718,3718
9/13/2023 8:50,2481,12.53,3698,3698
9/13/2023 8:51,2482,12.53,3691,3691
9/13/2023 8:51,2483,12.53,3679,3679
9/13/2023 8:52,2484,12.53,3668,3668
9/13/2023 8:52,2485,12.53,3652,3652
9/13/2023 8:53,2486,12.53,3633,3633
9/13/2023 8:53,2487,12.53,3610,3610
9/13/2023 8:54,2488,12.53,3590,3590
9/13/2023 8:54,2489,12.53,3580,3580
9/13/2023 8:55,2490,12.53,3568,3568
9/13/2023 8:55,2491,12.53,3562,3562
9/13/2023 8:56,2492,12.53,3545,3545
9/13/2023 8:56,2493,12.53,3530,3530
9/13/2023 8:57,2494,12.52,3523,3523
