Timestamp,Time (sec),SpC (uS/cm),SpC_cor,NaCl (mg/L),t*C (mg sec/L),Total Mass,Time (sec),,,,
4/6/2021 13:04,0,131.6,-0.02,-0.01,0,-0.05,0,,,,
4/6/2021 13:04,5,131.6,-0.02,-0.01,-0.05,-0.1,5,,Flow Estimates,,
4/6/2021 13:04,10,131.6,-0.02,-0.01,-0.1,-0.15,10,,mrecovered,250,g
4/6/2021 13:04,15,131.6,-0.02,-0.01,-0.15,-0.2,15,,L,38.1,m
4/6/2021 13:04,20,131.6,-0.02,-0.01,-0.2,-0.25,20,,tmedian*,475,sec
4/6/2021 13:04,25,131.6,-0.02,-0.01,-0.25,-0.3,25,,M0 ,2061,mg sec/L
4/6/2021 13:04,30,131.6,-0.02,-0.01,-0.3,-0.35,30,,M1 ,1123772,mg sec2/L
4/6/2021 13:04,35,131.6,-0.02,-0.01,-0.35,-0.4,35,,?* ,545,sec
4/6/2021 13:04,40,131.7,0.08,0.04,1.64,-0.19,40,,u* (mean),0.07,m/s
4/6/2021 13:04,45,131.6,-0.02,-0.01,-0.45,-0.24,45,,u (median),0.08,m/s
4/6/2021 13:04,50,131.7,0.08,0.04,2.05,-0.04,50,,Q,121.32,L/s
4/6/2021 13:04,55,131.6,-0.02,-0.01,-0.55,-0.08,55,,,,
4/6/2021 13:05,60,131.6,-0.02,-0.01,-0.59,-0.13,60,,,,
4/6/2021 13:05,65,131.6,-0.02,-0.01,-0.64,-0.18,65,,,,
4/6/2021 13:05,70,131.6,-0.02,-0.01,-0.69,-0.23,70,,,,
4/6/2021 13:05,75,131.6,-0.02,-0.01,-0.74,-0.28,75,,,,
4/6/2021 13:05,80,131.6,-0.02,-0.01,-0.79,-0.33,80,,,,
4/6/2021 13:05,85,131.6,-0.02,-0.01,-0.84,-0.38,85,,,,
4/6/2021 13:05,90,131.7,0.08,0.04,3.7,-0.18,90,,,,
4/6/2021 13:05,95,131.7,0.08,0.04,3.9,0.03,95,,,,
4/6/2021 13:05,100,131.6,-0.02,-0.01,-0.99,-0.02,100,,,,
4/6/2021 13:05,105,131.7,0.08,0.04,4.31,0.18,105,,,,
4/6/2021 13:05,110,131.6,-0.02,-0.01,-1.09,0.13,110,,,,
4/6/2021 13:05,115,131.6,-0.02,-0.01,-1.14,0.09,115,,,,
4/6/2021 13:06,120,131.6,-0.02,-0.01,-1.19,0.04,120,,,,
4/6/2021 13:06,125,131.6,-0.02,-0.01,-1.24,-0.01,125,,,,
4/6/2021 13:06,130,131.6,-0.02,-0.01,-1.29,-0.06,130,,,,
4/6/2021 13:06,135,131.6,-0.02,-0.01,-1.34,-0.11,135,,,,
4/6/2021 13:06,140,131.7,0.08,0.04,5.75,0.09,140,,,,
4/6/2021 13:06,145,131.5,-0.12,-0.06,-8.83,-0.21,145,,,,
4/6/2021 13:06,150,131.6,-0.02,-0.01,-1.49,-0.26,150,,,,
4/6/2021 13:06,155,131.7,0.08,0.04,6.37,-0.06,155,,,,
4/6/2021 13:06,160,131.6,-0.02,-0.01,-1.59,-0.11,160,,,,
4/6/2021 13:06,165,131.6,-0.02,-0.01,-1.64,-0.16,165,,,,
4/6/2021 13:06,170,131.7,0.08,0.04,6.98,0.05,170,,,,
4/6/2021 13:06,175,131.6,-0.02,-0.01,-1.74,0,175,,,,
4/6/2021 13:07,180,131.6,-0.02,-0.01,-1.78,-0.05,180,,,,
4/6/2021 13:07,185,131.7,0.08,0.04,7.6,0.16,185,,,,
4/6/2021 13:07,190,131.8,0.18,0.09,17.5,0.62,190,,,,
4/6/2021 13:07,195,132,0.38,0.19,37.85,1.59,195,,,,
4/6/2021 13:07,200,132.6,0.98,0.5,100.02,4.09,200,,,,
4/6/2021 13:07,205,133.2,1.58,0.81,165.25,8.12,205,,,,
4/6/2021 13:07,210,133.6,1.98,1.01,212.12,13.17,210,,,,
4/6/2021 13:07,215,134.9,3.28,1.67,359.71,21.53,215,,,,
4/6/2021 13:07,220,135.8,4.18,2.13,469.06,32.19,220,,,,
4/6/2021 13:07,225,136.9,5.28,2.69,605.94,45.66,225,,,,
4/6/2021 13:07,230,137.4,5.78,2.95,678.06,60.4,230,,,,
4/6/2021 13:07,235,137.4,5.78,2.95,692.8,75.14,235,,,,
4/6/2021 13:08,240,137.9,6.28,3.2,768.74,91.16,240,,,,
4/6/2021 13:08,245,138.2,6.58,3.36,822.24,107.94,245,,,,
4/6/2021 13:08,250,138.5,6.88,3.51,877.27,125.48,250,,,,
4/6/2021 13:08,255,138.6,6.98,3.56,907.82,143.28,255,,,,
4/6/2021 13:08,260,140.6,8.98,4.58,1190.82,166.18,260,,,,
4/6/2021 13:08,265,140.4,8.78,4.48,1186.69,188.57,265,,,,
4/6/2021 13:08,270,141.1,9.48,4.84,1305.47,212.75,270,,,,
4/6/2021 13:08,275,140.5,8.88,4.53,1245.5,235.39,275,,,,
4/6/2021 13:08,280,141,9.38,4.78,1339.54,259.31,280,,,,
4/6/2021 13:08,285,141.3,9.68,4.94,1407.07,284,285,,,,
4/6/2021 13:08,290,141.2,9.58,4.89,1416.96,308.43,290,,,,
4/6/2021 13:08,295,141.3,9.68,4.94,1456.44,333.12,295,,,,
4/6/2021 13:09,300,141.3,9.68,4.94,1481.13,357.8,300,,,,
4/6/2021 13:09,305,141.8,10.18,5.19,1583.59,383.76,305,,,,
4/6/2021 13:09,310,141.6,9.98,5.09,1577.93,409.21,310,,,,
4/6/2021 13:09,315,141.5,9.88,5.04,1587.31,434.41,315,,,,
4/6/2021 13:09,320,141.6,9.98,5.09,1628.83,459.86,320,,,,
4/6/2021 13:09,325,141.6,9.98,5.09,1654.28,485.31,325,,,,
4/6/2021 13:09,330,141.5,9.88,5.04,1662.9,510.5,330,,,,
4/6/2021 13:09,335,141.5,9.88,5.04,1688.09,535.7,335,,,,
4/6/2021 13:09,340,141.4,9.78,4.99,1695.95,560.64,340,,,,
4/6/2021 13:09,345,141.2,9.58,4.89,1685.7,585.07,345,,,,
4/6/2021 13:09,350,141.4,9.78,4.99,1745.83,610.01,350,,,,
4/6/2021 13:09,355,141.1,9.48,4.84,1716.45,634.19,355,,,,
4/6/2021 13:10,360,141.1,9.48,4.84,1740.63,658.36,360,,,,
4/6/2021 13:10,365,140.9,9.28,4.73,1727.58,682.03,365,,,,
4/6/2021 13:10,370,140.7,9.08,4.63,1713.5,705.18,370,,,,
4/6/2021 13:10,375,140.7,9.08,4.63,1736.66,728.34,375,,,,
4/6/2021 13:10,380,140.6,8.98,4.58,1740.43,751.24,380,,,,
4/6/2021 13:10,385,140.6,8.98,4.58,1763.33,774.14,385,,,,
4/6/2021 13:10,390,140.2,8.58,4.38,1706.67,796.02,390,,,,
4/6/2021 13:10,395,139.9,8.28,4.22,1668.12,817.13,395,,,,
4/6/2021 13:10,400,140,8.38,4.27,1709.63,838.5,400,,,,
4/6/2021 13:10,405,140.1,8.48,4.33,1751.66,860.13,405,,,,
4/6/2021 13:10,410,139.9,8.28,4.22,1731.46,881.24,410,,,,
4/6/2021 13:10,415,139.5,7.88,4.02,1667.92,901.34,415,,,,
4/6/2021 13:11,420,139.5,7.88,4.02,1688.02,921.44,420,,,,
4/6/2021 13:11,425,139.5,7.88,4.02,1708.11,941.53,425,,,,
4/6/2021 13:11,430,139.3,7.68,3.92,1684.35,961.12,430,,,,
4/6/2021 13:11,435,139.3,7.68,3.92,1703.93,980.7,435,,,,
4/6/2021 13:11,440,139,7.38,3.76,1656.2,999.52,440,,,,
4/6/2021 13:11,445,138.5,6.88,3.51,1561.54,1017.07,445,,,,
4/6/2021 13:11,450,138.4,6.78,3.46,1556.14,1034.36,450,,,,
