"TOA5","13_Bradford_LB","CR800","31039","CR800.Std.32.05","CPU:13_hourly_02082024.CR8","44747","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2"
"TS","RN","Volts","ppm"
"","","Min","Smp"
"2024-02-12 15:00:00",71,12.78,2952.431
"2024-02-12 16:00:00",72,12.78,2952.435
"2024-02-12 17:00:00",73,12.76,2952.639
"2024-02-12 18:00:00",74,12.76,2952.825
"2024-02-12 19:00:00",75,12.75,2952.831
"2024-02-12 20:00:00",76,12.75,2952.831
"2024-02-12 21:00:00",77,12.74,2952.825
"2024-02-12 22:00:00",78,12.74,2952.845
"2024-02-12 23:00:00",79,12.74,2953.022
"2024-02-13 00:00:00",80,12.74,2953.752
"2024-02-13 01:00:00",81,12.73,2953.846
"2024-02-13 02:00:00",82,12.73,2953.846
"2024-02-13 03:00:00",83,12.72,2953.846
"2024-02-13 04:00:00",84,12.72,2953.846
"2024-02-13 05:00:00",85,12.72,2953.846
"2024-02-13 06:00:00",86,12.73,2953.846
"2024-02-13 07:00:00",87,12.73,2953.846
"2024-02-13 08:00:00",88,12.72,2953.846
"2024-02-13 09:00:00",89,12.74,2953.846
"2024-02-13 10:00:00",90,12.76,2953.846
"2024-02-13 11:00:00",91,12.78,2953.846
"2024-02-13 12:00:00",92,12.78,2953.846
"2024-02-13 13:00:00",93,12.81,2953.846
"2024-02-13 14:00:00",94,12.84,2953.424
"2024-02-13 15:00:00",95,12.83,2953.529
"2024-02-13 16:00:00",96,12.83,2953.842
"2024-02-13 17:00:00",97,12.81,2953.846
"2024-02-13 18:00:00",98,12.79,2953.846
"2024-02-13 19:00:00",99,12.76,2953.846
"2024-02-13 20:00:00",100,12.76,2950.962
"2024-02-13 21:00:00",101,12.74,2953.846
"2024-02-13 22:00:00",102,12.73,2950.962
"2024-02-13 23:00:00",103,12.72,2951.045
"2024-02-14 00:00:00",104,12.71,2949.141
"2024-02-14 01:00:00",105,12.7,2952.981
"2024-02-14 02:00:00",106,12.7,2952.954
"2024-02-14 03:00:00",107,12.7,2950.102
"2024-02-14 04:00:00",108,12.7,2950.102
"2024-02-14 05:00:00",109,12.7,2952.989
"2024-02-14 06:00:00",110,12.7,2950.102
"2024-02-14 07:00:00",111,12.7,2950.102
"2024-02-14 08:00:00",112,12.7,2950.102
"2024-02-14 09:00:00",113,12.73,2950.102
"2024-02-14 10:00:00",114,12.81,2954.904
"2024-02-14 11:00:00",115,12.77,2953.847
"2024-02-14 12:00:00",116,12.76,2953.847
"2024-02-14 13:00:00",117,12.83,2953.847
"2024-02-14 14:00:00",118,12.84,2952.791
"2024-02-14 15:00:00",119,12.82,2951.911
"2024-02-14 16:00:00",120,12.8,2952.706
"2024-02-14 17:00:00",121,12.79,2953.136
"2024-02-14 18:00:00",122,12.78,2953.718
"2024-02-14 19:00:00",123,12.76,2953.846
"2024-02-14 20:00:00",124,12.75,2950.962
"2024-02-14 21:00:00",125,12.74,2953.846
"2024-02-14 22:00:00",126,12.73,2953.846
"2024-02-14 23:00:00",127,12.72,2951.266
"2024-02-15 00:00:00",128,12.71,2952.159
"2024-02-15 01:00:00",129,12.71,2950.002
"2024-02-15 02:00:00",130,12.7,2952.852
"2024-02-15 03:00:00",131,12.7,2952.986
"2024-02-15 04:00:00",132,12.7,2952.675
"2024-02-15 05:00:00",133,12.7,2952.435
"2024-02-15 06:00:00",134,12.7,2951.982
"2024-02-15 07:00:00",135,12.7,2951.975
"2024-02-15 08:00:00",136,12.7,2951.888
"2024-02-15 09:00:00",137,12.71,2953.859
"2024-02-15 10:00:00",138,12.72,2953.847
"2024-02-15 11:00:00",139,12.72,2953.847
"2024-02-15 12:00:00",140,12.75,2953.847
"2024-02-15 13:00:00",141,12.78,2952.73
"2024-02-15 14:00:00",142,12.77,2952.26
"2024-02-15 15:00:00",143,12.77,2952.282
"2024-02-15 16:00:00",144,12.77,2952.619
"2024-02-15 17:00:00",145,12.76,2952.831
"2024-02-15 18:00:00",146,12.74,2952.835
"2024-02-15 19:00:00",147,12.74,2953.846
"2024-02-15 20:00:00",148,12.73,2953.846
"2024-02-15 21:00:00",149,12.73,2953.846
"2024-02-15 22:00:00",150,12.72,2953.846
"2024-02-15 23:00:00",151,12.72,2953.846
"2024-02-16 00:00:00",152,12.72,2950.962
"2024-02-16 01:00:00",153,12.71,2953.846
"2024-02-16 02:00:00",154,12.71,2950.962
"2024-02-16 03:00:00",155,12.7,2950.971
"2024-02-16 04:00:00",156,12.7,2953.861
"2024-02-16 05:00:00",157,12.7,2951.477
"2024-02-16 06:00:00",158,12.68,2951.536
"2024-02-16 07:00:00",159,12.68,2951.156
"2024-02-16 08:00:00",160,12.68,2953.995
"2024-02-16 09:00:00",161,12.68,2953.847
"2024-02-16 10:00:00",162,12.7,2953.847
"2024-02-16 11:00:00",163,12.71,2953.847
