"Plot Title: Bradford_3con"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10778446, SEN S/N: 10778446)","Full Range, μS/cm (LGR S/N: 10778446, SEN S/N: 10778446)","Temp, °F (LGR S/N: 10778446, SEN S/N: 10778446)"
1,11/15/22 12:45:00 PM,105.4,101.9,64.04
2,11/15/22 01:00:00 PM,105.2,101.5,63.81
3,11/15/22 01:15:00 PM,105.2,101.9,63.86
4,11/15/22 01:30:00 PM,105.3,101.9,63.95
5,11/15/22 01:45:00 PM,105.4,102.3,64.04
6,11/15/22 02:00:00 PM,105.5,102.3,64.11
7,11/15/22 02:15:00 PM,105.6,102.3,64.18
8,11/15/22 02:30:00 PM,105.8,102.3,64.31
9,11/15/22 02:45:00 PM,105.9,102.3,64.38
10,11/15/22 03:00:00 PM,106.1,102.6,64.47
11,11/15/22 03:15:00 PM,106.1,102.6,64.54
12,11/15/22 03:30:00 PM,106.2,103.0,64.65
13,11/15/22 03:45:00 PM,106.3,102.6,64.72
14,11/15/22 04:00:00 PM,106.5,103.0,64.81
15,11/15/22 04:15:00 PM,106.5,103.0,64.85
16,11/15/22 04:30:00 PM,106.8,103.8,64.94
17,11/15/22 04:45:00 PM,106.8,103.4,65.03
18,11/15/22 05:00:00 PM,107.5,104.5,65.10
19,11/15/22 05:15:00 PM,107.7,104.9,65.17
20,11/15/22 05:30:00 PM,107.3,104.5,65.23
21,11/15/22 05:45:00 PM,107.0,103.7,65.32
22,11/15/22 06:00:00 PM,107.9,104.9,65.35
23,11/15/22 06:15:00 PM,107.0,103.7,65.41
24,11/15/22 06:30:00 PM,107.0,103.7,65.46
25,11/15/22 06:45:00 PM,107.1,103.7,65.50
26,11/15/22 07:00:00 PM,107.0,103.7,65.55
27,11/15/22 07:15:00 PM,107.2,103.7,65.59
28,11/15/22 07:30:00 PM,107.2,103.7,65.64
29,11/15/22 07:45:00 PM,107.3,103.7,65.64
30,11/15/22 08:00:00 PM,107.3,103.7,65.66
31,11/15/22 08:15:00 PM,107.4,103.7,65.71
32,11/15/22 08:30:00 PM,107.4,103.7,65.77
33,11/15/22 08:45:00 PM,107.5,104.1,65.79
34,11/15/22 09:00:00 PM,107.6,104.1,65.82
35,11/15/22 09:15:00 PM,107.6,104.1,65.82
36,11/15/22 09:30:00 PM,108.0,104.9,65.88
37,11/15/22 09:45:00 PM,107.5,104.1,65.88
38,11/15/22 10:00:00 PM,107.5,103.7,65.88
39,11/15/22 10:15:00 PM,107.7,104.1,65.89
40,11/15/22 10:30:00 PM,107.7,104.1,65.89
41,11/15/22 10:45:00 PM,107.9,104.9,65.93
42,11/15/22 11:00:00 PM,108.7,106.4,65.93
43,11/15/22 11:15:00 PM,108.1,105.3,65.93
44,11/15/22 11:30:00 PM,108.2,105.3,65.95
45,11/15/22 11:45:00 PM,107.5,104.1,65.95
46,11/16/22 12:00:00 AM,107.7,104.1,65.93
47,11/16/22 12:15:00 AM,107.5,104.1,65.95
48,11/16/22 12:30:00 AM,107.5,104.1,65.95
49,11/16/22 12:45:00 AM,107.7,104.1,65.93
50,11/16/22 01:00:00 AM,107.6,104.1,65.95
51,11/16/22 01:15:00 AM,107.6,104.1,65.93
52,11/16/22 01:30:00 AM,107.5,104.1,65.93
53,11/16/22 01:45:00 AM,107.5,104.1,65.89
54,11/16/22 02:00:00 AM,107.5,104.1,65.88
55,11/16/22 02:15:00 AM,107.5,103.7,65.89
56,11/16/22 02:30:00 AM,107.5,104.1,65.89
57,11/16/22 02:45:00 AM,107.5,104.1,65.88
58,11/16/22 03:00:00 AM,107.5,104.1,65.89
59,11/16/22 03:15:00 AM,107.5,104.1,65.88
60,11/16/22 03:30:00 AM,107.5,104.1,65.89
61,11/16/22 03:45:00 AM,107.5,104.1,65.88
62,11/16/22 04:00:00 AM,107.5,104.1,65.89
63,11/16/22 04:15:00 AM,107.5,103.7,65.89
64,11/16/22 04:30:00 AM,107.5,104.1,65.89
65,11/16/22 04:45:00 AM,107.5,104.1,65.93
66,11/16/22 05:00:00 AM,107.5,103.7,65.93
67,11/16/22 05:15:00 AM,107.5,104.1,65.93
68,11/16/22 05:30:00 AM,107.5,104.1,65.95
69,11/16/22 05:45:00 AM,107.5,104.1,65.95
70,11/16/22 06:00:00 AM,107.5,103.7,65.95
71,11/16/22 06:15:00 AM,107.5,104.1,65.97
72,11/16/22 06:30:00 AM,107.5,104.1,66.00
73,11/16/22 06:45:00 AM,107.6,104.1,65.97
74,11/16/22 07:00:00 AM,107.6,104.1,66.00
75,11/16/22 07:15:00 AM,107.6,104.1,66.02
76,11/16/22 07:30:00 AM,107.5,104.1,66.04
77,11/16/22 07:45:00 AM,107.6,104.5,66.07
78,11/16/22 08:00:00 AM,107.6,104.1,66.07
79,11/16/22 08:15:00 AM,107.6,104.1,66.07
80,11/16/22 08:30:00 AM,107.3,103.7,66.04
81,11/16/22 08:45:00 AM,107.4,104.1,66.04
82,11/16/22 09:00:00 AM,107.2,103.7,66.00
83,11/16/22 09:15:00 AM,107.1,103.7,65.97
84,11/16/22 09:30:00 AM,107.0,103.7,65.95
85,11/16/22 09:45:00 AM,107.2,103.7,65.93
86,11/16/22 10:00:00 AM,107.2,103.7,65.89
87,11/16/22 10:15:00 AM,107.0,103.7,65.86
88,11/16/22 10:30:00 AM,107.1,103.7,65.82
89,11/16/22 10:45:00 AM,106.9,103.3,65.80
90,11/16/22 11:00:00 AM,107.8,104.1,65.77
91,11/16/22 11:15:00 AM,107.5,104.1,65.77
92,11/16/22 11:30:00 AM,106.8,103.3,65.71
93,11/16/22 11:45:00 AM,106.6,102.9,65.70
94,11/16/22 12:00:00 PM,106.7,102.9,65.66
95,11/16/22 12:15:00 PM,106.7,103.3,65.66
96,11/16/22 12:30:00 PM,106.7,103.7,65.66
97,11/16/22 12:45:00 PM,106.8,103.3,65.66
98,11/16/22 01:00:00 PM,106.7,103.3,65.66
99,11/16/22 01:15:00 PM,106.7,103.3,65.66
100,11/16/22 01:30:00 PM,106.8,103.3,65.70
101,11/16/22 01:45:00 PM,106.9,103.3,65.73
102,11/16/22 02:00:00 PM,106.9,103.3,65.77
103,11/16/22 02:15:00 PM,106.8,103.3,65.77
104,11/16/22 02:30:00 PM,106.8,103.3,65.73
105,11/16/22 02:45:00 PM,106.8,103.7,65.77
106,11/16/22 03:00:00 PM,106.6,103.3,65.77
107,11/16/22 03:15:00 PM,106.9,103.3,65.77
108,11/16/22 03:30:00 PM,106.9,103.3,65.77
109,11/16/22 03:45:00 PM,106.9,103.3,65.77
110,11/16/22 04:00:00 PM,106.8,103.3,65.73
111,11/16/22 04:15:00 PM,106.8,103.3,65.71
112,11/16/22 04:30:00 PM,106.6,102.9,65.71
113,11/16/22 04:45:00 PM,106.8,103.3,65.70
114,11/16/22 05:00:00 PM,106.7,103.3,65.64
115,11/16/22 05:15:00 PM,106.6,103.0,65.59
116,11/16/22 05:30:00 PM,106.7,103.0,65.55
117,11/16/22 05:45:00 PM,106.6,103.0,65.50
118,11/16/22 06:00:00 PM,106.5,103.0,65.41
119,11/16/22 06:15:00 PM,106.4,103.0,65.34
120,11/16/22 06:30:00 PM,106.3,103.0,65.26
121,11/16/22 06:45:00 PM,106.3,102.6,65.17
122,11/16/22 07:00:00 PM,106.1,102.6,65.08
123,11/16/22 07:15:00 PM,106.0,102.6,65.01
124,11/16/22 07:30:00 PM,105.9,102.6,64.92
125,11/16/22 07:45:00 PM,105.9,102.2,64.85
126,11/16/22 08:00:00 PM,105.6,102.2,64.71
127,11/16/22 08:15:00 PM,105.5,101.8,64.63
128,11/16/22 08:30:00 PM,107.2,105.0,64.51
129,11/16/22 08:45:00 PM,105.3,101.9,64.42
130,11/16/22 09:00:00 PM,105.1,101.5,64.31
131,11/16/22 09:15:00 PM,105.0,101.5,64.20
132,11/16/22 09:30:00 PM,104.8,101.5,64.09
133,11/16/22 09:45:00 PM,105.2,101.9,63.95
134,11/16/22 10:00:00 PM,104.7,101.5,63.86
135,11/16/22 10:15:00 PM,104.6,101.1,63.73
136,11/16/22 10:30:00 PM,104.4,101.1,63.59
137,11/16/22 10:45:00 PM,104.6,101.1,63.50
138,11/16/22 11:00:00 PM,104.4,101.1,63.39
