"Plot Title: Bradford_6cond"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10757733, SEN S/N: 10757733, LBL: CondLo)","Full Range, μS/cm (LGR S/N: 10757733, SEN S/N: 10757733, LBL: CondHi)","Temp, °F (LGR S/N: 10757733, SEN S/N: 10757733, LBL: Temp)"
1,03/13/23 03:00:00 PM,84.8,73.7,65.88
2,03/13/23 03:15:00 PM,84.6,73.7,65.89
3,03/13/23 03:30:00 PM,84.8,73.7,66.07
4,03/13/23 03:45:00 PM,84.9,74.5,65.93
5,03/13/23 04:00:00 PM,84.8,73.7,65.93
6,03/13/23 04:15:00 PM,199.5,199.9,66.00
7,03/13/23 04:30:00 PM,85.0,74.1,66.06
8,03/13/23 04:45:00 PM,85.0,74.1,65.97
9,03/13/23 05:00:00 PM,85.1,74.5,65.89
10,03/13/23 05:15:00 PM,85.0,74.1,65.84
11,03/13/23 05:30:00 PM,85.1,74.1,65.75
12,03/13/23 05:45:00 PM,85.1,74.1,65.64
13,03/13/23 06:00:00 PM,85.1,73.8,65.50
14,03/13/23 06:15:00 PM,85.2,73.8,65.41
15,03/13/23 06:30:00 PM,85.1,73.4,65.26
16,03/13/23 06:45:00 PM,85.1,73.4,65.12
17,03/13/23 07:00:00 PM,85.0,73.4,64.98
18,03/13/23 07:15:00 PM,85.0,73.4,64.85
19,03/13/23 07:30:00 PM,84.9,73.1,64.72
20,03/13/23 07:45:00 PM,85.0,73.1,64.62
21,03/13/23 08:00:00 PM,84.9,72.7,64.49
22,03/13/23 08:15:00 PM,84.8,73.1,64.40
23,03/13/23 08:30:00 PM,84.8,72.7,64.33
24,03/13/23 08:45:00 PM,84.8,72.7,64.27
25,03/13/23 09:00:00 PM,84.8,72.7,64.22
26,03/13/23 09:15:00 PM,84.9,72.7,64.15
27,03/13/23 09:30:00 PM,84.9,72.7,64.09
28,03/13/23 09:45:00 PM,84.9,72.4,64.02
29,03/13/23 10:00:00 PM,84.8,72.4,63.95
30,03/13/23 10:15:00 PM,84.7,72.4,63.88
31,03/13/23 10:30:00 PM,84.7,72.0,63.82
32,03/13/23 10:45:00 PM,84.7,72.0,63.75
33,03/13/23 11:00:00 PM,84.7,72.0,63.68
34,03/13/23 11:15:00 PM,84.7,72.4,63.61
35,03/13/23 11:30:00 PM,84.7,72.0,63.54
36,03/13/23 11:45:00 PM,84.7,72.0,63.48
37,03/14/23 12:00:00 AM,84.7,72.0,63.39
38,03/14/23 12:15:00 AM,84.6,71.6,63.36
39,03/14/23 12:30:00 AM,84.5,71.7,63.28
40,03/14/23 12:45:00 AM,84.6,71.7,63.21
41,03/14/23 01:00:00 AM,84.5,71.3,63.12
42,03/14/23 01:15:00 AM,84.5,71.7,63.05
43,03/14/23 01:30:00 AM,84.4,70.9,62.92
44,03/14/23 01:45:00 AM,84.3,70.9,62.85
45,03/14/23 02:00:00 AM,84.3,70.6,62.80
46,03/14/23 02:15:00 AM,84.2,70.6,62.69
47,03/14/23 02:30:00 AM,84.2,70.6,62.60
48,03/14/23 02:45:00 AM,84.1,70.2,62.51
49,03/14/23 03:00:00 AM,84.0,70.2,62.42
50,03/14/23 03:15:00 AM,83.9,70.2,62.29
51,03/14/23 03:30:00 AM,83.9,69.9,62.20
