Date,SpC
2023-08-04T10:00:00Z,89.2
2023-08-04T11:00:00Z,89.7
2023-08-04T12:00:00Z,88.5
2023-08-04T13:00:00Z,87.9
2023-08-04T14:00:00Z,87.8
2023-08-04T15:00:00Z,98
2023-08-05T12:00:00Z,50.7
2023-08-05T21:00:00Z,57.5
2023-08-06T01:00:00Z,64.3
2023-08-06T02:00:00Z,68
2023-08-06T03:00:00Z,68.3
2023-08-06T04:00:00Z,61.8
2023-08-06T08:00:00Z,60.3
2023-08-06T09:00:00Z,54.7
2023-08-06T10:00:00Z,64.6
2023-08-06T11:00:00Z,56.6
2023-08-06T12:00:00Z,65.5
2023-08-06T13:00:00Z,65.4
2023-08-06T14:00:00Z,66.6
2023-08-06T15:00:00Z,65.2
2023-08-06T16:00:00Z,66.2
2023-08-06T17:00:00Z,64.4
2023-08-06T18:00:00Z,66.5
2023-08-06T19:00:00Z,69.8
2023-08-06T20:00:00Z,70.6
2023-08-06T21:00:00Z,70.8
2023-08-06T22:00:00Z,71
2023-08-06T23:00:00Z,70.6
2023-08-07T00:00:00Z,70.1
2023-08-07T01:00:00Z,70.2
2023-08-07T02:00:00Z,63.3
2023-08-07T03:00:00Z,54.6
2023-08-11T12:00:00Z,54
2023-08-11T13:00:00Z,50.7
2023-08-11T14:00:00Z,51.3
2023-08-11T15:00:00Z,52.3
2023-08-11T16:00:00Z,52.1
2023-08-11T17:00:00Z,51.5
2023-08-11T18:00:00Z,52.1
2023-08-11T19:00:00Z,52.1
2023-08-11T20:00:00Z,53
2023-08-11T21:00:00Z,52.2
2023-08-11T22:00:00Z,52.2
2023-08-11T23:00:00Z,51.8
2023-08-12T00:00:00Z,52
2023-08-12T01:00:00Z,51.9
2023-08-12T02:00:00Z,52
2023-08-12T03:00:00Z,52
2023-08-12T04:00:00Z,52.8
2023-08-12T05:00:00Z,52.5
2023-08-12T06:00:00Z,53.4
2023-08-12T07:00:00Z,53.8
2023-08-12T08:00:00Z,54.2
2023-08-12T09:00:00Z,54.4
2023-08-12T10:00:00Z,55.2
2023-08-12T11:00:00Z,55.8
2023-08-12T12:00:00Z,55.8
2023-08-12T13:00:00Z,56.5
2023-08-12T14:00:00Z,56.2
2023-08-12T15:00:00Z,56.6
2023-08-12T16:00:00Z,57.2
2023-08-12T17:00:00Z,57.6
2023-08-12T18:00:00Z,57.6
2023-08-12T19:00:00Z,57.3
2023-08-12T20:00:00Z,57
2023-08-12T21:00:00Z,58.1
2023-08-12T22:00:00Z,57.2
2023-08-12T23:00:00Z,57.1
2023-08-13T00:00:00Z,57.3
2023-08-13T01:00:00Z,56.9
2023-08-13T02:00:00Z,57.1
2023-08-13T03:00:00Z,58.2
2023-08-13T04:00:00Z,58.4
2023-08-13T05:00:00Z,58.7
2023-08-13T06:00:00Z,59.9
2023-08-13T07:00:00Z,59.8
2023-08-13T08:00:00Z,60
2023-08-13T09:00:00Z,61.2
2023-08-13T10:00:00Z,61.7
2023-08-13T11:00:00Z,62.4
2023-08-13T12:00:00Z,63.2
2023-08-13T13:00:00Z,63.9
2023-08-13T14:00:00Z,64.9
2023-08-13T15:00:00Z,64.5
2023-08-13T16:00:00Z,65.1
2023-08-13T17:00:00Z,65.3
2023-08-13T18:00:00Z,65.1
2023-08-13T19:00:00Z,64.9
2023-08-13T20:00:00Z,69.1
2023-08-13T21:00:00Z,69.4
2023-08-13T22:00:00Z,67.9
2023-08-13T23:00:00Z,67.4
2023-08-14T00:00:00Z,67
2023-08-14T01:00:00Z,66.6
2023-08-14T02:00:00Z,72.8
2023-08-14T03:00:00Z,72.9
2023-08-14T04:00:00Z,70.5
2023-08-14T05:00:00Z,70.6
2023-08-14T06:00:00Z,71.4
2023-08-14T07:00:00Z,71.9
2023-08-14T08:00:00Z,72.3
2023-08-14T09:00:00Z,73.1
2023-08-14T10:00:00Z,73.8
2023-08-14T11:00:00Z,75.8
2023-08-14T12:00:00Z,76.6
2023-08-14T13:00:00Z,77.5
2023-08-14T14:00:00Z,77.7
2023-08-14T15:00:00Z,77.8
2023-08-14T16:00:00Z,77.1
2023-08-14T17:00:00Z,77.7
2023-08-14T18:00:00Z,77.7
2023-08-14T19:00:00Z,77.3
2023-08-14T20:00:00Z,76.5
2023-08-14T21:00:00Z,76.4
2023-08-14T22:00:00Z,75.3
2023-08-14T23:00:00Z,75.1
2023-08-15T00:00:00Z,74.9
2023-08-15T01:00:00Z,74.3
2023-08-15T02:00:00Z,74.6
2023-08-15T03:00:00Z,73.9
2023-08-15T04:00:00Z,74.6
2023-08-15T05:00:00Z,74.9
2023-08-15T06:00:00Z,75.5
2023-08-15T07:00:00Z,75.2
2023-08-15T08:00:00Z,76.6
2023-08-15T09:00:00Z,78
2023-08-15T10:00:00Z,78.2
2023-08-15T11:00:00Z,77.6
2023-08-15T12:00:00Z,78.7
2023-08-15T13:00:00Z,79.6
2023-08-15T14:00:00Z,79.7
2023-08-15T15:00:00Z,80.1
2023-08-15T16:00:00Z,80.9
2023-08-15T17:00:00Z,81.1
2023-08-15T18:00:00Z,81.4
2023-08-15T19:00:00Z,81
2023-08-15T20:00:00Z,82.8
2023-08-15T21:00:00Z,83.6
2023-08-15T22:00:00Z,81.9
2023-08-15T23:00:00Z,82.8
2023-08-16T00:00:00Z,83.4
2023-08-16T01:00:00Z,83.6
2023-08-16T02:00:00Z,84.2
2023-08-16T03:00:00Z,84.2
2023-08-16T04:00:00Z,84.8
2023-08-16T05:00:00Z,85
2023-08-16T06:00:00Z,85.1
2023-08-16T07:00:00Z,84.6
2023-08-16T08:00:00Z,85.1
2023-08-16T09:00:00Z,85.3
2023-08-16T10:00:00Z,85.3
2023-08-16T11:00:00Z,85.6
2023-08-16T12:00:00Z,86
2023-08-16T13:00:00Z,85.9
2023-08-16T14:00:00Z,86.3
2023-08-16T15:00:00Z,86.8
2023-08-16T16:00:00Z,86.7
2023-08-16T17:00:00Z,87.5
2023-08-16T18:00:00Z,86.5
2023-08-16T19:00:00Z,87.3
2023-08-16T20:00:00Z,85.8
2023-08-16T21:00:00Z,84.2
2023-08-16T22:00:00Z,83.3
2023-08-16T23:00:00Z,82.7
2023-08-17T00:00:00Z,88.2
2023-08-17T01:00:00Z,89.7
2023-08-17T02:00:00Z,90.9
2023-08-17T03:00:00Z,91.8
2023-08-17T04:00:00Z,92.5
2023-08-17T05:00:00Z,92.4
2023-08-17T06:00:00Z,92.2
2023-08-17T07:00:00Z,91.5
2023-08-17T08:00:00Z,91.7
2023-08-17T09:00:00Z,91.6
2023-08-17T10:00:00Z,92
2023-08-17T11:00:00Z,92.4
2023-08-17T12:00:00Z,91.8
2023-08-17T13:00:00Z,90.7
2023-08-17T14:00:00Z,90.7
2023-08-17T15:00:00Z,90.9
2023-08-17T16:00:00Z,90
2023-08-17T17:00:00Z,89.6
2023-08-17T18:00:00Z,88.8
2023-08-17T19:00:00Z,89.2
2023-08-17T20:00:00Z,90.2
2023-08-17T21:00:00Z,90.8
2023-08-17T22:00:00Z,90.5
2023-08-17T23:00:00Z,90.8
2023-08-18T00:00:00Z,90.5
2023-08-18T01:00:00Z,90
2023-08-18T02:00:00Z,89.4
2023-08-18T03:00:00Z,89
2023-08-18T04:00:00Z,88.5
2023-08-18T05:00:00Z,88.4
2023-08-18T06:00:00Z,89.3
2023-08-18T07:00:00Z,88
2023-08-18T08:00:00Z,87.7
2023-08-18T09:00:00Z,87.7
2023-08-18T10:00:00Z,88
2023-08-18T11:00:00Z,89.3
2023-08-18T12:00:00Z,89.8
2023-08-18T13:00:00Z,90.6
2023-08-18T14:00:00Z,88.9
2023-08-18T15:00:00Z,90.6
2023-08-18T16:00:00Z,91.3
2023-08-18T17:00:00Z,91.6
2023-08-18T18:00:00Z,91.4
2023-08-18T19:00:00Z,91.4
2023-08-18T20:00:00Z,90.9
2023-08-18T21:00:00Z,91
2023-08-18T22:00:00Z,89.4
2023-08-18T23:00:00Z,88.5
2023-08-19T00:00:00Z,87.9
2023-08-19T01:00:00Z,87.5
2023-08-19T02:00:00Z,87.4
2023-08-19T03:00:00Z,86.8
2023-08-19T04:00:00Z,87
2023-08-19T05:00:00Z,87.1
2023-08-19T06:00:00Z,87.5
2023-08-19T07:00:00Z,87.5
2023-08-19T08:00:00Z,88
2023-08-19T09:00:00Z,88.8
2023-08-19T10:00:00Z,89.5
2023-08-19T11:00:00Z,90.5
2023-08-19T12:00:00Z,91.2
2023-08-19T13:00:00Z,91.5
2023-08-19T14:00:00Z,90.6
2023-08-19T15:00:00Z,91.9
2023-08-19T16:00:00Z,93.3
2023-08-19T17:00:00Z,93.4
2023-08-19T18:00:00Z,95.5
2023-08-19T19:00:00Z,97.1
2023-08-19T20:00:00Z,96.9
2023-08-19T21:00:00Z,96.9
2023-08-19T22:00:00Z,96.3
2023-08-19T23:00:00Z,94.8
2023-08-20T00:00:00Z,93.4
2023-08-20T01:00:00Z,92.6
2023-08-20T02:00:00Z,91.6
2023-08-20T03:00:00Z,90.7
2023-08-20T04:00:00Z,90.7
2023-08-20T05:00:00Z,95.5
2023-08-20T06:00:00Z,95.4
2023-08-20T07:00:00Z,95.1
2023-08-20T08:00:00Z,95.8
2023-08-20T09:00:00Z,96.9
2023-08-20T10:00:00Z,97.9
2023-08-20T11:00:00Z,98.6
2023-08-20T12:00:00Z,97
2023-08-20T13:00:00Z,95.8
2023-08-20T14:00:00Z,96.2
2023-08-20T15:00:00Z,96.3
2023-08-20T16:00:00Z,94.8
2023-08-20T17:00:00Z,94.9
2023-08-20T18:00:00Z,94.2
2023-08-20T19:00:00Z,95.6
2023-08-20T20:00:00Z,97.4
2023-08-20T21:00:00Z,98.2
2023-08-20T22:00:00Z,98.3
2023-08-20T23:00:00Z,98.9
2023-08-21T00:00:00Z,98.3
2023-08-21T01:00:00Z,97.3
2023-08-21T02:00:00Z,96.9
2023-08-21T03:00:00Z,96.7
2023-08-21T04:00:00Z,95.8
2023-08-21T05:00:00Z,95.1
2023-08-21T06:00:00Z,94.7
2023-08-21T07:00:00Z,95.2
2023-08-21T08:00:00Z,95.9
2023-08-21T09:00:00Z,94.6
2023-08-21T10:00:00Z,94.9
2023-08-21T11:00:00Z,95
2023-08-21T12:00:00Z,95.7
2023-08-21T13:00:00Z,95.5
2023-08-21T14:00:00Z,93.2
2023-08-21T15:00:00Z,95.9
2023-08-21T16:00:00Z,96.3
2023-08-21T17:00:00Z,96.2
2023-08-21T18:00:00Z,95.5
2023-08-21T19:00:00Z,96
2023-08-21T20:00:00Z,95.7
2023-08-21T21:00:00Z,94.8
2023-08-21T22:00:00Z,94.1
2023-08-21T23:00:00Z,93.3
2023-08-22T00:00:00Z,92.3
2023-08-22T01:00:00Z,91.3
2023-08-22T02:00:00Z,90.4
2023-08-22T03:00:00Z,89.7
2023-08-22T04:00:00Z,89.4
2023-08-22T05:00:00Z,90.3
2023-08-22T06:00:00Z,90.2
2023-08-22T07:00:00Z,91.1
2023-08-22T08:00:00Z,92.2
2023-08-22T09:00:00Z,91.6
2023-08-22T10:00:00Z,92.6
2023-08-22T11:00:00Z,93.6
2023-08-22T12:00:00Z,94.1
2023-08-22T13:00:00Z,94.7
2023-08-22T14:00:00Z,94.3
2023-08-22T15:00:00Z,97.8
2023-08-22T16:00:00Z,99
2023-08-22T17:00:00Z,99.5
2023-08-22T18:00:00Z,100.2
2023-08-22T19:00:00Z,100.5
2023-08-22T20:00:00Z,100.9
2023-08-22T21:00:00Z,100.8
2023-08-22T22:00:00Z,101.2
2023-08-22T23:00:00Z,99.9
2023-08-23T00:00:00Z,99.2
2023-08-23T01:00:00Z,97.8
2023-08-23T02:00:00Z,96.6
2023-08-23T03:00:00Z,95.5
2023-08-23T04:00:00Z,95.3
