"Plot Title: Bradford_15"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10776683, SEN S/N: 10776683)","Temp, °F (LGR S/N: 10776683, SEN S/N: 10776683)","Coupler Detached (LGR S/N: 10776683, SEN S/N: 10776683)","Coupler Attached (LGR S/N: 10776683, SEN S/N: 10776683)","Host Connected (LGR S/N: 10776683, SEN S/N: 10776683)","Stopped (LGR S/N: 10776683, SEN S/N: 10776683)","End Of File (LGR S/N: 10776683, SEN S/N: 10776683)"
1,04/08/22 12:33:45 PM,15.5692,66.879,Logged,,,,
2,04/08/22 12:48:45 PM,15.5652,67.050,,,,,
3,04/08/22 01:03:45 PM,15.5621,67.050,,,,,
4,04/08/22 01:18:45 PM,15.5575,67.050,,,,,
5,04/08/22 01:33:45 PM,15.5544,67.050,,,,,
6,04/08/22 01:48:45 PM,15.5544,67.050,,,,,
7,04/08/22 02:03:45 PM,15.5489,67.221,,,,,
8,04/08/22 02:18:45 PM,15.5459,67.221,,,,,
9,04/08/22 02:33:45 PM,15.5443,67.221,,,,,
10,04/08/22 02:48:45 PM,15.5396,67.221,,,,,
11,04/08/22 03:03:45 PM,15.5351,67.221,,,,,
12,04/08/22 03:18:45 PM,15.5305,67.221,,,,,
13,04/08/22 03:33:45 PM,15.5305,67.221,,,,,
14,04/08/22 03:48:45 PM,15.5290,67.221,,,,,
15,04/08/22 04:03:45 PM,15.5264,67.392,,,,,
16,04/08/22 04:18:45 PM,15.5234,67.392,,,,,
17,04/08/22 04:33:45 PM,15.5234,67.392,,,,,
18,04/08/22 04:48:45 PM,15.5203,67.392,,,,,
19,04/08/22 05:03:45 PM,15.5218,67.392,,,,,
20,04/08/22 05:18:45 PM,15.5187,67.392,,,,,
21,04/08/22 05:33:45 PM,15.5187,67.392,,,,,
22,04/08/22 05:48:45 PM,15.5203,67.392,,,,,
23,04/08/22 06:03:45 PM,15.5183,67.221,,,,,
24,04/08/22 06:18:45 PM,15.5183,67.221,,,,,
25,04/08/22 06:33:45 PM,15.5153,67.221,,,,,
26,04/08/22 06:48:45 PM,15.5137,67.221,,,,,
27,04/08/22 07:03:45 PM,15.5167,67.221,,,,,
28,04/08/22 07:18:45 PM,15.5183,67.221,,,,,
29,04/08/22 07:33:45 PM,15.5209,67.050,,,,,
30,04/08/22 07:48:45 PM,15.5193,67.050,,,,,
31,04/08/22 08:03:45 PM,15.5193,67.050,,,,,
32,04/08/22 08:18:45 PM,15.5209,67.050,,,,,
33,04/08/22 08:33:45 PM,15.5224,67.050,,,,,
34,04/08/22 08:48:45 PM,15.5254,67.050,,,,,
35,04/08/22 09:03:45 PM,15.5280,66.879,,,,,
36,04/08/22 09:18:45 PM,15.5325,66.879,,,,,
37,04/08/22 09:33:45 PM,15.5356,66.879,,,,,
38,04/08/22 09:48:45 PM,15.5356,66.879,,,,,
39,04/08/22 10:03:45 PM,15.5382,66.708,,,,,
40,04/08/22 10:18:45 PM,15.5412,66.708,,,,,
41,04/08/22 10:33:45 PM,15.5443,66.708,,,,,
42,04/08/22 10:48:45 PM,15.5428,66.708,,,,,
43,04/08/22 11:03:45 PM,15.5453,66.537,,,,,
44,04/08/22 11:18:45 PM,15.5438,66.537,,,,,
45,04/08/22 11:33:45 PM,15.5438,66.537,,,,,
46,04/08/22 11:48:45 PM,15.5422,66.537,,,,,
47,04/09/22 12:03:45 AM,15.5433,66.366,,,,,
48,04/09/22 12:18:45 AM,15.5412,66.193,,,,,
49,04/09/22 12:33:45 AM,15.5428,66.193,,,,,
50,04/09/22 12:48:45 AM,15.5473,66.193,,,,,
51,04/09/22 01:03:45 AM,15.5469,66.022,,,,,
52,04/09/22 01:18:45 AM,15.5438,66.022,,,,,
53,04/09/22 01:33:45 AM,15.5463,65.851,,,,,
54,04/09/22 01:48:45 AM,15.5494,65.851,,,,,
55,04/09/22 02:03:45 AM,15.5520,65.680,,,,,
56,04/09/22 02:18:45 AM,15.5536,65.680,,,,,
57,04/09/22 02:33:45 AM,15.5550,65.680,,,,,
58,04/09/22 02:48:45 AM,15.5576,65.509,,,,,
59,04/09/22 03:03:45 AM,15.5591,65.509,,,,,
60,04/09/22 03:18:45 AM,15.5617,65.338,,,,,
61,04/09/22 03:33:45 AM,15.5617,65.338,,,,,
62,04/09/22 03:48:45 AM,15.5631,65.338,,,,,
63,04/09/22 04:03:45 AM,15.5617,65.338,,,,,
64,04/09/22 04:18:45 AM,15.5627,65.167,,,,,
65,04/09/22 04:33:45 AM,15.5611,65.167,,,,,
66,04/09/22 04:48:45 AM,15.5653,64.996,,,,,
67,04/09/22 05:03:45 AM,15.5684,64.996,,,,,
68,04/09/22 05:18:45 AM,15.5694,64.825,,,,,
69,04/09/22 05:33:45 AM,15.5708,64.825,,,,,
70,04/09/22 05:48:45 AM,15.5718,64.652,,,,,
71,04/09/22 06:03:45 AM,15.5698,64.481,,,,,
72,04/09/22 06:18:45 AM,15.5698,64.481,,,,,
73,04/09/22 06:33:45 AM,15.5724,64.310,,,,,
74,04/09/22 06:48:45 AM,15.5734,64.139,,,,,
75,04/09/22 07:03:45 AM,15.5760,63.968,,,,,
76,04/09/22 07:18:45 AM,15.5771,63.797,,,,,
77,04/09/22 07:33:45 AM,15.5801,63.797,,,,,
78,04/09/22 07:48:45 AM,15.5856,63.626,,,,,
79,04/09/22 08:03:45 AM,15.5856,63.626,,,,,
