Date,LowSpC,FullSpC,time,ID
2024-01-05T14:34:31Z,72.7,69.6,14:34:31,6
2024-01-05T14:34:36Z,72.7,69.6,14:34:36,6
2024-01-05T14:34:41Z,72.7,69.6,14:34:41,6
2024-01-05T14:34:46Z,72.7,69.6,14:34:46,6
2024-01-05T14:34:51Z,72.7,69.6,14:34:51,6
2024-01-05T14:34:56Z,72.7,69.6,14:34:56,6
2024-01-05T14:35:01Z,72.7,69.6,14:35:01,6
2024-01-05T14:35:06Z,72.7,69.6,14:35:06,6
2024-01-05T14:35:11Z,72.7,69.6,14:35:11,6
2024-01-05T14:35:16Z,72.7,69.6,14:35:16,6
2024-01-05T14:35:21Z,72.7,69.6,14:35:21,6
2024-01-05T14:35:26Z,72.7,69.2,14:35:26,6
2024-01-05T14:35:31Z,72.7,69.6,14:35:31,6
2024-01-05T14:35:36Z,72.7,69.2,14:35:36,6
2024-01-05T14:35:41Z,72.7,69.6,14:35:41,6
2024-01-05T14:35:46Z,72.7,69.6,14:35:46,6
2024-01-05T14:35:51Z,72.8,69.6,14:35:51,6
2024-01-05T14:35:56Z,72.7,69.6,14:35:56,6
2024-01-05T14:36:01Z,72.7,69.2,14:36:01,6
2024-01-05T14:36:06Z,72.7,69.6,14:36:06,6
2024-01-05T14:36:11Z,72.7,69.6,14:36:11,6
2024-01-05T14:36:16Z,72.7,69.2,14:36:16,6
2024-01-05T14:36:21Z,72.7,69.6,14:36:21,6
2024-01-05T14:36:26Z,72.7,69.6,14:36:26,6
2024-01-05T14:36:31Z,72.7,69.6,14:36:31,6
2024-01-05T14:36:36Z,72.7,69.6,14:36:36,6
2024-01-05T14:36:41Z,72.7,69.2,14:36:41,6
2024-01-05T14:36:46Z,72.7,69.6,14:36:46,6
2024-01-05T14:36:51Z,72.9,69.6,14:36:51,6
2024-01-05T14:36:56Z,74.9,71.8,14:36:56,6
2024-01-05T14:37:01Z,77.9,74.7,14:37:01,6
2024-01-05T14:37:06Z,81.4,78.4,14:37:06,6
2024-01-05T14:37:11Z,87.8,85,14:37:11,6
2024-01-05T14:37:16Z,92.3,89.4,14:37:16,6
2024-01-05T14:37:21Z,102.8,100.1,14:37:21,6
2024-01-05T14:37:26Z,106.8,104.1,14:37:26,6
2024-01-05T14:37:31Z,114.2,111.1,14:37:31,6
2024-01-05T14:37:36Z,115.2,112.6,14:37:36,6
2024-01-05T14:37:41Z,116.9,114.4,14:37:41,6
2024-01-05T14:37:46Z,117.2,114.4,14:37:46,6
2024-01-05T14:37:51Z,116.8,114,14:37:51,6
2024-01-05T14:37:56Z,114.9,112.2,14:37:56,6
2024-01-05T14:38:01Z,111.3,108.5,14:38:01,6
2024-01-05T14:38:06Z,110.1,107.4,14:38:06,6
2024-01-05T14:38:11Z,108.4,105.6,14:38:11,6
2024-01-05T14:38:16Z,106.1,103.4,14:38:16,6
2024-01-05T14:38:21Z,105.1,102.6,14:38:21,6
2024-01-05T14:38:26Z,101.5,98.6,14:38:26,6
2024-01-05T14:38:31Z,100.7,97.9,14:38:31,6
2024-01-05T14:38:36Z,99.2,96.4,14:38:36,6
2024-01-05T14:38:41Z,97.8,94.5,14:38:41,6
2024-01-05T14:38:46Z,96.7,93.8,14:38:46,6
2024-01-05T14:38:51Z,94.6,91.6,14:38:51,6
2024-01-05T14:38:56Z,93,90.1,14:38:56,6
2024-01-05T14:39:01Z,90.8,87.9,14:39:01,6
2024-01-05T14:39:06Z,89.5,86.5,14:39:06,6
2024-01-05T14:39:11Z,88.3,85.4,14:39:11,6
2024-01-05T14:39:16Z,87,83.9,14:39:16,6
2024-01-05T14:39:21Z,85.9,82.4,14:39:21,6
2024-01-05T14:39:26Z,84.7,81.3,14:39:26,6
2024-01-05T14:39:31Z,83.6,80.6,14:39:31,6
2024-01-05T14:39:36Z,83,79.9,14:39:36,6
2024-01-05T14:39:41Z,82.6,79.9,14:39:41,6
2024-01-05T14:39:46Z,82,78.7,14:39:46,6
2024-01-05T14:39:51Z,81.6,78.4,14:39:51,6
2024-01-05T14:39:56Z,80.6,77.6,14:39:56,6
2024-01-05T14:40:01Z,80.4,77.3,14:40:01,6
2024-01-05T14:40:06Z,79.7,76.5,14:40:06,6
2024-01-05T14:40:11Z,79.2,76.2,14:40:11,6
2024-01-05T14:40:16Z,79,75.8,14:40:16,6
2024-01-05T14:40:21Z,78.6,75.1,14:40:21,6
2024-01-05T14:40:26Z,78.3,75.1,14:40:26,6
2024-01-05T14:40:31Z,78.3,75.1,14:40:31,6
2024-01-05T14:40:36Z,77.2,74,14:40:36,6
2024-01-05T14:40:41Z,76.9,73.6,14:40:41,6
2024-01-05T14:40:46Z,76.6,73.2,14:40:46,6
2024-01-05T14:40:51Z,76.2,73.2,14:40:51,6
2024-01-05T14:40:56Z,76.2,72.9,14:40:56,6
2024-01-05T14:41:01Z,76.1,72.9,14:41:01,6
2024-01-05T14:41:06Z,75.9,72.9,14:41:06,6
2024-01-05T14:41:11Z,75.6,72.1,14:41:11,6
2024-01-05T14:41:16Z,75.2,72.1,14:41:16,6
2024-01-05T14:41:21Z,75.4,72.1,14:41:21,6
2024-01-05T14:41:26Z,75,71.8,14:41:26,6
2024-01-05T14:41:31Z,74.7,71.4,14:41:31,6
2024-01-05T14:41:36Z,74.6,71,14:41:36,6
2024-01-05T14:41:41Z,74.5,70.7,14:41:41,6
2024-01-05T14:41:46Z,74.3,70.7,14:41:46,6
2024-01-05T14:41:51Z,74.2,70.7,14:41:51,6
2024-01-05T14:41:56Z,74.3,70.7,14:41:56,6
2024-01-05T14:42:01Z,74.2,70.7,14:42:01,6
2024-01-05T14:42:06Z,74.1,70.7,14:42:06,6
2024-01-05T14:42:11Z,74.1,70.7,14:42:11,6
2024-01-05T14:42:16Z,74.1,70.7,14:42:16,6
2024-01-05T14:42:21Z,73.9,70.7,14:42:21,6
2024-01-05T14:42:26Z,73.9,70.7,14:42:26,6
2024-01-05T14:42:31Z,73.8,70.3,14:42:31,6
2024-01-05T14:42:36Z,73.7,70.7,14:42:36,6
2024-01-05T14:42:41Z,73.6,70.3,14:42:41,6
2024-01-05T14:42:46Z,73.5,69.9,14:42:46,6
2024-01-05T14:42:51Z,73.5,69.9,14:42:51,6
2024-01-05T14:42:56Z,73.4,69.9,14:42:56,6
2024-01-05T14:43:01Z,73.4,69.9,14:43:01,6
2024-01-05T14:43:06Z,73.4,69.6,14:43:06,6
2024-01-05T14:43:11Z,73.3,69.9,14:43:11,6
2024-01-05T14:43:16Z,73.3,69.9,14:43:16,6
2024-01-05T14:43:21Z,73.3,69.9,14:43:21,6
2024-01-05T14:43:26Z,73.2,69.6,14:43:26,6
2024-01-05T14:43:31Z,73.2,69.9,14:43:31,6
2024-01-05T14:43:36Z,73.1,69.6,14:43:36,6
2024-01-05T14:43:41Z,73.1,69.6,14:43:41,6
2024-01-05T14:43:46Z,73.1,69.6,14:43:46,6
2024-01-05T14:43:51Z,73,69.6,14:43:51,6
2024-01-05T14:43:56Z,72.9,69.6,14:43:56,6
2024-01-05T14:44:01Z,73,69.6,14:44:01,6
2024-01-05T14:44:06Z,73,69.6,14:44:06,6
2024-01-05T14:44:11Z,73,69.6,14:44:11,6
2024-01-05T14:44:16Z,73.1,69.6,14:44:16,6
2024-01-05T14:44:21Z,73,69.6,14:44:21,6
2024-01-05T14:44:26Z,73,69.6,14:44:26,6
2024-01-05T14:44:31Z,73,69.6,14:44:31,6
2024-01-05T14:44:36Z,72.9,69.6,14:44:36,6
2024-01-05T14:44:41Z,72.9,69.6,14:44:41,6
2024-01-05T14:44:46Z,72.9,69.6,14:44:46,6
2024-01-05T14:44:51Z,72.9,69.6,14:44:51,6
2024-01-05T14:44:56Z,72.9,69.6,14:44:56,6
2024-01-05T14:45:01Z,72.9,69.6,14:45:01,6
2024-01-05T14:45:06Z,72.9,69.6,14:45:06,6
2024-01-05T14:45:11Z,72.9,69.6,14:45:11,6
2024-01-05T14:45:16Z,72.9,69.6,14:45:16,6
2024-01-05T14:45:21Z,72.9,69.2,14:45:21,6
2024-01-05T14:45:26Z,72.9,69.6,14:45:26,6
2024-01-05T14:45:31Z,72.9,69.6,14:45:31,6
2024-01-05T14:45:36Z,72.9,69.2,14:45:36,6
2024-01-05T14:45:41Z,72.8,69.6,14:45:41,6
2024-01-05T14:45:46Z,72.8,69.6,14:45:46,6
2024-01-05T14:45:51Z,72.9,69.2,14:45:51,6
2024-01-05T14:45:56Z,72.9,69.2,14:45:56,6
2024-01-05T14:46:01Z,72.8,69.2,14:46:01,6
2024-01-05T14:46:06Z,72.7,69.6,14:46:06,6
2024-01-05T14:46:11Z,72.8,69.2,14:46:11,6
2024-01-05T14:46:16Z,72.8,69.6,14:46:16,6
2024-01-05T14:46:21Z,72.8,69.2,14:46:21,6
2024-01-05T14:46:26Z,72.7,69.2,14:46:26,6
2024-01-05T14:46:31Z,72.8,69.2,14:46:31,6
2024-01-05T14:46:36Z,72.8,69.6,14:46:36,6
2024-01-05T14:46:41Z,72.8,69.6,14:46:41,6
2024-01-05T14:46:46Z,72.7,69.6,14:46:46,6
2024-01-05T14:46:51Z,72.8,69.2,14:46:51,6
2024-01-05T14:46:56Z,72.8,69.2,14:46:56,6
2024-01-05T14:47:01Z,72.8,69.2,14:47:01,6
2024-01-05T14:47:06Z,72.7,69.6,14:47:06,6
2024-01-05T14:47:11Z,72.8,69.2,14:47:11,6
2024-01-05T14:47:16Z,72.8,69.2,14:47:16,6
2024-01-05T14:47:21Z,72.8,69.2,14:47:21,6
2024-01-05T14:47:26Z,72.7,69.2,14:47:26,6
2024-01-05T14:47:31Z,72.7,69.2,14:47:31,6
2024-01-05T14:47:36Z,72.8,69.6,14:47:36,6
2024-01-05T14:47:41Z,72.7,69.2,14:47:41,6
2024-01-05T14:47:46Z,72.8,69.6,14:47:46,6
2024-01-05T14:47:51Z,72.7,69.2,14:47:51,6
2024-01-05T14:47:56Z,72.7,69.6,14:47:56,6
2024-01-05T14:48:01Z,72.7,69.2,14:48:01,6
2024-01-05T14:48:06Z,72.7,69.2,14:48:06,6
2024-01-05T14:48:11Z,72.7,69.2,14:48:11,6
2024-01-05T14:48:16Z,72.7,69.2,14:48:16,6
2024-01-05T14:48:21Z,72.8,69.2,14:48:21,6
2024-01-05T14:48:26Z,72.7,69.2,14:48:26,6
2024-01-05T14:48:31Z,72.7,69.2,14:48:31,6
2024-01-05T14:48:36Z,72.7,69.6,14:48:36,6
2024-01-05T14:48:41Z,72.7,69.6,14:48:41,6
2024-01-05T14:48:46Z,72.8,69.6,14:48:46,6
2024-01-05T14:48:51Z,72.7,69.2,14:48:51,6
2024-01-05T14:48:56Z,72.7,69.6,14:48:56,6
2024-01-05T14:49:01Z,72.7,69.6,14:49:01,6
2024-01-05T14:49:06Z,72.7,69.2,14:49:06,6
2024-01-05T14:49:11Z,72.7,69.2,14:49:11,6
2024-01-05T14:49:16Z,72.8,69.2,14:49:16,6
2024-01-05T14:49:21Z,72.7,69.2,14:49:21,6
2024-01-05T14:49:26Z,72.8,69.2,14:49:26,6
2024-01-05T14:49:31Z,72.7,69.2,14:49:31,6
2024-01-05T14:49:36Z,72.7,69.2,14:49:36,6
2024-01-05T14:49:41Z,72.7,69.2,14:49:41,6
2024-01-05T14:49:46Z,72.7,69.2,14:49:46,6
2024-01-05T14:49:51Z,72.7,69.6,14:49:51,6
2024-01-05T14:49:56Z,72.8,69.2,14:49:56,6
2024-01-05T14:50:01Z,72.7,69.6,14:50:01,6
2024-01-05T14:50:06Z,72.7,69.2,14:50:06,6
2024-01-05T14:50:11Z,72.7,69.2,14:50:11,6
2024-01-05T14:50:16Z,72.7,69.2,14:50:16,6
2024-01-05T14:50:21Z,72.8,69.2,14:50:21,6
2024-01-05T14:50:26Z,72.7,69.2,14:50:26,6
2024-01-05T14:50:31Z,72.7,69.6,14:50:31,6
2024-01-05T14:50:36Z,72.7,69.2,14:50:36,6
2024-01-05T14:50:41Z,72.7,69.2,14:50:41,6
2024-01-05T14:50:46Z,72.7,69.2,14:50:46,6
2024-01-05T14:50:51Z,72.7,69.2,14:50:51,6
2024-01-05T14:50:56Z,72.6,69.6,14:50:56,6
2024-01-05T14:51:01Z,72.7,69.6,14:51:01,6
2024-01-05T14:51:06Z,72.7,69.2,14:51:06,6
2024-01-05T14:51:11Z,72.7,69.2,14:51:11,6
2024-01-05T14:51:16Z,72.8,69.6,14:51:16,6
2024-01-05T14:51:21Z,72.7,69.2,14:51:21,6
2024-01-05T14:51:26Z,72.7,69.2,14:51:26,6
2024-01-05T14:51:31Z,72.7,69.2,14:51:31,6
2024-01-05T14:51:36Z,72.7,69.2,14:51:36,6
2024-01-05T14:51:41Z,72.7,69.2,14:51:41,6
2024-01-05T14:51:46Z,72.7,69.2,14:51:46,6
2024-01-05T14:51:51Z,72.7,69.2,14:51:51,6
2024-01-05T14:51:56Z,72.7,69.2,14:51:56,6
2024-01-05T14:52:01Z,72.8,69.2,14:52:01,6
2024-01-05T14:52:06Z,72.7,69.2,14:52:06,6
2024-01-05T14:52:11Z,72.7,69.2,14:52:11,6
2024-01-05T14:52:16Z,72.7,69.6,14:52:16,6
2024-01-05T14:52:21Z,72.7,69.2,14:52:21,6
2024-01-05T14:52:26Z,72.7,69.2,14:52:26,6
2024-01-05T14:52:31Z,72.7,69.6,14:52:31,6
2024-01-05T14:52:36Z,72.7,69.6,14:52:36,6
2024-01-05T14:52:41Z,72.7,69.2,14:52:41,6
2024-01-05T14:52:46Z,72.7,69.2,14:52:46,6
2024-01-05T14:52:51Z,72.7,69.2,14:52:51,6
2024-01-05T14:52:56Z,72.8,69.2,14:52:56,6
2024-01-05T14:53:01Z,72.7,69.2,14:53:01,6
2024-01-05T14:53:06Z,72.7,69.6,14:53:06,6
2024-01-05T14:53:11Z,72.7,69.2,14:53:11,6
2024-01-05T14:53:16Z,72.8,69.2,14:53:16,6
2024-01-05T14:53:21Z,72.7,69.6,14:53:21,6
2024-01-05T14:53:26Z,72.8,69.2,14:53:26,6
2024-01-05T14:53:31Z,72.8,69.2,14:53:31,6
2024-01-05T14:53:36Z,72.7,69.2,14:53:36,6
2024-01-05T14:53:41Z,72.7,69.2,14:53:41,6
2024-01-05T14:53:46Z,72.7,69.2,14:53:46,6
2024-01-05T14:53:51Z,72.8,69.2,14:53:51,6
2024-01-05T14:53:56Z,72.7,69.2,14:53:56,6
2024-01-05T14:54:01Z,72.7,69.2,14:54:01,6
2024-01-05T14:54:06Z,72.7,69.2,14:54:06,6
2024-01-05T14:54:11Z,72.8,69.2,14:54:11,6
2024-01-05T14:54:16Z,72.7,69.2,14:54:16,6
2024-01-05T14:54:21Z,72.7,69.2,14:54:21,6
2024-01-05T14:54:26Z,72.7,69.2,14:54:26,6
2024-01-05T14:54:31Z,72.7,69.6,14:54:31,6
2024-01-05T14:54:36Z,72.7,69.2,14:54:36,6
2024-01-05T14:54:41Z,72.7,69.6,14:54:41,6
2024-01-05T14:54:46Z,72.7,69.6,14:54:46,6
2024-01-05T14:54:51Z,72.7,69.6,14:54:51,6
2024-01-05T14:54:56Z,72.7,69.2,14:54:56,6
2024-01-05T14:55:01Z,72.7,69.6,14:55:01,6
2024-01-05T14:55:06Z,72.7,69.2,14:55:06,6
2024-01-05T14:55:11Z,72.7,69.2,14:55:11,6
2024-01-05T14:55:16Z,72.7,69.2,14:55:16,6
2024-01-05T14:55:21Z,72.7,69.2,14:55:21,6
2024-01-05T14:55:26Z,72.7,69.2,14:55:26,6
2024-01-05T14:55:31Z,72.7,69.6,14:55:31,6
2024-01-05T14:55:36Z,72.7,69.6,14:55:36,6
2024-01-05T14:55:41Z,72.7,69.6,14:55:41,6
2024-01-05T14:55:46Z,72.7,69.2,14:55:46,6
2024-01-05T14:55:51Z,72.7,69.2,14:55:51,6
2024-01-05T14:55:56Z,72.8,69.2,14:55:56,6
2024-01-05T14:56:01Z,72.7,69.6,14:56:01,6
2024-01-05T14:56:06Z,72.7,69.6,14:56:06,6
2024-01-05T14:56:11Z,72.7,69.2,14:56:11,6
2024-01-05T14:56:16Z,72.8,69.2,14:56:16,6
2024-01-05T14:56:21Z,72.7,69.2,14:56:21,6
2024-01-05T14:56:26Z,72.7,69.2,14:56:26,6
2024-01-05T14:56:31Z,72.7,69.2,14:56:31,6
2024-01-05T14:56:36Z,72.7,69.2,14:56:36,6
2024-01-05T14:56:41Z,72.7,69.6,14:56:41,6
2024-01-05T14:56:46Z,72.7,69.2,14:56:46,6
2024-01-05T14:56:51Z,72.8,69.2,14:56:51,6
2024-01-05T14:56:56Z,72.8,69.2,14:56:56,6
2024-01-05T14:57:01Z,72.7,69.2,14:57:01,6
2024-01-05T14:57:06Z,72.7,69.2,14:57:06,6
2024-01-05T14:57:11Z,72.7,69.2,14:57:11,6
2024-01-05T14:57:16Z,72.7,69.2,14:57:16,6
2024-01-05T14:57:21Z,72.7,69.2,14:57:21,6
2024-01-05T14:57:26Z,72.7,69.6,14:57:26,6
2024-01-05T14:57:31Z,72.7,69.2,14:57:31,6
2024-01-05T14:57:36Z,72.7,69.2,14:57:36,6
2024-01-05T14:57:41Z,72.8,69.2,14:57:41,6
2024-01-05T14:57:46Z,72.8,69.2,14:57:46,6
2024-01-05T14:57:51Z,72.7,69.6,14:57:51,6
2024-01-05T14:57:56Z,72.8,69.2,14:57:56,6
2024-01-05T14:58:01Z,72.7,69.2,14:58:01,6
2024-01-05T14:58:06Z,72.7,69.2,14:58:06,6
2024-01-05T14:58:11Z,72.7,69.2,14:58:11,6
2024-01-05T14:58:16Z,72.7,69.2,14:58:16,6
2024-01-05T14:58:21Z,72.7,69.2,14:58:21,6
2024-01-05T14:58:26Z,72.7,69.2,14:58:26,6
2024-01-05T14:58:31Z,72.7,69.2,14:58:31,6
2024-01-05T14:58:36Z,72.7,68.8,14:58:36,6
2024-01-05T14:58:41Z,72.7,69.6,14:58:41,6
2024-01-05T14:58:46Z,72.8,69.2,14:58:46,6
2024-01-05T14:58:51Z,72.7,69.2,14:58:51,6
2024-01-05T14:58:56Z,72.8,69.2,14:58:56,6
2024-01-05T14:59:01Z,72.8,69.2,14:59:01,6
2024-01-05T14:59:06Z,72.7,69.2,14:59:06,6
2024-01-05T14:59:11Z,72.7,69.6,14:59:11,6
2024-01-05T14:59:16Z,72.8,69.2,14:59:16,6
2024-01-05T14:59:21Z,72.7,69.2,14:59:21,6
2024-01-05T14:59:26Z,72.8,69.2,14:59:26,6
2024-01-05T14:59:31Z,72.8,69.2,14:59:31,6
2024-01-05T14:59:36Z,72.8,69.2,14:59:36,6
2024-01-05T14:59:41Z,72.8,69.2,14:59:41,6
2024-01-05T14:59:46Z,72.8,69.6,14:59:46,6
2024-01-05T14:59:51Z,72.8,69.2,14:59:51,6
2024-01-05T14:59:56Z,72.8,69.2,14:59:56,6
2024-01-05T14:35:01Z,72.7,69.6,14:35:01,9
2024-01-05T14:35:06Z,72.7,69.6,14:35:06,9
2024-01-05T14:35:11Z,72.7,69.6,14:35:11,9
2024-01-05T14:35:16Z,72.7,69.6,14:35:16,9
2024-01-05T14:35:21Z,72.7,69.6,14:35:21,9
2024-01-05T14:35:26Z,72.7,69.2,14:35:26,9
2024-01-05T14:35:31Z,72.7,69.6,14:35:31,9
2024-01-05T14:35:36Z,72.7,69.2,14:35:36,9
2024-01-05T14:35:41Z,72.7,69.6,14:35:41,9
2024-01-05T14:35:46Z,72.7,69.6,14:35:46,9
2024-01-05T14:35:51Z,72.8,69.6,14:35:51,9
2024-01-05T14:35:56Z,72.7,69.6,14:35:56,9
