Date,LowSpC,FullSpC
4/2/2025 10:48:35,104.7,102.2
4/2/2025 10:48:36,104.7,102.2
4/2/2025 10:48:37,104.7,102.2
4/2/2025 10:48:38,104.8,102.6
4/2/2025 10:48:39,104.8,102.2
4/2/2025 10:48:40,104.7,102.2
4/2/2025 10:48:41,104.7,102.6
4/2/2025 10:48:42,104.7,102.2
4/2/2025 10:48:43,104.7,102.6
4/2/2025 10:48:44,104.7,102.6
4/2/2025 10:48:45,104.7,102.2
4/2/2025 10:48:46,104.7,102.2
4/2/2025 10:48:47,104.7,102.2
4/2/2025 10:48:48,104.6,102.2
4/2/2025 10:48:49,104.7,102.2
4/2/2025 10:48:50,104.6,102.2
4/2/2025 10:48:51,104.7,102.2
4/2/2025 10:48:52,104.6,102.2
4/2/2025 10:48:53,104.6,102.2
4/2/2025 10:48:54,104.6,102.2
4/2/2025 10:48:55,104.6,102.2
4/2/2025 10:48:56,104.6,102.2
4/2/2025 10:48:57,104.7,102.2
4/2/2025 10:48:58,104.6,102.2
4/2/2025 10:48:59,104.6,102.2
4/2/2025 10:49:00,104.6,102.2
4/2/2025 10:49:01,104.7,102.2
4/2/2025 10:49:02,104.7,102.2
4/2/2025 10:49:03,104.7,102.6
4/2/2025 10:49:04,104.6,102.2
4/2/2025 10:49:05,104.7,102.2
4/2/2025 10:49:06,104.7,102.2
4/2/2025 10:49:07,104.6,102.2
4/2/2025 10:49:08,104.6,102.2
4/2/2025 10:49:09,104.6,102.2
4/2/2025 10:49:10,104.6,102.2
4/2/2025 10:49:11,104.7,102.6
4/2/2025 10:49:12,104.6,102.2
4/2/2025 10:49:13,104.7,102.2
4/2/2025 10:49:14,104.7,102.2
4/2/2025 10:49:15,104.6,102.2
4/2/2025 10:49:16,104.6,102.2
4/2/2025 10:49:17,104.6,102.2
4/2/2025 10:49:18,104.6,102.2
4/2/2025 10:49:19,104.6,102.2
4/2/2025 10:49:20,104.6,102.2
4/2/2025 10:49:21,104.7,102.2
4/2/2025 10:49:22,104.6,102.2
4/2/2025 10:49:23,104.7,102.2
4/2/2025 10:49:24,104.6,102.2
4/2/2025 10:49:25,104.7,102.6
4/2/2025 10:49:26,104.7,102.2
