Date,FullSpC,LowSpC
4/2/2025 9:26:00,112.4,111.4
4/2/2025 9:26:01,112.5,111
4/2/2025 9:26:02,112.5,111
4/2/2025 9:26:03,112.4,111
4/2/2025 9:26:04,112.5,111
4/2/2025 9:26:05,112.5,111
4/2/2025 9:26:06,112.6,111
4/2/2025 9:26:07,112.6,111
4/2/2025 9:26:08,112.5,111
4/2/2025 9:26:09,112.6,111
4/2/2025 9:26:10,112.6,111
4/2/2025 9:26:11,112.6,111
4/2/2025 9:26:12,112.4,111
4/2/2025 9:26:13,112.4,111
4/2/2025 9:26:14,112.4,111
4/2/2025 9:26:15,112.5,111
4/2/2025 9:26:16,112.4,111
4/2/2025 9:26:17,112.4,111
4/2/2025 9:26:18,112.5,111
4/2/2025 9:26:19,112.4,110.6
4/2/2025 9:26:20,112.4,111
4/2/2025 9:26:21,112.5,111
4/2/2025 9:26:22,112.5,111
4/2/2025 9:26:23,112.5,111
4/2/2025 9:26:24,112.5,111
4/2/2025 9:26:25,112.5,111
4/2/2025 9:26:26,112.5,111
4/2/2025 9:26:27,112.4,110.6
4/2/2025 9:26:28,112.5,111
4/2/2025 9:26:29,112.5,111
4/2/2025 9:26:30,112.5,111
4/2/2025 9:26:31,112.5,111
4/2/2025 9:26:32,112.5,111
4/2/2025 9:26:33,112.5,111.4
4/2/2025 9:26:34,112.5,111
4/2/2025 9:26:35,112.5,111
4/2/2025 9:26:36,112.5,111
4/2/2025 9:26:37,112.4,110.6
4/2/2025 9:26:38,112.5,110.6
4/2/2025 9:26:39,112.6,111
4/2/2025 9:26:40,112.6,111
4/2/2025 9:26:41,112.7,111.4
4/2/2025 9:26:42,112.6,111
4/2/2025 9:26:43,112.5,111
4/2/2025 9:26:44,112.5,111
4/2/2025 9:26:45,112.6,111
4/2/2025 9:26:46,112.5,111
4/2/2025 9:26:47,112.5,111
4/2/2025 9:26:48,112.5,110.6
4/2/2025 9:26:49,112.5,111
4/2/2025 9:26:50,112.5,111.4
4/2/2025 9:26:51,112.5,111
4/2/2025 9:26:52,112.6,111
4/2/2025 9:26:53,112.5,110.7
4/2/2025 9:26:54,112.4,111
4/2/2025 9:26:55,112.5,111
4/2/2025 9:26:56,112.5,111
4/2/2025 9:26:57,112.5,110.6
4/2/2025 9:26:58,112.5,111
4/2/2025 9:26:59,112.4,111
4/2/2025 9:27:00,112.5,111
4/2/2025 9:27:01,112.5,111
4/2/2025 9:27:02,112.5,110.6
4/2/2025 9:27:03,112.5,111
4/2/2025 9:27:04,112.4,110.7
4/2/2025 9:27:05,112.3,110.7
4/2/2025 9:27:06,112.4,111
4/2/2025 9:27:07,112.4,111
4/2/2025 9:27:08,112.3,110.7
4/2/2025 9:27:09,112.4,110.7
4/2/2025 9:27:10,112.4,110.7
4/2/2025 9:27:11,112.3,111
4/2/2025 9:27:12,112.3,110.7
4/2/2025 9:27:13,112.3,110.7
4/2/2025 9:27:14,112.4,111
4/2/2025 9:27:15,112.3,110.7
4/2/2025 9:27:16,112.3,110.7
4/2/2025 9:27:17,112.3,110.7
4/2/2025 9:27:18,112.3,110.7
4/2/2025 9:27:19,112.3,110.7
4/2/2025 9:27:20,112.3,110.7
4/2/2025 9:27:21,112.4,110.7
4/2/2025 9:27:22,112.5,110.7
4/2/2025 9:27:23,112.4,110.7
4/2/2025 9:27:24,112.4,110.7
4/2/2025 9:27:25,112.4,110.7
4/2/2025 9:27:26,112.4,110.7
4/2/2025 9:27:27,112.5,111
4/2/2025 9:27:28,112.4,110.7
