Date,,,FDOM,CO2
8/16/2023 0:00,320,11.9,1.96244,19659.83
8/16/2023 1:00,321,11.91,1.846219,19706.96
8/16/2023 2:00,322,11.89,1.927879,19721.31
8/16/2023 3:00,323,11.89,1.916159,19749.99
8/16/2023 4:00,324,11.88,1.939686,19735.65
8/16/2023 5:00,325,11.89,1.87526,19721.31
8/16/2023 6:00,326,11.88,1.866122,19706.96
8/16/2023 7:00,327,11.88,1.913417,19721.31
8/16/2023 8:00,328,11.88,1.890694,19780.73
8/16/2023 9:00,329,11.88,1.933384,19858.6
8/16/2023 10:00,330,11.88,1.900742,19918.03
8/16/2023 11:00,331,13.06,1.738375,467.2132
8/16/2023 12:00,332,12.99,1.682941,20053.28
8/16/2023 13:00,333,13,1.736523,20143.45
8/16/2023 14:00,334,13,1.730171,20186.48
8/16/2023 15:00,335,12.99,1.644893,19838.12
8/16/2023 16:00,336,12.99,1.690229,18938.53
8/16/2023 17:00,337,12.99,1.679384,18274.59
8/16/2023 18:00,338,12.98,1.707514,17821.72
8/16/2023 19:00,339,12.97,1.624919,17854.51
8/16/2023 20:00,340,12.97,1.527855,18049.18
8/16/2023 21:00,341,12.97,1.592254,18215.17
8/16/2023 22:00,342,12.97,1.632202,18321.72
8/16/2023 23:00,343,12.95,1.529661,18381.15
8/17/2023 0:00,344,12.95,1.525093,18485.66
8/17/2023 1:00,345,12.95,1.504242,18561.48
8/17/2023 2:00,346,12.95,1.632155,18577.87
8/17/2023 3:00,347,12.95,1.585019,18543.04
8/17/2023 4:00,348,12.94,1.553262,18604.51
8/17/2023 5:00,349,12.93,1.586813,18592.21
8/17/2023 6:00,350,12.93,1.661227,18590.17
8/17/2023 7:00,351,12.93,1.625851,18637.3
8/17/2023 8:00,352,12.94,1.63311,18682.38
8/17/2023 9:00,353,12.94,1.63762,18756.15
8/17/2023 10:00,354,12.95,1.646715,18938.53
8/17/2023 11:00,355,12.96,1.720162,18997.95
8/17/2023 12:00,356,12.97,1.655779,19045.08
8/17/2023 13:00,357,12.97,1.732868,19090.17
8/17/2023 14:00,358,12.97,1.734718,19090.17
8/17/2023 15:00,359,12.94,1.611308,18954.92
8/17/2023 16:00,360,12.94,1.652082,17643.44
8/17/2023 17:00,361,12.93,1.694785,17704.92
8/17/2023 18:00,362,12.93,1.716556,17946.72
8/17/2023 19:00,363,12.91,1.737433,17989.76
8/17/2023 20:00,364,12.91,1.799126,17979.51
8/17/2023 21:00,365,12.91,1.810046,18047.13
8/17/2023 22:00,366,12.9,1.843593,18112.71
8/17/2023 23:00,367,12.9,1.709312,18125
8/18/2023 0:00,368,12.89,1.728383,18153.69
8/18/2023 1:00,369,12.89,1.703841,18231.56
8/18/2023 2:00,370,12.89,1.75922,18217.21
8/18/2023 3:00,371,12.89,1.802782,18172.13
8/18/2023 4:00,372,12.88,1.756503,18260.25
8/18/2023 5:00,373,12.88,1.73292,18274.59
8/18/2023 6:00,374,12.88,1.848154,18290.98
8/18/2023 7:00,375,12.88,1.726527,18338.12
8/18/2023 8:00,376,12.88,1.833546,18413.94
8/18/2023 9:00,377,12.89,1.79821,18471.31
8/18/2023 10:00,378,12.9,1.922555,18547.13
8/18/2023 11:00,379,12.91,1.831765,18639.35
8/18/2023 12:00,380,12.91,1.814533,18698.77
8/18/2023 13:00,381,12.9,1.833616,18848.36
8/18/2023 14:00,382,12.91,1.913484,18848.36
8/18/2023 15:00,383,12.9,1.954271,18864.76
8/18/2023 16:00,384,12.9,1.888857,18907.79
8/18/2023 17:00,385,12.9,1.730119,18850.41
8/18/2023 18:00,386,12.89,1.701006,18924.18
8/18/2023 19:00,387,12.88,1.690141,18834.02
8/18/2023 20:00,388,12.88,1.711947,18877.05
8/18/2023 21:00,389,12.88,1.697405,18862.71
8/18/2023 22:00,390,12.87,1.69104,18864.76
8/18/2023 23:00,391,12.86,1.697481,18846.31
8/19/2023 0:00,392,12.86,1.706555,18801.23
8/19/2023 1:00,393,12.85,1.878966,18756.15
8/19/2023 2:00,394,12.84,1.957033,18741.8
8/19/2023 3:00,395,12.84,1.970649,18653.69
8/19/2023 4:00,396,12.84,1.995148,18618.85
8/19/2023 5:00,397,12.83,1.950687,18592.21
8/19/2023 6:00,398,12.83,2.010574,18573.77
8/19/2023 7:00,399,12.83,1.94978,18590.17
8/19/2023 8:00,400,12.82,1.930725,18592.21
8/19/2023 9:00,401,12.83,2.058605,18788.94
8/19/2023 10:00,402,12.84,2.003233,18895.49
8/19/2023 11:00,403,12.85,2.09765,18985.66
8/19/2023 12:00,404,12.86,1.964236,19088.12
8/19/2023 13:00,405,12.84,1.999644,19147.54
8/19/2023 14:00,406,12.87,2.051304,19315.58
8/19/2023 15:00,407,12.84,2.118429,19282.79
8/19/2023 16:00,408,12.84,2.147369,19178.28
8/19/2023 17:00,409,12.84,2.101172,19133.2
8/19/2023 18:00,410,12.83,2.106616,19061.48
8/19/2023 19:00,411,12.82,2.050366,19059.43
8/19/2023 20:00,412,12.82,2.054909,19043.04
8/19/2023 21:00,413,12.81,1.970506,18967.21
8/19/2023 22:00,414,12.8,2.817944,18938.53
8/19/2023 23:00,415,12.8,2.680161,18893.44
8/20/2023 0:00,416,12.79,2.546826,18739.76
8/20/2023 1:00,417,12.78,2.55227,18727.46
8/20/2023 2:00,418,12.78,2.300931,18711.07
8/20/2023 3:00,419,12.78,2.276432,18741.8
8/20/2023 4:00,420,12.77,2.366261,18604.51
8/20/2023 5:00,421,12.77,2.245581,18620.9
8/20/2023 6:00,422,12.76,2.243766,18651.64
8/20/2023 7:00,423,12.75,2.238322,18592.21
8/20/2023 8:00,424,12.76,2.31817,18639.35
8/20/2023 9:00,425,12.77,2.26369,18834.02
8/20/2023 10:00,426,12.76,2.387979,18907.79
8/20/2023 11:00,427,12.77,2.286289,18924.18
8/20/2023 12:00,428,12.75,2.132968,18411.89
8/20/2023 13:00,429,12.75,2.096764,17450.82
8/20/2023 14:00,430,12.77,2.051405,17493.85
8/20/2023 15:00,431,12.76,2.059496,17793.04
8/20/2023 16:00,432,12.75,2.11299,17793.04
8/20/2023 17:00,433,12.75,2.211954,17116.8
8/20/2023 18:00,434,12.74,2.915146,17254.1
8/20/2023 19:00,435,12.73,2.982347,17479.51
8/20/2023 20:00,436,12.73,2.990526,17627.05
8/20/2023 21:00,437,12.73,2.643914,17719.26
8/20/2023 22:00,438,12.72,2.574047,17735.66
8/20/2023 23:00,439,12.72,2.471515,17733.61
8/21/2023 0:00,440,12.71,2.279154,17733.61
8/21/2023 1:00,441,12.71,2.202935,17809.43
