MiniDOT Logger Concatenated Data File
Sensor:             7450-887320
Concatenation Date: 2024May13 13:19:52 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1711940400,           2024-04-01 03:00:00,           2024-03-31 23:00:00,      3.500000,     17.366000,          2.930000,                    30.548143,      0.933000
                1711944000,           2024-04-01 04:00:00,           2024-04-01 00:00:00,      3.500000,     17.256000,          2.918000,                    30.353637,      0.933000
                1711947600,           2024-04-01 05:00:00,           2024-04-01 01:00:00,      3.500000,     17.154000,          2.912000,                    30.227037,      0.934000
                1711951200,           2024-04-01 06:00:00,           2024-04-01 02:00:00,      3.500000,     17.078000,          2.905000,                    30.106683,      0.934000
                1711954800,           2024-04-01 07:00:00,           2024-04-01 03:00:00,      3.500000,     16.967000,          2.905000,                    30.037054,      0.934000
                1711958400,           2024-04-01 08:00:00,           2024-04-01 04:00:00,      3.500000,     16.857000,          2.893000,                    29.844291,      0.933000
                1711962000,           2024-04-01 09:00:00,           2024-04-01 05:00:00,      3.500000,     16.763000,          2.904000,                    29.898874,      0.933000
                1711965600,           2024-04-01 10:00:00,           2024-04-01 06:00:00,      3.500000,     16.661000,          2.910000,                    29.896637,      0.934000
                1711969200,           2024-04-01 11:00:00,           2024-04-01 07:00:00,      3.500000,     16.559000,          2.916000,                    29.894164,      0.933000
                1711972800,           2024-04-01 12:00:00,           2024-04-01 08:00:00,      3.500000,     16.474000,          2.919000,                    29.871456,      0.934000
                1711976400,           2024-04-01 13:00:00,           2024-04-01 09:00:00,      3.500000,     16.491000,          2.984000,                    30.547559,      0.933000
                1711980000,           2024-04-01 14:00:00,           2024-04-01 10:00:00,      3.500000,     16.704000,          3.072000,                    31.589470,      0.934000
