MiniDOT Logger Concatenated Data File
Sensor:             7450-887320
Concatenation Date: 2024Feb13 09:24:51 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1704146400,           2024-01-01 22:00:00,           2024-01-01 17:00:00,      3.480000,     12.293000,          3.350000,                    31.292313,      0.924000
                1704150000,           2024-01-01 23:00:00,           2024-01-01 18:00:00,      3.480000,     12.231000,          3.300000,                    30.782023,      0.924000
                1704153600,           2024-01-02 00:00:00,           2024-01-01 19:00:00,      3.480000,     12.187000,          3.250000,                    30.285415,      0.924000
                1704157200,           2024-01-02 01:00:00,           2024-01-01 20:00:00,      3.480000,     12.107000,          3.220000,                    29.951448,      0.924000
                1704160800,           2024-01-02 02:00:00,           2024-01-01 21:00:00,      3.480000,     12.036000,          3.207000,                    29.782450,      0.924000
                1704164400,           2024-01-02 03:00:00,           2024-01-01 22:00:00,      3.480000,     12.027000,          3.188000,                    29.599946,      0.924000
                1704168000,           2024-01-02 04:00:00,           2024-01-01 23:00:00,      3.480000,     11.982000,          3.169000,                    29.393436,      0.924000
                1704171600,           2024-01-02 05:00:00,           2024-01-02 00:00:00,      3.480000,     11.955000,          3.148000,                    29.180718,      0.924000
                1704175200,           2024-01-02 06:00:00,           2024-01-02 01:00:00,      3.480000,     11.929000,          3.165000,                    29.320938,      0.924000
                1704178800,           2024-01-02 07:00:00,           2024-01-02 02:00:00,      3.480000,     11.857000,          3.158000,                    29.208125,      0.924000
                1704182400,           2024-01-02 08:00:00,           2024-01-02 03:00:00,      3.480000,     11.715000,          3.164000,                    29.168894,      0.924000
                1704186000,           2024-01-02 09:00:00,           2024-01-02 04:00:00,      3.490000,     11.562000,          3.190000,                    29.305764,      0.925000
                1704189600,           2024-01-02 10:00:00,           2024-01-02 05:00:00,      3.490000,     11.365000,          3.199000,                    29.255798,      0.924000
                1704193200,           2024-01-02 11:00:00,           2024-01-02 06:00:00,      3.480000,     11.158000,          3.217000,                    29.280396,      0.924000
                1704196800,           2024-01-02 12:00:00,           2024-01-02 07:00:00,      3.480000,     10.942000,          3.241000,                    29.351808,      0.925000
                1704200400,           2024-01-02 13:00:00,           2024-01-02 08:00:00,      3.480000,     10.770000,          3.273000,                    29.523498,      0.925000
                1704204000,           2024-01-02 14:00:00,           2024-01-02 09:00:00,      3.490000,     10.661000,          3.308000,                    29.763614,      0.925000
                1704207600,           2024-01-02 15:00:00,           2024-01-02 10:00:00,      3.480000,     10.707000,          3.363000,                    30.290902,      0.925000
                1704211200,           2024-01-02 16:00:00,           2024-01-02 11:00:00,      3.480000,     10.879000,          3.411000,                    30.846296,      0.925000
                1704214800,           2024-01-02 17:00:00,           2024-01-02 12:00:00,      3.480000,     11.158000,          3.458000,                    31.473923,      0.925000
                1704218400,           2024-01-02 18:00:00,           2024-01-02 13:00:00,      3.490000,     11.455000,          3.493000,                    32.010666,      0.925000
                1704222000,           2024-01-02 19:00:00,           2024-01-02 14:00:00,      3.480000,     11.723000,          3.510000,                    32.364583,      0.924000
                1704225600,           2024-01-02 20:00:00,           2024-01-02 15:00:00,      3.480000,     11.768000,          3.511000,                    32.407108,      0.924000
                1704229200,           2024-01-02 21:00:00,           2024-01-02 16:00:00,      3.480000,     11.768000,          3.505000,                    32.351727,      0.924000
