Plot Title: Bradford_6a_baro,,,,,,,,
#,Date,"Time, GMT-04:01","Abs Pres, psi (LGR S/N: 21248140, SEN S/N: 21248140)","Temp, °F (LGR S/N: 21248140, SEN S/N: 21248140)",Coupler Detached (LGR S/N: 21248140),Coupler Attached (LGR S/N: 21248140),Host Connected (LGR S/N: 21248140),End Of File (LGR S/N: 21248140)
1,9/14/2022,11:15:00,14.6841,91.987,,,,
2,9/14/2022,11:15:39,,,Logged,,,
3,9/14/2022,11:30:00,14.6868,93.115,,,,
4,9/14/2022,11:45:00,14.687,91.987,,,,
5,9/14/2022,12:00:00,14.6852,90.124,,,,
6,9/14/2022,12:15:00,14.68,84.295,,,,
7,9/14/2022,12:30:00,14.681,79.853,,,,
8,9/14/2022,12:45:00,14.6809,77.923,,,,
9,9/14/2022,13:00:00,14.6788,77.05,,,,
10,9/14/2022,13:15:00,14.6767,76.703,,,,
11,9/14/2022,13:30:00,14.6733,76.528,,,,
12,9/14/2022,13:45:00,14.6672,76.354,,,,
13,9/14/2022,14:00:00,14.6658,76.354,,,,
14,9/14/2022,14:15:00,14.66,76.354,,,,
15,9/14/2022,14:30:00,14.6614,76.354,,,,
16,9/14/2022,14:45:00,14.6626,76.181,,,,
17,9/14/2022,15:00:00,14.6582,76.181,,,,
18,9/14/2022,15:15:00,14.6539,76.181,,,,
19,9/14/2022,15:30:00,14.6524,76.181,,,,
20,9/14/2022,15:45:00,14.6495,76.181,,,,
21,9/14/2022,16:00:00,14.6481,76.181,,,,
22,9/14/2022,16:15:00,14.6453,76.181,,,,
23,9/14/2022,16:30:00,14.6439,76.181,,,,
24,9/14/2022,16:45:00,14.6453,76.181,,,,
25,9/14/2022,17:00:00,14.6453,76.181,,,,
26,9/14/2022,17:15:00,14.6481,76.181,,,,
27,9/14/2022,17:30:00,14.6495,76.181,,,,
28,9/14/2022,17:45:00,14.651,76.181,,,,
29,9/14/2022,18:00:00,14.6481,76.181,,,,
30,9/14/2022,18:15:00,14.6468,76.181,,,,
31,9/14/2022,18:30:00,14.6495,76.181,,,,
32,9/14/2022,18:45:00,14.6495,76.181,,,,
33,9/14/2022,19:00:00,14.6524,76.181,,,,
34,9/14/2022,19:15:00,14.6524,76.181,,,,
35,9/14/2022,19:30:00,14.6568,76.181,,,,
36,9/14/2022,19:45:00,14.6539,76.181,,,,
37,9/14/2022,20:00:00,14.6539,76.181,,,,
38,9/14/2022,20:15:00,14.6597,76.181,,,,
39,9/14/2022,20:30:00,14.6653,76.181,,,,
40,9/14/2022,20:45:00,14.6697,76.181,,,,
41,9/14/2022,21:00:00,14.674,76.181,,,,
42,9/14/2022,21:15:00,14.6755,76.181,,,,
43,9/14/2022,21:30:00,14.6755,76.181,,,,
44,9/14/2022,21:45:00,14.6755,76.181,,,,
45,9/14/2022,22:00:00,14.6797,76.181,,,,
