"Plot Title: Bradford_2"
"#","Date","Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10776657, SEN S/N: 10776657)","Temp, °F (LGR S/N: 10776657, SEN S/N: 10776657)","Coupler Detached (LGR S/N: 10776657, SEN S/N: 10776657)","Coupler Attached (LGR S/N: 10776657, SEN S/N: 10776657)","Stopped (LGR S/N: 10776657, SEN S/N: 10776657)","End Of File (LGR S/N: 10776657, SEN S/N: 10776657)"
1,04/06/21,12:00:00,14.7667,68.592,Logged,,,
2,04/06/21,12:15:00,14.7615,69.622,,,,
3,04/06/21,12:30:00,14.7602,70.651,,,,
4,04/06/21,12:45:00,14.7625,71.683,,,,
5,04/06/21,13:00:00,14.7612,72.718,,,,
6,04/06/21,13:15:00,14.7561,73.753,,,,
7,04/06/21,13:30:00,14.7563,74.619,,,,
8,04/06/21,13:45:00,14.7508,75.484,,,,
9,04/06/21,14:00:00,14.7411,76.181,,,,
10,04/06/21,14:15:00,14.7485,76.876,,,,
11,04/06/21,14:30:00,14.7499,85.374,,,,
12,04/06/21,14:45:00,14.7441,89.938,,,,
13,04/06/21,15:00:00,14.7440,92.926,,,,
14,04/06/21,15:15:00,14.7364,80.559,,,,
15,04/06/21,15:30:00,14.7303,72.372,,,,
16,04/06/21,15:45:00,14.7260,68.077,,,,
17,04/06/21,16:00:00,14.7228,65.851,,,,
18,04/06/21,16:15:00,14.7223,64.825,,,,
19,04/06/21,16:30:00,14.7189,64.139,,,,
20,04/06/21,16:45:00,14.7186,63.968,,,,
21,04/06/21,17:00:00,14.7163,63.797,,,,
22,04/06/21,17:15:00,14.7120,63.626,,,,
23,04/06/21,17:30:00,14.7120,63.626,,,,
24,04/06/21,17:45:00,14.7120,63.626,,,,
25,04/06/21,18:00:00,14.7102,63.626,,,,
26,04/06/21,18:15:00,14.7084,63.626,,,,
27,04/06/21,18:30:00,14.7120,63.626,,,,
28,04/06/21,18:45:00,14.7102,63.626,,,,
29,04/06/21,19:00:00,14.7120,63.626,,,,
30,04/06/21,19:15:00,14.7136,63.455,,,,
31,04/06/21,19:30:00,14.7120,63.626,,,,
32,04/06/21,19:45:00,14.7139,63.626,,,,
