"Plot Title: Bradford_8"
"#","Date","Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10684089, SEN S/N: 10684089)","Temp, °F (LGR S/N: 10684089, SEN S/N: 10684089)","Coupler Detached (LGR S/N: 10684089, SEN S/N: 10684089)","Coupler Attached (LGR S/N: 10684089, SEN S/N: 10684089)","Stopped (LGR S/N: 10684089, SEN S/N: 10684089)","End Of File (LGR S/N: 10684089, SEN S/N: 10684089)"
1,01/27/22,17:45:00,15.4787,53.973,Logged,,,
2,01/27/22,18:00:00,15.4836,53.798,,,,
3,01/27/22,18:15:00,15.4908,53.798,,,,
4,01/27/22,18:30:00,15.4925,53.798,,,,
5,01/27/22,18:45:00,15.4921,53.623,,,,
6,01/27/22,19:00:00,15.4938,53.623,,,,
7,01/27/22,19:15:00,15.4974,53.623,,,,
8,01/27/22,19:30:00,15.4974,53.623,,,,
9,01/27/22,19:45:00,15.4938,53.623,,,,
10,01/27/22,20:00:00,15.4934,53.449,,,,
11,01/27/22,20:15:00,15.4968,53.449,,,,
12,01/27/22,20:30:00,15.5005,53.449,,,,
13,01/27/22,20:45:00,15.4987,53.449,,,,
14,01/27/22,21:00:00,15.5005,53.449,,,,
15,01/27/22,21:15:00,15.4987,53.449,,,,
16,01/27/22,21:30:00,15.5000,53.274,,,,
17,01/27/22,21:45:00,15.5035,53.274,,,,
18,01/27/22,22:00:00,15.5035,53.274,,,,
19,01/27/22,22:15:00,15.5035,53.274,,,,
20,01/27/22,22:30:00,15.5067,53.100,,,,
21,01/27/22,22:45:00,15.5067,53.100,,,,
22,01/27/22,23:00:00,15.5121,53.100,,,,
23,01/27/22,23:15:00,15.5156,53.100,,,,
24,01/27/22,23:30:00,15.5174,53.100,,,,
25,01/27/22,23:45:00,15.5156,53.100,,,,
26,01/28/22,00:00:00,15.5187,52.925,,,,
27,01/28/22,00:15:00,15.5241,52.925,,,,
28,01/28/22,00:30:00,15.5295,52.925,,,,
29,01/28/22,00:45:00,15.5325,52.750,,,,
30,01/28/22,01:00:00,15.5396,52.750,,,,
31,01/28/22,01:15:00,15.5433,52.750,,,,
32,01/28/22,01:30:00,15.5392,52.576,,,,
33,01/28/22,01:45:00,15.5446,52.576,,,,
34,01/28/22,02:00:00,15.5446,52.576,,,,
35,01/28/22,02:15:00,15.5440,52.401,,,,
36,01/28/22,02:30:00,15.5459,52.401,,,,
37,01/28/22,02:45:00,15.5470,52.225,,,,
38,01/28/22,03:00:00,15.5470,52.225,,,,
39,01/28/22,03:15:00,15.5453,52.225,,,,
40,01/28/22,03:30:00,15.5449,52.050,,,,
41,01/28/22,03:45:00,15.5430,52.050,,,,
42,01/28/22,04:00:00,15.5425,51.874,,,,
