Plot Title: Bradford_2,,,,,,,
#,"Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10776657, SEN S/N: 10776657)","Temp, °F (LGR S/N: 10776657, SEN S/N: 10776657)",Coupler Detached (LGR S/N: 10776657),Coupler Attached (LGR S/N: 10776657),Stopped (LGR S/N: 10776657),End Of File (LGR S/N: 10776657)
1,4/6/2021 12:00,14.7667,68.592,Logged,,,
2,4/6/2021 12:15,14.7615,69.622,,,,
3,4/6/2021 12:30,14.7602,70.651,,,,
4,4/6/2021 12:45,14.7625,71.683,,,,
5,4/6/2021 13:00,14.7612,72.718,,,,
6,4/6/2021 13:15,14.7561,73.753,,,,
7,4/6/2021 13:30,14.7563,74.619,,,,
8,4/6/2021 13:45,14.7508,75.484,,,,
9,4/6/2021 14:00,14.7411,76.181,,,,
10,4/6/2021 14:15,14.7485,76.876,,,,
11,4/6/2021 14:30,14.7499,85.374,,,,
12,4/6/2021 14:45,14.7441,89.938,,,,
13,4/6/2021 15:00,14.744,92.926,,,,
14,4/6/2021 15:15,14.7364,80.559,,,,
15,4/6/2021 15:30,14.7303,72.372,,,,
16,4/6/2021 15:45,14.726,68.077,,,,
17,4/6/2021 16:00,14.7228,65.851,,,,
18,4/6/2021 16:15,14.7223,64.825,,,,
19,4/6/2021 16:30,14.7189,64.139,,,,
20,4/6/2021 16:45,14.7186,63.968,,,,
21,4/6/2021 17:00,14.7163,63.797,,,,
22,4/6/2021 17:15,14.712,63.626,,,,
23,4/6/2021 17:30,14.712,63.626,,,,
24,4/6/2021 17:45,14.712,63.626,,,,
25,4/6/2021 18:00,14.7102,63.626,,,,
26,4/6/2021 18:15,14.7084,63.626,,,,
27,4/6/2021 18:30,14.712,63.626,,,,
28,4/6/2021 18:45,14.7102,63.626,,,,
29,4/6/2021 19:00,14.712,63.626,,,,
30,4/6/2021 19:15,14.7136,63.455,,,,
31,4/6/2021 19:30,14.712,63.626,,,,
32,4/6/2021 19:45,14.7139,63.626,,,,
33,4/6/2021 20:00,14.7158,63.626,,,,
34,4/6/2021 20:15,14.7196,63.626,,,,
35,4/6/2021 20:30,14.7215,63.626,,,,
36,4/6/2021 20:45,14.7252,63.626,,,,
37,4/6/2021 21:00,14.729,63.626,,,,
38,4/6/2021 21:15,14.7328,63.626,,,,
39,4/6/2021 21:30,14.7366,63.626,,,,
40,4/6/2021 21:45,14.7384,63.626,,,,
41,4/6/2021 22:00,14.7422,63.626,,,,
42,4/6/2021 22:15,14.7441,63.626,,,,
43,4/6/2021 22:30,14.746,63.626,,,,
44,4/6/2021 22:45,14.7441,63.626,,,,
45,4/6/2021 23:00,14.746,63.626,,,,
46,4/6/2021 23:15,14.746,63.626,,,,
47,4/6/2021 23:30,14.7441,63.626,,,,
48,4/6/2021 23:45,14.7441,63.626,,,,
49,4/7/2021 0:00,14.7498,63.626,,,,
50,4/7/2021 0:15,14.7441,63.626,,,,
51,4/7/2021 0:30,14.7441,63.626,,,,
52,4/7/2021 0:45,14.7403,63.626,,,,
53,4/7/2021 1:00,14.7384,63.626,,,,
54,4/7/2021 1:15,14.7403,63.626,,,,
55,4/7/2021 1:30,14.7403,63.626,,,,
