"sample","a250","a254","a300","a365","a272","a340","a350","a400","a405","E2_E3","E4_E6","S325_375","S275_295","S350_400","S300_700","SR","E3_E4","site_date","site","Date"
"B1S11S5GW1_04182024",766.586866101737,744.108976079645,439.417924766962,171.582843251207,634.261068222849,256.08936190502,220.569164542763,91.6952971253087,84.1209414626429,4.46773611846152,29.5319641285328,0.0152029370830398,0.013064508209947,0.0174878899354851,0.0156834075401357,0.747060294760747,0.344155721994153,"5GW1_04182024","5GW1",2024-04-18
"B1S12S5GW7_04182024",593.685210003314,577.810246255984,332.779252864943,131.234907340438,484.143507268755,194.048079850779,167.309885400664,71.1508952290646,65.1271816789901,4.52383608930532,34.0670579516709,0.0150119539396607,0.013464030930225,0.0169575242868363,0.0157092890109771,0.793985649230457,0.335833573579121,"5GW7_04182024","5GW7",2024-04-18
"B1S13S6GW1_04182024",1309.86661448555,1266.35564306292,711.318454872798,283.31570752378,1046.95042774505,418.302802841178,361.577221735117,149.536551498005,136.369381404891,4.62334625190383,30.5450130301739,0.0148749348751946,0.0144731636671408,0.0173548026707167,0.0158559505326346,0.83395725907975,0.330320163322709,"6GW1_04182024","6GW1",2024-04-18
"B1S141S6GW2_04182024",1024.31993633583,986.571870028755,542.830584330724,212.311490753645,809.489495867434,315.57562537346,271.662925723531,113.536604828785,103.842647757059,4.82460903411201,29.7295427889512,0.015179517915671,0.0145098780584045,0.0172702706415888,0.0157621195745254,0.840165065130079,0.319870893302748,"6GW2_04182024","6GW2",2024-04-18
"B1S15S6GW3_04182024",1070.32537111441,1033.46786853519,605.035440484148,268.247358480624,865.760964044232,376.099822503504,329.855405140414,165.547687820358,155.135855878789,3.99006863358066,20.9052801372213,0.0131696203150934,0.0132992130155432,0.0139339770962062,0.0128015813208233,0.954444874117395,0.363920189445828,"6GW3_04182024","6GW3",2024-04-18
"B1S16S6GW5_04182024",880.835882996798,848.417254378279,464.01748020191,182.187060418145,692.018583127136,269.976504362883,232.104187301145,99.1755995725782,90.9526643407397,4.83478838165102,25.0848845601546,0.0151581837192011,0.0148638527192782,0.0169366418261553,0.0154257525390232,0.87761510645658,0.318211944617654,"6GW5_04182024","6GW5",2024-04-18
"B1S17S9GW3_04182024",1659.17148335059,1606.07979137441,918.592447482652,361.518520597809,1339.1267809121,540.551888308883,465.781370682011,184.7635396101,167.424820142881,4.58945085470856,45.0862747518296,0.0151851321175864,0.0140434224619139,0.0181144706896521,0.016567861477802,0.775259884901647,0.336566023190108,"9GW3_04182024","9GW3",2024-04-18
"B1S18S9GW2_04182024",1652.64955742531,1593.5326907902,848.212584640811,302.177450182671,1297.51725607833,473.387769753692,401.142214872222,140.533477461208,125.35846080602,5.46913595447397,92.6984974388711,0.0169515774707493,0.0160148392520561,0.0204178345940604,0.0192929503943669,0.784355421152981,0.297068125737007,"9GW2_04182024","9GW2",2024-04-18
"B2S19S9GW4_04182024",1019.04864367881,983.265313281394,529.627560561136,191.590642763852,802.779458957185,296.581647457864,251.867542327825,93.1124986657622,83.6896863364372,5.31888524918651,25.1532172338192,0.0166330838424524,0.015444491662304,0.0194755259121004,0.0179929155675196,0.793020518778812,0.301629319626968,"9GW4_04182024","9GW4",2024-04-18
"B2S21S5GW5_04182024",1063.36849301997,1030.50105730034,587.234775795114,225.949000275069,859.12137980879,341.476451396212,292.986453837488,113.687237179994,102.737772829584,4.70623234325191,45.9286501609899,0.0156208963741401,0.0141707594118292,0.0185300619750418,0.017102963394507,0.764744307434907,0.331369336282679,"5GW5_04182024","5GW5",2024-04-18
