sample,bix,sample,b,t,a,m,c,sample,fi,sample,fi_cor,sample,hix,site_date,site,Date
B1S1S3_12072023,0.424370256,B1S1S3_12072023,0,3035.605821,74712.02696,55959.21176,70723.51307,B1S1S3_12072023,1.109714881,B1S1S3_12072023,1.421169998,B1S1S3_12072023,72.00854486,3_12072023,3,12/7/2023
B1S2S5_01092024,0.455649091,B1S2S5_01092024,0,403.8091003,18410.79453,10027.40503,11483.53394,B1S2S5_01092024,1.108183975,B1S2S5_01092024,1.398800288,B1S2S5_01092024,149.2543539,5_01092024,5,1/9/2024
B1S2S5_12072023,0.455649091,B1S2S5_12072023,0,807.6182005,36821.58906,20054.81006,22967.06787,B1S2S5_12072023,1.108183975,B1S2S5_12072023,1.398800288,B1S2S5_12072023,149.2543539,5_12072023,5,12/7/2023
B1S3S6_01092024,0.456009802,B1S3S6_01092024,0,2330.267558,43975.5957,28318.09597,33002.05637,B1S3S6_01092024,1.150019345,B1S3S6_01092024,1.461135691,B1S3S6_01092024,45.40953218,6_01092024,6,1/9/2024
B1S3S6_12072023,0.456009802,B1S3S6_12072023,0,4660.535117,87951.1914,56636.19193,66004.11274,B1S3S6_12072023,1.150019345,B1S3S6_12072023,1.461135691,B1S3S6_12072023,45.40953218,6_12072023,6,12/7/2023
B2S4S7_01092024,0.558017675,B2S4S7_01092024,0,1464.701853,22086.5679,12063.80999,14212.86528,B2S4S7_01092024,1.267317789,B2S4S7_01092024,1.629146095,B2S4S7_01092024,34.93484853,7_01092024,7,1/9/2024
B2S4S7_12072023,0.558017675,B2S4S7_12072023,0,2929.403706,44173.13579,24127.61998,28425.73055,B2S4S7_12072023,1.267317789,B2S4S7_12072023,1.629146095,B2S4S7_12072023,34.93484853,7_12072023,7,12/7/2023
B2S5S9_01092024,0.41886355,B2S5S9_01092024,0,1931.571004,38572.1432,29581.8378,34916.37429,B2S5S9_01092024,1.118888227,B2S5S9_01092024,1.433820483,B2S5S9_01092024,47.41715825,9_01092024,9,1/9/2024
B2S5S9_12072023,0.41886355,B2S5S9_12072023,0,3863.142007,77144.28639,59163.6756,69832.74858,B2S5S9_12072023,1.118888227,B2S5S9_12072023,1.433820483,B2S5S9_12072023,47.41715825,9_12072023,9,12/7/2023
B2S6S13_01092024,0.530723478,B2S6S13_01092024,11.8290798,427.9105037,5522.786808,3035.279363,2931.057919,B2S6S13_01092024,1.118640957,B2S6S13_01092024,1.495838446,B2S6S13_01092024,45.77842365,13_01092024,13,1/9/2024
B2S6S13_12072023,0.530723478,B2S6S13_12072023,23.65815961,855.8210075,11045.57362,6070.558726,5862.115838,B2S6S13_12072023,1.118640957,B2S6S13_12072023,1.495838446,B2S6S13_12072023,45.77842365,13_12072023,13,12/7/2023
B2S7S14_01092024,0.453649355,B2S7S14_01092024,0,1241.801811,23056.41721,14005.13556,14883.5504,B2S7S14_01092024,1.090016182,B2S7S14_01092024,1.412326511,B2S7S14_01092024,57.97634353,14_01092024,14,1/9/2024
B2S7S14_12072023,0.453649355,B2S7S14_12072023,0,2483.603622,46112.83441,28010.27112,29767.1008,B2S7S14_12072023,1.090016182,B2S7S14_12072023,1.412326511,B2S7S14_12072023,57.97634353,14_12072023,14,12/7/2023
B2S8S15_01092024,0.470133044,B2S8S15_01092024,0,1436.710794,26536.66089,15199.41628,18197.62181,B2S8S15_01092024,1.151245209,B2S8S15_01092024,1.4764136,B2S8S15_01092024,42.17951334,15_01092024,15,1/9/2024
B2S8S15_12072023,0.470133044,B2S8S15_12072023,0,2873.421589,53073.32179,30398.83256,36395.24362,B2S8S15_12072023,1.151245209,B2S8S15_12072023,1.4764136,B2S8S15_12072023,42.17951334,15_12072023,15,12/7/2023
B1S10S15_01152024,0.479706736,B1S10S15_01152024,599.5508623,3852.563708,38670.96864,21855.16131,24911.98602,B1S10S15_01152024,1.073359911,B1S10S15_01152024,1.366253651,B1S10S15_01152024,15.2902574,15_01152024,15,1/15/2024
B1S11S5a_01152024,0.51164876,B1S11S5a_01152024,994.3088137,4382.071859,40730.48514,24383.88536,27236.20808,B1S11S5a_01152024,1.159350614,B1S11S5a_01152024,1.47148334,B1S11S5a_01152024,13.91656168,5a_01152024,5a,1/15/2024
B1S1S3_01152024,0.799407216,B1S1S3_01152024,7329.099849,8824.110751,47946.30465,29172.10703,35765.87838,B1S1S3_01152024,1.263861888,B1S1S3_01152024,1.573852812,B1S1S3_01152024,6.834292782,3_01152024,3,1/15/2024
