"Plot Title: Bradford_6aLL"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 21248133, SEN S/N: 21248133)","Temp, °F (LGR S/N: 21248133, SEN S/N: 21248133)","Coupler Detached (LGR S/N: 21248133, SEN S/N: 21248133)","Coupler Attached (LGR S/N: 21248133, SEN S/N: 21248133)","Host Connected (LGR S/N: 21248133, SEN S/N: 21248133)","End Of File (LGR S/N: 21248133, SEN S/N: 21248133)"
1,09/14/22 12:00:00 PM,14.6798,90.124,Logged,,,
2,09/14/22 12:15:00 PM,15.7407,77.574,,,,
3,09/14/22 12:30:00 PM,15.7420,76.528,,,,
4,09/14/22 12:45:00 PM,15.7420,76.528,,,,
5,09/14/22 01:00:00 PM,15.7417,76.354,,,,
6,09/14/22 01:15:00 PM,15.7333,76.354,,,,
7,09/14/22 01:30:00 PM,15.7299,76.354,,,,
8,09/14/22 01:45:00 PM,15.7248,76.354,,,,
9,09/14/22 02:00:00 PM,15.7215,76.354,,,,
10,09/14/22 02:15:00 PM,15.7182,76.354,,,,
11,09/14/22 02:30:00 PM,15.7148,76.354,,,,
12,09/14/22 02:45:00 PM,15.7182,76.354,,,,
13,09/14/22 03:00:00 PM,15.7148,76.354,,,,
14,09/14/22 03:15:00 PM,15.7115,76.354,,,,
15,09/14/22 03:30:00 PM,15.7048,76.354,,,,
16,09/14/22 03:45:00 PM,15.7032,76.354,,,,
17,09/14/22 04:00:00 PM,15.7015,76.354,,,,
18,09/14/22 04:15:00 PM,15.6999,76.354,,,,
19,09/14/22 04:30:00 PM,15.6964,76.354,,,,
20,09/14/22 04:45:00 PM,15.6982,76.354,,,,
21,09/14/22 05:00:00 PM,15.6999,76.354,,,,
22,09/14/22 05:15:00 PM,15.6999,76.354,,,,
23,09/14/22 05:30:00 PM,15.6999,76.354,,,,
24,09/14/22 05:45:00 PM,15.7015,76.354,,,,
25,09/14/22 06:00:00 PM,15.6948,76.354,,,,
26,09/14/22 06:15:00 PM,15.6982,76.354,,,,
27,09/14/22 06:30:00 PM,15.6982,76.354,,,,
28,09/14/22 06:45:00 PM,15.6964,76.354,,,,
29,09/14/22 07:00:00 PM,15.6982,76.354,,,,
30,09/14/22 07:15:00 PM,15.6982,76.354,,,,
31,09/14/22 07:30:00 PM,15.7032,76.354,,,,
32,09/14/22 07:45:00 PM,15.7032,76.354,,,,
33,09/14/22 08:00:00 PM,15.7015,76.354,,,,
34,09/14/22 08:15:00 PM,15.7099,76.354,,,,
35,09/14/22 08:30:00 PM,15.7115,76.354,,,,
36,09/14/22 08:45:00 PM,15.7182,76.354,,,,
37,09/14/22 09:00:00 PM,15.7215,76.354,,,,
38,09/14/22 09:15:00 PM,15.7215,76.354,,,,
39,09/14/22 09:30:00 PM,15.7215,76.354,,,,
40,09/14/22 09:45:00 PM,15.7215,76.354,,,,
41,09/14/22 10:00:00 PM,15.7233,76.354,,,,
42,09/14/22 10:15:00 PM,15.7248,76.354,,,,
43,09/14/22 10:30:00 PM,15.7266,76.354,,,,
44,09/14/22 10:45:00 PM,15.7248,76.354,,,,
45,09/14/22 11:00:00 PM,15.7266,76.354,,,,
46,09/14/22 11:15:00 PM,15.7248,76.354,,,,
47,09/14/22 11:30:00 PM,15.7266,76.354,,,,
48,09/14/22 11:45:00 PM,15.7283,76.354,,,,
49,09/15/22 12:00:00 AM,15.7299,76.354,,,,
50,09/15/22 12:15:00 AM,15.7317,76.354,,,,
51,09/15/22 12:30:00 AM,15.7299,76.354,,,,
52,09/15/22 12:45:00 AM,15.7283,76.354,,,,
53,09/15/22 01:00:00 AM,15.7283,76.354,,,,
54,09/15/22 01:15:00 AM,15.7286,76.528,,,,
55,09/15/22 01:30:00 AM,15.7248,76.354,,,,
56,09/15/22 01:45:00 AM,15.7219,76.528,,,,
57,09/15/22 02:00:00 AM,15.7219,76.528,,,,
58,09/15/22 02:15:00 AM,15.7199,76.354,,,,
59,09/15/22 02:30:00 AM,15.7186,76.528,,,,
60,09/15/22 02:45:00 AM,15.7153,76.528,,,,
61,09/15/22 03:00:00 AM,15.7132,76.354,,,,
62,09/15/22 03:15:00 AM,15.7169,76.528,,,,
63,09/15/22 03:30:00 AM,15.7153,76.528,,,,
64,09/15/22 03:45:00 AM,15.7182,76.354,,,,
65,09/15/22 04:00:00 AM,15.7119,76.528,,,,
66,09/15/22 04:15:00 AM,15.7153,76.528,,,,
67,09/15/22 04:30:00 AM,15.7132,76.354,,,,
68,09/15/22 04:45:00 AM,15.7148,76.354,,,,
69,09/15/22 05:00:00 AM,15.7148,76.354,,,,
70,09/15/22 05:15:00 AM,15.7132,76.354,,,,
71,09/15/22 05:30:00 AM,15.7166,76.354,,,,
72,09/15/22 05:45:00 AM,15.7166,76.354,,,,
73,09/15/22 06:00:00 AM,15.7161,76.181,,,,
74,09/15/22 06:15:00 AM,15.7196,76.181,,,,
75,09/15/22 06:30:00 AM,15.7196,76.181,,,,
76,09/15/22 06:45:00 AM,15.7196,76.181,,,,
77,09/15/22 07:00:00 AM,15.7230,76.181,,,,
78,09/15/22 07:15:00 AM,15.7243,76.006,,,,
79,09/15/22 07:30:00 AM,15.7259,76.006,,,,
80,09/15/22 07:45:00 AM,15.7276,76.006,,,,
81,09/15/22 08:00:00 AM,15.7309,76.006,,,,
82,09/15/22 08:15:00 AM,15.7343,76.006,,,,
83,09/15/22 08:30:00 AM,15.7322,75.832,,,,
84,09/15/22 08:45:00 AM,15.7305,75.832,,,,
85,09/15/22 09:00:00 AM,15.7305,75.832,,,,
86,09/15/22 09:15:00 AM,15.7322,75.832,,,,
87,09/15/22 09:30:00 AM,15.7340,75.832,,,,
88,09/15/22 09:45:00 AM,15.7340,75.832,,,,
89,09/15/22 10:00:00 AM,15.7356,75.832,,,,
90,09/15/22 10:15:00 AM,15.7340,75.832,,,,
91,09/15/22 10:30:00 AM,15.7356,75.832,,,,
92,09/15/22 10:45:00 AM,15.7356,75.832,,,,
93,09/15/22 11:00:00 AM,15.7356,75.832,,,,
94,09/15/22 11:15:00 AM,15.7322,75.832,,,,
95,09/15/22 11:30:00 AM,15.7309,76.006,,,,
96,09/15/22 11:45:00 AM,15.7325,76.006,,,,
97,09/15/22 12:00:00 PM,15.7325,76.006,,,,
98,09/15/22 12:15:00 PM,15.7309,76.006,,,,
99,09/15/22 12:30:00 PM,15.7309,76.006,,,,
100,09/15/22 12:45:00 PM,15.7259,76.006,,,,
101,09/15/22 01:00:00 PM,15.7259,76.006,,,,
102,09/15/22 01:15:00 PM,15.7243,76.006,,,,
103,09/15/22 01:30:00 PM,15.7192,76.006,,,,
104,09/15/22 01:45:00 PM,15.7159,76.006,,,,
105,09/15/22 02:00:00 PM,15.7125,76.006,,,,
106,09/15/22 02:15:00 PM,15.7079,76.181,,,,
107,09/15/22 02:30:00 PM,15.7074,76.006,,,,
108,09/15/22 02:45:00 PM,15.7041,76.006,,,,
109,09/15/22 03:00:00 PM,15.7028,76.181,,,,
110,09/15/22 03:15:00 PM,15.6995,76.181,,,,
111,09/15/22 03:30:00 PM,15.6992,76.006,,,,
112,09/15/22 03:45:00 PM,15.6958,76.006,,,,
113,09/15/22 04:00:00 PM,15.6979,76.181,,,,
114,09/15/22 04:15:00 PM,15.6941,76.006,,,,
115,09/15/22 04:30:00 PM,15.6979,76.181,,,,
116,09/15/22 04:45:00 PM,15.6928,76.181,,,,
117,09/15/22 05:00:00 PM,15.6961,76.181,,,,
118,09/15/22 05:15:00 PM,15.6961,76.181,,,,
119,09/15/22 05:30:00 PM,15.6961,76.181,,,,
120,09/15/22 05:45:00 PM,15.6995,76.181,,,,
121,09/15/22 06:00:00 PM,15.7028,76.181,,,,
122,09/15/22 06:15:00 PM,15.7045,76.181,,,,
123,09/15/22 06:30:00 PM,15.7028,76.181,,,,
124,09/15/22 06:45:00 PM,15.7045,76.181,,,,
125,09/15/22 07:00:00 PM,15.7079,76.181,,,,
126,09/15/22 07:15:00 PM,15.7079,76.181,,,,
127,09/15/22 07:30:00 PM,15.7079,76.181,,,,
128,09/15/22 07:45:00 PM,15.7095,76.181,,,,
129,09/15/22 08:00:00 PM,15.7128,76.181,,,,
130,09/15/22 08:15:00 PM,15.7128,76.181,,,,
131,09/15/22 08:30:00 PM,15.7112,76.181,,,,
132,09/15/22 08:45:00 PM,15.7161,76.181,,,,
133,09/15/22 09:00:00 PM,15.7179,76.181,,,,
134,09/15/22 09:15:00 PM,15.7230,76.181,,,,
135,09/15/22 09:30:00 PM,15.7230,76.181,,,,
136,09/15/22 09:45:00 PM,15.7212,76.181,,,,
137,09/15/22 10:00:00 PM,15.7179,76.181,,,,
138,09/15/22 10:15:00 PM,15.7196,76.181,,,,
139,09/15/22 10:30:00 PM,15.7196,76.181,,,,
140,09/15/22 10:45:00 PM,15.7212,76.181,,,,
141,09/15/22 11:00:00 PM,15.7212,76.181,,,,
142,09/15/22 11:15:00 PM,15.7212,76.181,,,,
143,09/15/22 11:30:00 PM,15.7212,76.181,,,,
144,09/15/22 11:45:00 PM,15.7179,76.181,,,,
145,09/16/22 12:00:00 AM,15.7179,76.181,,,,
146,09/16/22 12:15:00 AM,15.7179,76.181,,,,
147,09/16/22 12:30:00 AM,15.7161,76.181,,,,
148,09/16/22 12:45:00 AM,15.7145,76.181,,,,
149,09/16/22 01:00:00 AM,15.7145,76.181,,,,
150,09/16/22 01:15:00 AM,15.7145,76.181,,,,
151,09/16/22 01:30:00 AM,15.7128,76.181,,,,
152,09/16/22 01:45:00 AM,15.7095,76.181,,,,
153,09/16/22 02:00:00 AM,15.7079,76.181,,,,
154,09/16/22 02:15:00 AM,15.7079,76.181,,,,
155,09/16/22 02:30:00 AM,15.7012,76.181,,,,
156,09/16/22 02:45:00 AM,15.6995,76.181,,,,
157,09/16/22 03:00:00 AM,15.7012,76.181,,,,
158,09/16/22 03:15:00 AM,15.6995,76.181,,,,
159,09/16/22 03:30:00 AM,15.6995,76.181,,,,
