#,Date,LowSpC,FullSpC,Temp
1,4/2/2025 12:12,0.6,-3.6,81.12
2,4/2/2025 12:12,NA,NA,NA
3,4/2/2025 12:12,0.6,-3.6,80.76
4,4/2/2025 12:12,0.6,-3.6,80.71
5,4/2/2025 12:13,0.6,-1.4,80.85
6,4/2/2025 12:13,0.6,-1.4,81.07
7,4/2/2025 12:13,0.6,-3.6,81.97
8,4/2/2025 12:13,0.6,-3.6,82.83
9,4/2/2025 12:13,1.8,-1.4,82.9
10,4/2/2025 12:13,0.6,-1.4,82.98
11,4/2/2025 12:14,2.1,-3.6,83.08
12,4/2/2025 12:14,0.6,10.3,83.28
13,4/2/2025 12:14,2.1,-3.6,83.39
14,4/2/2025 12:14,0.5,-1.4,83.68
15,4/2/2025 12:14,0.6,-1.4,83.89
16,4/2/2025 12:14,0.6,-1.4,84.16
17,4/2/2025 12:15,0.6,-0.6,84.27
18,4/2/2025 12:15,0.6,-1.4,84.51
19,4/2/2025 12:15,1.8,-3.6,84.61
20,4/2/2025 12:15,0.6,-1.4,84.79
21,4/2/2025 12:15,0.1,-1.4,84.97
22,4/2/2025 12:15,0.6,-3.6,85.19
23,4/2/2025 12:16,0.6,-1.4,85.37
24,4/2/2025 12:16,0.6,-1.4,85.44
25,4/2/2025 12:16,0.6,-3.6,85.68
26,4/2/2025 12:16,0.6,-1.4,85.8
27,4/2/2025 12:16,0.5,-3.6,85.77
28,4/2/2025 12:16,0.6,-3.6,85.96
29,4/2/2025 12:17,0.6,-1.4,86.13
30,4/2/2025 12:17,0.6,-3.6,86.67
31,4/2/2025 12:17,0.6,-3.6,87.3
32,4/2/2025 12:17,0.6,-1.4,87.62
33,4/2/2025 12:17,0.6,-1.4,87.73
34,4/2/2025 12:17,0.6,-1.4,87.85
35,4/2/2025 12:18,0.6,-1.4,88.02
36,4/2/2025 12:18,0.6,-3.6,88.09
37,4/2/2025 12:18,0.6,-1.4,87.87
38,4/2/2025 12:18,0.6,-3.6,87.85
39,4/2/2025 12:18,0.6,-3.6,87.71
40,4/2/2025 12:18,0.6,-0.7,87.62
41,4/2/2025 12:19,0.6,-3.6,87.55
42,4/2/2025 12:19,0.6,-1.4,87.48
43,4/2/2025 12:19,0.6,-1.4,87.48
44,4/2/2025 12:19,0.6,-1.4,87.44
45,4/2/2025 12:19,0.6,-1.4,87.44
46,4/2/2025 12:19,0.6,-1.4,87.46
47,4/2/2025 12:20,0.6,-1.4,87.44
48,4/2/2025 12:20,0.6,-1.4,87.44
49,4/2/2025 12:20,0.6,-1.4,87.46
50,4/2/2025 12:20,0.6,-1.4,87.4
51,4/2/2025 12:20,0.6,-1.4,87.4
52,4/2/2025 12:20,0.6,-3.6,87.53
53,4/2/2025 12:21,0.6,-1.4,87.49
54,4/2/2025 12:21,0.6,-1.4,87.58
55,4/2/2025 12:21,1.8,-1.4,87.55
56,4/2/2025 12:21,0.7,-3.6,87.48
57,4/2/2025 12:21,40.2,36.4,74.16
58,4/2/2025 12:21,65.3,62.5,71.69
59,4/2/2025 12:22,65.3,62.8,71.4
60,4/2/2025 12:22,65.4,62.8,71.26
61,4/2/2025 12:22,65.4,63.2,71.17
62,4/2/2025 12:22,65.4,62.9,71.11
63,4/2/2025 12:22,65.4,62.9,71.06
64,4/2/2025 12:22,65.4,62.9,70.95
65,4/2/2025 12:23,65.4,62.9,70.93
66,4/2/2025 12:23,65.4,62.9,70.92
67,4/2/2025 12:23,65.4,63.2,70.77
68,4/2/2025 12:23,65.4,62.9,70.74
69,4/2/2025 12:23,65.4,62.9,70.7
70,4/2/2025 12:23,65.4,62.9,70.66
71,4/2/2025 12:24,65.5,62.9,70.65
72,4/2/2025 12:24,65.4,62.9,70.61
73,4/2/2025 12:24,65.4,62.9,70.59
74,4/2/2025 12:24,65.4,62.9,70.57
75,4/2/2025 12:24,65.4,62.9,70.57
76,4/2/2025 12:24,65.4,62.9,70.57
77,4/2/2025 12:25,65.4,62.9,70.57
78,4/2/2025 12:25,65.4,62.9,70.52
79,4/2/2025 12:25,65.5,62.9,70.56
80,4/2/2025 12:25,65.4,62.9,70.52
81,4/2/2025 12:25,65.4,62.9,70.52
82,4/2/2025 12:25,65.4,62.9,70.52
83,4/2/2025 12:26,65.4,62.9,70.52
84,4/2/2025 12:26,65.5,62.9,70.5
85,4/2/2025 12:26,65.4,62.9,70.5
86,4/2/2025 12:26,65.5,62.9,70.5
87,4/2/2025 12:26,65.5,62.9,70.5
88,4/2/2025 12:26,65.5,62.9,70.48
89,4/2/2025 12:27,65.4,62.9,70.5
90,4/2/2025 12:27,65.5,62.9,70.48
91,4/2/2025 12:27,65.5,62.9,70.5
92,4/2/2025 12:27,65.5,62.9,70.5
93,4/2/2025 12:27,65.6,62.9,70.5
94,4/2/2025 12:27,68.6,66.2,70.5
95,4/2/2025 12:28,72.1,69.8,70.52
96,4/2/2025 12:28,77.3,75,70.52
97,4/2/2025 12:28,82.2,80.1,70.52
98,4/2/2025 12:28,82,80.1,70.52
99,4/2/2025 12:28,80.8,79,70.52
100,4/2/2025 12:28,80.6,78.6,70.52
101,4/2/2025 12:29,83.2,81.6,70.52
102,4/2/2025 12:29,84.9,83,70.56
103,4/2/2025 12:29,84.1,82.3,70.56
104,4/2/2025 12:29,82.5,80.5,70.56
105,4/2/2025 12:29,81.1,79,70.56
106,4/2/2025 12:29,79.9,77.9,70.56
107,4/2/2025 12:30,79.3,77.5,70.56
108,4/2/2025 12:30,79.5,77.5,70.57
109,4/2/2025 12:30,79.6,77.5,70.57
110,4/2/2025 12:30,79.8,77.9,70.57
111,4/2/2025 12:30,80.1,77.9,70.57
112,4/2/2025 12:30,80.4,78.3,70.59
113,4/2/2025 12:31,80.5,78.6,70.57
114,4/2/2025 12:31,80.4,78.3,70.59
115,4/2/2025 12:31,80.6,78.6,70.59
116,4/2/2025 12:31,80.9,79,70.59
117,4/2/2025 12:31,81.8,79.7,70.59
118,4/2/2025 12:31,82,79.7,70.59
119,4/2/2025 12:32,82.1,80.5,70.59
120,4/2/2025 12:32,82.4,80.5,70.59
121,4/2/2025 12:32,82.4,80.5,70.59
122,4/2/2025 12:32,82.5,80.5,70.61
123,4/2/2025 12:32,82.9,81.2,70.59
124,4/2/2025 12:32,83,81.2,70.61
125,4/2/2025 12:33,83,81.2,70.61
126,4/2/2025 12:33,83.6,81.9,70.63
127,4/2/2025 12:33,83.5,81.6,70.63
128,4/2/2025 12:33,83.1,81.2,70.63
129,4/2/2025 12:33,82.5,80.5,70.65
130,4/2/2025 12:33,82.5,80.5,70.63
131,4/2/2025 12:34,82.3,80.5,70.63
132,4/2/2025 12:34,81.9,79.7,70.63
133,4/2/2025 12:34,80.7,78.6,70.65
134,4/2/2025 12:34,81.5,79.4,70.65
135,4/2/2025 12:34,81.4,79.4,70.65
136,4/2/2025 12:34,81.4,79.4,70.65
137,4/2/2025 12:35,80.8,78.6,70.65
138,4/2/2025 12:35,80.3,78.3,70.65
139,4/2/2025 12:35,80,77.9,70.65
140,4/2/2025 12:35,79.7,77.5,70.65
141,4/2/2025 12:35,79.3,77.2,70.65
142,4/2/2025 12:35,79.2,77.2,70.65
143,4/2/2025 12:36,78.6,76.8,70.65
144,4/2/2025 12:36,78.3,76.1,70.65
145,4/2/2025 12:36,78,76.1,70.65
146,4/2/2025 12:36,78.2,76.1,70.66
147,4/2/2025 12:36,77.8,75.7,70.66
148,4/2/2025 12:36,77.7,76.1,70.66
149,4/2/2025 12:37,77.6,75.3,70.66
150,4/2/2025 12:37,76.8,74.6,70.7
151,4/2/2025 12:37,76.9,75,70.7
152,4/2/2025 12:37,77.2,75,70.7
153,4/2/2025 12:37,76.7,74.2,70.7
154,4/2/2025 12:37,76.2,73.9,70.7
155,4/2/2025 12:38,76,73.9,70.72
156,4/2/2025 12:38,76.5,74.2,70.7
157,4/2/2025 12:38,76.2,73.9,70.72
158,4/2/2025 12:38,75.6,73.1,70.72
159,4/2/2025 12:38,75.9,73.9,70.72
160,4/2/2025 12:38,75.2,72.8,70.72
161,4/2/2025 12:39,75.1,72.8,70.74
162,4/2/2025 12:39,75.1,72.8,70.74
163,4/2/2025 12:39,75.1,72.8,70.74
164,4/2/2025 12:39,74.3,71.7,70.74
165,4/2/2025 12:39,74.1,71.7,70.75
166,4/2/2025 12:39,73.8,71.3,70.75
167,4/2/2025 12:40,73.8,71.3,70.75
168,4/2/2025 12:40,73.2,70.9,70.75
169,4/2/2025 12:40,73.3,70.9,70.75
170,4/2/2025 12:40,73,70.6,70.77
171,4/2/2025 12:40,73,70.6,70.77
172,4/2/2025 12:40,72.7,70.2,70.77
173,4/2/2025 12:41,72.3,69.8,70.77
174,4/2/2025 12:41,72.3,69.8,70.79
175,4/2/2025 12:41,72.3,69.8,70.77
176,4/2/2025 12:41,72.5,70.2,70.79
177,4/2/2025 12:41,72.3,69.8,70.77
178,4/2/2025 12:41,72.3,69.8,70.77
179,4/2/2025 12:42,72.1,69.8,70.79
180,4/2/2025 12:42,71.7,69.5,70.79
181,4/2/2025 12:42,71.4,69.1,70.79
182,4/2/2025 12:42,71.5,69.1,70.79
183,4/2/2025 12:42,71.4,69.1,70.79
184,4/2/2025 12:42,71,68.4,70.79
185,4/2/2025 12:43,70.9,68.4,70.81
186,4/2/2025 12:43,71,68.4,70.81
187,4/2/2025 12:43,70.8,68,70.81
188,4/2/2025 12:43,70.8,68,70.81
189,4/2/2025 12:43,70.8,68,70.79
190,4/2/2025 12:43,70.6,68,70.81
191,4/2/2025 12:44,70.7,68,70.79
192,4/2/2025 12:44,18.7,13,71.01
