Date,,,FDOM,CO2
8/16/2023 10:03,119317,12.28,19198.5,4327.916
8/16/2023 10:03,119318,12.29,19212.88,4331.203
8/16/2023 10:03,119319,12.29,19241.64,4336.133
8/16/2023 10:03,119320,12.29,19197.06,4337.365
8/16/2023 11:00,0,13.11,1138.942,320.4814
8/16/2023 12:00,1,12.93,19734.98,4345.009
8/16/2023 13:00,2,12.96,19874.32,4368.298
8/16/2023 14:00,3,12.96,20020.04,4391.917
8/16/2023 15:00,4,12.93,20167.09,4397.336
8/16/2023 16:00,5,12.93,20250.78,4388.766
8/16/2023 17:00,6,12.91,20181.29,4387.531
8/16/2023 18:00,7,12.91,20130.3,4399.716
8/16/2023 19:00,8,12.88,20013.85,4407.119
8/16/2023 20:00,9,12.88,19741.62,4398.394
8/16/2023 21:00,10,12.87,19517.56,4375.447
8/16/2023 22:00,11,12.87,19295.39,4362.551
8/16/2023 23:00,12,12.85,19158.02,4374.622
8/17/2023 0:00,13,12.86,19004.6,4355.085
8/17/2023 1:00,14,12.85,18787.74,4334.605
8/17/2023 2:00,15,12.85,18705.92,4348.608
8/17/2023 3:00,16,12.83,18423.67,4312.77
8/17/2023 4:00,17,12.84,18234.24,4325.6
8/17/2023 5:00,18,12.82,18037.29,4289.867
8/17/2023 6:00,19,12.83,18012.12,4295.86
8/17/2023 7:00,20,12.82,17911.54,4291.358
8/17/2023 8:00,21,12.83,17852.2,4265.793
8/17/2023 9:00,22,12.84,17906.61,4274.366
8/17/2023 10:00,23,12.86,18042.05,4296.206
8/17/2023 11:00,24,12.87,18275.26,4284.689
8/17/2023 12:00,25,12.85,18586.91,4319.442
8/17/2023 13:00,26,12.88,18864.63,4332.956
8/17/2023 14:00,27,12.87,19074.21,4365.736
8/17/2023 15:00,28,12.84,19152.89,4368.023
8/17/2023 16:00,29,12.83,18807.63,4379.104
8/17/2023 17:00,30,12.83,18449.69,4405.18
8/17/2023 18:00,31,12.81,18377.3,4423.553
8/17/2023 19:00,32,12.81,18229.39,4420.729
8/17/2023 20:00,33,12.8,18091.01,4406.68
8/17/2023 21:00,34,12.8,18026.39,4391.5
8/17/2023 22:00,35,12.78,17986.91,4373.673
8/17/2023 23:00,36,12.8,17985.92,4358.991
8/18/2023 0:00,37,12.77,17869.1,4363.429
8/18/2023 1:00,38,12.78,17748.63,4359.399
8/18/2023 2:00,39,12.77,17566.69,4327.169
8/18/2023 3:00,40,12.77,17437.65,4336.303
8/18/2023 4:00,41,12.77,17314.48,4314.704
8/18/2023 5:00,42,12.76,17142.09,4313.101
8/18/2023 6:00,43,12.77,17126.96,4294.373
8/18/2023 7:00,44,12.76,17123.37,4303.234
8/18/2023 8:00,45,12.77,17022.09,4273.497
8/18/2023 9:00,46,12.77,17154.56,4294.494
8/18/2023 10:00,47,12.8,17232.71,4293.797
8/18/2023 11:00,48,12.8,17474.35,4304.028
8/18/2023 12:00,49,12.81,17640.63,4332.6
8/18/2023 13:00,50,12.8,17868,4353.117
8/18/2023 14:00,51,12.81,18027.89,4375.367
8/18/2023 15:00,52,12.87,18200.96,4412.466
8/18/2023 16:00,53,12.8,18435.41,4444.521
8/18/2023 17:00,54,12.79,18596.51,4462.192
8/18/2023 18:00,55,12.79,18731.71,4487.671
8/18/2023 19:00,56,12.77,18891.37,4519.315
8/18/2023 20:00,57,12.78,19089.86,4500.411
8/18/2023 21:00,58,12.75,19286.92,4520.959
8/18/2023 22:00,59,12.75,19285.14,4509.784
8/18/2023 23:00,60,12.75,19373.07,4493.802
8/19/2023 0:00,61,12.73,19390.41,4500.396
8/19/2023 1:00,62,12.74,19314.62,4488.247
8/19/2023 2:00,63,12.73,19222.08,4462.654
8/19/2023 3:00,64,12.73,19143.47,4441.067
8/19/2023 4:00,65,12.72,18934.55,4424.541
8/19/2023 5:00,66,12.72,18860.89,4412.962
8/19/2023 6:00,67,12.7,18714.56,4408.116
8/19/2023 7:00,68,12.71,18470.57,4374.608
8/19/2023 8:00,69,12.7,18198.93,4357.39
8/19/2023 9:00,70,12.72,18190.87,4371.626
8/19/2023 10:00,71,12.74,18374.5,4366.527
8/19/2023 11:00,72,12.75,18627.38,4360.917
8/19/2023 12:00,73,12.73,18820.89,4386.576
8/19/2023 13:00,74,12.73,19029.45,4417.397
8/19/2023 14:00,75,12.74,19230.82,4446.165
8/19/2023 15:00,76,12.8,19361.71,4466.712
8/19/2023 16:00,77,12.75,19550.14,4483.562
8/19/2023 17:00,78,12.72,19814.79,4490.137
8/19/2023 18:00,79,12.72,20083.77,4516.438
8/19/2023 19:00,80,12.7,20322.54,4535.753
8/19/2023 20:00,81,12.71,20449.11,4529.589
8/19/2023 21:00,82,12.69,20421.78,4541.507
8/19/2023 22:00,83,12.69,20392.73,4514.321
8/19/2023 23:00,84,12.68,20415.02,4522.379
8/20/2023 0:00,85,12.69,20499.9,4515.809
8/20/2023 1:00,86,12.66,20410.21,4489.491
8/20/2023 2:00,87,12.67,20036.29,4467.714
8/20/2023 3:00,88,12.65,19567.96,4450.569
8/20/2023 4:00,89,12.66,19157.39,4436.028
8/20/2023 5:00,90,12.65,18753.45,4424.565
8/20/2023 6:00,91,12.65,18424.61,4418.999
8/20/2023 7:00,92,12.63,18112.73,4402.606
8/20/2023 8:00,93,12.65,17922.55,4377.047
8/20/2023 9:00,94,12.65,17842.08,4368.493
8/20/2023 10:00,95,12.66,17859.89,4383.713
8/20/2023 11:00,96,12.66,17999.35,4398.846
8/20/2023 12:00,97,12.65,18095.96,4398.493
8/20/2023 13:00,98,12.66,17707.6,4374.658
8/20/2023 14:00,99,12.67,17238.3,4371.728
8/20/2023 15:00,100,12.71,17326.35,4401.439
8/20/2023 16:00,101,12.67,17705.98,4423.104
8/20/2023 17:00,102,12.66,17714.29,4427.546
8/20/2023 18:00,103,12.64,17648.68,4426.912
8/20/2023 19:00,104,12.64,17651.05,4423.499
8/20/2023 20:00,105,12.62,17486.48,4421.652
8/20/2023 21:00,106,12.63,17341.65,4418.929
8/20/2023 22:00,107,12.62,17276.5,4408.547
8/20/2023 23:00,108,12.63,17238.94,4395.766
8/21/2023 0:00,109,12.61,17228.58,4385.831
8/21/2023 1:00,110,12.62,17154.08,4386.724
8/21/2023 2:00,111,12.6,17110,4390.184
8/21/2023 3:00,112,12.6,17041.77,4363.681
8/21/2023 4:00,113,12.61,16869.15,4349.286
8/21/2023 5:00,114,12.6,16910.57,4355.786
8/21/2023 6:00,115,12.61,16756.38,4321.604
8/21/2023 7:00,116,12.6,16801.45,4337.342
8/21/2023 8:00,117,12.61,16726.34,4308.907
8/21/2023 9:00,118,12.61,16819.69,4331.102
8/21/2023 10:00,119,12.63,16844.84,4312.752
8/21/2023 11:00,120,12.63,16971.46,4347.243
8/21/2023 12:00,121,12.63,17078.78,4342.126
8/21/2023 13:00,122,12.63,17214.25,4374.247
8/21/2023 14:00,123,12.65,17601.16,4413.288
8/21/2023 15:00,124,12.72,18136.23,4439.589
8/21/2023 16:00,125,12.66,18632.55,4460.225
8/21/2023 17:00,126,12.63,18960.4,4486.026
8/21/2023 18:00,127,12.63,19017.95,4497.945
8/21/2023 19:00,128,12.61,19179.04,4493.836
8/21/2023 20:00,129,12.62,19196.3,4516.027
8/21/2023 21:00,130,12.61,19035.21,4513.151
8/21/2023 22:00,131,12.59,18911.51,4496.712
8/21/2023 23:00,132,12.6,18666.99,4483.562
8/22/2023 0:00,133,12.58,18303.08,4469.178
8/22/2023 1:00,134,12.58,18009.56,4460.112
8/22/2023 2:00,135,12.57,17710.4,4447.377
8/22/2023 3:00,136,12.57,17359.86,4408.899
8/22/2023 4:00,137,12.56,17109.45,4400.23
8/22/2023 5:00,138,12.57,16882.24,4368.187
8/22/2023 6:00,139,12.55,16776.61,4368.843
8/22/2023 7:00,140,12.56,16614.75,4333.676
8/22/2023 8:00,141,12.55,16594.19,4311.413
8/22/2023 9:00,142,12.57,16585.94,4332.537
8/22/2023 10:00,143,12.57,16625.26,4310.032
8/22/2023 11:00,144,12.58,16745.26,4345.086
8/22/2023 12:00,145,12.57,16833.07,4333.971
8/22/2023 13:00,146,12.6,17035.89,4374.247
8/22/2023 14:00,147,12.58,17417.05,4385.343
8/22/2023 15:00,148,12.64,17831.3,4386.986
8/22/2023 16:00,149,12.6,18380.75,4419.041
8/22/2023 17:00,150,12.58,18953.22,4453.973
8/22/2023 18:00,151,12.59,19547.26,4470.411
8/22/2023 19:00,152,12.57,19886.71,4477.808
8/22/2023 20:00,153,12.58,20195.96,4478.63
8/22/2023 21:00,154,12.56,20328.29,4490.548
8/22/2023 22:00,155,12.57,20283.7,4499.589
8/22/2023 23:00,156,12.55,20007.54,4500.822
8/23/2023 0:00,157,12.55,19960.07,4483.973
8/23/2023 1:00,158,12.54,19991.71,4466.712
8/23/2023 2:00,159,12.55,19699.73,4450.685
8/23/2023 3:00,160,12.53,19115.51,4436.655
8/23/2023 4:00,161,12.53,18434.79,4428.344
8/23/2023 5:00,162,12.52,17767.27,4422.555
8/23/2023 6:00,163,12.53,17354.79,4409.485
8/23/2023 7:00,164,12.51,17041.81,4375.975
8/23/2023 8:00,165,12.52,16816.49,4373.673
8/23/2023 9:00,166,12.53,16830.76,4381.898
8/23/2023 10:00,167,12.53,16874.68,4374.254
8/23/2023 11:00,168,12.54,16869.03,4369.314
8/23/2023 12:00,169,12.53,16979.79,4389.041
8/23/2023 13:00,170,12.56,17314.93,4417.808
8/23/2023 14:00,171,12.54,17860.07,4442.055
8/23/2023 15:00,172,12.58,18441.16,4453.562
8/23/2023 16:00,173,12.53,18923.01,4460.548
8/23/2023 17:00,174,12.54,19403.42,4465.479
8/23/2023 18:00,175,12.52,19711.23,4465.479
8/23/2023 19:00,176,12.53,20119.73,4465.479
8/23/2023 20:00,177,12.52,20450.55,4479.863
8/23/2023 21:00,178,12.52,20682.12,4494.658
8/23/2023 22:00,179,12.5,20743.97,4483.562
8/23/2023 23:00,180,12.51,20777.05,4462.192
8/24/2023 0:00,181,12.49,20522.46,4455.617
8/24/2023 1:00,182,12.5,19742.88,4445.343
8/24/2023 2:00,183,12.47,18843.9,4433.425
8/24/2023 3:00,184,12.48,17920.35,4411.613
8/24/2023 4:00,185,12.48,17203.43,4390.494
8/24/2023 5:00,186,12.47,16746.57,4387.342
8/24/2023 6:00,187,12.48,16524.59,4381.463
8/24/2023 7:00,188,12.46,16231.5,4342.509
8/24/2023 8:00,189,12.48,16111.32,4353.801
8/24/2023 9:00,190,12.47,16068.6,4331.384
8/24/2023 10:00,191,12.49,16079.26,4334.398
8/24/2023 11:00,192,12.49,16283.55,4361.076
8/24/2023 12:00,193,12.5,16513.77,4352.466
8/24/2023 13:00,194,12.5,17087.67,4377.534
8/24/2023 14:00,195,12.52,18213.9,4406.712
8/24/2023 15:00,196,12.56,19150.27,4412.055
8/24/2023 16:00,197,12.52,19760.14,4406.712
8/24/2023 17:00,198,12.49,20818.77,4414.932
8/24/2023 18:00,199,12.5,21023.01,4429.315
8/24/2023 19:00,200,12.48,21023.01,4437.945
8/24/2023 20:00,201,12.49,21023.01,4441.644
8/24/2023 21:00,202,12.48,21023.01,4441.233
8/24/2023 22:00,203,12.47,21023.01,4436.712
8/24/2023 23:00,204,12.47,21023.01,4430.548
8/25/2023 0:00,205,12.45,21023.01,4425.206
8/25/2023 1:00,206,12.45,21028.77,4423.562
8/25/2023 2:00,207,12.43,20631.49,4391.857
8/25/2023 3:00,208,12.44,18623.81,4369.309
8/25/2023 4:00,209,12.42,17408.38,4359.44
8/25/2023 5:00,210,12.43,16481.94,4338.445
8/25/2023 6:00,211,12.42,15956.6,4305.065
8/25/2023 7:00,212,12.42,15678.84,4302.963
8/25/2023 8:00,213,12.41,15525.65,4305.227
8/25/2023 9:00,214,12.43,15362.4,4286.55
8/25/2023 10:00,215,12.43,15362.77,4288.297
8/25/2023 11:00,216,12.44,15335.69,4315.892
8/25/2023 12:00,217,12.44,15538.54,4308.078
8/25/2023 13:00,218,12.47,16098.08,4360.685
8/25/2023 14:00,219,12.45,16775.55,4362.329
8/25/2023 15:00,220,12.55,17089.11,4386.576
8/25/2023 16:00,221,12.49,17365.27,4392.74
8/25/2023 17:00,222,12.45,17569.52,4411.644
8/25/2023 18:00,223,12.47,17943.49,4438.767
8/25/2023 19:00,224,12.44,18088.77,4446.576
8/25/2023 20:00,225,12.45,18491.51,4448.63
8/25/2023 21:00,226,12.43,18595.07,4441.233
8/25/2023 22:00,227,12.44,18491.51,4429.726
8/25/2023 23:00,228,12.42,18222.54,4434.658
8/26/2023 0:00,229,12.42,17779.52,4441.644
8/26/2023 1:00,230,12.4,17109.25,4435.479
8/26/2023 2:00,231,12.41,16384.31,4407.124
8/26/2023 3:00,232,12.39,15705.41,4393.973
8/26/2023 4:00,233,12.4,15337.19,4388.63
8/26/2023 5:00,234,12.38,14895.21,4353.168
8/26/2023 6:00,235,12.4,14779.11,4361.506
8/26/2023 7:00,236,12.37,14564.64,4334.337
8/26/2023 8:00,237,12.39,14557.6,4335.617
8/26/2023 9:00,238,12.37,14493.11,4328.681
8/26/2023 10:00,239,12.4,14646.39,4341.255
8/26/2023 11:00,240,12.41,14713.64,4331.674
8/26/2023 12:00,241,12.39,15013.54,4369.721
8/26/2023 13:00,242,12.41,15521.3,4391.918
8/26/2023 14:00,243,12.4,15896.71,4400.548
8/26/2023 15:00,244,12.5,16030.48,4400.137
8/26/2023 16:00,245,12.42,16250.55,4424.794
8/26/2023 17:00,246,12.42,16398.7,4448.219
8/26/2023 18:00,247,12.4,16765.48,4461.781
8/26/2023 19:00,248,12.4,17002.81,4469.178
8/26/2023 20:00,249,12.39,17107.81,4472.055
8/26/2023 21:00,250,12.39,17184.04,4472.466
8/26/2023 22:00,251,12.38,17568.08,4470.411
8/26/2023 23:00,252,12.38,17343.7,4465.479
8/27/2023 0:00,253,12.37,16906.44,4459.726
8/27/2023 1:00,254,12.37,16578.49,4455.206
8/27/2023 2:00,255,12.35,16712.26,4446.165
8/27/2023 3:00,256,12.36,17057.46,4413.288
8/27/2023 4:00,257,12.32,16391.51,4391.096
8/27/2023 5:00,258,12.33,15794.59,4382.055
8/27/2023 6:00,259,12.34,15178.97,4356.165
8/27/2023 7:00,260,12.33,14787.74,4327.808
8/27/2023 8:00,261,12.34,14641.02,4331.915
8/27/2023 9:00,262,12.33,14488.2,4319.428
8/27/2023 10:00,263,12.36,14576.33,4324.071
8/27/2023 11:00,264,12.35,14794.19,4335.779
8/27/2023 12:00,265,12.36,15772.98,4352.046
8/27/2023 13:00,266,12.38,16292.26,4367.671
