Date,Rep,V,CDOM,CO2
6/7/2023 7:00,41,12.72,5.458262,38.85989
6/7/2023 8:00,42,12.71,5.458044,38.97043
6/7/2023 9:00,43,12.71,5.45765,39.21362
6/7/2023 10:00,44,12.72,6.821319,37.6085
6/7/2023 11:00,45,12.72,5.457028,36.92422
6/7/2023 12:00,46,12.73,7.503414,36.91283
6/7/2023 13:00,47,12.73,5.457028,37.3217
6/7/2023 14:00,48,12.73,6.139157,37.4101
6/7/2023 15:00,49,12.73,8.185543,37.12279
6/7/2023 16:00,50,12.73,6.821285,36.85757
6/7/2023 17:00,51,12.72,8.185543,37.12279
6/7/2023 18:00,52,12.71,6.821285,37.23329
6/7/2023 19:00,53,12.71,8.185543,36.52606
6/7/2023 20:00,54,12.7,6.821285,37.07859
6/7/2023 21:00,55,12.7,6.821285,37.2578
6/7/2023 22:00,56,12.69,8.185543,37.62889
6/7/2023 23:00,57,12.68,8.185543,38.61669
6/8/2023 0:00,58,12.68,5.457028,38.49509
6/8/2023 1:00,59,12.67,6.821612,38.3956
6/8/2023 2:00,60,12.67,5.458431,39.22334
6/8/2023 3:00,61,12.67,7.50452,39.01464
6/8/2023 4:00,62,12.66,8.186402,38.77145
6/8/2023 5:00,63,12.66,9.552457,37.1133
6/8/2023 6:00,64,12.65,7.505492,37.04698
6/8/2023 7:00,65,12.65,6.823431,37.17963
6/8/2023 8:00,66,12.65,8.187061,37.06909
6/8/2023 9:00,67,12.67,8.185707,37.05803
6/8/2023 10:00,68,12.67,5.457028,37.22234
6/8/2023 11:00,69,12.67,6.821285,36.64761
6/8/2023 12:00,70,12.7,8.185543,36.30505
6/8/2023 13:00,71,12.68,8.185543,35.13369
6/8/2023 14:00,72,12.68,7.503414,35.17789
6/8/2023 15:00,73,12.67,6.821285,34.68061
6/8/2023 16:00,74,12.68,5.457028,34.64746
6/8/2023 17:00,75,12.67,6.139157,34.5038
6/8/2023 18:00,76,12.66,6.821285,34.28488
6/8/2023 19:00,77,12.65,8.185543,34.47295
6/8/2023 20:00,78,12.65,8.185543,34.69969
6/8/2023 21:00,79,12.64,8.185543,30.08253
6/8/2023 22:00,80,12.64,5.457162,24.9425
6/8/2023 23:00,81,12.63,8.185623,23.29541
6/9/2023 0:00,82,12.63,6.139496,24.38979
6/9/2023 1:00,83,12.62,6.139723,23.79286
6/9/2023 2:00,84,12.62,5.457425,25.07516
6/9/2023 3:00,85,12.61,5.457878,26.65556
6/9/2023 4:00,86,12.61,8.186773,25.63893
6/9/2023 5:00,87,12.61,5.458175,27.77241
6/9/2023 6:00,88,12.6,7.5049,28.21458
6/9/2023 7:00,89,12.59,8.187765,28.70097
6/9/2023 8:00,90,12.6,6.822244,29.49688
6/9/2023 9:00,91,12.62,6.139215,32.35995
6/9/2023 10:00,92,12.61,5.457028,26.35987
6/9/2023 11:00,93,12.61,8.185543,27.16643
6/9/2023 12:00,94,12.63,8.185543,25.87332
6/9/2023 13:00,95,12.63,8.185543,25.01136
6/9/2023 14:00,96,12.6,5.457028,20.92509
6/9/2023 15:00,97,12.6,8.185543,26.43345
6/9/2023 16:00,98,12.6,5.457028,28.6678
6/9/2023 17:00,99,12.59,6.82152,28.60148
6/9/2023 18:00,100,12.58,8.187564,30.18225
6/9/2023 19:00,101,12.58,8.188175,24.64404
6/9/2023 20:00,102,12.57,5.458972,26.16953
6/9/2023 21:00,103,12.56,5.459143,24.34557
6/9/2023 22:00,104,12.56,6.141824,25.21886
6/9/2023 23:00,105,12.55,5.459902,24.66615
6/10/2023 0:00,106,12.55,6.825724,24.72142
6/10/2023 1:00,107,12.54,6.825938,24.71036
6/10/2023 2:00,108,12.54,8.191126,21.15088
6/10/2023 3:00,109,12.53,8.191126,23.91526
6/10/2023 4:00,110,12.53,5.460751,17.66018
6/10/2023 5:00,111,12.52,5.460751,8.384368
6/10/2023 6:00,112,12.52,8.191126,8.627751
6/10/2023 7:00,113,12.52,5.460751,10.31958
6/10/2023 8:00,114,12.52,6.143344,16.00029
6/10/2023 9:00,115,12.54,8.189676,13.3797
6/10/2023 10:00,116,12.54,6.139696,18.60839
6/10/2023 11:00,117,12.54,8.185862,19.74699
6/10/2023 12:00,118,12.57,8.185543,26.21377
6/10/2023 13:00,119,12.56,5.457028,27.76969
6/10/2023 14:00,120,12.55,7.503414,24.6736
6/10/2023 15:00,121,12.54,6.139157,32.04444
6/10/2023 16:00,122,12.54,5.457028,39.6218
6/10/2023 17:00,123,12.54,5.457028,39.77739
6/10/2023 18:00,124,12.53,8.185656,38.71618
6/10/2023 19:00,125,12.52,5.457187,33.20008
6/10/2023 20:00,126,12.52,5.457447,33.83017
6/10/2023 21:00,127,12.52,8.186516,34.83511
6/10/2023 22:00,128,12.51,5.457692,33.7749
6/10/2023 23:00,129,12.51,5.45868,34.84717
6/11/2023 0:00,130,12.5,6.823361,33.47644
6/11/2023 1:00,131,12.5,6.141141,33.06742
6/11/2023 2:00,132,12.5,5.458923,30.06065
6/11/2023 3:00,133,12.48,8.189157,29.27579
6/11/2023 4:00,134,12.48,8.189971,28.98838
6/11/2023 5:00,135,12.48,5.460321,30.41439
6/11/2023 6:00,136,12.47,5.460746,26.95439
6/11/2023 7:00,137,12.47,5.460656,19.50378
6/11/2023 8:00,138,12.47,5.460308,33.04532
6/11/2023 9:00,139,12.49,8.188158,33.05637
6/11/2023 10:00,140,12.49,8.185555,31.96199
6/11/2023 11:00,141,12.49,8.185543,21.70176
6/11/2023 12:00,142,12.51,8.185543,14.45957
6/11/2023 13:00,143,12.51,8.185543,21.05721
6/11/2023 14:00,144,12.5,8.185543,21.71047
6/11/2023 15:00,145,12.5,7.503414,21.31421
6/11/2023 16:00,146,12.49,8.185543,30.51136
6/11/2023 17:00,147,12.48,8.185543,35.5542
6/11/2023 18:00,148,12.48,5.457028,35.52148
6/11/2023 19:00,149,12.47,8.185543,18.3873
6/11/2023 20:00,150,12.47,7.503456,21.4825
6/11/2023 21:00,151,12.46,8.185963,20.7529
6/11/2023 22:00,152,12.46,6.139854,22.38896
6/11/2023 23:00,153,12.45,8.187456,23.93656
6/12/2023 0:00,154,12.45,5.458399,23.73758
6/12/2023 1:00,155,12.44,6.141143,23.93656
6/12/2023 2:00,156,12.43,5.458911,21.8473
6/12/2023 3:00,157,12.43,8.18995,21.82519
6/12/2023 4:00,158,12.43,5.46025,20.31075
6/12/2023 5:00,159,12.42,8.190254,28.05982
6/12/2023 6:00,160,12.42,8.191059,22.93062
6/12/2023 7:00,161,12.41,8.191088,25.97055
6/12/2023 8:00,162,12.42,8.189381,16.46385
6/12/2023 9:00,163,12.43,5.457947,33.20008
6/12/2023 10:00,164,12.43,5.457056,33.36589
6/12/2023 11:00,165,12.43,5.457028,34.05126
6/12/2023 12:00,166,12.43,8.185543,35.23407
6/12/2023 13:00,167,12.42,5.457028,26.5896
6/12/2023 14:00,168,12.43,5.457028,33.36589
6/12/2023 15:00,169,12.43,8.185543,28.33618
6/12/2023 16:00,170,12.43,8.185543,24.19996
6/12/2023 17:00,171,12.43,5.457028,23.61552
6/12/2023 18:00,172,12.42,5.457028,24.32345
6/12/2023 19:00,173,12.42,5.457028,21.59305
6/12/2023 20:00,174,12.41,6.13917,22.1235
6/12/2023 21:00,175,12.41,5.457308,27.60653
6/12/2023 22:00,176,12.39,8.185677,28.59043
6/12/2023 23:00,177,12.39,8.186823,28.11509
6/13/2023 0:00,178,12.39,6.140019,30.66864
6/13/2023 1:00,179,12.38,8.187404,28.60148
6/13/2023 2:00,180,12.38,6.140295,28.11509
6/13/2023 3:00,181,12.37,5.458802,28.17036
6/13/2023 4:00,182,12.37,5.458447,27.91611
6/13/2023 5:00,183,12.37,6.141118,27.66187
6/13/2023 6:00,184,12.36,5.458986,24.51138
6/13/2023 7:00,185,12.36,8.188714,25.66103
6/13/2023 8:00,186,12.36,5.458765,25.76052
6/13/2023 9:00,187,12.36,8.186758,24.99778
6/13/2023 10:00,188,12.37,5.457045,24.87618
6/13/2023 11:00,189,12.37,8.185543,26.0811
6/13/2023 12:00,190,12.39,8.185543,25.29624
6/13/2023 13:00,191,12.39,8.185543,23.33963
6/13/2023 14:00,192,12.38,8.185543,23.24014
6/13/2023 15:00,193,12.37,5.457028,24.2903
