Date,,,FDOM,CO2,CO2lo
8/2/2023 14:00,0,13.3,1.13693,148.0013,265.2118
8/2/2023 15:00,1,13.18,1.136787,13989.47,4285.188
8/2/2023 16:00,2,13.14,1.128575,14467.95,4300.377
8/2/2023 17:00,3,13.05,1.125819,14641.81,4309.82
8/2/2023 18:00,4,13.02,1.121251,14746.7,4308.588
8/2/2023 19:00,5,13,1.12765,14939.24,4309.41
8/2/2023 20:00,6,12.95,1.104746,15095.86,4322.136
8/2/2023 21:00,7,12.92,1.086423,15110.23,4309.82
8/2/2023 22:00,8,12.87,1.094686,15131.79,4283.135
8/2/2023 23:00,9,12.84,1.104786,15150.95,4283.682
8/3/2023 0:00,10,12.82,1.028839,15131.17,4285.42
8/3/2023 1:00,11,12.81,0.9226429,15049.43,4274.793
8/3/2023 2:00,12,12.8,0.9180613,15031.69,4257.401
8/3/2023 3:00,13,12.8,0.8951994,15051.54,4244.589
8/3/2023 4:00,14,12.78,0.9025222,15079.83,4236.249
8/3/2023 5:00,15,12.78,0.9098567,15138.02,4229.464
8/3/2023 6:00,16,12.78,0.8832911,15154.21,4211.499
8/3/2023 7:00,17,12.86,0.8905839,15154.83,4187.468
8/3/2023 8:00,18,13.44,0.849498,15166.28,4194.462
8/3/2023 9:00,19,13.57,0.8500232,15286.65,4208.771
8/3/2023 10:00,20,13.32,0.8721173,15352.44,4221.397
8/3/2023 11:00,21,13.26,0.8734586,15436.31,4221.529
8/3/2023 12:00,22,13.2,0.8684741,15539.85,4251.522
8/3/2023 13:00,23,13.26,0.8591524,15697.91,4271.639
8/3/2023 14:00,24,13.14,0.8833709,15774.07,4273.281
8/3/2023 15:00,25,13.07,0.8904781,15884.71,4290.934
8/3/2023 16:00,26,13.12,0.8869996,16042.76,4307.766
8/3/2023 17:00,27,13.02,0.8980725,16101.93,4320.152
8/3/2023 18:00,28,12.96,0.8832864,16120.8,4315.686
8/3/2023 19:00,29,12.92,0.8860143,16162.95,4328.54
8/3/2023 20:00,30,12.87,0.8939865,16120.48,4331.199
8/3/2023 21:00,31,12.84,0.8997111,16094.85,4300.472
8/3/2023 22:00,32,12.82,0.8932965,16071.41,4290.063
8/3/2023 23:00,33,12.81,0.8648633,16091.2,4292.028
8/4/2023 0:00,34,12.8,0.8977752,16028.05,4289.994
8/4/2023 1:00,35,12.8,0.8795872,16038.4,4277.754
8/4/2023 2:00,36,12.78,0.8768437,16019.55,4262.492
8/4/2023 3:00,37,12.78,0.856702,15998.43,4250.318
8/4/2023 4:00,38,12.77,0.8628838,16022.09,4241.843
8/4/2023 5:00,39,12.77,0.8640405,16050.76,4238.128
8/4/2023 6:00,40,12.77,0.8593119,16068.5,4237.025
8/4/2023 7:00,41,12.79,0.8594123,16100.46,4228.557
8/4/2023 8:00,42,13.34,0.8318117,16139.12,4217.881
8/4/2023 9:00,43,13.4,0.8437085,16158.5,4224.292
8/4/2023 10:00,44,13.25,0.8309107,16325.46,4254.747
8/4/2023 11:00,45,13.16,0.8722004,16378.99,4247.006
8/4/2023 12:00,46,13.11,0.8548912,16293.35,4263.167
8/4/2023 13:00,47,13.03,0.8750373,16406.39,4280.285
8/4/2023 14:00,48,12.97,0.8576386,16219.79,4273.736
8/4/2023 15:00,49,12.95,0.8617997,15686.75,4262.638
8/4/2023 16:00,50,12.93,0.8548934,15521.52,4254.852
8/4/2023 17:00,51,12.91,0.8713713,15699.7,4257.344
8/4/2023 18:00,52,12.87,0.8593648,15765.81,4263.526
8/4/2023 19:00,53,12.81,0.870327,15833.17,4264.302
8/4/2023 20:00,54,12.79,0.8593859,15985.43,4271.241
8/4/2023 21:00,55,12.77,0.8297902,16025.15,4269.869
8/4/2023 22:00,56,12.77,0.8477183,16056.26,4266.042
8/4/2023 23:00,57,12.76,0.8493756,16083.56,4259.853
8/5/2023 0:00,58,12.77,0.8527013,16111.89,4253.553
8/5/2023 1:00,59,12.76,0.8527059,16132.22,4245.364
8/5/2023 2:00,60,12.76,0.8383887,16153.25,4233.729
8/5/2023 3:00,61,12.75,0.8457328,16176.88,4218.699
8/5/2023 4:00,62,12.75,0.8469319,16177.18,4198.655
8/5/2023 5:00,63,12.74,0.8315133,16187.67,4191.375
8/5/2023 6:00,64,12.75,0.8425172,16217.83,4202.455
8/5/2023 7:00,65,12.77,0.8469156,16266.05,4192.473
8/5/2023 8:00,66,12.76,0.8548188,16219.92,4170.755
8/5/2023 9:00,67,12.92,0.8392098,16234.07,4196.563
8/5/2023 10:00,68,12.83,0.8619069,16278.42,4187.48
8/5/2023 11:00,69,12.98,0.8442878,16238.18,4192.406
8/5/2023 12:00,70,13.15,0.8446499,16465.21,4225.25
8/5/2023 13:00,71,13.09,0.8428181,16578.34,4228.024
8/5/2023 14:00,72,13.08,0.8566757,16648.54,4260.405
8/5/2023 15:00,73,13.06,0.8564004,16801.44,4293.808
8/5/2023 16:00,74,12.98,0.8563745,16890.52,4318.439
8/5/2023 17:00,75,12.87,0.8556358,16893.39,4317.208
8/5/2023 18:00,76,12.82,0.8640822,16877.59,4309.408
8/5/2023 19:00,77,12.78,0.8779041,16863.23,4301.61
8/5/2023 20:00,78,12.77,0.8703384,16853.17,4314.336
8/5/2023 21:00,79,12.76,0.8694201,16824.43,4306.536
8/5/2023 22:00,80,12.76,0.8567224,16738.73,4281.212
8/5/2023 23:00,81,12.75,0.8567272,16766.45,4270.235
8/6/2023 0:00,82,12.75,0.8641682,16770.69,4271.859
8/6/2023 1:00,83,12.73,0.8575606,16809.52,4274.331
8/6/2023 2:00,84,12.73,0.8727199,16762.27,4271.09
8/6/2023 3:00,85,12.73,0.8521098,16770.64,4266.508
8/6/2023 4:00,86,12.73,0.8575848,16784.96,4260.338
8/6/2023 5:00,87,12.72,0.876865,16815.62,4253.893
8/6/2023 6:00,88,12.72,0.8474988,16806.6,4246.354
8/6/2023 7:00,89,12.75,0.8520358,16818.13,4237.378
8/6/2023 8:00,90,13.17,0.8409967,16856.08,4229.776
8/6/2023 9:00,91,13.16,0.8428172,16887.65,4224.018
8/6/2023 10:00,92,13.09,0.8624515,17014.24,4255.406
8/6/2023 11:00,93,13.12,0.8345934,17203.71,4285.583
8/6/2023 12:00,94,13.07,0.8424934,17329.25,4291.051
8/6/2023 13:00,95,13.06,0.8620753,17396.31,4308.999
8/6/2023 14:00,96,13.08,0.8622218,17550.61,4334.589
8/6/2023 15:00,97,12.97,0.8613058,17745.77,4370.949
8/6/2023 16:00,98,12.92,0.8741305,17863.42,4406.924
8/6/2023 17:00,99,12.88,0.8516126,17875.06,4399.977
8/6/2023 18:00,100,12.83,0.8722985,17892.35,4404.916
8/6/2023 19:00,101,12.79,0.8529893,17830.59,4403.284
8/6/2023 20:00,102,12.76,0.860148,17877.56,4403.581
8/6/2023 21:00,103,12.76,0.8548934,17787.97,4375.95
8/6/2023 22:00,104,12.75,0.8613058,17753.98,4384.343
8/6/2023 23:00,105,12.75,0.8513373,17707.56,4368.577
8/7/2023 0:00,106,12.73,0.8372953,17625.2,4343.009
8/7/2023 1:00,107,12.73,0.8560179,17627.03,4350.087
8/7/2023 2:00,108,12.72,0.8576699,17493.62,4318.531
8/7/2023 3:00,109,12.72,0.8420686,17528.1,4320.58
8/7/2023 4:00,110,12.71,0.8315133,17397.95,4309.651
8/7/2023 5:00,111,12.71,0.8558095,17333.26,4278.029
8/7/2023 6:00,112,12.7,0.8543659,17298.74,4279.255
8/7/2023 7:00,113,12.75,0.8573946,17244.33,4283.467
8/7/2023 8:00,114,13.2,0.8346048,17226.88,4288.915
8/7/2023 9:00,115,13.25,0.8519771,17289.98,4299.146
8/7/2023 10:00,116,13.04,0.8530499,17360.3,4307.173
8/7/2023 11:00,117,13.03,0.8706106,17484.19,4327.31
8/7/2023 12:00,118,13,0.8576416,17617.86,4349.487
8/7/2023 13:00,119,12.97,0.8491346,17725.67,4378.645
8/7/2023 14:00,120,13,0.860974,17837.78,4417.249
8/7/2023 15:00,121,12.94,0.8518879,17954.21,4421.355
8/7/2023 16:00,122,12.92,0.864278,18142.5,4480.493
8/7/2023 17:00,123,12.91,0.8539773,18195.69,4491.171
8/7/2023 18:00,124,12.87,0.86593,18152.57,4491.171
8/7/2023 19:00,125,12.83,0.8576416,18073.51,4489.117
8/7/2023 20:00,126,12.78,0.865886,17998.77,4482.546
8/7/2023 21:00,127,12.75,0.8622218,17869.4,4470.226
8/7/2023 22:00,128,12.74,0.8677181,17717.04,4456.674
8/7/2023 23:00,129,12.72,0.8777947,17627.93,4441.479
8/8/2023 0:00,130,12.72,0.8843772,17515.81,4422.998
8/8/2023 1:00,131,12.71,0.8664806,17451.05,4398.749
8/8/2023 2:00,132,12.71,0.8689586,17357.7,4372.074
8/8/2023 3:00,133,12.7,0.8885072,17280.08,4373.717
8/8/2023 4:00,134,12.7,0.8741305,17353.39,4369.61
8/8/2023 5:00,135,12.68,0.8732145,17278.64,4335.113
8/8/2023 6:00,136,12.69,0.8670313,17274.31,4350.714
8/8/2023 7:00,137,12.73,0.8603897,17230.98,4320.731
8/8/2023 8:00,138,13.16,0.8446835,17279.94,4353.752
8/8/2023 9:00,139,13.19,0.8484353,17297.76,4359.645
8/8/2023 10:00,140,13.04,0.8613057,17469.78,4377.404
8/8/2023 11:00,141,13.02,0.8704664,17627.93,4416.427
8/8/2023 12:00,142,12.99,0.8768787,17758.73,4445.175
8/8/2023 13:00,143,12.95,0.87419,17869.4,4448.049
8/8/2023 14:00,144,13.01,0.8686342,17932.65,4463.655
8/8/2023 15:00,145,12.9,0.891536,18047.64,4481.314
8/8/2023 16:00,146,12.87,0.8878788,18165.5,4524.436
8/8/2023 17:00,147,12.84,0.8915445,18332.24,4549.487
8/8/2023 18:00,148,12.81,0.8888735,18319.3,4538.809
8/8/2023 19:00,149,12.76,0.8799826,18225.87,4523.204
8/8/2023 20:00,150,12.74,0.8860303,18097.95,4529.774
8/8/2023 21:00,151,12.72,0.8824511,17957.08,4498.563
8/8/2023 22:00,152,12.71,0.887872,17830.6,4477.208
8/8/2023 23:00,153,12.7,0.8897041,17685.42,4464.477
8/9/2023 0:00,154,12.7,0.8970325,17535.93,4449.692
8/9/2023 1:00,155,12.68,0.8995217,17438.19,4429.569
8/9/2023 2:00,156,12.68,0.8854797,17303.08,4397.125
8/9/2023 3:00,157,12.67,0.8823756,17198.15,4379.466
8/9/2023 4:00,158,12.67,0.8988646,17166.53,4379.056
8/9/2023 5:00,159,12.66,0.8887837,17055.85,4338.398
8/9/2023 6:00,160,12.65,0.8979485,17061.6,4348.666
8/9/2023 7:00,161,12.71,0.8979485,16936.55,4325.667
8/9/2023 8:00,162,13.12,0.881439,16916.29,4364.765
8/9/2023 9:00,163,13.17,0.8860223,16912.27,4373.913
8/9/2023 10:00,164,13,0.8926373,16956.63,4395.06
8/9/2023 11:00,165,13,0.8906195,17133.47,4455.442
8/9/2023 12:00,166,12.97,0.9132873,17201.03,4452.567
8/9/2023 13:00,167,12.95,0.894014,17362.01,4471.047
8/9/2023 14:00,168,12.88,0.8915356,17418.07,4500.206
8/9/2023 15:00,169,12.86,0.8888048,17469.81,4490.349
8/9/2023 16:00,170,12.83,0.9107734,17461.19,4531.828
8/9/2023 17:00,171,12.81,0.8882651,17626.49,4556.468
8/9/2023 18:00,172,12.77,0.8924713,17714.17,4551.951
8/9/2023 19:00,173,12.74,0.8869638,17663.86,4532.649
8/9/2023 20:00,174,12.71,0.890164,17627.93,4533.471
8/9/2023 21:00,175,12.7,0.905277,17596.3,4516.222
8/9/2023 22:00,176,12.68,0.8961165,17487.06,4502.669
8/9/2023 23:00,177,12.68,0.8841031,17359.14,4471.458
8/10/2023 0:00,178,12.66,0.8794223,17293.02,4463.655
8/10/2023 1:00,179,12.66,0.8695508,17198.15,4450.514
8/10/2023 2:00,180,12.65,0.8741311,17048.66,4431.212
8/10/2023 3:00,181,12.65,0.9025503,16932.24,4406.161
8/10/2023 4:00,182,12.64,0.8942903,16812.94,4378.645
8/10/2023 5:00,183,12.64,0.9077817,16712.32,4382.752
8/10/2023 6:00,184,12.63,0.9077817,16739.63,4383.984
8/10/2023 7:00,185,12.67,0.9006968,16752.57,4377.413
8/10/2023 8:00,186,13.07,0.8648297,16699.74,4439.606
8/10/2023 9:00,187,13.13,0.8796275,16718.39,4487.225
8/10/2023 10:00,188,12.98,0.8988646,16741.05,4498.558
8/10/2023 11:00,189,12.93,0.8835523,16827.31,4549.487
8/10/2023 12:00,190,12.93,0.887872,16975.36,4575.359
8/10/2023 13:00,191,12.9,0.9001006,17143.53,4577.002
8/10/2023 14:00,192,12.86,0.8952862,17303.08,4594.251
8/10/2023 15:00,193,12.82,0.8943869,17475.56,4527.721
8/10/2023 16:00,194,12.8,0.8964984,17589.12,4551.541
8/10/2023 17:00,195,12.76,0.8937397,17681.11,4589.733
8/10/2023 18:00,196,12.73,0.8842077,17767.35,4568.378
8/10/2023 19:00,197,12.69,0.8970437,17783.16,4544.148
8/10/2023 20:00,198,12.67,0.888788,17719.92,4501.848
8/10/2023 21:00,199,12.66,0.905277,17630.8,4494.867
8/10/2023 22:00,200,12.65,0.9088831,17418.07,4475.976
8/10/2023 23:00,201,12.64,0.9182444,17316.02,4434.086
8/11/2023 0:00,202,12.64,0.9089413,17202.46,4421.766
8/11/2023 1:00,203,12.63,0.8978697,17098.97,4391.787
8/11/2023 2:00,204,12.62,0.9061297,16985.42,4384.805
8/11/2023 3:00,205,12.61,0.9055791,16994.04,4379.466
8/11/2023 4:00,206,12.61,0.9098573,16874.74,4344.969
8/11/2023 5:00,207,12.6,0.8933682,16965.3,4351.129
8/11/2023 6:00,208,12.61,0.9019997,16893.43,4322.382
8/11/2023 7:00,209,12.65,0.9208499,16894.87,4379.056
8/11/2023 8:00,210,13.05,0.8768793,16856.17,4472.807
8/11/2023 9:00,211,13.11,0.8816251,16924.27,4585.437
8/11/2023 10:00,212,12.96,0.8814777,17088.91,4563.86
8/11/2023 11:00,213,12.93,0.8936546,17209.65,4659.959
8/11/2023 12:00,214,12.88,0.8938923,17278.64,4649.692
8/11/2023 13:00,215,12.88,0.8981169,17367.76,4671.869
8/11/2023 14:00,216,12.81,0.9160619,17443.94,4676.386
8/11/2023 15:00,217,12.8,0.9058981,17535.93,4684.189
8/11/2023 16:00,218,12.77,0.9074285,17704.11,4731.006
8/11/2023 17:00,219,12.76,0.9238358,17938.4,4721.972
8/11/2023 18:00,220,12.72,0.910616,18043.33,4664.066
8/11/2023 19:00,221,12.68,0.8944958,18069.2,4611.91
8/11/2023 20:00,222,12.65,0.9025476,18128.13,4574.127
8/11/2023 21:00,223,12.64,0.9107739,18053.39,4532.649
8/11/2023 22:00,224,12.62,0.887872,17955.65,4505.134
8/11/2023 23:00,225,12.62,0.8926383,17921.15,4482.546
8/12/2023 0:00,226,12.61,0.8978697,17837.78,4473.922
8/12/2023 1:00,227,12.61,0.888788,17734.29,4452.978
8/12/2023 2:00,228,12.6,0.9016128,17711.29,4436.14
8/12/2023 3:00,229,12.6,0.8915361,17695.48,4447.228
8/12/2023 4:00,230,12.58,0.8933682,17625.05,4436.551
8/12/2023 5:00,231,12.58,0.888788,17556.06,4412.731
8/12/2023 6:00,232,12.57,0.8777953,17479.88,4382.752
8/12/2023 7:00,233,12.63,0.8940151,17385.01,4403.286
8/12/2023 8:00,234,12.87,0.865105,17432.44,4516.633
8/12/2023 9:00,235,13.08,0.8677187,17412.01,4697.703
8/12/2023 10:00,236,12.9,0.8924522,17754.39,4655.024
8/12/2023 11:00,237,12.91,0.883463,17961.4,4742.505
8/12/2023 12:00,238,12.86,0.8926394,18105.13,4695.277
8/12/2023 13:00,239,12.84,0.8797594,18102.26,4714.579
8/12/2023 14:00,240,12.83,0.9030126,18082.13,4722.793
8/12/2023 15:00,241,12.77,0.9018956,18283.37,4761.807
8/12/2023 16:00,242,12.75,0.9042752,18322.18,4779.877
8/12/2023 17:00,243,12.71,0.8808699,18465.91,4756.879
8/12/2023 18:00,244,12.68,0.9157122,18672.89,4706.776
8/12/2023 19:00,245,12.65,0.8799739,18803.7,4675.565
8/12/2023 20:00,246,12.63,0.8978238,18809.45,4583.573
8/12/2023 21:00,247,12.61,0.8796492,18772.07,4543.327
8/12/2023 22:00,248,12.6,0.8849293,18608.21,4473.922
8/12/2023 23:00,249,12.58,0.8805435,18543.53,4480.904
8/13/2023 0:00,250,12.59,0.8830017,18509.04,4504.723
8/13/2023 1:00,251,12.57,0.8984203,18442.92,4482.957
8/13/2023 2:00,252,12.57,0.8849291,18398.36,4476.797
8/13/2023 3:00,253,12.57,0.8937397,18317.86,4441.068
8/13/2023 4:00,254,12.57,0.8897041,18261.81,4411.91
8/13/2023 5:00,255,12.55,0.8869559,18208.62,4375.359
8/13/2023 6:00,256,12.55,0.8769443,18187.06,4342.505
8/13/2023 7:00,257,12.59,0.8704669,18005.96,4373.717
8/13/2023 8:00,258,12.95,0.8673077,18059.59,4567.307
8/13/2023 9:00,259,13.06,0.8585582,18142.27,4772.833
8/13/2023 10:00,260,12.87,0.8963557,18109.45,4737.988
8/13/2023 11:00,261,12.86,0.8946356,18194.25,4871.869
8/13/2023 12:00,262,12.83,0.8845557,18001.64,4785.216
8/13/2023 13:00,263,12.78,0.8928031,17787.47,4726.899
8/13/2023 14:00,264,12.72,0.9028831,17104.72,4776.592
8/13/2023 15:00,265,12.72,0.8863784,16518.28,4792.197
8/13/2023 16:00,266,12.7,0.8983012,16522.59,4839.425
8/13/2023 17:00,267,12.68,0.8973849,16641.89,4776.181
8/13/2023 18:00,268,12.64,0.8858277,16858.93,4717.865
8/13/2023 19:00,269,12.61,0.8937194,16587.27,4662.013
8/13/2023 20:00,270,12.59,0.8819716,16624.64,4610.267
8/13/2023 21:00,271,12.58,0.8944426,16982.54,4572.074
8/13/2023 22:00,272,12.57,0.8851368,16825.87,4542.916
8/13/2023 23:00,273,12.57,0.8979485,16156.06,4491.992
8/14/2023 0:00,274,12.55,0.9006968,15928.95,4485.421
8/14/2023 1:00,275,12.55,0.8827263,16052.57,4440.657
8/14/2023 2:00,276,12.54,0.8851237,16206.37,4420.945
8/14/2023 3:00,277,12.54,0.8929137,16207.8,4406.571
8/14/2023 4:00,278,12.53,0.8810743,16147.43,4394.662
8/14/2023 5:00,279,12.53,0.8948411,16217.86,4379.056
8/14/2023 6:00,280,12.52,0.888788,16421.97,4386.037
8/14/2023 7:00,281,12.58,0.8843783,16383.16,4439.425
8/14/2023 8:00,282,12.9,0.8704669,16508.21,4655.853
8/14/2023 9:00,283,13.03,0.8681337,16269.61,4812.731
8/14/2023 10:00,284,12.83,0.8783277,16071.25,4804.928
8/14/2023 11:00,285,12.83,0.8854721,16091.38,4933.06
8/14/2023 12:00,286,12.81,0.8885819,15392.81,4884.6
8/14/2023 13:00,287,12.84,0.8909703,15060.78,4855.031
8/14/2023 14:00,288,12.72,0.8900539,14839.42,4795.894
8/14/2023 15:00,289,12.66,0.8689774,14852.36,4432.854
8/14/2023 16:00,290,12.63,0.8587232,15052.16,4312.937
8/14/2023 17:00,291,12.59,0.8585759,15253.39,4273.922
8/14/2023 18:00,292,12.56,0.8861597,15221.77,4274.333
8/14/2023 19:00,293,12.53,0.8786463,15200.21,4294.867
8/14/2023 20:00,294,12.52,0.884954,15483.37,4319.507
