Date,,,CO2,
9/13/2023 8:06,2393,12.53,4417,4417
9/13/2023 8:07,2394,12.52,4407,4407
9/13/2023 8:07,2395,12.53,4394,4394
9/13/2023 8:08,2396,12.52,4381,4381
9/13/2023 8:08,2397,12.52,4362,4362
9/13/2023 8:09,2398,12.53,4330,4330
9/13/2023 8:09,2399,12.53,4319,4319
9/13/2023 8:10,2400,12.52,4293,4293
9/13/2023 8:10,2401,12.52,4278,4278
9/13/2023 8:11,2402,12.52,4263,4263
9/13/2023 8:11,2403,12.52,4221,4221
9/13/2023 8:12,2404,12.52,4186,4186
9/13/2023 8:12,2405,12.52,4167,4167
9/13/2023 8:13,2406,12.52,4138,4138
9/13/2023 8:13,2407,12.52,4124,4124
9/13/2023 8:14,2408,12.52,4115,4115
9/13/2023 8:14,2409,12.53,4095,4095
9/13/2023 8:15,2410,12.52,4076,4076
9/13/2023 8:15,2411,12.52,4056,4056
9/13/2023 8:16,2412,12.52,4045,4045
9/13/2023 8:16,2413,12.52,4030,4030
9/13/2023 8:17,2414,12.52,4019,4019
9/13/2023 8:17,2415,12.52,4014,4014
9/13/2023 8:18,2416,12.52,4002,4002
9/13/2023 8:18,2417,12.52,3983,3983
9/13/2023 8:19,2418,12.52,3974,3974
9/13/2023 8:19,2419,12.52,3963,3963
9/13/2023 8:20,2420,12.52,3949,3949
9/13/2023 8:20,2421,12.51,3944,3944
