Date,CO2,
2024-02-09T12:19:40Z,447.771114,
2024-02-09T12:19:50Z,480.6998784,
2024-02-09T12:20:00Z,513.2744316,
2024-02-09T12:20:10Z,544.1465484,
2024-02-09T12:20:20Z,574.7223132,
2024-02-09T12:20:30Z,604.6759152,
2024-02-09T12:20:40Z,634.6524492,
2024-02-09T12:20:50Z,664.6924872,
2024-02-09T12:21:00Z,694.4649264,
2024-02-09T12:21:20Z,752.7458988,
2024-02-09T12:21:30Z,782.3484648,
2024-02-09T12:21:40Z,812.037996,
2024-02-09T12:21:50Z,841.697892,
2024-02-09T12:22:00Z,871.0030476,
2024-02-09T12:22:10Z,899.7287292,
2024-02-09T12:22:20Z,926.2774584,
2024-02-09T12:22:30Z,953.9708472,
2024-02-09T12:22:40Z,981.63513,
2024-02-09T12:22:50Z,1009.226207,
2024-02-09T12:23:00Z,1036.838628,
2024-02-09T12:23:10Z,1064.219436,
2024-02-09T12:23:20Z,1089.904158,
2024-02-09T12:23:30Z,1117.217405,
2024-02-09T12:23:40Z,1145.567884,
2024-02-09T12:23:50Z,1173.047652,
2024-02-09T12:24:00Z,1199.57733,
2024-02-09T12:24:10Z,1225.136455,
2024-02-09T12:24:30Z,1273.69179,
2024-02-09T12:24:40Z,1298.536142,
2024-02-09T12:24:50Z,1323.361973,
2024-02-09T12:25:00Z,1348.178454,
2024-02-09T12:25:10Z,1372.685353,
2024-02-09T12:25:20Z,1396.857269,
2024-02-09T12:25:30Z,1418.732104,
2024-02-09T12:25:40Z,1442.144441,
2024-02-09T12:25:50Z,1466.026002,
2024-02-09T12:26:00Z,1489.794667,
2024-02-09T12:26:10Z,1513.229054,
2024-02-09T12:26:20Z,1536.700133,
2024-02-09T12:26:30Z,1558.058821,
2024-02-09T12:26:40Z,1580.385593,
2024-02-09T12:26:50Z,1603.53527,
2024-02-09T12:27:00Z,1626.551413,
2024-02-09T12:27:10Z,1649.256386,
2024-02-09T12:27:20Z,1671.677708,
2024-02-09T12:27:30Z,1692.579874,
2024-02-09T12:27:40Z,1713.419946,
2024-02-09T12:27:50Z,1735.448602,
2024-02-09T12:28:00Z,1757.521004,
2024-02-09T12:28:10Z,1779.932448,
2024-02-09T12:28:20Z,1802.841516,
2024-02-09T12:28:40Z,1844.558352,
2024-02-09T12:28:50Z,1865.8269,
2024-02-09T12:29:00Z,1887.2595,
2024-02-09T12:29:10Z,1908.573912,
2024-02-09T12:29:20Z,1929.720744,
2024-02-09T12:29:30Z,1950.74586,
2024-02-09T12:29:40Z,1969.599492,
2024-02-09T12:29:50Z,1989.792,
2024-02-09T12:30:00Z,2010.750084,
2024-02-09T12:30:10Z,2031.782256,
2024-02-09T12:30:20Z,2052.659196,
2024-02-09T12:30:30Z,2073.442644,
2024-02-09T12:30:40Z,2091.925836,
2024-02-09T12:30:50Z,2111.116392,
2024-02-09T12:31:00Z,2131.693452,
2024-02-09T12:31:10Z,2152.349892,
2024-02-09T12:31:20Z,2172.597084,
2024-02-09T12:31:30Z,2192.733144,
2024-02-09T12:31:50Z,2229.884748,
2024-02-09T12:32:00Z,2249.869104,
2024-02-09T12:32:10Z,2269.76526,
2024-02-09T12:32:20Z,2289.499128,
2024-02-09T12:32:30Z,2309.028372,
2024-02-09T12:32:40Z,2328.755184,
2024-02-09T12:32:50Z,2345.446152,
2024-02-09T12:33:00Z,2364.490296,
2024-02-09T12:33:10Z,2383.9578,
2024-02-09T12:33:20Z,2403.16776,
2024-02-09T12:33:30Z,2421.829116,
2024-02-09T12:33:40Z,2440.437552,
2024-02-09T12:33:50Z,2456.703396,
2024-02-09T12:34:00Z,2474.152884,
2024-02-09T12:34:10Z,2492.791308,
2024-02-09T12:34:20Z,2511.602604,
2024-02-09T12:34:30Z,2530.348632,
2024-02-09T12:34:40Z,2548.793016,
2024-02-09T12:35:00Z,2582.547156,
2024-02-09T12:35:10Z,2600.908632,
2024-02-09T12:35:20Z,2619.569988,
2024-02-09T12:35:30Z,2638.139616,
2024-02-09T12:35:40Z,2656.612224,
2024-02-09T12:35:50Z,2675.174796,
2024-02-09T12:36:00Z,2690.246412,
2024-02-09T12:36:10Z,2708.281548,
2024-02-09T12:36:20Z,2727.154584,
2024-02-09T12:36:30Z,2747.514672,
2024-02-09T12:36:40Z,2767.253832,
2024-02-09T12:36:50Z,2786.349132,
2024-02-09T12:37:00Z,2802.004632,
2024-02-09T12:37:10Z,2820.593664,
2024-02-09T12:37:20Z,2840.82498,
2024-02-09T12:37:30Z,2860.684092,
2024-02-09T12:37:40Z,2879.779392,
2024-02-09T12:37:50Z,2898.220248,
2024-02-09T12:38:00Z,2914.124472,
2024-02-09T12:38:10Z,2930.628456,
2024-02-09T12:38:20Z,2947.892724,
