SampleName,Rundate,Runtime,Position,N2O_dry_mean,CO2_dry_mean,CH4_dry_mean,NH3_mean,H2O_mean,OutletValve_mean,ChemDetect
6GW1_12092024_1,20241211,120729,1,0.50760860480911107,10913.112638733332,91.524130987333336,72.167752229455559,3.7159327571655556,20445.456106588892,1.0
6GW3_12092024_1,20241211,121220,2,0.51832672921327261,12142.045059290909,602.63330992418173,78.285245171199989,3.534633635245453,19003.747780199999,1.0
6GW4_12092024_1,20241211,121711,3,0.46675818355463777,15838.854878188404,137.13411087901446,70.701102291043483,3.4786501905173921,19002.953090463769,1.0
9GW1_12092024_1,20241211,122201,4,-2.0543650649310341,18775.821286551727,-0.0020924568381655169,24.127086942231038,3.4330241932206902,19064.746592413794,1.0
9GW3_12092024_1,20241211,122652,5,0.023937551909835156,52.5246493407857,7.6892026919181289,21.185920867813177,0.3070548797315934,19647.014707945054,0.0
5GW3_12092024_1,20241211,123142,6,-1.2584481543000003,47982.240566499997,-13.206084834248472,47.141124033735295,3.6865502402117647,19051.999278676471,1.0
5GW2_12092024_1,20241211,123633,7,0.34272347067374992,16975.976881640621,290.16696222624995,68.268957305296851,3.4502800244921867,19003.129025437502,1.0
5GW8_12092024_1,20241211,124124,8,0.4933377623146511,27630.887006139528,1732.72139072093,65.241014444720932,3.1620812382860466,19037.791258209301,1.0
6GW3_12092024_2,20241211,124615,9,0.50117842521410716,11901.618030089287,569.03329859678593,72.981880904071417,3.8228359257232141,19002.614962874999,1.0
5GW3_12092024_1,20241211,125105,10,-1.1551084353862069,45707.455867310346,0.052128253260896547,45.452634191448261,3.3752219088448281,19024.068970724136,1.0
5GW8_12092024_1,20241211,125556,11,0.46800680997022226,25658.137703155557,1396.6457782933333,64.560810022666672,3.2658731328688879,19057.141333288888,1.0
5GW5_12092024_1,20241211,130046,12,-0.21224781196985298,53647.486684014722,130.23419867975002,62.707545872764726,3.4875843531044102,19000.0,1.0
5GW7_12092024_1,20241211,130537,13,0.095742171536803575,38991.671360232147,600.50053723160715,60.570770973839281,3.0610885446946439,19002.643172410717,1.0
6GW1_12092024_1,20241211,131028,14,0.43701672316171875,509.712804601198,2.3078629970390625,42.055379545114576,3.0662907273322921,34112.36742518752,0.0
9GW2_12092024_1,20241211,131518,15,0.24316522259102039,25047.985571448975,1194.253651912245,49.111342118877559,3.8456291912408158,19012.360360469389,1.0
9GW2_12092024_2,20241211,132009,16,0.26352681311785719,21352.171496749994,777.07650005750031,49.265641958089283,3.3466888340321432,19000.542293089286,1.0
9GW4_12092024_1,20241211,132500,17,-0.072001505382971412,15139.590800240087,599.45505498885723,51.104840137171436,4.4254363871428568,19001.051255028571,1.0
9GW5_12092024_1,20241211,132950,18,0.45548053849744441,9203.5204371288855,71.316321490655554,52.737258927933325,3.5681800472166674,19000.0,1.0
5GW4_12092024_1,20241211,133441,19,0.15173133341681164,29855.420938869564,309.44077243521735,52.568442459130424,3.8386607417028986,19000.0,1.0
9GW4_12092024_2,20241211,133931,20,0.025048490033357147,38339.500813178565,637.43233973053589,46.742650698410706,3.0721387308696424,19000.0,1.0
5GW7_12092024_2,20241211,134422,21,0.12603412267403505,31784.982057017532,452.20244215789467,44.928876683964901,2.7741246987280697,19053.824822350878,1.0
9GW1_12092024_2,20241211,134913,22,-2.6447499836757578,16911.886483363633,31.287186693098935,0.45405184803030263,3.6019167461484849,19011.703577303033,1.0
9GW5_12092024_2,20241211,135403,23,0.42290149108046277,5637.2794337231198,45.77548770772254,47.570917229734086,3.220743452218497,19000.0,0.0
5GW2_12092024_2,20241211,135854,24,0.32173536838492756,16847.44414262319,218.32093684086956,49.763740829594198,3.6851408306376809,19000.0,1.0
6GW4_12092024_2,20241211,140344,25,0.40618616351470577,15552.977718073529,127.89822305023533,47.513909679161763,3.3989587131955878,19000.0,1.0
5GW5_12092024_2,20241211,140835,26,-0.25613057678772727,56110.104743409116,140.49660632578781,46.841817353515147,3.7741633891030304,19001.428733000001,1.0
5GW4_12092024_2,20241211,141326,27,0.15321181425550726,28787.185932536227,300.61232856028982,46.437660781666672,3.4630343331840585,19000.0,1.0
5GW6_12092024_1,20241211,141816,28,0.27436444804266669,28471.148112488885,1406.9622504082222,47.634238360733342,3.6758047834866661,19097.684966688888,1.0
9GW3_12092024_2,20241211,142307,29,0.031251506764685723,42443.696701000008,1378.167225002449,41.297083008469393,2.8642815431897954,19003.228756469391,1.0
9GW3_12092024_2,20241211,142758,30,0.082693636807395346,39318.049665790692,1330.6407089813952,46.141532277279069,3.4872719085441859,19000.0,1.0
6GW2_12092024_1,20241211,143248,31,0.27908772802083337,25806.7681261875,1176.5553929431255,44.400249865187497,3.2943735924124997,19001.009640229167,1.0
5GW6_12092024_2,20241211,143739,32,0.07890679421864584,38348.017638791673,1168.8712747858333,41.488798243750004,3.3525431075583332,19000.0,1.0
6GW2_12092024_2,20241211,144229,33,0.023477934958418135,97.925404209849745,1.2967483671699485,12.207269123315026,0.30085359643896364,19000.0,0.0
9GW1_12092024_2,20241211,144720,34,0.38846425750271801,573.73597202651274,2.4761993378425635,11.760212568107704,1.6429260016866669,36004.026011307687,0.0
