Date,,,CDOM,CO2,CO2hi
8/2/2023 9:45,4,13.94,38.42513,133.0382,91.55315
8/2/2023 9:45,5,13.91,38.28759,8119.62,5247.14
8/2/2023 9:45,6,13.87,38.19589,21008.59,4091.69
8/2/2023 9:45,7,13.76,38.15004,21007.16,4087.603
8/2/2023 9:45,8,13.73,37.9208,21010.02,4102.726
8/2/2023 9:45,9,13.71,38.24174,21010.02,4124.388
8/2/2023 9:46,10,13.72,38.37928,21011.45,4138.284
8/2/2023 9:46,11,13.72,38.56268,21008.59,4160.355
8/2/2023 9:46,12,13.74,38.47098,21008.59,4173.434
8/2/2023 10:00,13,14.1,36.72555,978.4742,258.3107
8/2/2023 11:00,14,14.34,37.0928,10026.5,4166.486
8/2/2023 12:00,15,14.21,37.22935,9839.103,4195.914
8/2/2023 13:00,16,13.59,37.45891,9670.301,4213.488
8/2/2023 14:00,17,13.61,37.68848,9442.849,4217.576
8/2/2023 15:00,18,13.65,37.4581,9268.325,4238.012
8/2/2023 16:00,19,13.59,37.36809,9178.203,4262.535
8/2/2023 17:00,20,13.71,37.04594,8995.097,4244.551
8/2/2023 18:00,21,13.57,36.86466,8840.601,4258.448
8/2/2023 19:00,22,13.05,36.91019,8779.089,4255.586
8/2/2023 20:00,23,12.92,36.81829,8630.314,4239.646
8/2/2023 21:00,24,12.9,36.68579,8653.203,4255.995
8/2/2023 22:00,25,12.88,36.50372,8543.053,4231.881
8/2/2023 23:00,26,12.86,36.32016,8504.429,4227.385
8/3/2023 0:00,27,12.85,36.18342,8541.622,4239.238
8/3/2023 1:00,28,12.83,36.09187,8490.124,4222.889
8/3/2023 2:00,29,12.78,35.90844,8378.543,4199.592
8/3/2023 3:00,30,12.77,35.86307,8309.879,4191.826
8/3/2023 4:00,31,12.77,35.86288,8248.366,4186.513
8/3/2023 5:00,32,12.78,35.72557,8183.993,4178.748
8/3/2023 6:00,33,12.79,35.67999,8126.772,4166.895
8/3/2023 7:00,34,12.85,35.54242,8073.843,4155.859
8/3/2023 8:00,35,13.15,35.54106,8056.677,4158.72
8/3/2023 9:00,36,13.37,35.35021,8082.426,4188.557
8/3/2023 10:00,37,13.58,35.35004,8036.649,4205.723
8/3/2023 11:00,38,13.52,35.16883,8003.748,4218.802
8/3/2023 12:00,39,13.93,35.07651,7916.486,4219.619
8/3/2023 13:00,40,14.23,34.93922,7880.723,4251.5
8/3/2023 14:00,41,13.58,34.80259,7905.042,4277.657
8/3/2023 15:00,42,13.59,34.52563,7779.156,4287.058
8/3/2023 16:00,43,13.54,34.38822,7759.129,4294.415
8/3/2023 17:00,44,13.61,34.20461,7709.061,4320.982
8/3/2023 18:00,45,13.18,34.29458,7578.884,4313.216
8/3/2023 19:00,46,12.95,34.06697,7510.219,4295.641
8/3/2023 20:00,47,12.92,34.06725,7534.538,4289.102
8/3/2023 21:00,48,12.9,33.94911,7550.273,4302.589
8/3/2023 22:00,49,12.88,33.91424,7500.206,4292.372
8/3/2023 23:00,50,12.87,33.97717,7481.609,4268.257
8/4/2023 0:00,51,12.85,33.7979,7525.955,4285.423
8/4/2023 1:00,52,12.84,33.74228,7417.235,4249.047
8/4/2023 2:00,53,12.82,33.60376,7470.165,4264.987
8/4/2023 3:00,54,12.8,33.60452,7415.805,4236.786
8/4/2023 4:00,55,12.78,33.48482,7341.418,4224.115
8/4/2023 5:00,56,12.77,33.40319,7357.154,4228.611
8/4/2023 6:00,57,12.79,33.35825,7364.306,4228.611
8/4/2023 7:00,58,12.9,33.28387,7342.849,4222.072
8/4/2023 8:00,59,13.14,33.23784,7282.767,4212.671
8/4/2023 9:00,60,13.38,33.07189,7208.38,4228.203
8/4/2023 10:00,61,13.53,32.99664,7235.56,4253.134
8/4/2023 11:00,62,13.78,32.82269,7206.949,4284.197
8/4/2023 12:00,63,14.16,32.77698,7111.104,4299.729
8/4/2023 13:00,64,13.46,32.26636,6926.568,4289.919
8/4/2023 14:00,65,13.02,33.96201,6362.944,4226.976
8/4/2023 15:00,66,13.24,33.35874,6975.206,4231.881
8/4/2023 16:00,67,14.36,33.29473,7442.985,4243.734
8/4/2023 17:00,68,14.39,33.22149,7402.93,4220.845
8/4/2023 18:00,69,13.67,32.58923,7563.148,4240.873
8/4/2023 19:00,70,12.97,30.76302,7677.59,4244.143
8/4/2023 20:00,71,12.89,31.62041,7505.927,4219.21
8/4/2023 21:00,72,12.9,30.44949,7627.521,4230.655
8/4/2023 22:00,73,12.89,32.58129,8611.718,4234.742
8/4/2023 23:00,74,12.88,28.87754,8852.045,4212.671
8/5/2023 0:00,75,12.87,32.07797,8537.331,4197.14
8/5/2023 1:00,76,12.85,31.63858,8115.328,4200.001
8/5/2023 2:00,77,12.83,27.55182,7873.571,4204.905
8/5/2023 3:00,78,12.81,31.25448,7733.38,4207.358
8/5/2023 4:00,79,12.79,31.45531,7626.091,4203.271
8/5/2023 5:00,80,12.78,31.3273,7576.023,4198.774
8/5/2023 6:00,81,12.77,31.20844,7528.816,4191.417
8/5/2023 7:00,82,12.83,31.17187,7493.053,4186.513
8/5/2023 8:00,83,12.99,31.15545,7440.124,4184.061
8/5/2023 9:00,84,12.81,31.2532,7186.922,4183.243
8/5/2023 10:00,85,13.34,31.4013,7271.323,4182.426
8/5/2023 11:00,86,13.68,31.34796,7314.238,4195.914
8/5/2023 12:00,87,14.3,31.33838,7338.557,4224.933
8/5/2023 13:00,88,14.33,31.25057,7351.432,4242.099
8/5/2023 14:00,89,13.65,31.09545,7224.115,4236.377
8/5/2023 15:00,90,13.76,31.04053,7264.17,4266.622
8/5/2023 16:00,91,13.58,30.96853,7199.797,4257.63
8/5/2023 17:00,92,13.76,30.71282,7221.254,4282.153
8/5/2023 18:00,93,13.56,30.51886,7189.783,4258.039
8/5/2023 19:00,94,12.98,30.37535,7291.35,4281.336
8/5/2023 20:00,95,12.94,30.05565,7242.712,4253.134
8/5/2023 21:00,96,12.93,30.17556,7341.418,4273.979
8/5/2023 22:00,97,12.92,30.1589,7259.878,4244.96
8/5/2023 23:00,98,12.9,29.85558,7360.015,4266.622
8/6/2023 0:00,99,12.89,29.91149,7301.363,4236.786
8/6/2023 1:00,100,12.88,30.04036,7329.974,4250.273
8/6/2023 2:00,101,12.86,27.76237,7354.292,4247.003
8/6/2023 3:00,102,12.84,24.14171,7265.601,4225.341
8/6/2023 4:00,103,12.82,30.488,7317.099,4242.917
8/6/2023 5:00,104,12.81,30.02095,7322.821,4232.29
8/6/2023 6:00,105,12.79,27.89973,7278.475,4209.81
8/6/2023 7:00,106,12.87,30.68092,7271.323,4219.619
8/6/2023 8:00,107,12.98,30.81668,7308.516,4235.15
8/6/2023 9:00,108,13.39,30.83253,7295.641,4238.012
8/6/2023 10:00,109,13.48,30.83881,7226.977,4231.881
8/6/2023 11:00,110,13.68,30.87732,7204.088,4264.579
8/6/2023 12:00,111,13.97,30.76845,7245.573,4282.562
8/6/2023 13:00,112,14.18,30.64738,7239.851,4322.208
8/6/2023 14:00,113,13.7,30.60192,7194.075,4327.112
8/6/2023 15:00,114,13.64,30.36325,7136.854,4333.243
8/6/2023 16:00,115,13.57,30.25525,7128.271,4341.009
8/6/2023 17:00,116,13.58,30.03496,7121.118,4350.001
8/6/2023 18:00,117,13.57,29.86245,7174.047,4360.627
8/6/2023 19:00,118,12.97,29.82696,7218.394,4368.802
8/6/2023 20:00,119,12.94,29.71542,7269.892,4373.298
8/6/2023 21:00,120,12.92,29.65335,7288.489,4363.489
8/6/2023 22:00,121,12.92,29.48007,7312.808,4351.636
8/6/2023 23:00,122,12.91,29.50855,7334.265,4340.191
8/7/2023 0:00,123,12.89,29.4064,7342.849,4332.017
8/7/2023 1:00,124,12.87,29.73692,7357.154,4324.66
8/7/2023 2:00,125,12.86,29.79374,7374.32,4320.982
8/7/2023 3:00,126,12.84,29.62716,7347.14,4320.164
8/7/2023 4:00,127,12.83,29.72752,7302.794,4305.859
8/7/2023 5:00,128,12.81,29.56277,7234.129,4279.292
8/7/2023 6:00,129,12.81,29.51713,7281.336,4279.292
8/7/2023 7:00,130,12.84,29.43484,7238.42,4284.605
8/7/2023 8:00,131,13.12,29.52659,7206.949,4261.717
8/7/2023 9:00,132,13.35,29.42153,7229.837,4289.919
8/7/2023 10:00,133,13.45,28.16176,7189.783,4283.788
8/7/2023 11:00,134,13.58,29.45004,7239.851,4323.025
8/7/2023 12:00,135,14.13,27.37519,7254.156,4351.636
8/7/2023 13:00,136,14.24,29.61434,7239.851,4373.707
8/7/2023 14:00,137,13.61,29.07535,7231.268,4382.698
8/7/2023 15:00,138,13.54,25.36473,7175.478,4376.976
8/7/2023 16:00,139,13.55,25.68365,7123.979,4397.412
8/7/2023 17:00,140,13.61,29.28618,7175.478,4423.57
8/7/2023 18:00,141,13.62,29.09294,7138.284,4407.63
8/7/2023 19:00,142,12.99,28.96884,7209.81,4433.788
8/7/2023 20:00,143,12.93,28.7743,7185.492,4404.769
8/7/2023 21:00,144,12.93,28.78484,7254.156,4424.388
8/7/2023 22:00,145,12.91,28.39275,7215.532,4392.099
8/7/2023 23:00,146,12.91,28.57372,7291.35,4401.5
8/8/2023 0:00,147,12.89,27.41474,7357.154,4389.646
8/8/2023 1:00,148,12.87,26.59107,7289.919,4363.08
8/8/2023 2:00,149,12.86,28.09071,7295.641,4363.897
8/8/2023 3:00,150,12.84,28.52139,7347.14,4362.671
8/8/2023 4:00,151,12.83,28.44727,7370.028,4356.541
8/8/2023 5:00,152,12.82,26.93957,7344.279,4346.731
8/8/2023 6:00,153,12.81,24.49806,7331.404,4332.834
8/8/2023 7:00,154,12.85,24.18804,7281.336,4317.712
8/8/2023 8:00,155,13.13,28.45837,7291.35,4314.442
8/8/2023 9:00,156,13.34,28.30794,7317.099,4328.748
8/8/2023 10:00,157,13.44,28.29881,7282.767,4342.235
8/8/2023 11:00,158,13.6,28.23583,7212.671,4364.306
8/8/2023 12:00,159,14.12,26.6524,7262.739,4408.448
8/8/2023 13:00,160,14.07,27.86874,7204.088,4434.197
8/8/2023 14:00,161,13.57,27.54017,7123.979,4449.32
8/8/2023 15:00,162,13.57,27.41179,7089.647,4470.982
8/8/2023 16:00,163,13.55,27.25495,7052.453,4480.382
8/8/2023 17:00,164,13.66,27.13712,7009.538,4473.843
8/8/2023 18:00,165,13.37,27.25706,6925.137,4460.764
8/8/2023 19:00,166,12.97,27.08547,6882.222,4459.538
8/8/2023 20:00,167,12.93,24.65288,6907.971,4450.137
8/8/2023 21:00,168,12.92,24.71702,6929.429,4429.701
8/8/2023 22:00,169,12.91,26.89307,6992.372,4427.249
8/8/2023 23:00,170,12.89,26.84759,7055.314,4435.423
8/9/2023 0:00,171,12.88,26.71095,7002.385,4404.769
8/9/2023 1:00,172,12.86,26.60049,7111.104,4410.9
8/9/2023 2:00,173,12.86,26.50943,7049.592,4383.107
8/9/2023 3:00,174,12.84,26.42672,7152.589,4393.734
8/9/2023 4:00,175,12.83,26.27127,7146.868,4365.532
8/9/2023 5:00,176,12.82,26.20788,7128.271,4342.235
8/9/2023 6:00,177,12.8,26.24383,7136.854,4329.156
8/9/2023 7:00,178,12.85,26.12515,7136.854,4332.834
