Date,,,CO2,
9/8/2023 11:02,2313,12.55,3629,3629
9/8/2023 11:02,2314,12.55,3587,3587
9/8/2023 11:03,2315,12.55,3537,3537
9/8/2023 11:03,2316,12.55,3470,3470
9/8/2023 11:04,2317,12.55,3439,3439
9/8/2023 11:04,2318,12.55,3412,3412
9/8/2023 11:05,2319,12.55,3352,3352
9/8/2023 11:05,2320,12.55,3308,3308
9/8/2023 11:06,2321,12.55,3270,3270
9/8/2023 11:06,2322,12.55,3215,3215
9/8/2023 11:07,2323,12.55,3166,3166
9/8/2023 11:07,2324,12.54,3063,3063
9/8/2023 11:08,2325,12.55,2968,2968
9/8/2023 11:08,2326,12.54,2884,2884
9/8/2023 11:09,2327,12.54,2799,2799
9/8/2023 11:09,2328,12.55,2738,2738
9/8/2023 11:10,2329,12.55,2676,2676
9/8/2023 11:10,2330,12.55,2625,2625
9/8/2023 11:11,2331,12.55,2587,2587
9/8/2023 11:11,2332,12.55,2561,2561
9/8/2023 11:12,2333,12.55,2527,2527
9/8/2023 11:12,2334,12.54,2475,2475
9/8/2023 11:13,2335,12.55,2420,2420
9/8/2023 11:13,2336,12.54,2342,2342
9/8/2023 11:14,2337,12.54,2306,2306
9/8/2023 11:14,2338,12.54,2271,2271
9/8/2023 11:15,2339,12.55,2232,2232
9/8/2023 11:15,2340,12.55,2200,2200
9/8/2023 11:16,2341,12.55,2197,2197
9/8/2023 11:16,2342,12.55,2200,2200
9/8/2023 11:17,2343,12.54,2203,2203
