"Plot Title: Bradford_DO15_09262025"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21446161, SEN S/N: 21446161)","Temp, °F (LGR S/N: 21446161, SEN S/N: 21446161)","Expired Sensor Cap (LGR S/N: 21446161, SEN S/N: 21446161)","Coupler Attached (LGR S/N: 21446161, SEN S/N: 21446161)","Stopped (LGR S/N: 21446161, SEN S/N: 21446161)","End Of File (LGR S/N: 21446161, SEN S/N: 21446161)"
1,08/13/25 10:00:00 AM,2.71,79.66,,,,
2,08/13/25 11:00:00 AM,2.70,80.10,,,,
3,08/13/25 12:00:00 PM,2.67,80.78,,,,
4,08/13/25 01:00:00 PM,2.65,81.39,,,,
5,08/13/25 02:00:00 PM,2.63,81.57,,,,
6,08/13/25 03:00:00 PM,2.63,81.36,,,,
7,08/13/25 04:00:00 PM,2.63,81.25,,,,
8,08/13/25 05:00:00 PM,2.62,81.32,,,,
9,08/13/25 06:00:00 PM,2.62,81.50,,,,
10,08/13/25 07:00:00 PM,2.61,81.50,,,,
11,08/13/25 08:00:00 PM,2.60,81.39,,,,
12,08/13/25 09:00:00 PM,2.60,81.18,,,,
13,08/13/25 10:00:00 PM,2.61,80.92,,,,
14,08/13/25 11:00:00 PM,2.62,80.67,,,,
15,08/14/25 12:00:00 AM,2.62,80.49,,,,
16,08/14/25 01:00:00 AM,2.62,80.31,,,,
17,08/14/25 02:00:00 AM,2.63,80.10,,,,
18,08/14/25 03:00:00 AM,2.63,79.88,,,,
19,08/14/25 04:00:00 AM,2.64,79.66,,,,
20,08/14/25 05:00:00 AM,2.64,79.45,,,,
21,08/14/25 06:00:00 AM,2.65,79.27,,,,
22,08/14/25 07:00:00 AM,2.67,79.12,,,,
23,08/14/25 08:00:00 AM,2.67,79.20,,,,
24,08/14/25 09:00:00 AM,2.67,79.48,,,,
25,08/14/25 10:00:00 AM,2.67,79.84,,,,
26,08/14/25 11:00:00 AM,2.67,80.42,,,,
27,08/14/25 12:00:00 PM,2.63,80.92,,,,
28,08/14/25 01:00:00 PM,2.62,81.72,,,,
29,08/14/25 02:00:00 PM,2.58,81.97,,,,
30,08/14/25 03:00:00 PM,2.56,82.04,,,,
31,08/14/25 04:00:00 PM,2.54,82.22,,,,
32,08/14/25 05:00:00 PM,2.51,82.26,,,,
33,08/14/25 06:00:00 PM,2.49,82.44,,,,
34,08/14/25 07:00:00 PM,2.45,82.40,,,,
35,08/14/25 08:00:00 PM,2.44,82.15,,,,
36,08/14/25 09:00:00 PM,2.44,81.93,,,,
37,08/14/25 10:00:00 PM,2.44,81.64,,,,
38,08/14/25 11:00:00 PM,2.44,81.28,,,,
39,08/15/25 12:00:00 AM,2.45,80.92,,,,
40,08/15/25 01:00:00 AM,2.46,80.60,,,,
41,08/15/25 02:00:00 AM,2.46,80.31,,,,
42,08/15/25 03:00:00 AM,2.47,80.02,,,,
43,08/15/25 04:00:00 AM,2.47,79.77,,,,
44,08/15/25 05:00:00 AM,2.50,79.48,,,,
45,08/15/25 06:00:00 AM,2.49,79.27,,,,
46,08/15/25 07:00:00 AM,2.49,79.09,,,,
47,08/15/25 08:00:00 AM,2.49,79.23,,,,
48,08/15/25 09:00:00 AM,2.45,79.59,,,,
49,08/15/25 10:00:00 AM,2.46,79.99,,,,
50,08/15/25 11:00:00 AM,2.45,80.64,,,,
51,08/15/25 12:00:00 PM,2.43,81.21,,,,
52,08/15/25 01:00:00 PM,2.40,82.08,,,,
53,08/15/25 02:00:00 PM,2.35,82.44,,,,
54,08/15/25 03:00:00 PM,2.32,82.80,,,,
55,08/15/25 04:00:00 PM,2.27,83.19,,,,
56,08/15/25 05:00:00 PM,2.25,82.76,,,,
57,08/15/25 06:00:00 PM,2.22,82.62,,,,
58,08/15/25 07:00:00 PM,2.19,82.29,,,,
59,08/15/25 08:00:00 PM,2.19,81.97,,,,
60,08/15/25 09:00:00 PM,2.21,81.46,,,,
61,08/15/25 10:00:00 PM,2.19,81.21,,,,
62,08/15/25 11:00:00 PM,2.21,80.85,,,,
63,08/16/25 12:00:00 AM,2.21,80.49,,,,
64,08/16/25 01:00:00 AM,2.21,80.17,,,,
65,08/16/25 02:00:00 AM,2.21,79.88,,,,
66,08/16/25 03:00:00 AM,2.22,79.59,,,,
67,08/16/25 04:00:00 AM,2.23,79.34,,,,
68,08/16/25 05:00:00 AM,2.23,79.05,,,,
69,08/16/25 06:00:00 AM,2.24,78.84,,,,
70,08/16/25 07:00:00 AM,2.25,78.62,,,,
71,08/16/25 08:00:00 AM,2.25,78.69,,,,
72,08/16/25 09:00:00 AM,2.25,79.02,,,,
73,08/16/25 10:00:00 AM,2.25,79.59,,,,
74,08/16/25 11:00:00 AM,2.23,80.38,,,,
