"Plot Title: Bradford5a_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733147, SEN S/N: 10733147)","Temp, °F (LGR S/N: 10733147, SEN S/N: 10733147)","Coupler Attached (LGR S/N: 10733147, SEN S/N: 10733147)","Coupler Detached (LGR S/N: 10733147, SEN S/N: 10733147)","Stopped (LGR S/N: 10733147, SEN S/N: 10733147)","End Of File (LGR S/N: 10733147, SEN S/N: 10733147)"
1,04/18/24 11:00:00 AM,3.37,72.79,,,,
2,04/18/24 12:00:00 PM,-0.01,66.13,,,,
3,04/18/24 01:00:00 PM,0.00,66.34,,,,
4,04/18/24 02:00:00 PM,-0.01,66.52,,,,
5,04/18/24 03:00:00 PM,-0.01,66.63,,,,
6,04/18/24 04:00:00 PM,-0.01,66.92,,,,
7,04/18/24 05:00:00 PM,-0.01,67.28,,,,
8,04/18/24 06:00:00 PM,-0.01,67.53,,,,
9,04/18/24 07:00:00 PM,-0.01,67.71,,,,
10,04/18/24 08:00:00 PM,-0.01,67.82,,,,
11,04/18/24 09:00:00 PM,-0.01,67.89,,,,
12,04/18/24 10:00:00 PM,-0.01,67.93,,,,
13,04/18/24 11:00:00 PM,-0.01,67.93,,,,
14,04/19/24 12:00:00 AM,-0.01,67.86,,,,
15,04/19/24 01:00:00 AM,-0.01,67.71,,,,
16,04/19/24 02:00:00 AM,-0.01,67.53,,,,
17,04/19/24 03:00:00 AM,-0.01,67.28,,,,
18,04/19/24 04:00:00 AM,0.00,67.06,,,,
19,04/19/24 05:00:00 AM,0.03,66.81,,,,
20,04/19/24 06:00:00 AM,0.17,66.60,,,,
21,04/19/24 07:00:00 AM,0.04,66.45,,,,
22,04/19/24 08:00:00 AM,0.10,66.42,,,,
23,04/19/24 09:00:00 AM,-0.01,66.42,,,,
24,04/19/24 10:00:00 AM,-0.01,66.49,,,,
25,04/19/24 11:00:00 AM,-0.01,66.60,,,,
26,04/19/24 12:00:00 PM,-0.01,66.78,,,,
27,04/19/24 01:00:00 PM,-0.01,67.06,,,,
28,04/19/24 02:00:00 PM,-0.01,67.32,,,,
29,04/19/24 03:00:00 PM,-0.01,67.68,,,,
30,04/19/24 04:00:00 PM,-0.01,67.86,,,,
31,04/19/24 05:00:00 PM,-0.01,67.86,,,,
32,04/19/24 06:00:00 PM,-0.01,68.14,,,,
33,04/19/24 07:00:00 PM,-0.01,68.36,,,,
34,04/19/24 08:00:00 PM,-0.01,68.43,,,,
35,04/19/24 09:00:00 PM,-0.01,68.47,,,,
36,04/19/24 10:00:00 PM,-0.01,68.47,,,,
37,04/19/24 11:00:00 PM,-0.01,68.47,,,,
38,04/20/24 12:00:00 AM,-0.01,68.36,,,,
39,04/20/24 01:00:00 AM,-0.01,68.29,,,,
40,04/20/24 02:00:00 AM,-0.01,68.14,,,,
41,04/20/24 03:00:00 AM,-0.01,68.04,,,,
42,04/20/24 04:00:00 AM,-0.01,67.89,,,,
43,04/20/24 05:00:00 AM,-0.01,67.71,,,,
44,04/20/24 06:00:00 AM,-0.01,67.60,,,,
45,04/20/24 07:00:00 AM,-0.01,67.50,,,,
46,04/20/24 08:00:00 AM,-0.01,67.42,,,,
47,04/20/24 09:00:00 AM,-0.01,67.42,,,,
48,04/20/24 10:00:00 AM,-0.01,67.46,,,,
49,04/20/24 11:00:00 AM,-0.01,67.60,,,,
50,04/20/24 12:00:00 PM,-0.01,67.75,,,,
51,04/20/24 01:00:00 PM,-0.01,68.04,,,,
52,04/20/24 02:00:00 PM,-0.01,68.29,,,,
53,04/20/24 03:00:00 PM,-0.01,68.61,,,,
54,04/20/24 04:00:00 PM,-0.01,68.72,,,,
55,04/20/24 05:00:00 PM,-0.01,68.83,,,,
56,04/20/24 06:00:00 PM,-0.01,68.83,,,,
57,04/20/24 07:00:00 PM,-0.01,68.86,,,,
58,04/20/24 08:00:00 PM,-0.01,68.94,,,,
59,04/20/24 09:00:00 PM,-0.01,68.86,,,,
60,04/20/24 10:00:00 PM,-0.01,68.83,,,,
61,04/20/24 11:00:00 PM,-0.01,68.76,,,,
62,04/21/24 12:00:00 AM,-0.01,68.65,,,,
63,04/21/24 01:00:00 AM,-0.01,68.47,,,,
64,04/21/24 02:00:00 AM,-0.01,68.18,,,,
65,04/21/24 03:00:00 AM,-0.01,67.89,,,,
66,04/21/24 04:00:00 AM,0.00,67.57,,,,
67,04/21/24 05:00:00 AM,0.00,67.35,,,,
68,04/21/24 06:00:00 AM,0.00,67.21,,,,
69,04/21/24 07:00:00 AM,-0.01,67.06,,,,
70,04/21/24 08:00:00 AM,-0.01,67.06,,,,
71,04/21/24 09:00:00 AM,-0.01,67.14,,,,
72,04/21/24 10:00:00 AM,-0.01,67.21,,,,
73,04/21/24 11:00:00 AM,-0.01,67.32,,,,
74,04/21/24 12:00:00 PM,-0.01,67.46,,,,
75,04/21/24 01:00:00 PM,-0.01,67.71,,,,
76,04/21/24 02:00:00 PM,-0.01,67.89,,,,
77,04/21/24 03:00:00 PM,-0.01,68.07,,,,
78,04/21/24 04:00:00 PM,-0.01,68.14,,,,
79,04/21/24 05:00:00 PM,-0.01,68.22,,,,
80,04/21/24 06:00:00 PM,-0.01,68.25,,,,
81,04/21/24 07:00:00 PM,-0.01,68.25,,,,
82,04/21/24 08:00:00 PM,-0.01,68.32,,,,
83,04/21/24 09:00:00 PM,-0.01,68.36,,,,
84,04/21/24 10:00:00 PM,-0.01,68.29,,,,
85,04/21/24 11:00:00 PM,-0.01,68.07,,,,
86,04/22/24 12:00:00 AM,-0.01,67.78,,,,
87,04/22/24 01:00:00 AM,0.00,67.42,,,,
88,04/22/24 02:00:00 AM,-0.01,67.03,,,,
89,04/22/24 03:00:00 AM,-0.01,66.63,,,,
90,04/22/24 04:00:00 AM,0.00,66.24,,,,
91,04/22/24 05:00:00 AM,-0.01,65.91,,,,
92,04/22/24 06:00:00 AM,-0.01,65.59,,,,
93,04/22/24 07:00:00 AM,-0.01,65.30,,,,
94,04/22/24 08:00:00 AM,-0.01,65.12,,,,
95,04/22/24 09:00:00 AM,-0.01,65.01,,,,
96,04/22/24 10:00:00 AM,-0.01,65.05,,,,
97,04/22/24 11:00:00 AM,-0.01,65.26,,,,
98,04/22/24 12:00:00 PM,-0.01,65.44,,,,
99,04/22/24 01:00:00 PM,-0.01,65.66,,,,
100,04/22/24 02:00:00 PM,-0.01,65.91,,,,
101,04/22/24 03:00:00 PM,-0.01,66.16,,,,
102,04/22/24 04:00:00 PM,-0.01,66.31,,,,
103,04/22/24 05:00:00 PM,-0.01,66.34,,,,
104,04/22/24 06:00:00 PM,-0.01,66.31,,,,
105,04/22/24 07:00:00 PM,-0.01,66.13,,,,
106,04/22/24 08:00:00 PM,-0.01,65.91,,,,
107,04/22/24 09:00:00 PM,-0.01,65.62,,,,
108,04/22/24 10:00:00 PM,-0.01,65.26,,,,
109,04/22/24 11:00:00 PM,-0.01,64.90,,,,
110,04/23/24 12:00:00 AM,-0.01,64.58,,,,
111,04/23/24 01:00:00 AM,-0.01,64.22,,,,
112,04/23/24 02:00:00 AM,-0.01,63.86,,,,
113,04/23/24 03:00:00 AM,-0.01,63.50,,,,
114,04/23/24 04:00:00 AM,-0.01,63.18,,,,
115,04/23/24 05:00:00 AM,-0.01,62.82,,,,
116,04/23/24 06:00:00 AM,-0.01,62.46,,,,
117,04/23/24 07:00:00 AM,-0.01,62.20,,,,
118,04/23/24 08:00:00 AM,-0.01,62.13,,,,
119,04/23/24 09:00:00 AM,-0.01,62.20,,,,
120,04/23/24 10:00:00 AM,-0.01,62.38,,,,
121,04/23/24 11:00:00 AM,-0.01,62.74,,,,
122,04/23/24 12:00:00 PM,-0.01,63.07,,,,
123,04/23/24 01:00:00 PM,-0.01,63.46,,,,
124,04/23/24 02:00:00 PM,-0.01,63.86,,,,
125,04/23/24 03:00:00 PM,-0.01,64.29,,,,
126,04/23/24 04:00:00 PM,-0.01,64.51,,,,
127,04/23/24 05:00:00 PM,-0.01,64.62,,,,
128,04/23/24 06:00:00 PM,-0.01,64.69,,,,
129,04/23/24 07:00:00 PM,-0.01,64.76,,,,
130,04/23/24 08:00:00 PM,-0.01,64.76,,,,
131,04/23/24 09:00:00 PM,-0.01,64.69,,,,
132,04/23/24 10:00:00 PM,-0.01,64.44,,,,
133,04/23/24 11:00:00 PM,-0.01,64.15,,,,
134,04/24/24 12:00:00 AM,-0.01,63.90,,,,
135,04/24/24 01:00:00 AM,-0.01,63.64,,,,
136,04/24/24 02:00:00 AM,-0.01,63.36,,,,
137,04/24/24 03:00:00 AM,-0.01,63.07,,,,
138,04/24/24 04:00:00 AM,-0.01,62.78,,,,
139,04/24/24 05:00:00 AM,-0.01,62.49,,,,
140,04/24/24 06:00:00 AM,-0.01,62.24,,,,
141,04/24/24 07:00:00 AM,-0.01,61.99,,,,
142,04/24/24 08:00:00 AM,-0.01,61.95,,,,
143,04/24/24 09:00:00 AM,-0.01,62.02,,,,
144,04/24/24 10:00:00 AM,-0.01,62.24,,,,
145,04/24/24 11:00:00 AM,-0.01,62.64,,,,
146,04/24/24 12:00:00 PM,-0.01,63.00,,,,
147,04/24/24 01:00:00 PM,-0.01,63.43,,,,
148,04/24/24 02:00:00 PM,-0.01,63.82,,,,
149,04/24/24 03:00:00 PM,-0.01,64.29,,,,
150,04/24/24 04:00:00 PM,-0.01,64.51,,,,
151,04/24/24 05:00:00 PM,-0.01,64.65,,,,
152,04/24/24 06:00:00 PM,-0.01,64.76,,,,
153,04/24/24 07:00:00 PM,-0.01,64.80,,,,
154,04/24/24 08:00:00 PM,-0.01,64.83,,,,
155,04/24/24 09:00:00 PM,-0.01,64.80,,,,
156,04/24/24 10:00:00 PM,-0.01,64.76,,,,
157,04/24/24 11:00:00 PM,-0.01,64.58,,,,
158,04/25/24 12:00:00 AM,-0.01,64.29,,,,
159,04/25/24 01:00:00 AM,-0.01,63.97,,,,
160,04/25/24 02:00:00 AM,-0.01,63.64,,,,
161,04/25/24 03:00:00 AM,-0.01,63.43,,,,
162,04/25/24 04:00:00 AM,-0.01,63.14,,,,
163,04/25/24 05:00:00 AM,-0.01,62.89,,,,
164,04/25/24 06:00:00 AM,-0.01,62.60,,,,
165,04/25/24 07:00:00 AM,-0.01,62.42,,,,
166,04/25/24 08:00:00 AM,-0.01,62.38,,,,
167,04/25/24 09:00:00 AM,-0.01,62.53,,,,
168,04/25/24 10:00:00 AM,-0.01,62.74,,,,
169,04/25/24 11:00:00 AM,-0.01,63.14,,,,
170,04/25/24 12:00:00 PM,-0.01,63.43,,,,
171,04/25/24 01:00:00 PM,-0.01,63.93,,,,
172,04/25/24 02:00:00 PM,-0.01,64.33,,,,
173,04/25/24 03:00:00 PM,-0.01,64.80,,,,
174,04/25/24 04:00:00 PM,-0.01,65.01,,,,
175,04/25/24 05:00:00 PM,-0.01,65.12,,,,
176,04/25/24 06:00:00 PM,-0.01,65.26,,,,
177,04/25/24 07:00:00 PM,-0.01,65.37,,,,
178,04/25/24 08:00:00 PM,-0.01,65.44,,,,
179,04/25/24 09:00:00 PM,-0.01,65.44,,,,
180,04/25/24 10:00:00 PM,-0.01,65.44,,,,
181,04/25/24 11:00:00 PM,-0.01,65.44,,,,
182,04/26/24 12:00:00 AM,-0.01,65.41,,,,
183,04/26/24 01:00:00 AM,-0.01,65.34,,,,
184,04/26/24 02:00:00 AM,-0.01,65.23,,,,
185,04/26/24 03:00:00 AM,-0.01,65.05,,,,
186,04/26/24 04:00:00 AM,-0.01,64.80,,,,
187,04/26/24 05:00:00 AM,-0.01,64.54,,,,
188,04/26/24 06:00:00 AM,-0.01,64.29,,,,
189,04/26/24 07:00:00 AM,-0.01,64.15,,,,
190,04/26/24 08:00:00 AM,-0.01,64.18,,,,
191,04/26/24 09:00:00 AM,-0.01,64.26,,,,
192,04/26/24 10:00:00 AM,-0.01,64.44,,,,
193,04/26/24 11:00:00 AM,-0.01,64.72,,,,
194,04/26/24 12:00:00 PM,-0.01,64.98,,,,
195,04/26/24 01:00:00 PM,-0.01,65.34,,,,
196,04/26/24 02:00:00 PM,-0.01,65.59,,,,
197,04/26/24 03:00:00 PM,-0.01,65.77,,,,
198,04/26/24 04:00:00 PM,-0.01,65.98,,,,
199,04/26/24 05:00:00 PM,-0.01,66.13,,,,
200,04/26/24 06:00:00 PM,-0.01,66.24,,,,
201,04/26/24 07:00:00 PM,-0.01,66.24,,,,
202,04/26/24 08:00:00 PM,-0.01,66.20,,,,
203,04/26/24 09:00:00 PM,-0.01,66.16,,,,
204,04/26/24 10:00:00 PM,-0.01,66.06,,,,
205,04/26/24 11:00:00 PM,-0.01,65.95,,,,
206,04/27/24 12:00:00 AM,-0.01,65.84,,,,
207,04/27/24 01:00:00 AM,-0.01,65.70,,,,
208,04/27/24 02:00:00 AM,-0.01,65.55,,,,
209,04/27/24 03:00:00 AM,-0.01,65.41,,,,
210,04/27/24 04:00:00 AM,-0.01,65.30,,,,
211,04/27/24 05:00:00 AM,-0.01,65.26,,,,
212,04/27/24 06:00:00 AM,-0.01,65.19,,,,
