"Plot Title: Bradford_7DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733142, SEN S/N: 10733142)","Temp, °F (LGR S/N: 10733142, SEN S/N: 10733142)","Expired Sensor Cap (LGR S/N: 10733142, SEN S/N: 10733142)","Coupler Attached (LGR S/N: 10733142, SEN S/N: 10733142)","Host Connected (LGR S/N: 10733142, SEN S/N: 10733142)","Stopped (LGR S/N: 10733142, SEN S/N: 10733142)","End Of File (LGR S/N: 10733142, SEN S/N: 10733142)"
1,06/20/24 12:00:00 PM,7.34,90.86,,,,,
2,06/20/24 01:00:00 PM,7.36,92.52,,,,,
3,06/20/24 02:00:00 PM,7.19,93.27,,,,,
4,06/20/24 03:00:00 PM,7.39,91.18,,,,,
5,06/20/24 04:00:00 PM,7.24,92.70,,,,,
6,06/20/24 05:00:00 PM,7.59,87.08,,,,,
7,06/20/24 06:00:00 PM,7.73,85.17,,,,,
8,06/20/24 07:00:00 PM,7.91,82.22,,,,,
9,06/20/24 08:00:00 PM,8.15,79.05,,,,,
10,06/20/24 09:00:00 PM,8.31,77.04,,,,,
11,06/20/24 10:00:00 PM,8.48,74.91,,,,,
12,06/20/24 11:00:00 PM,8.65,73.00,,,,,
13,06/21/24 12:00:00 AM,8.84,70.74,,,,,
14,06/21/24 01:00:00 AM,8.92,69.76,,,,,
15,06/21/24 02:00:00 AM,9.03,68.65,,,,,
16,06/21/24 03:00:00 AM,9.06,68.25,,,,,
17,06/21/24 04:00:00 AM,9.06,68.36,,,,,
18,06/21/24 05:00:00 AM,8.94,69.40,,,,,
19,06/21/24 06:00:00 AM,8.87,70.12,,,,,
20,06/21/24 07:00:00 AM,8.64,73.18,,,,,
21,06/21/24 08:00:00 AM,8.12,80.02,,,,,
22,06/21/24 09:00:00 AM,7.64,85.39,,,,,
23,06/21/24 10:00:00 AM,7.64,86.04,,,,,
24,06/21/24 11:00:00 AM,7.61,87.58,,,,,
25,06/21/24 12:00:00 PM,7.33,91.58,,,,,
26,06/21/24 01:00:00 PM,7.26,92.62,,,,,
27,06/21/24 02:00:00 PM,7.08,94.78,,,,,
28,06/21/24 03:00:00 PM,7.21,92.73,,,,,
29,06/21/24 04:00:00 PM,7.30,91.08,,,,,
30,06/21/24 05:00:00 PM,7.41,89.13,,,,,
31,06/21/24 06:00:00 PM,7.54,86.72,,,,,
32,06/21/24 07:00:00 PM,7.64,84.85,,,,,
33,06/21/24 08:00:00 PM,7.84,82.11,,,,,
34,06/21/24 09:00:00 PM,7.95,80.56,,,,,
35,06/21/24 10:00:00 PM,8.04,79.56,,,,,
36,06/21/24 11:00:00 PM,8.15,78.12,,,,,
37,06/22/24 12:00:00 AM,8.19,77.76,,,,,
38,06/22/24 01:00:00 AM,8.25,76.64,,,,,
39,06/22/24 02:00:00 AM,8.24,76.82,,,,,
40,06/22/24 03:00:00 AM,8.26,76.35,,,,,
41,06/22/24 04:00:00 AM,8.39,74.98,,,,,
42,06/22/24 05:00:00 AM,8.44,74.34,,,,,
43,06/22/24 06:00:00 AM,8.50,73.87,,,,,
44,06/22/24 07:00:00 AM,8.15,78.73,,,,,
45,06/22/24 08:00:00 AM,7.75,84.13,,,,,
46,06/22/24 09:00:00 AM,7.44,88.74,,,,,
47,06/22/24 10:00:00 AM,7.29,91.65,,,,,
48,06/22/24 11:00:00 AM,7.19,93.63,,,,,
49,06/22/24 12:00:00 PM,7.09,96.48,,,,,
50,06/22/24 01:00:00 PM,6.90,99.64,,,,,
51,06/22/24 02:00:00 PM,6.76,99.82,,,,,
52,06/22/24 03:00:00 PM,6.93,97.30,,,,,
53,06/22/24 04:00:00 PM,6.91,97.70,,,,,
54,06/22/24 05:00:00 PM,7.05,95.00,,,,,
55,06/22/24 06:00:00 PM,7.28,89.64,,,,,
56,06/22/24 07:00:00 PM,8.27,75.67,,,,,
57,06/22/24 08:00:00 PM,8.25,76.03,,,,,
58,06/22/24 09:00:00 PM,8.26,75.99,,,,,
59,06/22/24 10:00:00 PM,8.26,75.99,,,,,
60,06/22/24 11:00:00 PM,8.27,75.88,,,,,
