"Plot Title: Brad6a_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10926095, SEN S/N: 10926095)","Temp, °F (LGR S/N: 10926095, SEN S/N: 10926095)","Expired Sensor Cap (LGR S/N: 10926095, SEN S/N: 10926095)","Coupler Attached (LGR S/N: 10926095, SEN S/N: 10926095)","Host Connected (LGR S/N: 10926095, SEN S/N: 10926095)","Stopped (LGR S/N: 10926095, SEN S/N: 10926095)","End Of File (LGR S/N: 10926095, SEN S/N: 10926095)"
1,06/20/24 01:00:00 PM,6.57,106.56,,,,,
2,06/20/24 02:00:00 PM,6.52,104.14,,,,,
3,06/20/24 03:00:00 PM,6.88,97.56,,,,,
4,06/20/24 04:00:00 PM,7.21,93.92,,,,,
5,06/20/24 05:00:00 PM,7.46,88.12,,,,,
6,06/20/24 06:00:00 PM,7.74,84.60,,,,,
7,06/20/24 07:00:00 PM,7.98,81.28,,,,,
8,06/20/24 08:00:00 PM,8.31,77.58,,,,,
9,06/20/24 09:00:00 PM,8.63,74.41,,,,,
10,06/20/24 10:00:00 PM,8.82,72.21,,,,,
11,06/20/24 11:00:00 PM,8.98,70.70,,,,,
12,06/21/24 12:00:00 AM,9.08,69.66,,,,,
13,06/21/24 01:00:00 AM,9.16,68.94,,,,,
14,06/21/24 02:00:00 AM,9.20,68.22,,,,,
15,06/21/24 03:00:00 AM,9.28,67.46,,,,,
16,06/21/24 04:00:00 AM,9.30,67.35,,,,,
17,06/21/24 05:00:00 AM,9.19,68.32,,,,,
18,06/21/24 06:00:00 AM,9.13,68.83,,,,,
19,06/21/24 07:00:00 AM,8.86,71.46,,,,,
20,06/21/24 08:00:00 AM,8.39,76.14,,,,,
21,06/21/24 09:00:00 AM,7.96,81.21,,,,,
22,06/21/24 10:00:00 AM,7.66,85.03,,,,,
23,06/21/24 11:00:00 AM,7.53,87.87,,,,,
24,06/21/24 12:00:00 PM,6.20,107.56,,,,,
25,06/21/24 01:00:00 PM,6.47,105.76,,,,,
26,06/21/24 02:00:00 PM,6.52,102.56,,,,,
27,06/21/24 03:00:00 PM,6.89,95.36,,,,,
28,06/21/24 04:00:00 PM,7.30,90.25,,,,,
29,06/21/24 05:00:00 PM,7.36,88.45,,,,,
30,06/21/24 06:00:00 PM,7.71,83.73,,,,,
31,06/21/24 07:00:00 PM,7.76,83.19,,,,,
32,06/21/24 08:00:00 PM,7.97,80.67,,,,,
33,06/21/24 09:00:00 PM,8.10,79.12,,,,,
34,06/21/24 10:00:00 PM,8.16,78.48,,,,,
35,06/21/24 11:00:00 PM,8.29,77.11,,,,,
36,06/22/24 12:00:00 AM,8.34,76.57,,,,,
37,06/22/24 01:00:00 AM,8.38,75.96,,,,,
38,06/22/24 02:00:00 AM,8.40,75.60,,,,,
39,06/22/24 03:00:00 AM,8.38,75.67,,,,,
40,06/22/24 04:00:00 AM,8.51,74.37,,,,,
41,06/22/24 05:00:00 AM,8.60,73.65,,,,,
42,06/22/24 06:00:00 AM,8.68,73.00,,,,,
43,06/22/24 07:00:00 AM,8.50,74.91,,,,,
44,06/22/24 08:00:00 AM,8.15,78.37,,,,,
45,06/22/24 09:00:00 AM,7.68,83.73,,,,,
46,06/22/24 10:00:00 AM,7.45,87.22,,,,,
47,06/22/24 11:00:00 AM,7.30,89.10,,,,,
48,06/22/24 12:00:00 PM,6.59,104.94,,,,,
49,06/22/24 01:00:00 PM,6.16,106.09,,,,,
50,06/22/24 02:00:00 PM,5.99,110.66,,,,,
51,06/22/24 03:00:00 PM,6.48,100.83,,,,,
52,06/22/24 04:00:00 PM,6.87,96.73,,,,,
53,06/22/24 05:00:00 PM,7.03,92.95,,,,,
54,06/22/24 06:00:00 PM,7.38,87.91,,,,,
55,06/22/24 07:00:00 PM,8.22,76.39,,,,,
56,06/22/24 08:00:00 PM,8.25,76.53,,,,,
57,06/22/24 09:00:00 PM,8.32,76.06,,,,,
58,06/22/24 10:00:00 PM,8.35,75.74,,,,,
59,06/22/24 11:00:00 PM,8.39,75.45,,,,,
60,06/23/24 12:00:00 AM,8.34,75.78,,,,,
61,06/23/24 01:00:00 AM,8.42,75.09,,,,,
62,06/23/24 02:00:00 AM,8.47,74.62,,,,,
63,06/23/24 03:00:00 AM,8.52,73.94,,,,,
64,06/23/24 04:00:00 AM,8.60,73.40,,,,,
65,06/23/24 05:00:00 AM,8.60,73.26,,,,,
66,06/23/24 06:00:00 AM,8.66,72.72,,,,,
67,06/23/24 07:00:00 AM,8.49,74.44,,,,,
68,06/23/24 08:00:00 AM,8.14,77.83,,,,,
69,06/23/24 09:00:00 AM,7.95,79.99,,,,,
70,06/23/24 10:00:00 AM,7.93,80.53,,,,,
71,06/23/24 11:00:00 AM,7.61,83.84,,,,,
72,06/23/24 12:00:00 PM,5.68,108.86,,,,,
73,06/23/24 01:00:00 PM,6.15,105.12,,,,,
74,06/23/24 02:00:00 PM,6.30,102.78,,,,,
75,06/23/24 03:00:00 PM,6.74,98.38,,,,,
76,06/23/24 04:00:00 PM,6.94,95.83,,,,,
77,06/23/24 05:00:00 PM,7.62,84.88,,,,,
78,06/23/24 06:00:00 PM,4.63,74.59,,,,,
79,06/23/24 07:00:00 PM,7.98,76.96,,,,,
80,06/23/24 08:00:00 PM,8.38,75.31,,,,,
81,06/23/24 09:00:00 PM,8.47,74.62,,,,,
82,06/23/24 10:00:00 PM,8.52,74.30,,,,,
83,06/23/24 11:00:00 PM,8.55,74.01,,,,,
84,06/24/24 12:00:00 AM,8.62,73.58,,,,,
85,06/24/24 01:00:00 AM,8.60,73.65,,,,,
86,06/24/24 02:00:00 AM,8.49,74.48,,,,,
87,06/24/24 03:00:00 AM,8.55,74.12,,,,,
88,06/24/24 04:00:00 AM,8.64,73.08,,,,,
89,06/24/24 05:00:00 AM,8.68,72.68,,,,,
90,06/24/24 06:00:00 AM,8.64,73.18,,,,,
91,06/24/24 07:00:00 AM,8.49,74.66,,,,,
92,06/24/24 08:00:00 AM,8.21,77.54,,,,,
93,06/24/24 09:00:00 AM,7.93,80.56,,,,,
94,06/24/24 10:00:00 AM,7.89,80.92,,,,,
95,06/24/24 11:00:00 AM,7.61,84.38,,,,,
96,06/24/24 12:00:00 PM,5.60,109.80,,,,,
97,06/24/24 01:00:00 PM,5.74,108.72,,,,,
98,06/24/24 02:00:00 PM,5.85,105.91,,,,,
99,06/24/24 03:00:00 PM,6.61,97.05,,,,,
100,06/24/24 04:00:00 PM,6.85,94.75,,,,,
101,06/24/24 05:00:00 PM,7.06,91.83,,,,,
102,06/24/24 06:00:00 PM,7.46,86.97,,,,,
103,06/24/24 07:00:00 PM,7.81,82.69,,,,,
104,06/24/24 08:00:00 PM,8.66,73.47,,,,,
105,06/24/24 09:00:00 PM,8.61,74.05,,,,,
106,06/24/24 10:00:00 PM,8.56,74.44,,,,,
107,06/24/24 11:00:00 PM,8.52,74.62,,,,,
108,06/25/24 12:00:00 AM,8.54,74.48,,,,,
