"Plot Title: Bradford5a_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733147, SEN S/N: 10733147)","Temp, °F (LGR S/N: 10733147, SEN S/N: 10733147)","Expired Sensor Cap (LGR S/N: 10733147, SEN S/N: 10733147)","Coupler Attached (LGR S/N: 10733147, SEN S/N: 10733147)","Host Connected (LGR S/N: 10733147, SEN S/N: 10733147)","Coupler Detached (LGR S/N: 10733147, SEN S/N: 10733147)","Stopped (LGR S/N: 10733147, SEN S/N: 10733147)","End Of File (LGR S/N: 10733147, SEN S/N: 10733147)"
1,06/20/24 11:00:00 AM,7.46,88.45,,,,,,
2,06/20/24 12:00:00 PM,7.33,89.67,,,,,,
3,06/20/24 01:00:00 PM,7.33,90.21,,,,,,
4,06/20/24 02:00:00 PM,7.19,92.26,,,,,,
5,06/20/24 03:00:00 PM,7.25,91.36,,,,,,
6,06/20/24 04:00:00 PM,7.35,89.24,,,,,,
7,06/20/24 05:00:00 PM,7.47,86.83,,,,,,
8,06/20/24 06:00:00 PM,7.67,83.70,,,,,,
9,06/20/24 07:00:00 PM,7.82,81.46,,,,,,
10,06/20/24 08:00:00 PM,7.95,79.27,,,,,,
11,06/20/24 09:00:00 PM,8.09,77.65,,,,,,
12,06/20/24 10:00:00 PM,8.24,75.96,,,,,,
13,06/20/24 11:00:00 PM,8.38,74.19,,,,,,
14,06/21/24 12:00:00 AM,8.55,71.89,,,,,,
15,06/21/24 01:00:00 AM,8.64,71.06,,,,,,
16,06/21/24 02:00:00 AM,8.74,69.76,,,,,,
17,06/21/24 03:00:00 AM,8.78,69.22,,,,,,
18,06/21/24 04:00:00 AM,8.77,69.33,,,,,,
19,06/21/24 05:00:00 AM,8.74,69.69,,,,,,
20,06/21/24 06:00:00 AM,8.69,70.16,,,,,,
21,06/21/24 07:00:00 AM,8.55,72.03,,,,,,
22,06/21/24 08:00:00 AM,8.29,75.31,,,,,,
23,06/21/24 09:00:00 AM,8.00,79.02,,,,,,
24,06/21/24 10:00:00 AM,7.83,81.39,,,,,,
25,06/21/24 11:00:00 AM,7.67,83.70,,,,,,
26,06/21/24 12:00:00 PM,7.45,87.94,,,,,,
27,06/21/24 01:00:00 PM,7.25,90.36,,,,,,
28,06/21/24 02:00:00 PM,7.18,90.86,,,,,,
29,06/21/24 03:00:00 PM,7.15,91.15,,,,,,
30,06/21/24 04:00:00 PM,7.33,87.76,,,,,,
31,06/21/24 05:00:00 PM,7.40,86.54,,,,,,
32,06/21/24 06:00:00 PM,7.53,84.52,,,,,,
33,06/21/24 07:00:00 PM,7.65,82.90,,,,,,
34,06/21/24 08:00:00 PM,7.73,81.28,,,,,,
35,06/21/24 09:00:00 PM,7.83,80.13,,,,,,
36,06/21/24 10:00:00 PM,7.87,79.48,,,,,,
37,06/21/24 11:00:00 PM,7.93,79.05,,,,,,
38,06/22/24 12:00:00 AM,7.98,78.40,,,,,,
39,06/22/24 01:00:00 AM,8.00,77.83,,,,,,
40,06/22/24 02:00:00 AM,8.08,77.14,,,,,,
41,06/22/24 03:00:00 AM,8.14,76.32,,,,,,
42,06/22/24 04:00:00 AM,8.20,75.42,,,,,,
43,06/22/24 05:00:00 AM,8.25,74.88,,,,,,
44,06/22/24 06:00:00 AM,8.24,75.13,,,,,,
45,06/22/24 07:00:00 AM,8.16,76.17,,,,,,
46,06/22/24 08:00:00 AM,7.98,78.66,,,,,,
47,06/22/24 09:00:00 AM,7.73,82.65,,,,,,
48,06/22/24 10:00:00 AM,7.56,85.03,,,,,,
49,06/22/24 11:00:00 AM,7.41,87.84,,,,,,
50,06/22/24 12:00:00 PM,7.29,89.67,,,,,,
51,06/22/24 01:00:00 PM,7.11,92.01,,,,,,
52,06/22/24 02:00:00 PM,6.99,95.54,,,,,,
53,06/22/24 03:00:00 PM,6.90,94.60,,,,,,
54,06/22/24 04:00:00 PM,7.09,90.82,,,,,,
55,06/22/24 05:00:00 PM,7.10,90.97,,,,,,
56,06/22/24 06:00:00 PM,7.36,83.37,,,,,,
57,06/22/24 07:00:00 PM,7.99,77.40,,,,,,
58,06/22/24 08:00:00 PM,8.04,76.89,,,,,,
59,06/22/24 09:00:00 PM,8.08,76.35,,,,,,
60,06/22/24 10:00:00 PM,8.09,76.24,,,,,,
61,06/22/24 11:00:00 PM,8.13,76.03,,,,,,
62,06/23/24 12:00:00 AM,8.12,76.17,,,,,,
63,06/23/24 01:00:00 AM,8.13,75.92,,,,,,
64,06/23/24 02:00:00 AM,8.14,75.63,,,,,,
65,06/23/24 03:00:00 AM,8.16,75.31,,,,,,
66,06/23/24 04:00:00 AM,8.18,75.09,,,,,,
67,06/23/24 05:00:00 AM,8.19,74.88,,,,,,
68,06/23/24 06:00:00 AM,8.23,74.52,,,,,,
69,06/23/24 07:00:00 AM,8.17,75.45,,,,,,
70,06/23/24 08:00:00 AM,7.99,77.50,,,,,,
71,06/23/24 09:00:00 AM,7.85,79.20,,,,,,
72,06/23/24 10:00:00 AM,7.64,81.72,,,,,,
73,06/23/24 11:00:00 AM,7.44,87.33,,,,,,
74,06/23/24 12:00:00 PM,7.25,88.70,,,,,,
75,06/23/24 01:00:00 PM,7.21,89.42,,,,,,
76,06/23/24 02:00:00 PM,7.11,91.08,,,,,,
77,06/23/24 03:00:00 PM,7.16,89.13,,,,,,
78,06/23/24 04:00:00 PM,7.14,90.07,,,,,,
79,06/23/24 05:00:00 PM,7.35,86.43,,,,,,
80,06/23/24 06:00:00 PM,8.17,75.24,,,,,,
81,06/23/24 07:00:00 PM,8.12,75.63,,,,,,
82,06/23/24 08:00:00 PM,8.16,75.16,,,,,,
83,06/23/24 09:00:00 PM,8.15,75.24,,,,,,
84,06/23/24 10:00:00 PM,8.17,75.13,,,,,,
85,06/23/24 11:00:00 PM,8.17,75.06,,,,,,
86,06/24/24 12:00:00 AM,8.17,74.98,,,,,,
87,06/24/24 01:00:00 AM,8.19,74.80,,,,,,
88,06/24/24 02:00:00 AM,8.15,75.20,,,,,,
89,06/24/24 03:00:00 AM,8.16,75.13,,,,,,
90,06/24/24 04:00:00 AM,8.22,74.41,,,,,,
91,06/24/24 05:00:00 AM,8.28,73.69,,,,,,
92,06/24/24 06:00:00 AM,8.27,73.80,,,,,,
93,06/24/24 07:00:00 AM,8.23,74.55,,,,,,
94,06/24/24 08:00:00 AM,8.06,76.64,,,,,,
95,06/24/24 09:00:00 AM,7.83,79.12,,,,,,
96,06/24/24 10:00:00 AM,7.61,81.97,,,,,,
97,06/24/24 11:00:00 AM,7.34,88.41,,,,,,
98,06/24/24 12:00:00 PM,7.23,89.42,,,,,,
99,06/24/24 01:00:00 PM,7.19,89.64,,,,,,
100,06/24/24 02:00:00 PM,7.18,89.92,,,,,,
101,06/24/24 03:00:00 PM,7.07,90.18,,,,,,
102,06/24/24 04:00:00 PM,7.15,89.67,,,,,,
103,06/24/24 05:00:00 PM,7.16,88.81,,,,,,
104,06/24/24 06:00:00 PM,7.40,85.39,,,,,,
105,06/24/24 07:00:00 PM,7.58,82.94,,,,,,
106,06/24/24 08:00:00 PM,7.92,78.30,,,,,,
107,06/24/24 09:00:00 PM,8.24,74.44,,,,,,
108,06/24/24 10:00:00 PM,8.22,74.88,,,,,,
109,06/24/24 11:00:00 PM,8.20,74.80,,,,,,
110,06/25/24 12:00:00 AM,8.22,74.84,,,,,,
111,06/25/24 01:00:00 AM,8.20,74.95,,,,,,
112,06/25/24 02:00:00 AM,8.22,74.70,,,,,,
113,06/25/24 03:00:00 AM,8.19,74.95,,,,,,
114,06/25/24 04:00:00 AM,8.19,74.91,,,,,,
115,06/25/24 05:00:00 AM,8.22,74.70,,,,,,
116,06/25/24 06:00:00 AM,8.23,74.48,,,,,,
117,06/25/24 07:00:00 AM,8.17,75.24,,,,,,
118,06/25/24 08:00:00 AM,7.98,77.61,,,,,,
119,06/25/24 09:00:00 AM,7.80,80.10,,,,,,
120,06/25/24 10:00:00 AM,7.67,82.69,,,,,,
121,06/25/24 11:00:00 AM,7.26,89.13,,,,,,
122,06/25/24 12:00:00 PM,7.25,88.77,,,,,,
123,06/25/24 01:00:00 PM,7.17,89.60,,,,,,
124,06/25/24 02:00:00 PM,7.31,85.64,,,,,,
125,06/25/24 03:00:00 PM,7.54,83.16,,,,,,
126,06/25/24 04:00:00 PM,7.54,83.34,,,,,,
127,06/25/24 05:00:00 PM,7.59,82.33,,,,,,
128,06/25/24 06:00:00 PM,7.64,81.82,,,,,,
129,06/25/24 07:00:00 PM,7.64,81.75,,,,,,
130,06/25/24 08:00:00 PM,7.70,80.96,,,,,,
131,06/25/24 09:00:00 PM,7.78,79.99,,,,,,
132,06/25/24 10:00:00 PM,7.84,79.41,,,,,,
133,06/25/24 11:00:00 PM,7.97,78.33,,,,,,
134,06/26/24 12:00:00 AM,8.08,76.53,,,,,,
135,06/26/24 01:00:00 AM,8.14,75.70,,,,,,
136,06/26/24 02:00:00 AM,8.14,75.60,,,,,,
137,06/26/24 03:00:00 AM,8.17,75.20,,,,,,
138,06/26/24 04:00:00 AM,8.18,74.88,,,,,,
139,06/26/24 05:00:00 AM,8.19,74.73,,,,,,
140,06/26/24 06:00:00 AM,8.17,75.20,,,,,,
141,06/26/24 07:00:00 AM,8.08,76.35,,,,,,
142,06/26/24 08:00:00 AM,7.88,78.98,,,,,,
143,06/26/24 09:00:00 AM,7.67,82.08,,,,,,
144,06/26/24 10:00:00 AM,7.48,84.85,,,,,,
145,06/26/24 11:00:00 AM,7.21,90.50,,,,,,
146,06/26/24 12:00:00 PM,7.18,88.88,,,,,,
147,06/26/24 01:00:00 PM,7.76,79.77,,,,,,
148,06/26/24 02:00:00 PM,7.47,84.92,,,,,,
149,06/26/24 03:00:00 PM,7.47,84.20,,,,,,
150,06/26/24 04:00:00 PM,7.34,86.72,,,,,,
151,06/26/24 05:00:00 PM,7.35,85.50,,,,,,
152,06/26/24 06:00:00 PM,7.51,83.59,,,,,,
153,06/26/24 07:00:00 PM,7.61,82.29,,,,,,
154,06/26/24 08:00:00 PM,7.67,81.18,,,,,,
155,06/26/24 09:00:00 PM,7.76,80.31,,,,,,
156,06/26/24 10:00:00 PM,7.84,79.27,,,,,,
157,06/26/24 11:00:00 PM,7.89,78.48,,,,,,
158,06/27/24 12:00:00 AM,7.97,77.50,,,,,,
159,06/27/24 01:00:00 AM,8.02,76.82,,,,,,
160,06/27/24 02:00:00 AM,8.06,76.24,,,,,,
161,06/27/24 03:00:00 AM,8.09,75.88,,,,,,
162,06/27/24 04:00:00 AM,8.14,75.31,,,,,,
163,06/27/24 05:00:00 AM,8.15,75.09,,,,,,
164,06/27/24 06:00:00 AM,8.19,74.84,,,,,,
165,06/27/24 07:00:00 AM,8.08,76.32,,,,,,
166,06/27/24 08:00:00 AM,7.92,78.48,,,,,,
167,06/27/24 09:00:00 AM,7.70,81.32,,,,,,
