"Plot Title: Brad3_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10926099, SEN S/N: 10926099)","Temp, °F (LGR S/N: 10926099, SEN S/N: 10926099)","Coupler Attached (LGR S/N: 10926099, SEN S/N: 10926099)","Stopped (LGR S/N: 10926099, SEN S/N: 10926099)","End Of File (LGR S/N: 10926099, SEN S/N: 10926099)"
1,02/08/24 03:00:00 PM,5.35,54.32,,,
2,02/08/24 04:00:00 PM,5.34,54.61,,,
3,02/08/24 05:00:00 PM,5.33,54.90,,,
4,02/08/24 06:00:00 PM,5.30,55.15,,,
5,02/08/24 07:00:00 PM,5.22,55.40,,,
6,02/08/24 08:00:00 PM,5.16,55.72,,,
7,02/08/24 09:00:00 PM,5.12,56.01,,,
8,02/08/24 10:00:00 PM,5.08,56.16,,,
9,02/08/24 11:00:00 PM,5.04,56.16,,,
10,02/09/24 12:00:00 AM,4.99,56.01,,,
11,02/09/24 01:00:00 AM,4.94,55.80,,,
12,02/09/24 02:00:00 AM,4.89,55.51,,,
13,02/09/24 03:00:00 AM,4.85,55.18,,,
14,02/09/24 04:00:00 AM,4.81,54.86,,,
15,02/09/24 05:00:00 AM,4.78,54.57,,,
16,02/09/24 06:00:00 AM,4.72,54.28,,,
17,02/09/24 07:00:00 AM,4.74,54.07,,,
18,02/09/24 08:00:00 AM,4.74,53.85,,,
19,02/09/24 09:00:00 AM,4.72,53.78,,,
20,02/09/24 10:00:00 AM,4.75,53.92,,,
21,02/09/24 11:00:00 AM,4.80,54.28,,,
22,02/09/24 12:00:00 PM,4.86,54.82,,,
23,02/09/24 01:00:00 PM,4.88,55.72,,,
24,02/09/24 02:00:00 PM,4.90,56.41,,,
25,02/09/24 03:00:00 PM,4.90,56.95,,,
26,02/09/24 04:00:00 PM,4.86,57.27,,,
27,02/09/24 05:00:00 PM,4.85,57.45,,,
28,02/09/24 06:00:00 PM,4.79,57.63,,,
29,02/09/24 07:00:00 PM,4.74,57.81,,,
30,02/09/24 08:00:00 PM,4.67,58.03,,,
31,02/09/24 09:00:00 PM,4.63,58.14,,,
32,02/09/24 10:00:00 PM,4.58,58.17,,,
33,02/09/24 11:00:00 PM,4.55,58.06,,,
34,02/10/24 12:00:00 AM,4.52,57.88,,,
35,02/10/24 01:00:00 AM,4.46,57.67,,,
36,02/10/24 02:00:00 AM,4.42,57.42,,,
37,02/10/24 03:00:00 AM,4.38,57.13,,,
38,02/10/24 04:00:00 AM,4.34,56.91,,,
39,02/10/24 05:00:00 AM,4.32,56.70,,,
40,02/10/24 06:00:00 AM,4.30,56.44,,,
41,02/10/24 07:00:00 AM,4.28,56.19,,,
42,02/10/24 08:00:00 AM,4.26,56.05,,,
43,02/10/24 09:00:00 AM,4.26,56.01,,,
44,02/10/24 10:00:00 AM,4.28,56.19,,,
45,02/10/24 11:00:00 AM,4.34,56.62,,,
46,02/10/24 12:00:00 PM,4.39,57.31,,,
47,02/10/24 01:00:00 PM,4.43,58.14,,,
48,02/10/24 02:00:00 PM,4.43,58.71,,,
49,02/10/24 03:00:00 PM,4.44,59.18,,,
50,02/10/24 04:00:00 PM,4.41,59.50,,,
51,02/10/24 05:00:00 PM,4.38,59.72,,,
52,02/10/24 06:00:00 PM,4.27,59.86,,,
53,02/10/24 07:00:00 PM,4.21,59.97,,,
54,02/10/24 08:00:00 PM,4.16,60.08,,,
55,02/10/24 09:00:00 PM,4.10,60.12,,,
56,02/10/24 10:00:00 PM,4.11,60.08,,,
57,02/10/24 11:00:00 PM,4.09,59.97,,,
58,02/11/24 12:00:00 AM,4.07,59.79,,,
59,02/11/24 01:00:00 AM,4.03,59.61,,,
60,02/11/24 02:00:00 AM,4.01,59.32,,,
61,02/11/24 03:00:00 AM,3.97,59.00,,,
62,02/11/24 04:00:00 AM,3.97,58.71,,,
63,02/11/24 05:00:00 AM,3.94,58.50,,,
64,02/11/24 06:00:00 AM,3.92,58.28,,,
65,02/11/24 07:00:00 AM,3.90,58.06,,,
66,02/11/24 08:00:00 AM,3.89,57.85,,,
67,02/11/24 09:00:00 AM,3.89,57.81,,,
68,02/11/24 10:00:00 AM,3.90,58.03,,,
69,02/11/24 11:00:00 AM,4.00,58.50,,,
70,02/11/24 12:00:00 PM,4.05,59.18,,,
71,02/11/24 01:00:00 PM,4.07,60.30,,,
72,02/11/24 02:00:00 PM,4.10,60.87,,,
73,02/11/24 03:00:00 PM,4.10,61.38,,,
74,02/11/24 04:00:00 PM,4.07,61.70,,,
75,02/11/24 05:00:00 PM,3.99,61.92,,,
76,02/11/24 06:00:00 PM,3.92,62.13,,,
77,02/11/24 07:00:00 PM,3.83,62.28,,,
78,02/11/24 08:00:00 PM,3.75,62.38,,,
79,02/11/24 09:00:00 PM,3.69,62.49,,,
80,02/11/24 10:00:00 PM,3.66,62.49,,,
81,02/11/24 11:00:00 PM,3.63,62.42,,,
82,02/12/24 12:00:00 AM,3.61,62.31,,,
83,02/12/24 01:00:00 AM,3.60,62.17,,,
84,02/12/24 02:00:00 AM,3.56,62.06,,,
85,02/12/24 03:00:00 AM,3.54,61.95,,,
86,02/12/24 04:00:00 AM,3.53,61.84,,,
87,02/12/24 05:00:00 AM,3.50,61.74,,,
88,02/12/24 06:00:00 AM,3.48,61.63,,,
89,02/12/24 07:00:00 AM,3.47,61.48,,,
90,02/12/24 08:00:00 AM,3.47,61.41,,,
91,02/12/24 09:00:00 AM,3.45,61.41,,,
92,02/12/24 10:00:00 AM,3.45,61.66,,,
93,02/12/24 11:00:00 AM,3.47,62.06,,,
94,02/12/24 12:00:00 PM,3.57,62.49,,,
95,02/12/24 01:00:00 PM,3.59,62.78,,,
96,02/12/24 02:00:00 PM,3.52,63.00,,,
97,02/12/24 03:00:00 PM,3.52,63.36,,,
98,02/12/24 04:00:00 PM,3.45,63.75,,,
99,02/12/24 05:00:00 PM,3.46,64.04,,,
