"Plot Title: Bradford13_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10926097, SEN S/N: 10926097)","Temp, °F (LGR S/N: 10926097, SEN S/N: 10926097)","Expired Sensor Cap (LGR S/N: 10926097, SEN S/N: 10926097)","Coupler Attached (LGR S/N: 10926097, SEN S/N: 10926097)","Host Connected (LGR S/N: 10926097, SEN S/N: 10926097)","Stopped (LGR S/N: 10926097, SEN S/N: 10926097)","End Of File (LGR S/N: 10926097, SEN S/N: 10926097)"
1,06/20/24 02:00:00 PM,7.23,92.23,,,,,
2,06/20/24 03:00:00 PM,7.46,90.46,,,,,
3,06/20/24 04:00:00 PM,7.66,87.73,,,,,
4,06/20/24 05:00:00 PM,7.71,86.43,,,,,
5,06/20/24 06:00:00 PM,7.93,83.52,,,,,
6,06/20/24 07:00:00 PM,8.05,81.50,,,,,
7,06/20/24 08:00:00 PM,8.29,78.73,,,,,
8,06/20/24 09:00:00 PM,8.46,76.39,,,,,
9,06/20/24 10:00:00 PM,8.61,74.66,,,,,
10,06/20/24 11:00:00 PM,8.77,72.61,,,,,
11,06/21/24 12:00:00 AM,8.93,71.02,,,,,
12,06/21/24 01:00:00 AM,9.00,70.12,,,,,
13,06/21/24 02:00:00 AM,9.07,69.40,,,,,
14,06/21/24 03:00:00 AM,9.05,69.62,,,,,
15,06/21/24 04:00:00 AM,9.07,69.33,,,,,
16,06/21/24 05:00:00 AM,9.02,69.84,,,,,
17,06/21/24 06:00:00 AM,8.93,70.92,,,,,
18,06/21/24 07:00:00 AM,8.74,73.04,,,,,
19,06/21/24 08:00:00 AM,8.43,76.86,,,,,
20,06/21/24 09:00:00 AM,7.86,84.02,,,,,
21,06/21/24 10:00:00 AM,7.81,83.98,,,,,
22,06/21/24 11:00:00 AM,7.82,83.98,,,,,
23,06/21/24 12:00:00 PM,7.67,87.44,,,,,
24,06/21/24 01:00:00 PM,7.25,94.03,,,,,
25,06/21/24 02:00:00 PM,7.06,95.61,,,,,
26,06/21/24 03:00:00 PM,7.22,93.27,,,,,
27,06/21/24 04:00:00 PM,7.44,89.02,,,,,
28,06/21/24 05:00:00 PM,7.59,87.22,,,,,
29,06/21/24 06:00:00 PM,7.80,84.34,,,,,
30,06/21/24 07:00:00 PM,7.91,82.98,,,,,
31,06/21/24 08:00:00 PM,8.01,80.60,,,,,
32,06/21/24 09:00:00 PM,8.11,79.41,,,,,
33,06/21/24 10:00:00 PM,8.15,78.94,,,,,
34,06/21/24 11:00:00 PM,8.20,78.55,,,,,
35,06/22/24 12:00:00 AM,8.27,77.72,,,,,
36,06/22/24 01:00:00 AM,8.29,77.43,,,,,
37,06/22/24 02:00:00 AM,8.34,76.75,,,,,
38,06/22/24 03:00:00 AM,8.39,75.88,,,,,
39,06/22/24 04:00:00 AM,8.49,74.84,,,,,
40,06/22/24 05:00:00 AM,8.52,74.55,,,,,
41,06/22/24 06:00:00 AM,8.49,75.16,,,,,
42,06/22/24 07:00:00 AM,8.40,76.32,,,,,
43,06/22/24 08:00:00 AM,8.17,79.23,,,,,
44,06/22/24 09:00:00 AM,7.25,92.08,,,,,
45,06/22/24 10:00:00 AM,7.42,89.35,,,,,
46,06/22/24 11:00:00 AM,7.56,87.37,,,,,
47,06/22/24 12:00:00 PM,7.45,89.64,,,,,
48,06/22/24 01:00:00 PM,7.23,93.63,,,,,
49,06/22/24 02:00:00 PM,6.97,96.69,,,,,
50,06/22/24 03:00:00 PM,7.16,94.17,,,,,
51,06/22/24 04:00:00 PM,7.25,92.34,,,,,
52,06/22/24 05:00:00 PM,7.41,90.00,,,,,
53,06/22/24 06:00:00 PM,7.58,86.29,,,,,
54,06/22/24 07:00:00 PM,8.19,77.83,,,,,
55,06/22/24 08:00:00 PM,8.22,77.58,,,,,
56,06/22/24 09:00:00 PM,8.25,77.32,,,,,
57,06/22/24 10:00:00 PM,8.27,77.04,,,,,
58,06/22/24 11:00:00 PM,8.32,76.60,,,,,
59,06/23/24 12:00:00 AM,8.33,76.60,,,,,
60,06/23/24 01:00:00 AM,8.37,76.14,,,,,
61,06/23/24 02:00:00 AM,8.37,75.88,,,,,
62,06/23/24 03:00:00 AM,8.44,75.24,,,,,
63,06/23/24 04:00:00 AM,8.47,74.80,,,,,
64,06/23/24 05:00:00 AM,8.54,74.19,,,,,
65,06/23/24 06:00:00 AM,8.52,74.19,,,,,
66,06/23/24 07:00:00 AM,8.40,75.81,,,,,
67,06/23/24 08:00:00 AM,8.20,78.12,,,,,
68,06/23/24 09:00:00 AM,7.35,91.15,,,,,
69,06/23/24 10:00:00 AM,7.19,91.51,,,,,
70,06/23/24 11:00:00 AM,7.46,87.44,,,,,
71,06/23/24 12:00:00 PM,7.46,88.59,,,,,
72,06/23/24 01:00:00 PM,7.22,93.09,,,,,
73,06/23/24 02:00:00 PM,6.82,98.56,,,,,
74,06/23/24 03:00:00 PM,7.13,92.23,,,,,
75,06/23/24 04:00:00 PM,7.30,90.68,,,,,
76,06/23/24 05:00:00 PM,7.57,86.68,,,,,
77,06/23/24 06:00:00 PM,8.48,74.37,,,,,
78,06/23/24 07:00:00 PM,8.37,75.78,,,,,
79,06/23/24 08:00:00 PM,8.36,75.81,,,,,
80,06/23/24 09:00:00 PM,8.40,75.34,,,,,
81,06/23/24 10:00:00 PM,8.45,74.98,,,,,
82,06/23/24 11:00:00 PM,8.45,74.88,,,,,
83,06/24/24 12:00:00 AM,8.47,74.70,,,,,
84,06/24/24 01:00:00 AM,8.47,74.62,,,,,
85,06/24/24 02:00:00 AM,8.40,75.52,,,,,
86,06/24/24 03:00:00 AM,8.44,74.95,,,,,
87,06/24/24 04:00:00 AM,8.50,74.23,,,,,
88,06/24/24 05:00:00 AM,8.54,73.94,,,,,
89,06/24/24 06:00:00 AM,8.52,74.12,,,,,
90,06/24/24 07:00:00 AM,8.44,75.20,,,,,
91,06/24/24 08:00:00 AM,8.21,77.72,,,,,
92,06/24/24 09:00:00 AM,7.25,91.33,,,,,
93,06/24/24 10:00:00 AM,7.14,91.90,,,,,
94,06/24/24 11:00:00 AM,7.46,86.97,,,,,
95,06/24/24 12:00:00 PM,7.45,87.84,,,,,
96,06/24/24 01:00:00 PM,7.23,92.23,,,,,
97,06/24/24 02:00:00 PM,7.17,93.85,,,,,
98,06/24/24 03:00:00 PM,7.04,93.52,,,,,
99,06/24/24 04:00:00 PM,7.32,89.82,,,,,
100,06/24/24 05:00:00 PM,7.39,89.89,,,,,
101,06/24/24 06:00:00 PM,7.54,86.68,,,,,
102,06/24/24 07:00:00 PM,7.82,82.65,,,,,
103,06/24/24 08:00:00 PM,8.27,77.00,,,,,
104,06/24/24 09:00:00 PM,8.50,74.41,,,,,
105,06/24/24 10:00:00 PM,8.46,74.84,,,,,
106,06/24/24 11:00:00 PM,8.50,74.30,,,,,
107,06/25/24 12:00:00 AM,8.46,74.84,,,,,
108,06/25/24 01:00:00 AM,8.47,74.70,,,,,
109,06/25/24 02:00:00 AM,8.45,74.84,,,,,
110,06/25/24 03:00:00 AM,8.43,74.98,,,,,
111,06/25/24 04:00:00 AM,8.42,75.13,,,,,
112,06/25/24 05:00:00 AM,8.43,75.02,,,,,
113,06/25/24 06:00:00 AM,8.47,74.55,,,,,
114,06/25/24 07:00:00 AM,8.34,76.24,,,,,
115,06/25/24 08:00:00 AM,8.10,78.87,,,,,
116,06/25/24 09:00:00 AM,7.39,89.35,,,,,
117,06/25/24 10:00:00 AM,7.18,90.93,,,,,
118,06/25/24 11:00:00 AM,7.37,88.16,,,,,
119,06/25/24 12:00:00 PM,7.54,87.08,,,,,
120,06/25/24 01:00:00 PM,7.30,89.67,,,,,
121,06/25/24 02:00:00 PM,7.56,84.70,,,,,
122,06/25/24 03:00:00 PM,7.54,81.28,,,,,
123,06/25/24 04:00:00 PM,7.84,81.46,,,,,
