"Plot Title: Bradford_7DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733142, SEN S/N: 10733142)","Temp, °F (LGR S/N: 10733142, SEN S/N: 10733142)","Coupler Attached (LGR S/N: 10733142, SEN S/N: 10733142)","Coupler Detached (LGR S/N: 10733142, SEN S/N: 10733142)","Host Connected (LGR S/N: 10733142, SEN S/N: 10733142)","Stopped (LGR S/N: 10733142, SEN S/N: 10733142)","End Of File (LGR S/N: 10733142, SEN S/N: 10733142)"
25,04/19/24 12:00:00 PM,0.87,72.28,,,,,
26,04/19/24 01:00:00 PM,0.40,73.22,,,,,
27,04/19/24 02:00:00 PM,0.50,73.90,,,,,
28,04/19/24 03:00:00 PM,0.28,74.37,,,,,
29,04/19/24 04:00:00 PM,0.25,74.98,,,,,
30,04/19/24 05:00:00 PM,0.15,75.45,,,,,
31,04/19/24 06:00:00 PM,0.09,75.70,,,,,
32,04/19/24 07:00:00 PM,0.27,75.67,,,,,
33,04/19/24 08:00:00 PM,0.40,75.38,,,,,
34,04/19/24 09:00:00 PM,0.48,74.84,,,,,
35,04/19/24 10:00:00 PM,0.36,74.19,,,,,
36,04/19/24 11:00:00 PM,0.08,73.54,,,,,
37,04/20/24 12:00:00 AM,-0.03,72.97,,,,,
38,04/20/24 01:00:00 AM,0.06,72.43,,,,,
39,04/20/24 02:00:00 AM,0.08,71.89,,,,,
40,04/20/24 03:00:00 AM,-0.03,71.49,,,,,
41,04/20/24 04:00:00 AM,-0.01,71.20,,,,,
42,04/20/24 05:00:00 AM,-0.01,70.88,,,,,
43,04/20/24 06:00:00 AM,-0.03,70.59,,,,,
44,04/20/24 07:00:00 AM,-0.03,70.38,,,,,
45,04/20/24 08:00:00 AM,-0.01,70.38,,,,,
46,04/20/24 09:00:00 AM,0.10,70.92,,,,,
47,04/20/24 10:00:00 AM,0.03,71.46,,,,,
48,04/20/24 11:00:00 AM,0.16,72.75,,,,,
49,04/20/24 12:00:00 PM,0.59,73.29,,,,,
50,04/20/24 01:00:00 PM,0.00,73.80,,,,,
51,04/20/24 02:00:00 PM,0.00,74.48,,,,,
52,04/20/24 03:00:00 PM,-0.01,74.84,,,,,
53,04/20/24 04:00:00 PM,0.05,75.24,,,,,
54,04/20/24 05:00:00 PM,-0.01,75.56,,,,,
55,04/20/24 06:00:00 PM,-0.03,75.67,,,,,
56,04/20/24 07:00:00 PM,-0.03,75.56,,,,,
57,04/20/24 08:00:00 PM,0.46,75.16,,,,,
58,04/20/24 09:00:00 PM,0.30,74.70,,,,,
59,04/20/24 10:00:00 PM,0.65,74.12,,,,,
60,04/20/24 11:00:00 PM,0.10,73.54,,,,,
61,04/21/24 12:00:00 AM,-0.03,72.93,,,,,
62,04/21/24 01:00:00 AM,-0.01,72.36,,,,,
63,04/21/24 02:00:00 AM,0.17,71.78,,,,,
64,04/21/24 03:00:00 AM,0.28,71.24,,,,,
65,04/21/24 04:00:00 AM,0.33,70.77,,,,,
66,04/21/24 05:00:00 AM,0.20,70.38,,,,,
67,04/21/24 06:00:00 AM,0.12,70.05,,,,,
68,04/21/24 07:00:00 AM,0.08,69.84,,,,,
69,04/21/24 08:00:00 AM,0.06,69.76,,,,,
70,04/21/24 09:00:00 AM,-0.01,69.84,,,,,
71,04/21/24 10:00:00 AM,0.02,70.23,,,,,
72,04/21/24 11:00:00 AM,0.02,71.02,,,,,
73,04/21/24 12:00:00 PM,0.07,71.38,,,,,
74,04/21/24 01:00:00 PM,0.02,72.00,,,,,
75,04/21/24 02:00:00 PM,-0.03,72.46,,,,,
76,04/21/24 03:00:00 PM,-0.03,72.90,,,,,
77,04/21/24 04:00:00 PM,-0.03,73.15,,,,,
78,04/21/24 05:00:00 PM,-0.03,73.18,,,,,
79,04/21/24 06:00:00 PM,-0.03,73.18,,,,,
80,04/21/24 07:00:00 PM,1.63,72.82,,,,,
81,04/21/24 08:00:00 PM,-0.03,72.43,,,,,
82,04/21/24 09:00:00 PM,-0.03,71.96,,,,,
83,04/21/24 10:00:00 PM,-0.03,71.46,,,,,
84,04/21/24 11:00:00 PM,-0.03,70.99,,,,,
85,04/22/24 12:00:00 AM,-0.02,70.48,,,,,
86,04/22/24 01:00:00 AM,0.06,69.94,,,,,
87,04/22/24 02:00:00 AM,0.03,69.37,,,,,
88,04/22/24 03:00:00 AM,0.14,68.79,,,,,
89,04/22/24 04:00:00 AM,-0.02,68.22,,,,,
90,04/22/24 05:00:00 AM,-0.01,67.68,,,,,
91,04/22/24 06:00:00 AM,0.10,67.14,,,,,
92,04/22/24 07:00:00 AM,0.09,66.67,,,,,
93,04/22/24 08:00:00 AM,-0.01,66.45,,,,,
94,04/22/24 09:00:00 AM,0.20,66.56,,,,,
95,04/22/24 10:00:00 AM,-0.02,66.70,,,,,
96,04/22/24 11:00:00 AM,-0.03,67.39,,,,,
97,04/22/24 12:00:00 PM,-0.03,67.78,,,,,
98,04/22/24 01:00:00 PM,-0.03,68.11,,,,,
99,04/22/24 02:00:00 PM,0.43,68.47,,,,,
100,04/22/24 03:00:00 PM,-0.03,68.68,,,,,
101,04/22/24 04:00:00 PM,-0.01,68.97,,,,,
102,04/22/24 05:00:00 PM,-0.03,69.19,,,,,
103,04/22/24 06:00:00 PM,-0.03,69.19,,,,,
104,04/22/24 07:00:00 PM,-0.03,69.04,,,,,
105,04/22/24 08:00:00 PM,-0.03,68.68,,,,,
106,04/22/24 09:00:00 PM,-0.02,68.14,,,,,
107,04/22/24 10:00:00 PM,0.34,67.50,,,,,
108,04/22/24 11:00:00 PM,0.56,66.85,,,,,
109,04/23/24 12:00:00 AM,0.61,66.09,,,,,
110,04/23/24 01:00:00 AM,0.60,65.52,,,,,
111,04/23/24 02:00:00 AM,0.68,64.90,,,,,
112,04/23/24 03:00:00 AM,0.56,64.29,,,,,
113,04/23/24 04:00:00 AM,0.76,63.68,,,,,
114,04/23/24 05:00:00 AM,0.77,63.03,,,,,
115,04/23/24 06:00:00 AM,0.81,62.42,,,,,
116,04/23/24 07:00:00 AM,0.51,61.88,,,,,
