MiniDOT Logger Concatenated Data File
Sensor:             7450-866812
Concatenation Date: 2024Feb13 09:18:08 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1688907600,           2023-07-09 13:00:00,           2023-07-09 09:00:00,      3.480000,     25.292000,          0.083000,                     1.009890,      0.979000
                1688911200,           2023-07-09 14:00:00,           2023-07-09 10:00:00,      3.480000,     25.317000,          0.084000,                     1.022526,      0.980000
                1688914800,           2023-07-09 15:00:00,           2023-07-09 11:00:00,      3.480000,     25.384000,          0.083000,                     1.011595,      0.980000
                1688918400,           2023-07-09 16:00:00,           2023-07-09 12:00:00,      3.480000,     25.443000,          0.090000,                     1.098096,      0.980000
                1688922000,           2023-07-09 17:00:00,           2023-07-09 13:00:00,      3.490000,     25.511000,          0.084000,                     1.026166,      0.979000
                1688925600,           2023-07-09 18:00:00,           2023-07-09 14:00:00,      3.490000,     25.587000,          0.084000,                     1.027593,      0.979000
                1688929200,           2023-07-09 19:00:00,           2023-07-09 15:00:00,      3.490000,     25.688000,          0.084000,                     1.029490,      0.979000
                1688932800,           2023-07-09 20:00:00,           2023-07-09 16:00:00,      3.490000,     25.823000,          0.084000,                     1.032027,      0.979000
                1688936400,           2023-07-09 21:00:00,           2023-07-09 17:00:00,      3.490000,     25.848000,          0.084000,                     1.032496,      0.979000
                1688940000,           2023-07-09 22:00:00,           2023-07-09 18:00:00,      3.490000,     25.882000,          0.217000,                     2.668934,      0.983000
                1688943600,           2023-07-09 23:00:00,           2023-07-09 19:00:00,      3.490000,     25.848000,          0.198000,                     2.433742,      0.982000
                1688947200,           2023-07-10 00:00:00,           2023-07-09 20:00:00,      3.490000,     25.772000,          0.305000,                     3.743759,      0.984000
                1688950800,           2023-07-10 01:00:00,           2023-07-09 21:00:00,      3.490000,     25.713000,          0.244000,                     2.991787,      0.983000
