Date,,,FDOM,CO2,CO2hi
8/4/2023 10:00,0,13.1,2.343925,70.57574,298.3522
8/4/2023 11:00,1,13.03,2.499954,4695.205,4368.475
8/4/2023 12:00,2,13.01,2.33456,4705.456,4381.389
8/4/2023 13:00,3,12.98,3.008921,4709.714,4404.787
8/4/2023 14:00,4,12.97,3.182024,3370.369,4378.188
8/4/2023 15:00,5,12.98,3.608377,6106.994,4394.649
8/4/2023 16:00,6,12.97,3.876316,6276.953,4348.559
8/4/2023 17:00,7,12.97,3.395874,6939.504,4353.085
8/4/2023 18:00,8,12.95,3.22225,7390.327,4373.25
8/4/2023 19:00,9,12.95,3.161889,7581.891,4383.95
8/4/2023 20:00,10,12.93,3.16482,7694.237,4385.596
8/4/2023 21:00,11,12.94,3.235196,7776.335,4383.538
8/4/2023 22:00,12,12.92,3.371371,7802.261,4376.542
8/4/2023 23:00,13,12.93,3.519427,7786.417,4367.489
8/5/2023 0:00,14,12.92,3.663812,7805.142,4359.258
8/5/2023 1:00,15,12.92,3.69153,7813.784,4357.612
8/5/2023 2:00,16,12.9,3.70077,7803.702,4359.67
8/5/2023 3:00,17,12.91,3.746966,7744.648,4348.559
8/5/2023 4:00,18,12.9,3.737762,7655.348,4319.752
8/5/2023 5:00,19,12.9,3.820883,7692.796,4325.102
8/5/2023 6:00,20,12.89,3.793165,7571.809,4308.229
8/5/2023 7:00,21,12.88,3.60838,7620.78,4304.114
8/5/2023 8:00,22,12.88,3.98719,7531.479,4292.18
8/5/2023 9:00,23,12.88,4.033386,7648.146,4312.345
8/5/2023 10:00,24,12.89,3.968704,7790.739,4292.18
8/5/2023 11:00,25,12.92,4.014309,7844.031,4325.102
8/5/2023 12:00,26,12.98,3.977247,7868.379,4325.85
8/5/2023 13:00,27,13.03,3.857157,7826.668,4377.321
8/5/2023 14:00,28,12.99,3.931058,7653.89,4396.285
8/5/2023 15:00,29,12.97,3.88487,7610.612,4425.053
8/5/2023 16:00,30,12.94,3.866394,7581.759,4458.769
8/5/2023 17:00,31,12.9,3.903345,7619.339,4472.427
8/5/2023 18:00,32,12.9,3.829443,7541.562,4478.188
8/5/2023 19:00,33,12.89,3.949534,7646.706,4485.596
8/5/2023 20:00,34,12.9,3.949789,7616.459,4482.715
8/5/2023 21:00,35,12.88,3.977884,7619.339,4459.258
8/5/2023 22:00,36,12.88,4.014897,7603.496,4458.023
8/5/2023 23:00,37,12.87,4.088819,7590.533,4435.39
8/6/2023 0:00,38,12.87,4.051862,7514.195,4410.699
8/6/2023 1:00,39,12.85,4.135015,7509.875,4410.699
8/6/2023 2:00,40,12.87,4.135015,7501.232,4409.052
8/6/2023 3:00,41,12.85,4.116537,7492.591,4402.468
8/6/2023 4:00,42,12.85,4.125776,7450.821,4394.649
8/6/2023 5:00,43,12.84,4.088819,7394.648,4386.419
8/6/2023 6:00,44,12.85,4.162733,7345.677,4375.719
8/6/2023 7:00,45,12.84,4.19969,7298.146,4362.139
8/6/2023 8:00,46,12.84,4.171972,7250.615,4350.616
8/6/2023 9:00,47,12.86,4.180715,7243.414,4351.851
8/6/2023 10:00,48,12.87,4.180476,7283.743,4376.954
8/6/2023 11:00,49,12.9,4.217427,7236.169,4402.854
8/6/2023 12:00,50,12.87,4.235902,7097.916,4419.737
8/6/2023 13:00,51,12.94,4.272853,7031.48,4451.31
8/6/2023 14:00,52,13.38,4.226665,6979.435,4492.746
8/6/2023 15:00,53,12.99,4.162001,6929.859,4510.869
8/6/2023 16:00,54,12.91,4.12505,6822.367,4535.077
8/6/2023 17:00,55,12.89,4.106574,6831.449,4546.893
8/6/2023 18:00,56,12.85,4.097336,6854.03,4564.69
8/6/2023 19:00,57,12.86,4.180476,6893.409,4569.955
8/6/2023 20:00,58,12.84,4.162001,6874.689,4563.374
8/6/2023 21:00,59,12.85,4.226713,6867.488,4547.735
8/6/2023 22:00,60,12.83,4.171376,6860.286,4530.04
8/6/2023 23:00,61,12.83,4.273591,6832.92,4515.225
