"Plot Title: Bradford_6cond"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10757733, SEN S/N: 10757733, LBL: CondLo)","Full Range, μS/cm (LGR S/N: 10757733, SEN S/N: 10757733, LBL: CondHi)","Temp, °F (LGR S/N: 10757733, SEN S/N: 10757733, LBL: Temp)"
1,11/01/23 02:00:00 PM,105.2,76.3,91.71
2,11/01/23 03:00:00 PM,104.4,75.9,91.71
3,11/01/23 04:00:00 PM,104.4,75.6,91.65
4,11/01/23 05:00:00 PM,104.2,75.6,91.56
5,11/01/23 06:00:00 PM,104.0,75.6,91.47
6,11/01/23 07:00:00 PM,103.8,75.6,91.38
7,11/01/23 08:00:00 PM,103.6,75.2,91.33
8,11/01/23 09:00:00 PM,103.4,75.2,91.26
9,11/01/23 10:00:00 PM,103.2,74.9,91.17
10,11/01/23 11:00:00 PM,102.9,74.9,91.13
11,11/02/23 12:00:00 AM,102.8,74.5,91.06
12,11/02/23 01:00:00 AM,102.6,74.2,90.97
13,11/02/23 02:00:00 AM,102.6,74.5,90.91
14,11/02/23 03:00:00 AM,102.3,74.2,90.90
15,11/02/23 04:00:00 AM,102.2,74.2,90.86
16,11/02/23 05:00:00 AM,102.2,74.2,90.82
17,11/02/23 06:00:00 AM,102.1,74.2,90.79
18,11/02/23 07:00:00 AM,102.1,74.2,90.82
19,11/02/23 08:00:00 AM,102.4,74.2,90.91
20,11/02/23 09:00:00 AM,102.7,74.5,91.08
21,11/02/23 10:00:00 AM,103.5,75.2,91.36
22,11/02/23 11:00:00 AM,104.2,75.9,91.65
23,11/02/23 12:00:00 PM,104.8,75.9,91.85
24,11/02/23 01:00:00 PM,105.4,76.3,92.03
25,11/02/23 02:00:00 PM,106.0,77.0,92.19
26,11/02/23 03:00:00 PM,106.0,77.0,92.16
27,11/02/23 04:00:00 PM,105.9,77.0,92.05
28,11/02/23 05:00:00 PM,105.8,76.6,91.94
29,11/02/23 06:00:00 PM,105.5,76.3,91.85
30,11/02/23 07:00:00 PM,113.2,82.8,91.71
31,11/02/23 08:00:00 PM,104.9,76.3,91.63
32,11/02/23 09:00:00 PM,104.7,75.9,91.54
33,11/02/23 10:00:00 PM,104.4,75.9,91.45
34,11/02/23 11:00:00 PM,104.5,75.9,91.40
35,11/03/23 12:00:00 AM,104.0,75.6,91.33
36,11/03/23 01:00:00 AM,103.8,75.2,91.29
37,11/03/23 02:00:00 AM,103.7,75.2,91.24
38,11/03/23 03:00:00 AM,103.6,75.2,91.24
39,11/03/23 04:00:00 AM,103.4,75.2,91.18
40,11/03/23 05:00:00 AM,103.4,74.9,91.15
41,11/03/23 06:00:00 AM,103.2,74.9,91.15
42,11/03/23 07:00:00 AM,103.4,74.9,91.17
43,11/03/23 08:00:00 AM,103.7,75.2,91.31
44,11/03/23 09:00:00 AM,104.0,75.6,91.42
45,11/03/23 10:00:00 AM,104.5,75.9,91.63
46,11/03/23 11:00:00 AM,105.2,76.3,91.87
47,11/03/23 12:00:00 PM,105.7,76.6,92.03
48,11/03/23 01:00:00 PM,106.5,77.3,92.34
49,11/03/23 02:00:00 PM,106.7,77.7,92.34
50,11/03/23 03:00:00 PM,106.8,77.7,92.34
51,11/03/23 04:00:00 PM,106.6,77.3,92.21
52,11/03/23 05:00:00 PM,106.5,77.0,92.10
53,11/03/23 06:00:00 PM,106.1,77.0,91.92
54,11/03/23 07:00:00 PM,105.9,77.0,91.81
55,11/03/23 08:00:00 PM,105.6,76.6,91.71
56,11/03/23 09:00:00 PM,105.2,76.3,91.62
57,11/03/23 10:00:00 PM,105.0,76.3,91.54
58,11/03/23 11:00:00 PM,104.8,76.3,91.47
59,11/04/23 12:00:00 AM,104.8,75.9,91.47
60,11/04/23 01:00:00 AM,104.7,75.9,91.45
61,11/04/23 02:00:00 AM,104.5,75.9,91.40
62,11/04/23 03:00:00 AM,104.3,75.6,91.33
63,11/04/23 04:00:00 AM,104.1,75.6,91.26
64,11/04/23 05:00:00 AM,104.1,75.6,91.22
65,11/04/23 06:00:00 AM,103.9,75.2,91.18
66,11/04/23 07:00:00 AM,104.0,75.2,91.26
67,11/04/23 08:00:00 AM,104.3,75.6,91.31
68,11/04/23 09:00:00 AM,104.5,75.9,91.47
69,11/04/23 10:00:00 AM,105.3,76.6,91.78
70,11/04/23 11:00:00 AM,106.0,77.4,91.99
71,11/04/23 12:00:00 PM,106.5,77.0,92.17
