"Plot Title: Bradford_6cond"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10757733, SEN S/N: 10757733, LBL: CondLo)","Full Range, μS/cm (LGR S/N: 10757733, SEN S/N: 10757733, LBL: CondHi)","Temp, °F (LGR S/N: 10757733, SEN S/N: 10757733, LBL: Temp)"
1,07/07/23 12:00:00 PM,111.5,95.8,78.82
2,07/07/23 01:00:00 PM,113.4,98.3,80.20
3,07/07/23 02:00:00 PM,114.7,100.8,81.36
4,07/07/23 03:00:00 PM,115.2,101.9,81.37
5,07/07/23 04:00:00 PM,115.3,101.9,81.21
6,07/07/23 05:00:00 PM,115.4,101.9,81.14
7,07/07/23 06:00:00 PM,99.2,86.3,79.41
8,07/07/23 07:00:00 PM,91.1,76.9,77.04
9,07/07/23 08:00:00 PM,98.1,82.1,75.83
10,07/07/23 09:00:00 PM,103.5,86.1,75.29
11,07/07/23 10:00:00 PM,105.0,86.5,75.11
12,07/07/23 11:00:00 PM,105.7,87.2,74.93
13,07/08/23 12:00:00 AM,106.3,87.6,74.80
14,07/08/23 01:00:00 AM,106.6,88.0,74.68
15,07/08/23 02:00:00 AM,106.9,88.0,74.53
16,07/08/23 03:00:00 AM,106.9,88.0,74.44
17,07/08/23 04:00:00 AM,107.0,88.0,74.37
18,07/08/23 05:00:00 AM,107.1,88.0,74.28
19,07/08/23 06:00:00 AM,107.0,88.0,74.25
20,07/08/23 07:00:00 AM,107.2,88.0,74.32
21,07/08/23 08:00:00 AM,107.6,88.7,74.61
22,07/08/23 09:00:00 AM,108.3,89.8,75.20
23,07/08/23 10:00:00 AM,109.4,91.6,76.15
24,07/08/23 11:00:00 AM,110.9,93.7,77.32
25,07/08/23 12:00:00 PM,112.3,96.6,78.37
26,07/08/23 01:00:00 PM,114.3,99.4,79.88
27,07/08/23 02:00:00 PM,115.5,101.9,80.87
28,07/08/23 03:00:00 PM,116.6,103.0,81.36
29,07/08/23 04:00:00 PM,116.8,103.3,81.32
30,07/08/23 05:00:00 PM,116.3,102.6,80.74
31,07/08/23 06:00:00 PM,115.5,100.5,79.74
32,07/08/23 07:00:00 PM,113.6,98.0,78.51
33,07/08/23 08:00:00 PM,112.5,95.5,77.56
34,07/08/23 09:00:00 PM,111.6,94.1,76.80
35,07/08/23 10:00:00 PM,110.9,93.0,76.33
36,07/08/23 11:00:00 PM,110.3,92.3,76.06
37,07/09/23 12:00:00 AM,110.1,92.3,75.90
38,07/09/23 01:00:00 AM,109.8,92.0,75.78
39,07/09/23 02:00:00 AM,109.5,91.2,75.67
40,07/09/23 03:00:00 AM,109.2,90.9,75.54
41,07/09/23 04:00:00 AM,109.0,90.5,75.43
42,07/09/23 05:00:00 AM,108.8,90.5,75.36
43,07/09/23 06:00:00 AM,108.8,90.2,75.29
44,07/09/23 07:00:00 AM,108.8,90.1,75.34
45,07/09/23 08:00:00 AM,109.0,90.5,75.69
46,07/09/23 09:00:00 AM,109.6,91.6,76.23
47,07/09/23 10:00:00 AM,110.8,93.3,77.22
48,07/09/23 11:00:00 AM,107.5,91.1,77.92
49,07/09/23 12:00:00 PM,106.0,89.3,77.52
50,07/09/23 01:00:00 PM,104.0,88.2,77.61
51,07/09/23 02:00:00 PM,109.5,94.0,79.05
52,07/09/23 03:00:00 PM,112.3,97.2,79.86
53,07/09/23 04:00:00 PM,113.5,99.0,80.40
54,07/09/23 05:00:00 PM,109.5,94.0,79.09
55,07/09/23 06:00:00 PM,105.7,89.6,78.03
