"Plot Title: Bradford_5a_con"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 10778438, SEN S/N: 10778438)","Temp, °F (LGR S/N: 10778438, SEN S/N: 10778438)","Coupler Detached (LGR S/N: 10778438, SEN S/N: 10778438)","Coupler Attached (LGR S/N: 10778438, SEN S/N: 10778438)","Stopped (LGR S/N: 10778438, SEN S/N: 10778438)","End Of File (LGR S/N: 10778438, SEN S/N: 10778438)"
1,07/01/25 10:00:00 AM,5.6,80.56,Logged,,,
2,07/01/25 11:00:00 AM,16.4,82.31,,,,
3,07/01/25 12:00:00 PM,5.5,85.62,,,,
4,07/01/25 01:00:00 PM,5.5,85.46,,,,
5,07/01/25 02:00:00 PM,5.5,86.07,,,,
6,07/01/25 03:00:00 PM,5.5,86.50,,,,
7,07/01/25 04:00:00 PM,5.5,83.53,,,,
8,07/01/25 05:00:00 PM,5.6,79.68,,,,
9,07/01/25 06:00:00 PM,5.6,79.66,,,,
10,07/01/25 07:00:00 PM,5.6,79.95,,,,
11,07/01/25 08:00:00 PM,5.6,78.40,,,,
12,07/01/25 09:00:00 PM,5.6,77.11,,,,
13,07/01/25 10:00:00 PM,5.6,75.60,,,,
14,07/01/25 11:00:00 PM,5.6,74.57,,,,
15,07/02/25 12:00:00 AM,5.6,74.14,,,,
16,07/02/25 01:00:00 AM,5.6,73.80,,,,
17,07/02/25 02:00:00 AM,5.6,74.05,,,,
18,07/02/25 03:00:00 AM,5.6,74.08,,,,
19,07/02/25 04:00:00 AM,3.3,73.94,,,,
20,07/02/25 05:00:00 AM,5.6,73.92,,,,
21,07/02/25 06:00:00 AM,5.6,73.40,,,,
22,07/02/25 07:00:00 AM,5.6,74.75,,,,
23,07/02/25 08:00:00 AM,5.6,76.62,,,,
24,07/02/25 09:00:00 AM,5.6,79.38,,,,
25,07/02/25 10:00:00 AM,5.6,80.49,,,,
26,07/02/25 11:00:00 AM,16.4,84.58,,,,
27,07/02/25 12:00:00 PM,5.6,81.64,,,,
28,07/02/25 01:00:00 PM,5.6,79.83,,,,
29,07/02/25 02:00:00 PM,16.4,82.11,,,,
30,07/02/25 03:00:00 PM,12.3,79.27,,,,
31,07/02/25 04:00:00 PM,12.3,78.91,,,,
32,07/02/25 05:00:00 PM,16.4,78.85,,,,
33,07/02/25 06:00:00 PM,124.9,78.80,,,,
34,07/02/25 07:00:00 PM,16.4,78.24,,,,
35,07/02/25 08:00:00 PM,16.4,76.93,,,,
36,07/02/25 09:00:00 PM,16.5,76.30,,,,
37,07/02/25 10:00:00 PM,12.3,75.83,,,,
38,07/02/25 11:00:00 PM,12.3,75.85,,,,
39,07/03/25 12:00:00 AM,12.3,75.67,,,,
40,07/03/25 01:00:00 AM,12.3,75.61,,,,
41,07/03/25 02:00:00 AM,12.3,75.61,,,,
42,07/03/25 03:00:00 AM,12.3,75.69,,,,
43,07/03/25 04:00:00 AM,27.4,75.20,,,,
44,07/03/25 05:00:00 AM,12.3,74.64,,,,
45,07/03/25 06:00:00 AM,12.3,74.68,,,,
46,07/03/25 07:00:00 AM,12.3,75.74,,,,
47,07/03/25 08:00:00 AM,5.6,77.16,,,,
48,07/03/25 09:00:00 AM,5.6,79.65,,,,
49,07/03/25 10:00:00 AM,5.6,80.92,,,,
50,07/03/25 11:00:00 AM,5.6,81.88,,,,
51,07/03/25 12:00:00 PM,3.3,84.36,,,,
52,07/03/25 01:00:00 PM,10.4,81.50,,,,
53,07/03/25 02:00:00 PM,6.3,77.90,,,,
54,07/03/25 03:00:00 PM,5.9,77.25,,,,
55,07/03/25 04:00:00 PM,4.5,75.78,,,,
56,07/03/25 05:00:00 PM,3.3,75.56,,,,
57,07/03/25 06:00:00 PM,3.3,75.83,,,,
58,07/03/25 07:00:00 PM,3.0,75.76,,,,
59,07/03/25 08:00:00 PM,3.3,75.74,,,,
60,07/03/25 09:00:00 PM,3.0,75.38,,,,
61,07/03/25 10:00:00 PM,3.0,75.00,,,,
62,07/03/25 11:00:00 PM,2.6,74.64,,,,
63,07/04/25 12:00:00 AM,3.3,74.21,,,,
64,07/04/25 01:00:00 AM,3.3,73.54,,,,
65,07/04/25 02:00:00 AM,2.6,73.85,,,,
66,07/04/25 03:00:00 AM,2.6,73.40,,,,
67,07/04/25 04:00:00 AM,2.6,72.90,,,,
68,07/04/25 05:00:00 AM,3.0,72.88,,,,
69,07/04/25 06:00:00 AM,3.0,72.88,,,,
70,07/04/25 07:00:00 AM,3.0,73.56,,,,
71,07/04/25 08:00:00 AM,2.2,75.99,,,,
72,07/04/25 09:00:00 AM,2.9,78.40,,,,
73,07/04/25 10:00:00 AM,2.2,79.57,,,,
74,07/04/25 11:00:00 AM,3.7,82.02,,,,
75,07/04/25 12:00:00 PM,5.6,83.21,,,,
76,07/04/25 01:00:00 PM,5.5,85.12,,,,
77,07/04/25 02:00:00 PM,3.3,85.91,,,,
78,07/04/25 03:00:00 PM,5.5,90.90,,,,
79,07/04/25 04:00:00 PM,3.3,75.42,,,,
80,07/04/25 05:00:00 PM,3.0,74.80,,,,
81,07/04/25 06:00:00 PM,2.9,77.00,,,,
82,07/04/25 07:00:00 PM,2.2,78.28,,,,
83,07/04/25 08:00:00 PM,2.2,77.95,,,,
84,07/04/25 09:00:00 PM,2.9,77.50,,,,
85,07/04/25 10:00:00 PM,2.9,77.14,,,,
86,07/04/25 11:00:00 PM,2.9,76.59,,,,
87,07/05/25 12:00:00 AM,2.6,76.05,,,,
88,07/05/25 01:00:00 AM,2.6,75.38,,,,
89,07/05/25 02:00:00 AM,2.6,74.50,,,,
90,07/05/25 03:00:00 AM,3.3,74.08,,,,
91,07/05/25 04:00:00 AM,2.6,74.32,,,,
92,07/05/25 05:00:00 AM,2.6,74.32,,,,
93,07/05/25 06:00:00 AM,3.3,74.05,,,,
94,07/05/25 07:00:00 AM,2.6,75.16,,,,
95,07/05/25 08:00:00 AM,3.3,76.06,,,,
96,07/05/25 09:00:00 AM,3.3,78.13,,,,
97,07/05/25 10:00:00 AM,2.2,80.04,,,,
98,07/05/25 11:00:00 AM,5.6,82.44,,,,
99,07/05/25 12:00:00 PM,5.6,82.87,,,,
100,07/05/25 01:00:00 PM,5.5,85.91,,,,
