Plot Title: Bradford_13con,,,,
#,"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10778435, SEN S/N: 10778435)","Full Range, μS/cm (LGR S/N: 10778435, SEN S/N: 10778435)","Temp, °F (LGR S/N: 10778435, SEN S/N: 10778435)"
1,9/8/2023 14:00,224.2,227.5,78.08
2,9/8/2023 15:00,227.4,230.6,78.35
3,9/8/2023 16:00,230.4,233.4,78.58
4,9/8/2023 17:00,232,235,78.49
5,9/8/2023 18:00,232.8,235.8,78.17
6,9/8/2023 19:00,233.9,237.1,77.63
7,9/8/2023 20:00,233.9,237.1,77.22
8,9/8/2023 21:00,235.1,238,76.91
9,9/8/2023 22:00,235.9,239.2,76.55
10,9/8/2023 23:00,236.7,239.6,76.21
11,9/9/2023 0:00,237.1,240.1,75.87
12,9/9/2023 1:00,237.3,240.5,75.56
13,9/9/2023 2:00,237.4,240.6,75.29
14,9/9/2023 3:00,236.6,239.4,75
15,9/9/2023 4:00,235.7,238.7,74.73
16,9/9/2023 5:00,235,237.5,74.46
17,9/9/2023 6:00,233.4,236.3,74.25
18,9/9/2023 7:00,231.9,234.8,74.14
19,9/9/2023 8:00,232.2,235.1,74.35
20,9/9/2023 9:00,233.9,237,75.15
21,9/9/2023 10:00,236.4,239.3,75.87
22,9/9/2023 11:00,239.7,242.4,76.57
23,9/9/2023 12:00,241.8,245.1,76.84
24,9/9/2023 13:00,245,248.6,77.38
25,9/9/2023 14:00,246.6,250.6,77.41
26,9/9/2023 15:00,249,252.5,77.65
27,9/9/2023 16:00,252.1,255.7,78.08
28,9/9/2023 17:00,254.1,258,78.08
29,9/9/2023 18:00,255,258.5,77.99
30,9/9/2023 19:00,252.7,256.1,77.47
31,9/9/2023 20:00,250.5,253.8,76.91
32,9/9/2023 21:00,247.4,251.5,76.44
33,9/9/2023 22:00,156.8,158.5,75.94
34,9/9/2023 23:00,200.8,202.4,75.6
35,9/10/2023 0:00,239.3,241.7,75.38
36,9/10/2023 1:00,255.6,259.7,75.25
37,9/10/2023 2:00,255.7,259.7,75.07
38,9/10/2023 3:00,255.3,259.3,74.89
39,9/10/2023 4:00,254.4,258.2,74.62
40,9/10/2023 5:00,253.4,257.4,74.43
41,9/10/2023 6:00,252.1,255.8,74.21
42,9/10/2023 7:00,251.2,255.1,74.07
43,9/10/2023 8:00,251.3,255,74.46
44,9/10/2023 9:00,251.9,255.3,75.2
45,9/10/2023 10:00,253,256.8,75.9
46,9/10/2023 11:00,255.9,259.8,76.95
47,9/10/2023 12:00,257.9,261.7,77.63
48,9/10/2023 13:00,259.9,263.6,78.06
49,9/10/2023 14:00,264.2,268.6,79.41
50,9/10/2023 15:00,260.7,264.1,80.17
51,9/10/2023 16:00,188,193.2,80.13
52,9/10/2023 17:00,49.5,49.7,80.01
53,9/10/2023 18:00,26.9,24.8,79.56
54,9/10/2023 19:00,21,18.1,78.76
55,9/10/2023 20:00,17.8,14.6,78.26
56,9/10/2023 21:00,16.3,13.1,77.72
57,9/10/2023 22:00,15.3,11.5,77.38
58,9/10/2023 23:00,20.9,18.2,76.91
59,9/11/2023 0:00,27,24.8,76.6
60,9/11/2023 1:00,88.5,91.8,76.32
61,9/11/2023 2:00,197.7,200.8,76.1
62,9/11/2023 3:00,256.2,260,75.99
63,9/11/2023 4:00,272.9,277.5,75.9
64,9/11/2023 5:00,277.2,282.3,75.7
65,9/11/2023 6:00,277.7,282.7,75.54
66,9/11/2023 7:00,277.7,282.7,75.54
67,9/11/2023 8:00,278.5,283.5,75.92
68,9/11/2023 9:00,280.3,285.7,76.68
69,9/11/2023 10:00,282.1,287.6,77.45
70,9/11/2023 11:00,284.2,289.4,78.4
71,9/11/2023 12:00,285.1,290.9,79.12
72,9/11/2023 13:00,284.4,289.5,80.1
73,9/11/2023 14:00,266.2,270,80.11
74,9/11/2023 15:00,124,127.3,81.36
75,9/11/2023 16:00,25.8,23.2,81.45
76,9/11/2023 17:00,243.2,246.8,78.89
77,9/11/2023 18:00,210.5,213.2,78.01
78,9/11/2023 19:00,239.3,242.7,77.29
79,9/11/2023 20:00,236.1,239.1,76.95
80,9/11/2023 21:00,241.5,245.1,76.84
81,9/11/2023 22:00,248.6,252.3,76.68
82,9/11/2023 23:00,239.3,242.4,76.46
83,9/12/2023 0:00,243.1,246.4,76.15
84,9/12/2023 1:00,238.6,242.1,75.79
85,9/12/2023 2:00,237.1,240.5,75.47
86,9/12/2023 3:00,238.7,242.2,75.16
87,9/12/2023 4:00,239.3,243,74.86
88,9/12/2023 5:00,239,242.3,74.61
89,9/12/2023 6:00,238.3,241.5,74.35
90,9/12/2023 7:00,237.3,240.7,74.23
91,9/12/2023 8:00,237.7,241.1,74.37
92,9/12/2023 9:00,239,242.6,74.86
93,9/12/2023 10:00,240.7,244.1,75.4
94,9/12/2023 11:00,242.8,246.4,76.15
95,9/12/2023 12:00,245.6,249.4,77.29
96,9/12/2023 13:00,247.4,251.3,78.08
97,9/12/2023 14:00,248.3,252.4,78.58
98,9/12/2023 15:00,249.5,253.5,79.18
99,9/12/2023 16:00,249.3,253.5,79.25
100,9/12/2023 17:00,248,252.4,78.76
101,9/12/2023 18:00,247.5,251.6,78.46
102,9/12/2023 19:00,247.9,252.4,78.35
103,9/12/2023 20:00,247.7,252.1,78.1
104,9/12/2023 21:00,247.2,251.3,77.94
105,9/12/2023 22:00,246,250.2,77.7
106,9/12/2023 23:00,244.6,249,77.49
107,9/13/2023 0:00,242.8,246.6,77.23
108,9/13/2023 1:00,241,245.1,76.98
109,9/13/2023 2:00,238.8,242.4,76.71
110,9/13/2023 3:00,237.2,241.2,76.48
111,9/13/2023 4:00,236.5,240,76.3
112,9/13/2023 5:00,236.9,240.8,76.17
113,9/13/2023 6:00,238.3,242.1,76.01
114,9/13/2023 7:00,240.2,244.5,75.9
115,9/13/2023 8:00,241.3,246,76.01
116,9/13/2023 9:00,244.5,248.8,76.41
117,9/13/2023 10:00,247.1,251.4,77.04
118,9/13/2023 11:00,248.8,254.5,77.81
119,9/13/2023 12:00,251.2,255.6,78.48
120,9/13/2023 13:00,252.2,256.3,78.78
121,9/13/2023 14:00,254.4,259,79.59
122,9/13/2023 15:00,255.6,260.5,79.93
123,9/13/2023 16:00,255.9,260.5,79.9
124,9/13/2023 17:00,255.9,260.6,79.81
125,9/13/2023 18:00,254.7,259.4,79.39
126,9/13/2023 19:00,253.6,257.9,78.85
127,9/13/2023 20:00,253.7,258,78.53
128,9/13/2023 21:00,254.1,258.8,78.35
129,9/13/2023 22:00,253.9,258.4,78.24
130,9/13/2023 23:00,254.3,258.8,78.08
131,9/14/2023 0:00,253.6,257.7,77.88
132,9/14/2023 1:00,252.6,257.3,77.65
133,9/14/2023 2:00,250.8,255,77.41
134,9/14/2023 3:00,249.3,253.4,77.18
135,9/14/2023 4:00,247.5,251.9,76.95
136,9/14/2023 5:00,245.5,249.9,76.69
137,9/14/2023 6:00,243.4,247.6,76.46
138,9/14/2023 7:00,242.5,246.4,76.3
139,9/14/2023 8:00,243,247.2,76.41
140,9/14/2023 9:00,246,250.3,77.02
141,9/14/2023 10:00,249.8,254.1,77.56
142,9/14/2023 11:00,253.7,258.4,78.06
143,9/14/2023 12:00,258.7,263.9,78.93
144,9/14/2023 13:00,263.6,268.5,79.9
145,9/14/2023 14:00,267.3,272.4,80.55
146,9/14/2023 15:00,269.7,275.1,80.87
147,9/14/2023 16:00,270.8,275.9,80.85
148,9/14/2023 17:00,270,275.2,80.33
149,9/14/2023 18:00,268.9,274.5,79.81
150,9/14/2023 19:00,267.8,273,79.27
151,9/14/2023 20:00,267.8,273,78.85
152,9/14/2023 21:00,268,273.1,78.49
153,9/14/2023 22:00,268.5,273.5,78.3
154,9/14/2023 23:00,268.8,274.3,78.08
155,9/15/2023 0:00,268.6,274.4,77.86
156,9/15/2023 1:00,268.5,274,77.72
157,9/15/2023 2:00,266.4,271.7,77.41
158,9/15/2023 3:00,264.8,270.1,77.16
159,9/15/2023 4:00,264.3,269.7,76.95
160,9/15/2023 5:00,262.2,267.4,76.68
161,9/15/2023 6:00,260.2,265,76.55
162,9/15/2023 7:00,258,263.1,76.46
163,9/15/2023 8:00,260.8,268.6,76.64
164,9/15/2023 9:00,255.9,261,77.09
165,9/15/2023 10:00,257,262.1,77.58
166,9/15/2023 11:00,260.4,265.6,78.26
167,9/15/2023 12:00,265.5,271,79.16
168,9/15/2023 13:00,271,276.8,79.97
169,9/15/2023 14:00,275.8,281.5,80.44
170,9/15/2023 15:00,280,285.8,80.78
171,9/15/2023 16:00,282,288.2,80.58
172,9/15/2023 17:00,282,288,79.95
173,9/15/2023 18:00,281.2,287.3,79.09
174,9/15/2023 19:00,280.4,286.6,78.53
175,9/15/2023 20:00,280.2,286.3,78.12
176,9/15/2023 21:00,280.6,286.7,77.79
177,9/15/2023 22:00,280.3,286.4,77.54
178,9/15/2023 23:00,280.5,286.4,77.34
179,9/16/2023 0:00,280.1,286,77.11
180,9/16/2023 1:00,280.1,286.1,76.93
181,9/16/2023 2:00,279.9,286.1,76.77
182,9/16/2023 3:00,279.7,286.1,76.53
183,9/16/2023 4:00,289.2,300.1,76.32
184,9/16/2023 5:00,277.4,283.4,76.06
185,9/16/2023 6:00,276,282.3,75.9
186,9/16/2023 7:00,274.8,280.3,75.78
187,9/16/2023 8:00,272.9,278.3,75.92
188,9/16/2023 9:00,272.8,278.2,76.51
189,9/16/2023 10:00,273.1,278.5,77.04
190,9/16/2023 11:00,275,280.3,77.92
191,9/16/2023 12:00,276.6,282.2,78.49
192,9/16/2023 13:00,281.5,287.6,79.74
193,9/16/2023 14:00,284.7,290.7,80.33
194,9/16/2023 15:00,287.1,293.4,80.55
195,9/16/2023 16:00,286.8,293.1,80.17
196,9/16/2023 17:00,278.8,284.4,79.93
197,9/16/2023 18:00,267.3,272.5,79.36
198,9/16/2023 19:00,226.8,231.7,78.76
199,9/16/2023 20:00,174.5,178,78.24
200,9/16/2023 21:00,175.4,180,77.7
201,9/16/2023 22:00,180.4,182.8,77.23
202,9/16/2023 23:00,223.2,227.2,77
203,9/17/2023 0:00,270.9,276.9,76.75
204,9/17/2023 1:00,281.9,287,76.41
205,9/17/2023 2:00,293.4,299.4,76.15
206,9/17/2023 3:00,294.9,301.4,76.21
207,9/17/2023 4:00,294.4,300.6,76.03
208,9/17/2023 5:00,293.7,300.2,75.92
209,9/17/2023 6:00,293.3,299.8,75.78
210,9/17/2023 7:00,293.2,299.8,75.85
211,9/17/2023 8:00,293.6,299.8,76.08
212,9/17/2023 9:00,295.7,302.4,77
213,9/17/2023 10:00,297.7,304.7,77.65
214,9/17/2023 11:00,299.5,306.2,78.33
215,9/17/2023 12:00,304.4,311.4,79.93
216,9/17/2023 13:00,307.3,314.4,81.14
217,9/17/2023 14:00,307.1,314.3,81.43
218,9/17/2023 15:00,295.5,301.8,80.62
219,9/17/2023 16:00,289.9,296.1,81.19
220,9/17/2023 17:00,260.8,264.7,81.25
221,9/17/2023 18:00,167.5,171.4,80.62
222,9/17/2023 19:00,94.4,95.6,79.02
223,9/17/2023 20:00,85.2,85,78.46
224,9/17/2023 21:00,77.9,77.6,77.7
225,9/17/2023 22:00,146.7,149.3,77.22
226,9/17/2023 23:00,149.9,153.2,77.02
227,9/18/2023 0:00,156,160,76.55
228,9/18/2023 1:00,209.2,213.8,76.21
229,9/18/2023 2:00,256.5,261.9,75.94
230,9/18/2023 3:00,280.7,286.7,75.61
231,9/18/2023 4:00,297.5,303.9,75.61
