"Plot Title: Bradford_15con"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342064, SEN S/N: 20342064)","Temp, °F (LGR S/N: 20342064, SEN S/N: 20342064)","Stopped (LGR S/N: 20342064, SEN S/N: 20342064)","End Of File (LGR S/N: 20342064, SEN S/N: 20342064)"
1,07/01/25 10:00:00 AM,-3.1,85.51,,
2,07/01/25 11:00:00 AM,-3.1,83.46,,
3,07/01/25 12:00:00 PM,-0.5,95.52,,
4,07/01/25 01:00:00 PM,11.5,88.47,,
5,07/01/25 02:00:00 PM,-0.5,84.52,,
6,07/01/25 03:00:00 PM,11.6,86.63,,
7,07/01/25 04:00:00 PM,-0.5,86.27,,
8,07/01/25 05:00:00 PM,-0.5,82.29,,
9,07/01/25 06:00:00 PM,-0.5,82.60,,
10,07/01/25 07:00:00 PM,-0.5,80.47,,
11,07/01/25 08:00:00 PM,-0.5,77.34,,
12,07/01/25 09:00:00 PM,-0.5,75.58,,
13,07/01/25 10:00:00 PM,-0.5,74.37,,
14,07/01/25 11:00:00 PM,-0.5,72.93,,
15,07/02/25 12:00:00 AM,-0.4,72.32,,
16,07/02/25 01:00:00 AM,-0.4,71.69,,
17,07/02/25 02:00:00 AM,-0.4,71.69,,
18,07/02/25 03:00:00 AM,-0.4,71.44,,
19,07/02/25 04:00:00 AM,-0.4,71.31,,
20,07/02/25 05:00:00 AM,-0.4,71.20,,
21,07/02/25 06:00:00 AM,-3.0,71.19,,
22,07/02/25 07:00:00 AM,-0.5,73.42,,
23,07/02/25 08:00:00 AM,-0.5,76.73,,
24,07/02/25 09:00:00 AM,-0.5,81.05,,
25,07/02/25 10:00:00 AM,-0.5,82.18,,
26,07/02/25 11:00:00 AM,-0.5,89.33,,
27,07/02/25 12:00:00 PM,-3.1,87.64,,
28,07/02/25 01:00:00 PM,-0.5,88.52,,
29,07/02/25 02:00:00 PM,-0.5,86.99,,
30,07/02/25 03:00:00 PM,-0.5,81.50,,
31,07/02/25 04:00:00 PM,-0.5,77.77,,
32,07/02/25 05:00:00 PM,-0.5,78.58,,
33,07/02/25 06:00:00 PM,-0.5,78.46,,
34,07/02/25 07:00:00 PM,-0.5,77.25,,
35,07/02/25 08:00:00 PM,-0.5,75.60,,
36,07/02/25 09:00:00 PM,-0.5,74.89,,
37,07/02/25 10:00:00 PM,-0.5,74.48,,
38,07/02/25 11:00:00 PM,-0.5,74.17,,
39,07/03/25 12:00:00 AM,-3.0,73.42,,
40,07/03/25 01:00:00 AM,-0.5,73.24,,
41,07/03/25 02:00:00 AM,-0.5,73.09,,
42,07/03/25 03:00:00 AM,-0.5,73.51,,
43,07/03/25 04:00:00 AM,-0.5,72.97,,
44,07/03/25 05:00:00 AM,-0.4,72.16,,
45,07/03/25 06:00:00 AM,-0.4,72.23,,
46,07/03/25 07:00:00 AM,-0.5,74.26,,
47,07/03/25 08:00:00 AM,-0.5,76.89,,
48,07/03/25 09:00:00 AM,-0.5,81.07,,
49,07/03/25 10:00:00 AM,-3.1,85.84,,
50,07/03/25 11:00:00 AM,-0.5,87.66,,
51,07/03/25 12:00:00 PM,-0.5,92.05,,
52,07/03/25 01:00:00 PM,-0.5,92.61,,
53,07/03/25 02:00:00 PM,-0.5,77.68,,
54,07/03/25 03:00:00 PM,11.7,75.24,,
55,07/03/25 04:00:00 PM,-0.5,73.94,,
56,07/03/25 05:00:00 PM,-0.5,73.85,,
57,07/03/25 06:00:00 PM,-3.0,73.80,,
58,07/03/25 07:00:00 PM,-0.5,73.81,,
59,07/03/25 08:00:00 PM,-0.5,73.56,,
60,07/03/25 09:00:00 PM,-0.5,73.22,,
