"Plot Title: Bradford_15con"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342064, SEN S/N: 20342064)","Temp, °F (LGR S/N: 20342064, SEN S/N: 20342064)","Stopped (LGR S/N: 20342064, SEN S/N: 20342064)","End Of File (LGR S/N: 20342064, SEN S/N: 20342064)"
1,02/27/25 12:00:00 PM,88.5,60.80,,
2,02/27/25 01:00:00 PM,90.6,62.85,,
3,02/27/25 02:00:00 PM,92.0,64.18,,
4,02/27/25 03:00:00 PM,93.4,65.10,,
5,02/27/25 04:00:00 PM,93.4,65.30,,
6,02/27/25 05:00:00 PM,93.4,65.08,,
7,02/27/25 06:00:00 PM,93.1,64.42,,
8,02/27/25 07:00:00 PM,92.0,63.70,,
9,02/27/25 08:00:00 PM,91.3,63.05,,
10,02/27/25 09:00:00 PM,91.0,62.42,,
11,02/27/25 10:00:00 PM,90.6,61.83,,
12,02/27/25 11:00:00 PM,89.9,61.36,,
13,02/28/25 12:00:00 AM,89.6,60.98,,
14,02/28/25 01:00:00 AM,89.2,60.66,,
15,02/28/25 02:00:00 AM,88.9,60.35,,
16,02/28/25 03:00:00 AM,88.5,59.95,,
17,02/28/25 04:00:00 AM,87.8,59.56,,
18,02/28/25 05:00:00 AM,87.5,59.09,,
19,02/28/25 06:00:00 AM,86.8,58.57,,
20,02/28/25 07:00:00 AM,86.4,57.96,,
21,02/28/25 08:00:00 AM,85.7,57.56,,
22,02/28/25 09:00:00 AM,85.3,57.87,,
23,02/28/25 10:00:00 AM,86.0,58.46,,
24,02/28/25 11:00:00 AM,87.8,59.56,,
25,02/28/25 12:00:00 PM,88.8,61.11,,
26,02/28/25 01:00:00 PM,91.7,63.00,,
27,02/28/25 02:00:00 PM,92.7,64.58,,
28,02/28/25 03:00:00 PM,93.0,65.25,,
29,02/28/25 04:00:00 PM,94.5,65.26,,
30,02/28/25 05:00:00 PM,93.1,64.94,,
31,02/28/25 06:00:00 PM,92.7,64.26,,
32,02/28/25 07:00:00 PM,91.7,63.28,,
33,02/28/25 08:00:00 PM,91.4,62.33,,
34,02/28/25 09:00:00 PM,89.9,61.39,,
35,02/28/25 10:00:00 PM,88.5,60.57,,
36,02/28/25 11:00:00 PM,87.8,59.77,,
37,03/01/25 12:00:00 AM,86.7,58.95,,
38,03/01/25 01:00:00 AM,86.0,58.23,,
39,03/01/25 02:00:00 AM,85.3,57.54,,
40,03/01/25 03:00:00 AM,84.6,56.93,,
41,03/01/25 04:00:00 AM,84.3,56.41,,
42,03/01/25 05:00:00 AM,83.2,55.89,,
43,03/01/25 06:00:00 AM,82.8,55.49,,
44,03/01/25 07:00:00 AM,82.1,55.02,,
45,03/01/25 08:00:00 AM,82.1,54.73,,
46,03/01/25 09:00:00 AM,82.1,55.17,,
47,03/01/25 10:00:00 AM,83.2,56.23,,
48,03/01/25 11:00:00 AM,84.9,57.72,,
49,03/01/25 12:00:00 PM,86.3,59.54,,
50,03/01/25 01:00:00 PM,88.8,61.59,,
51,03/01/25 02:00:00 PM,90.9,63.43,,
52,03/01/25 03:00:00 PM,91.2,64.33,,
53,03/01/25 04:00:00 PM,92.0,64.53,,
54,03/01/25 05:00:00 PM,91.6,64.29,,
55,03/01/25 06:00:00 PM,90.9,63.64,,
56,03/01/25 07:00:00 PM,90.2,62.76,,
57,03/01/25 08:00:00 PM,89.5,62.02,,
58,03/01/25 09:00:00 PM,88.8,61.47,,
59,03/01/25 10:00:00 PM,88.5,60.96,,
60,03/01/25 11:00:00 PM,88.1,60.48,,
61,03/02/25 12:00:00 AM,87.0,60.08,,
62,03/02/25 01:00:00 AM,86.7,59.86,,
63,03/02/25 02:00:00 AM,86.7,59.85,,
64,03/02/25 03:00:00 AM,86.3,59.54,,
65,03/02/25 04:00:00 AM,86.0,59.14,,
66,03/02/25 05:00:00 AM,85.3,58.64,,
67,03/02/25 06:00:00 AM,84.9,58.10,,
68,03/02/25 07:00:00 AM,84.2,57.49,,
69,03/02/25 08:00:00 AM,83.9,57.20,,
70,03/02/25 09:00:00 AM,83.5,57.25,,
71,03/02/25 10:00:00 AM,83.8,57.61,,
72,03/02/25 11:00:00 AM,84.9,58.78,,
73,03/02/25 12:00:00 PM,86.3,60.10,,
74,03/02/25 01:00:00 PM,88.4,61.88,,
75,03/02/25 02:00:00 PM,89.8,63.43,,
76,03/02/25 03:00:00 PM,90.9,64.13,,
77,03/02/25 04:00:00 PM,90.9,64.02,,
78,03/02/25 05:00:00 PM,90.2,63.57,,
79,03/02/25 06:00:00 PM,89.5,62.67,,
80,03/02/25 07:00:00 PM,87.7,61.52,,
81,03/02/25 08:00:00 PM,86.6,60.51,,
82,03/02/25 09:00:00 PM,85.9,59.70,,
83,03/02/25 10:00:00 PM,85.3,58.93,,
84,03/02/25 11:00:00 PM,84.6,58.10,,
85,03/03/25 12:00:00 AM,83.1,57.31,,
86,03/03/25 01:00:00 AM,82.4,56.50,,
87,03/03/25 02:00:00 AM,81.7,55.80,,
88,03/03/25 03:00:00 AM,81.0,55.08,,
89,03/03/25 04:00:00 AM,80.3,54.37,,
90,03/03/25 05:00:00 AM,80.0,53.71,,
91,03/03/25 06:00:00 AM,79.2,53.13,,
92,03/03/25 07:00:00 AM,78.9,52.59,,
93,03/03/25 08:00:00 AM,77.8,52.29,,
94,03/03/25 09:00:00 AM,78.5,52.93,,
95,03/03/25 10:00:00 AM,79.6,54.05,,
96,03/03/25 11:00:00 AM,81.0,55.60,,
97,03/03/25 12:00:00 PM,82.4,57.20,,
98,03/03/25 01:00:00 PM,84.9,59.45,,
99,03/03/25 02:00:00 PM,86.3,60.82,,
100,03/03/25 03:00:00 PM,86.6,61.11,,
101,03/03/25 04:00:00 PM,88.8,61.38,,
102,03/03/25 05:00:00 PM,87.0,61.52,,
