"Plot Title: Bradford_15con"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342064, SEN S/N: 20342064)","Temp, °F (LGR S/N: 20342064, SEN S/N: 20342064)","Stopped (LGR S/N: 20342064, SEN S/N: 20342064)","End Of File (LGR S/N: 20342064, SEN S/N: 20342064)"
1,10/04/24 11:00:00 AM,101.9,76.51,,
2,10/04/24 12:00:00 PM,103.0,77.32,,
3,10/04/24 01:00:00 PM,104.0,78.22,,
4,10/04/24 02:00:00 PM,104.3,78.62,,
5,10/04/24 03:00:00 PM,104.3,78.73,,
6,10/04/24 04:00:00 PM,104.3,78.66,,
7,10/04/24 05:00:00 PM,102.5,78.24,,
8,10/04/24 06:00:00 PM,102.9,77.97,,
9,10/04/24 07:00:00 PM,102.9,77.70,,
10,10/04/24 08:00:00 PM,103.0,77.41,,
11,10/04/24 09:00:00 PM,102.6,77.18,,
12,10/04/24 10:00:00 PM,102.3,77.02,,
13,10/04/24 11:00:00 PM,101.9,76.80,,
14,10/05/24 12:00:00 AM,102.3,76.59,,
15,10/05/24 01:00:00 AM,102.3,76.37,,
16,10/05/24 02:00:00 AM,101.9,76.14,,
17,10/05/24 03:00:00 AM,101.6,75.94,,
18,10/05/24 04:00:00 AM,101.6,75.76,,
19,10/05/24 05:00:00 AM,101.2,75.63,,
20,10/05/24 06:00:00 AM,101.2,75.52,,
21,10/05/24 07:00:00 AM,100.5,75.45,,
22,10/05/24 08:00:00 AM,100.5,75.47,,
23,10/05/24 09:00:00 AM,100.9,75.60,,
24,10/05/24 10:00:00 AM,101.6,75.94,,
25,10/05/24 11:00:00 AM,101.6,76.37,,
26,10/05/24 12:00:00 PM,102.3,77.04,,
27,10/05/24 01:00:00 PM,102.9,77.81,,
28,10/05/24 02:00:00 PM,103.3,77.92,,
29,10/05/24 03:00:00 PM,103.3,77.92,,
30,10/05/24 04:00:00 PM,103.7,77.95,,
31,10/05/24 05:00:00 PM,103.3,77.83,,
32,10/05/24 06:00:00 PM,103.7,77.59,,
33,10/05/24 07:00:00 PM,103.7,77.32,,
34,10/05/24 08:00:00 PM,103.0,77.02,,
35,10/05/24 09:00:00 PM,103.0,76.75,,
36,10/05/24 10:00:00 PM,102.7,76.55,,
37,10/05/24 11:00:00 PM,102.7,76.32,,
38,10/06/24 12:00:00 AM,102.3,76.14,,
39,10/06/24 01:00:00 AM,102.3,75.94,,
40,10/06/24 02:00:00 AM,102.0,75.78,,
41,10/06/24 03:00:00 AM,102.0,75.65,,
42,10/06/24 04:00:00 AM,101.6,75.54,,
43,10/06/24 05:00:00 AM,100.5,75.34,,
44,10/06/24 06:00:00 AM,100.5,75.07,,
45,10/06/24 07:00:00 AM,99.8,74.73,,
46,10/06/24 08:00:00 AM,99.1,74.53,,
47,10/06/24 09:00:00 AM,99.1,74.52,,
48,10/06/24 10:00:00 AM,99.1,74.61,,
49,10/06/24 11:00:00 AM,99.5,74.79,,
50,10/06/24 12:00:00 PM,99.4,75.06,,
51,10/06/24 01:00:00 PM,100.5,75.49,,
52,10/06/24 02:00:00 PM,100.5,75.65,,
53,10/06/24 03:00:00 PM,100.5,75.61,,
54,10/06/24 04:00:00 PM,100.2,75.49,,
55,10/06/24 05:00:00 PM,100.5,75.36,,
56,10/06/24 06:00:00 PM,99.8,75.06,,
57,10/06/24 07:00:00 PM,99.5,74.84,,
58,10/06/24 08:00:00 PM,99.1,74.68,,
59,10/06/24 09:00:00 PM,99.1,74.55,,
60,10/06/24 10:00:00 PM,99.1,74.41,,
61,10/06/24 11:00:00 PM,99.1,74.26,,
62,10/07/24 12:00:00 AM,99.1,74.19,,
63,10/07/24 01:00:00 AM,99.1,74.07,,
64,10/07/24 02:00:00 AM,99.1,73.98,,
65,10/07/24 03:00:00 AM,107.6,73.94,,
66,10/07/24 04:00:00 AM,99.1,73.90,,
67,10/07/24 05:00:00 AM,99.5,73.85,,
68,10/07/24 06:00:00 AM,99.2,73.80,,
69,10/07/24 07:00:00 AM,99.2,73.76,,
70,10/07/24 08:00:00 AM,99.2,73.78,,
71,10/07/24 09:00:00 AM,107.2,73.90,,
72,10/07/24 10:00:00 AM,100.6,74.12,,
73,10/07/24 11:00:00 AM,99.9,74.28,,
74,10/07/24 12:00:00 PM,101.7,74.46,,
75,10/07/24 01:00:00 PM,101.7,74.64,,
76,10/07/24 02:00:00 PM,106.8,74.75,,
77,10/07/24 03:00:00 PM,100.6,74.75,,
78,10/07/24 04:00:00 PM,100.6,74.77,,
79,10/07/24 05:00:00 PM,102.0,74.68,,
80,10/07/24 06:00:00 PM,100.9,74.61,,
81,10/07/24 07:00:00 PM,100.6,74.46,,
82,10/07/24 08:00:00 PM,101.0,74.32,,
83,10/07/24 09:00:00 PM,101.3,74.08,,
84,10/07/24 10:00:00 PM,100.6,73.89,,
85,10/07/24 11:00:00 PM,100.6,73.67,,
86,10/08/24 12:00:00 AM,100.3,73.49,,
87,10/08/24 01:00:00 AM,100.3,73.26,,
88,10/08/24 02:00:00 AM,99.9,73.00,,
89,10/08/24 03:00:00 AM,99.6,72.79,,
90,10/08/24 04:00:00 AM,99.2,72.52,,
91,10/08/24 05:00:00 AM,99.2,72.25,,
92,10/08/24 06:00:00 AM,98.9,71.98,,
93,10/08/24 07:00:00 AM,98.5,71.71,,
94,10/08/24 08:00:00 AM,98.5,71.67,,
95,10/08/24 09:00:00 AM,99.3,71.91,,
96,10/08/24 10:00:00 AM,99.2,72.46,,
97,10/08/24 11:00:00 AM,100.7,73.35,,
98,10/08/24 12:00:00 PM,101.7,74.35,,
99,10/08/24 01:00:00 PM,103.1,74.95,,
100,10/08/24 02:00:00 PM,102.4,75.34,,
101,10/08/24 03:00:00 PM,102.7,75.38,,
102,10/08/24 04:00:00 PM,102.7,75.16,,
103,10/08/24 05:00:00 PM,102.4,74.82,,
104,10/08/24 06:00:00 PM,103.9,74.66,,
105,10/08/24 07:00:00 PM,102.4,74.48,,
106,10/08/24 08:00:00 PM,102.4,74.35,,
107,10/08/24 09:00:00 PM,102.1,74.23,,
108,10/08/24 10:00:00 PM,102.4,74.12,,
109,10/08/24 11:00:00 PM,102.4,74.03,,
110,10/09/24 12:00:00 AM,102.4,73.92,,
111,10/09/24 01:00:00 AM,102.1,73.80,,
112,10/09/24 02:00:00 AM,102.1,73.72,,
113,10/09/24 03:00:00 AM,102.1,73.67,,
114,10/09/24 04:00:00 AM,102.5,73.56,,
115,10/09/24 05:00:00 AM,102.1,73.51,,
116,10/09/24 06:00:00 AM,101.7,73.42,,
117,10/09/24 07:00:00 AM,101.8,73.36,,
118,10/09/24 08:00:00 AM,101.4,73.29,,
119,10/09/24 09:00:00 AM,101.4,73.22,,
120,10/09/24 10:00:00 AM,100.7,73.00,,
121,10/09/24 11:00:00 AM,100.3,72.84,,
122,10/09/24 12:00:00 PM,99.6,72.84,,
123,10/09/24 01:00:00 PM,99.9,72.86,,
124,10/09/24 02:00:00 PM,98.5,72.86,,
125,10/09/24 03:00:00 PM,98.8,72.86,,
126,10/09/24 04:00:00 PM,99.2,72.86,,
127,10/09/24 05:00:00 PM,100.0,72.73,,
128,10/09/24 06:00:00 PM,98.9,72.57,,
129,10/09/24 07:00:00 PM,97.8,72.45,,
130,10/09/24 08:00:00 PM,96.7,72.39,,
131,10/09/24 09:00:00 PM,95.9,72.28,,
132,10/09/24 10:00:00 PM,94.8,72.23,,
133,10/09/24 11:00:00 PM,94.5,72.18,,
134,10/10/24 12:00:00 AM,93.7,72.16,,
135,10/10/24 01:00:00 AM,93.0,72.14,,
136,10/10/24 02:00:00 AM,91.5,72.00,,
137,10/10/24 03:00:00 AM,91.2,71.94,,
138,10/10/24 04:00:00 AM,91.9,71.71,,
139,10/10/24 05:00:00 AM,91.6,71.40,,
140,10/10/24 06:00:00 AM,91.2,71.20,,
141,10/10/24 07:00:00 AM,90.9,70.92,,
142,10/10/24 08:00:00 AM,90.9,70.72,,
143,10/10/24 09:00:00 AM,91.6,70.63,,
144,10/10/24 10:00:00 AM,91.6,70.75,,
145,10/10/24 11:00:00 AM,92.7,71.04,,
146,10/10/24 12:00:00 PM,93.0,71.65,,
147,10/10/24 01:00:00 PM,93.0,72.00,,
148,10/10/24 02:00:00 PM,94.1,72.37,,
149,10/10/24 03:00:00 PM,94.8,72.68,,
150,10/10/24 04:00:00 PM,94.8,72.86,,
151,10/10/24 05:00:00 PM,95.2,72.93,,
152,10/10/24 06:00:00 PM,95.5,72.93,,
153,10/10/24 07:00:00 PM,95.5,72.86,,
154,10/10/24 08:00:00 PM,95.9,72.70,,
155,10/10/24 09:00:00 PM,95.6,72.55,,
156,10/10/24 10:00:00 PM,95.2,72.27,,
157,10/10/24 11:00:00 PM,94.9,71.91,,
158,10/11/24 12:00:00 AM,94.5,71.53,,
159,10/11/24 01:00:00 AM,94.5,71.13,,
160,10/11/24 02:00:00 AM,94.2,70.72,,
161,10/11/24 03:00:00 AM,94.2,70.30,,
162,10/11/24 04:00:00 AM,93.1,69.91,,
163,10/11/24 05:00:00 AM,93.5,69.55,,
164,10/11/24 06:00:00 AM,92.8,69.17,,
165,10/11/24 07:00:00 AM,92.1,68.81,,
166,10/11/24 08:00:00 AM,92.1,68.61,,
167,10/11/24 09:00:00 AM,92.5,68.72,,
168,10/11/24 10:00:00 AM,93.2,69.13,,
169,10/11/24 11:00:00 AM,93.1,69.69,,
170,10/11/24 12:00:00 PM,94.2,70.32,,
171,10/11/24 01:00:00 PM,94.9,70.83,,
172,10/11/24 02:00:00 PM,96.0,71.33,,
173,10/11/24 03:00:00 PM,96.0,71.56,,
174,10/11/24 04:00:00 PM,97.4,71.83,,
175,10/11/24 05:00:00 PM,97.4,71.89,,
176,10/11/24 06:00:00 PM,97.8,71.91,,
177,10/11/24 07:00:00 PM,97.4,71.74,,
178,10/11/24 08:00:00 PM,97.5,71.40,,
179,10/11/24 09:00:00 PM,97.1,71.04,,
180,10/11/24 10:00:00 PM,97.1,70.70,,
181,10/11/24 11:00:00 PM,96.1,70.32,,
182,10/12/24 12:00:00 AM,96.1,69.98,,
183,10/12/24 01:00:00 AM,95.7,69.62,,
184,10/12/24 02:00:00 AM,95.7,69.28,,
185,10/12/24 03:00:00 AM,95.4,68.90,,
186,10/12/24 04:00:00 AM,95.1,68.54,,
187,10/12/24 05:00:00 AM,95.1,68.20,,
188,10/12/24 06:00:00 AM,94.7,67.87,,
189,10/12/24 07:00:00 AM,94.7,67.55,,
190,10/12/24 08:00:00 AM,94.4,67.46,,
191,10/12/24 09:00:00 AM,95.1,67.62,,
192,10/12/24 10:00:00 AM,95.4,68.13,,
193,10/12/24 11:00:00 AM,96.1,68.79,,
194,10/12/24 12:00:00 PM,96.5,69.39,,
195,10/12/24 01:00:00 PM,97.6,69.84,,
196,10/12/24 02:00:00 PM,98.3,70.30,,
197,10/12/24 03:00:00 PM,99.0,70.84,,
198,10/12/24 04:00:00 PM,99.7,71.15,,
199,10/12/24 05:00:00 PM,100.0,71.35,,
200,10/12/24 06:00:00 PM,100.8,71.53,,
201,10/12/24 07:00:00 PM,101.1,71.47,,
202,10/12/24 08:00:00 PM,100.8,71.29,,
203,10/12/24 09:00:00 PM,100.8,71.06,,
204,10/12/24 10:00:00 PM,100.4,70.77,,
205,10/12/24 11:00:00 PM,99.7,70.45,,
206,10/13/24 12:00:00 AM,99.4,70.12,,
207,10/13/24 01:00:00 AM,99.4,69.78,,
208,10/13/24 02:00:00 AM,99.0,69.48,,
209,10/13/24 03:00:00 AM,98.7,69.21,,
210,10/13/24 04:00:00 AM,98.3,68.92,,
211,10/13/24 05:00:00 AM,98.0,68.65,,
212,10/13/24 06:00:00 AM,98.0,68.34,,
213,10/13/24 07:00:00 AM,97.7,68.05,,
214,10/13/24 08:00:00 AM,97.7,67.93,,
215,10/13/24 09:00:00 AM,97.7,68.16,,
216,10/13/24 10:00:00 AM,98.4,68.68,,
217,10/13/24 11:00:00 AM,99.1,69.33,,
218,10/13/24 12:00:00 PM,99.4,70.00,,
219,10/13/24 01:00:00 PM,100.8,70.54,,
220,10/13/24 02:00:00 PM,100.8,70.97,,
221,10/13/24 03:00:00 PM,101.5,71.31,,
222,10/13/24 04:00:00 PM,101.9,71.51,,
223,10/13/24 05:00:00 PM,102.6,71.69,,
224,10/13/24 06:00:00 PM,102.2,71.76,,
225,10/13/24 07:00:00 PM,103.0,71.67,,
226,10/13/24 08:00:00 PM,102.6,71.31,,
227,10/13/24 09:00:00 PM,101.5,70.92,,
228,10/13/24 10:00:00 PM,101.9,70.50,,
229,10/13/24 11:00:00 PM,100.9,70.07,,
230,10/14/24 12:00:00 AM,100.9,69.62,,
231,10/14/24 01:00:00 AM,99.8,69.17,,
232,10/14/24 02:00:00 AM,99.1,68.72,,
233,10/14/24 03:00:00 AM,98.8,68.27,,
234,10/14/24 04:00:00 AM,98.0,67.91,,
235,10/14/24 05:00:00 AM,98.1,67.55,,
236,10/14/24 06:00:00 AM,98.1,67.19,,
237,10/14/24 07:00:00 AM,97.0,66.85,,
238,10/14/24 08:00:00 AM,96.6,66.76,,
239,10/14/24 09:00:00 AM,97.4,67.05,,
240,10/14/24 10:00:00 AM,98.1,67.66,,
241,10/14/24 11:00:00 AM,98.7,68.45,,
242,10/14/24 12:00:00 PM,99.4,69.24,,
243,10/14/24 01:00:00 PM,99.8,69.89,,
244,10/14/24 02:00:00 PM,100.8,70.36,,
245,10/14/24 03:00:00 PM,101.2,70.72,,
246,10/14/24 04:00:00 PM,101.5,70.86,,
247,10/14/24 05:00:00 PM,101.9,71.04,,
248,10/14/24 06:00:00 PM,102.3,71.15,,
249,10/14/24 07:00:00 PM,102.3,71.17,,
250,10/14/24 08:00:00 PM,102.3,71.06,,
251,10/14/24 09:00:00 PM,101.9,70.92,,
252,10/14/24 10:00:00 PM,101.5,70.81,,
253,10/14/24 11:00:00 PM,101.6,70.65,,
254,10/15/24 12:00:00 AM,101.2,70.54,,
255,10/15/24 01:00:00 AM,101.2,70.43,,
256,10/15/24 02:00:00 AM,101.6,70.43,,
257,10/15/24 03:00:00 AM,101.2,70.36,,
258,10/15/24 04:00:00 AM,100.8,70.16,,
259,10/15/24 05:00:00 AM,100.9,69.84,,
260,10/15/24 06:00:00 AM,100.2,69.39,,
261,10/15/24 07:00:00 AM,99.4,69.01,,
262,10/15/24 08:00:00 AM,99.5,68.76,,
263,10/15/24 09:00:00 AM,99.5,68.63,,
264,10/15/24 10:00:00 AM,99.5,68.81,,
