"Plot Title: 13_SpC_"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10757734, SEN S/N: 10757734)","Full Range, μS/cm (LGR S/N: 10757734, SEN S/N: 10757734)","Temp, °F (LGR S/N: 10757734, SEN S/N: 10757734)","Coupler Detached (LGR S/N: 10757734, SEN S/N: 10757734)","Coupler Attached (LGR S/N: 10757734, SEN S/N: 10757734)","Stopped (LGR S/N: 10757734, SEN S/N: 10757734)","End Of File (LGR S/N: 10757734, SEN S/N: 10757734)"
1,09/13/24 02:00:00 PM,222.4,222.3,78.13,Logged,,,
2,09/13/24 03:00:00 PM,221.5,221.2,78.22,,,,
3,09/13/24 04:00:00 PM,220.0,220.0,78.28,,,,
4,09/13/24 05:00:00 PM,219.1,218.8,78.46,,,,
5,09/13/24 06:00:00 PM,218.4,218.1,78.46,,,,
6,09/13/24 07:00:00 PM,217.5,217.3,78.39,,,,
7,09/13/24 08:00:00 PM,217.4,217.3,78.39,,,,
8,09/13/24 09:00:00 PM,219.3,219.2,78.39,,,,
9,09/13/24 10:00:00 PM,221.5,221.5,78.39,,,,
10,09/13/24 11:00:00 PM,223.1,223.5,78.35,,,,
11,09/14/24 12:00:00 AM,223.5,223.5,78.30,,,,
12,09/14/24 01:00:00 AM,222.7,222.3,78.21,,,,
13,09/14/24 02:00:00 AM,220.9,221.2,78.12,,,,
14,09/14/24 03:00:00 AM,219.0,218.9,78.01,,,,
15,09/14/24 04:00:00 AM,217.1,217.0,77.90,,,,
16,09/14/24 05:00:00 AM,216.6,217.4,77.85,,,,
17,09/14/24 06:00:00 AM,214.7,214.3,77.77,,,,
18,09/14/24 07:00:00 AM,213.5,213.5,77.81,,,,
19,09/14/24 08:00:00 AM,213.1,213.1,77.85,,,,
20,09/14/24 09:00:00 AM,212.0,211.6,78.12,,,,
21,09/14/24 10:00:00 AM,211.0,210.8,78.19,,,,
22,09/14/24 11:00:00 AM,211.5,211.1,78.51,,,,
23,09/14/24 12:00:00 PM,213.0,213.0,79.07,,,,
24,09/14/24 01:00:00 PM,211.0,210.7,79.12,,,,
25,09/14/24 02:00:00 PM,210.4,210.3,79.18,,,,
26,09/14/24 03:00:00 PM,211.8,211.4,79.68,,,,
27,09/14/24 04:00:00 PM,212.5,212.1,79.83,,,,
28,09/14/24 05:00:00 PM,212.6,212.1,79.74,,,,
29,09/14/24 06:00:00 PM,211.8,211.4,79.34,,,,
30,09/14/24 07:00:00 PM,211.3,211.1,79.18,,,,
