"Plot Title: Bradford_6cond"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10757733, SEN S/N: 10757733, LBL: CondLo)","Full Range, μS/cm (LGR S/N: 10757733, SEN S/N: 10757733, LBL: CondHi)","Temp, °F (LGR S/N: 10757733, SEN S/N: 10757733, LBL: Temp)"
1,11/01/23 02:00:00 PM,101.3,806.2,40.19
2,11/01/23 03:00:00 PM,101.4,805.4,40.26
3,11/01/23 04:00:00 PM,101.3,7.3,40.33
4,11/01/23 05:00:00 PM,100.9,7.3,40.66
5,11/01/23 06:00:00 PM,100.3,164.2,39.42
6,11/01/23 07:00:00 PM,99.7,170.1,41.02
7,11/01/23 08:00:00 PM,99.1,176.5,40.95
8,11/01/23 09:00:00 PM,98.5,175.0,40.91
9,11/01/23 10:00:00 PM,98.0,170.8,40.87
10,11/01/23 11:00:00 PM,97.6,163.0,40.84
11,11/02/23 12:00:00 AM,97.0,155.5,40.80
12,11/02/23 01:00:00 AM,96.5,155.1,40.44
13,11/02/23 02:00:00 AM,96.0,151.0,40.50
14,11/02/23 03:00:00 AM,95.7,153.6,40.50
15,11/02/23 04:00:00 AM,95.4,154.8,40.42
16,11/02/23 05:00:00 AM,94.6,157.4,40.35
17,11/02/23 06:00:00 AM,94.3,159.3,40.33
18,11/02/23 07:00:00 AM,94.1,160.0,40.39
19,11/02/23 08:00:00 AM,94.1,162.6,40.41
20,11/02/23 09:00:00 AM,94.4,159.3,40.41
21,11/02/23 10:00:00 AM,95.2,151.8,40.32
22,11/02/23 11:00:00 AM,96.4,156.6,40.32
23,11/02/23 12:00:00 PM,97.8,173.9,40.41
24,11/02/23 01:00:00 PM,98.8,165.3,39.88
25,11/02/23 02:00:00 PM,99.5,7.3,40.08
26,11/02/23 03:00:00 PM,100.0,7.3,39.72
27,11/02/23 04:00:00 PM,100.1,7.3,39.70
28,11/02/23 05:00:00 PM,99.8,7.3,39.65
29,11/02/23 06:00:00 PM,99.5,7.3,39.99
30,11/02/23 07:00:00 PM,99.2,162.3,39.81
31,11/02/23 08:00:00 PM,99.2,165.4,38.75
32,11/02/23 09:00:00 PM,98.8,168.3,39.45
33,11/02/23 10:00:00 PM,98.3,170.1,40.32
34,11/02/23 11:00:00 PM,98.1,173.9,40.33
35,11/03/23 12:00:00 AM,97.4,172.8,40.35
36,11/03/23 01:00:00 AM,97.1,172.8,40.26
37,11/03/23 02:00:00 AM,97.0,168.3,40.26
38,11/03/23 03:00:00 AM,96.8,166.4,40.24
39,11/03/23 04:00:00 AM,97.9,171.3,40.32
40,11/03/23 05:00:00 AM,93.6,157.0,40.26
41,11/03/23 06:00:00 AM,96.8,161.5,40.32
42,11/03/23 07:00:00 AM,96.6,158.5,40.26
43,11/03/23 08:00:00 AM,96.5,158.9,40.28
44,11/03/23 09:00:00 AM,97.1,164.5,40.39
45,11/03/23 10:00:00 AM,97.8,175.0,40.44
46,11/03/23 11:00:00 AM,98.8,169.1,39.85
47,11/03/23 12:00:00 PM,100.1,7.3,40.28
48,11/03/23 01:00:00 PM,100.5,7.3,39.88
49,11/03/23 02:00:00 PM,101.9,814.7,39.88
50,11/03/23 03:00:00 PM,100.6,797.7,39.81
51,11/03/23 04:00:00 PM,100.1,793.8,39.79
52,11/03/23 05:00:00 PM,100.1,793.4,39.78
53,11/03/23 06:00:00 PM,109.5,8.0,39.79
54,11/03/23 07:00:00 PM,102.2,7.3,39.81
55,11/03/23 08:00:00 PM,100.8,7.3,40.12
56,11/03/23 09:00:00 PM,99.5,7.3,40.05
57,11/03/23 10:00:00 PM,98.8,6.5,39.85
58,11/03/23 11:00:00 PM,98.7,163.2,38.75
59,11/04/23 12:00:00 AM,98.4,164.6,39.42
60,11/04/23 01:00:00 AM,98.1,166.8,40.42
61,11/04/23 02:00:00 AM,97.6,166.4,40.26
62,11/04/23 03:00:00 AM,98.6,172.4,40.32
63,11/04/23 04:00:00 AM,97.2,171.7,40.26
64,11/04/23 05:00:00 AM,98.8,177.3,40.21
65,11/04/23 06:00:00 AM,97.0,170.5,40.24
66,11/04/23 07:00:00 AM,95.3,166.0,40.21
67,11/04/23 08:00:00 AM,94.7,162.6,40.24
68,11/04/23 09:00:00 AM,93.4,160.0,40.28
69,11/04/23 10:00:00 AM,88.9,147.6,40.33
70,11/04/23 11:00:00 AM,61.7,94.9,40.32
71,11/04/23 12:00:00 PM,11.9,2.1,39.88
72,11/04/23 01:00:00 PM,5.9,2.1,40.01
73,11/04/23 02:00:00 PM,7.1,52.9,39.96
74,11/04/23 03:00:00 PM,4.4,31.0,39.70
75,11/04/23 04:00:00 PM,4.7,33.6,39.65
76,11/04/23 05:00:00 PM,3.1,21.3,39.45
77,11/04/23 06:00:00 PM,3.9,2.1,39.22
78,11/04/23 07:00:00 PM,3.4,2.1,38.98
79,11/04/23 08:00:00 PM,3.7,4.7,38.39
80,11/04/23 09:00:00 PM,36.5,2.5,38.62
81,11/04/23 10:00:00 PM,36.5,11.3,38.39
82,11/04/23 11:00:00 PM,3.6,6.2,38.39
83,11/05/23 12:00:00 AM,3.7,4.3,38.23
84,11/05/23 01:00:00 AM,3.8,5.0,38.37
85,11/05/23 02:00:00 AM,4.0,6.2,38.39
86,11/05/23 03:00:00 AM,4.1,6.2,38.26
87,11/05/23 04:00:00 AM,4.0,6.2,38.44
88,11/05/23 05:00:00 AM,3.8,5.0,38.50
89,11/05/23 06:00:00 AM,3.6,5.0,38.39
90,11/05/23 07:00:00 AM,2.8,3.9,38.50
91,11/05/23 08:00:00 AM,2.8,3.6,38.79
92,11/05/23 09:00:00 AM,2.4,2.8,39.63
93,11/05/23 10:00:00 AM,3.1,2.1,40.28
94,11/05/23 11:00:00 AM,4.7,16228.4,40.68
95,11/05/23 12:00:00 PM,2.8,2.8,40.82
96,11/05/23 01:00:00 PM,4.7,16206.7,41.90
97,11/05/23 02:00:00 PM,2.8,16220.9,41.11
98,11/05/23 03:00:00 PM,3.0,5.0,40.71
99,11/05/23 04:00:00 PM,4.7,5.0,40.32
100,11/05/23 05:00:00 PM,2.8,16244.6,39.78
101,11/05/23 06:00:00 PM,4.7,16258.0,39.02
102,11/05/23 07:00:00 PM,4.7,16257.2,39.07
103,11/05/23 08:00:00 PM,4.1,2.5,38.50
104,11/05/23 09:00:00 PM,3.1,2.8,38.14
105,11/05/23 10:00:00 PM,2.6,2.8,38.07
106,11/05/23 11:00:00 PM,2.3,2.8,37.80
107,11/06/23 12:00:00 AM,3.0,3.9,37.71
108,11/06/23 01:00:00 AM,3.2,5.1,37.58
109,11/06/23 02:00:00 AM,4.1,6.2,37.56
110,11/06/23 03:00:00 AM,4.0,6.2,37.36
111,11/06/23 04:00:00 AM,4.0,6.2,37.11
112,11/06/23 05:00:00 AM,4.3,6.2,37.00
113,11/06/23 06:00:00 AM,4.2,6.9,37.04
114,11/06/23 07:00:00 AM,4.1,6.9,36.86
115,11/06/23 08:00:00 AM,4.3,8.0,37.35
116,11/06/23 09:00:00 AM,4.5,6.2,38.86
117,11/06/23 10:00:00 AM,4.6,7.3,40.35
118,11/06/23 11:00:00 AM,2.3,16223.4,40.96
119,11/06/23 12:00:00 PM,2.8,2.5,41.50
120,11/06/23 01:00:00 PM,4.7,16199.2,42.31
121,11/06/23 02:00:00 PM,2.8,16220.4,41.13
122,11/06/23 03:00:00 PM,2.8,4.7,40.96
123,11/06/23 04:00:00 PM,4.4,5.4,40.42
124,11/06/23 05:00:00 PM,3.0,5.0,39.65
125,11/06/23 06:00:00 PM,4.7,16262.2,38.79
126,11/06/23 07:00:00 PM,2.8,2.5,38.75
127,11/06/23 08:00:00 PM,4.7,2.8,38.26
128,11/06/23 09:00:00 PM,4.4,2.8,37.71
129,11/06/23 10:00:00 PM,4.7,2.5,37.65
130,11/06/23 11:00:00 PM,2.1,2.5,37.90
131,11/07/23 12:00:00 AM,4.1,16291.1,37.18
132,11/07/23 01:00:00 AM,2.2,2.5,36.55
133,11/07/23 02:00:00 AM,5.6,2.5,36.45
134,11/07/23 03:00:00 AM,2.7,2.5,36.34
135,11/07/23 04:00:00 AM,2.1,2.1,36.55
136,11/07/23 05:00:00 AM,12.0,2.1,36.48
137,11/07/23 06:00:00 AM,2.1,2.1,36.01
138,11/07/23 07:00:00 AM,2.1,3.6,35.98
139,11/07/23 08:00:00 AM,2.6,21.7,36.63
140,11/07/23 09:00:00 AM,2.8,8.0,38.68
141,11/07/23 10:00:00 AM,11.9,2.1,40.48
142,11/07/23 11:00:00 AM,2.8,3.6,41.38
143,11/07/23 12:00:00 PM,2.8,16228.4,40.68
144,11/07/23 01:00:00 PM,2.8,16195.1,42.55
145,11/07/23 02:00:00 PM,2.8,4.7,41.74
146,11/07/23 03:00:00 PM,2.8,4.7,41.67
147,11/07/23 04:00:00 PM,2.8,4.7,41.04
148,11/07/23 05:00:00 PM,3.0,5.0,40.12
149,11/07/23 06:00:00 PM,2.8,16248.4,39.56
150,11/07/23 07:00:00 PM,2.8,16282.3,37.67
151,11/07/23 08:00:00 PM,2.8,11.3,38.73
152,11/07/23 09:00:00 PM,3.0,2.5,38.43
153,11/07/23 10:00:00 PM,2.8,2.8,37.94
154,11/07/23 11:00:00 PM,36.5,2.1,37.02
155,11/08/23 12:00:00 AM,4.1,2.1,36.70
156,11/08/23 01:00:00 AM,4.7,2.1,36.39
157,11/08/23 02:00:00 AM,2.8,2.5,36.25
158,11/08/23 03:00:00 AM,2.0,2.1,36.21
159,11/08/23 04:00:00 AM,2.3,3.6,36.09
160,11/08/23 05:00:00 AM,2.8,2.8,35.91
161,11/08/23 06:00:00 AM,5.6,2.5,35.94
162,11/08/23 07:00:00 AM,36.5,2.5,35.91
163,11/08/23 08:00:00 AM,4.7,3.2,36.63
164,11/08/23 09:00:00 AM,12.0,2.8,38.66
165,11/08/23 10:00:00 AM,3.0,2.1,40.51
166,11/08/23 11:00:00 AM,2.8,2.8,41.61
167,11/08/23 12:00:00 PM,2.8,2.8,42.26
168,11/08/23 01:00:00 PM,2.8,16190.5,42.80
169,11/08/23 02:00:00 PM,2.8,4.7,41.90
170,11/08/23 03:00:00 PM,2.8,4.7,42.04
171,11/08/23 04:00:00 PM,3.0,5.0,41.14
172,11/08/23 05:00:00 PM,2.8,4.7,40.44
173,11/08/23 06:00:00 PM,2.8,4.7,39.69
174,11/08/23 07:00:00 PM,4.7,16253.4,39.29
175,11/08/23 08:00:00 PM,3.0,2.1,39.42
176,11/08/23 09:00:00 PM,2.8,2.8,39.07
177,11/08/23 10:00:00 PM,4.7,11.3,39.00
178,11/08/23 11:00:00 PM,4.7,2.5,38.89
179,11/09/23 12:00:00 AM,2.8,11.3,38.43
180,11/09/23 01:00:00 AM,4.7,2.8,38.21
181,11/09/23 02:00:00 AM,4.1,2.5,37.83
182,11/09/23 03:00:00 AM,4.1,2.1,37.67
183,11/09/23 04:00:00 AM,4.7,2.5,37.56
184,11/09/23 05:00:00 AM,5.6,2.5,37.42
185,11/09/23 06:00:00 AM,6.8,2.5,37.26
186,11/09/23 07:00:00 AM,2.8,2.5,37.13
187,11/09/23 08:00:00 AM,2.1,2.1,37.90
188,11/09/23 09:00:00 AM,2.3,16250.5,39.45
189,11/09/23 10:00:00 AM,3.0,2.5,41.11
190,11/09/23 11:00:00 AM,2.8,2.8,42.30
191,11/09/23 12:00:00 PM,2.8,16198.4,42.37
192,11/09/23 01:00:00 PM,2.8,4.7,42.89
193,11/09/23 02:00:00 PM,2.8,4.7,42.55
194,11/09/23 03:00:00 PM,2.8,4.7,41.38
195,11/09/23 04:00:00 PM,4.4,5.4,41.34
196,11/09/23 05:00:00 PM,2.8,4.7,40.80
197,11/09/23 06:00:00 PM,4.7,5.0,40.26
198,11/09/23 07:00:00 PM,4.7,5.0,40.39
199,11/09/23 08:00:00 PM,4.7,16240.5,40.01
200,11/09/23 09:00:00 PM,36.4,16247.1,39.63
201,11/09/23 10:00:00 PM,11.9,16260.1,38.91
202,11/09/23 11:00:00 PM,6.8,2.5,39.79
203,11/10/23 12:00:00 AM,36.4,2.5,39.31
204,11/10/23 01:00:00 AM,36.4,2.1,38.97
205,11/10/23 02:00:00 AM,4.1,2.5,38.89
206,11/10/23 03:00:00 AM,11.9,2.5,39.22
207,11/10/23 04:00:00 AM,2.1,2.1,39.40
208,11/10/23 05:00:00 AM,2.0,2.1,39.54
209,11/10/23 06:00:00 AM,2.2,2.1,39.58
210,11/10/23 07:00:00 AM,2.7,11.3,39.76
211,11/10/23 08:00:00 AM,11.9,2.5,40.32
212,11/10/23 09:00:00 AM,6.8,2.5,41.23
213,11/10/23 10:00:00 AM,4.7,16224.2,40.91
214,11/10/23 11:00:00 AM,4.7,5.0,42.39
215,11/10/23 12:00:00 PM,2.8,4.7,43.12
216,11/10/23 01:00:00 PM,4.3,5.3,93.27
217,11/10/23 02:00:00 PM,2.9,2.8,92.66
218,11/10/23 03:00:00 PM,2.9,11.0,92.91
219,11/10/23 04:00:00 PM,4.3,2.8,92.10
220,11/10/23 05:00:00 PM,2.9,5.0,90.86
221,11/10/23 06:00:00 PM,4.6,5.0,90.43
222,11/10/23 07:00:00 PM,4.7,5.0,41.05
223,11/10/23 08:00:00 PM,4.7,5.0,40.80
224,11/10/23 09:00:00 PM,4.7,5.0,40.55
225,11/10/23 10:00:00 PM,36.4,5.4,40.24
226,11/10/23 11:00:00 PM,10.9,5.8,40.50
227,11/11/23 12:00:00 AM,4.4,5.4,40.26
228,11/11/23 01:00:00 AM,36.4,16235.9,40.26
229,11/11/23 02:00:00 AM,36.4,16241.7,39.94
230,11/11/23 03:00:00 AM,36.4,16258.8,38.98
231,11/11/23 04:00:00 AM,10.9,16254.2,39.24
232,11/11/23 05:00:00 AM,4.4,16242.1,39.92
233,11/11/23 06:00:00 AM,36.4,16244.2,39.79
234,11/11/23 07:00:00 AM,36.4,16247.1,39.63
235,11/11/23 08:00:00 AM,4.7,16248.0,39.58
236,11/11/23 09:00:00 AM,2.1,35.8,41.86
237,11/11/23 10:00:00 AM,4.7,5.0,41.92
238,11/11/23 11:00:00 AM,2.3,15.0,42.06
239,11/11/23 12:00:00 PM,4.6,4.9,92.73
240,11/11/23 01:00:00 PM,4.3,2.8,94.14
241,11/11/23 02:00:00 PM,4.6,2.8,93.58
242,11/11/23 03:00:00 PM,2.9,2.8,94.01
243,11/11/23 04:00:00 PM,4.6,2.8,91.89
244,11/11/23 05:00:00 PM,2.8,2.8,91.17
245,11/11/23 06:00:00 PM,4.6,2.8,90.16
246,11/11/23 07:00:00 PM,4.6,5.0,89.58
247,11/11/23 08:00:00 PM,4.7,5.0,40.42
248,11/11/23 09:00:00 PM,4.7,5.0,40.35
249,11/11/23 10:00:00 PM,4.4,5.4,40.10
250,11/11/23 11:00:00 PM,36.4,5.4,40.15
251,11/12/23 12:00:00 AM,4.7,5.0,39.85
252,11/12/23 01:00:00 AM,4.7,16249.2,39.52
253,11/12/23 02:00:00 AM,36.5,16265.5,38.61
254,11/12/23 03:00:00 AM,4.7,16246.7,39.65
255,11/12/23 04:00:00 AM,36.4,16242.5,39.88
256,11/12/23 05:00:00 AM,36.4,16245.9,39.70
257,11/12/23 06:00:00 AM,4.7,2.5,39.56
258,11/12/23 07:00:00 AM,2.8,2.5,39.40
259,11/12/23 08:00:00 AM,4.4,2.5,39.47
260,11/12/23 09:00:00 AM,4.4,2.8,39.40
261,11/12/23 10:00:00 AM,4.4,3.6,39.58
