"Plot Title: Bradford_15con"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342064, SEN S/N: 20342064)","Temp, °F (LGR S/N: 20342064, SEN S/N: 20342064)","Coupler Detached (LGR S/N: 20342064)","Coupler Attached (LGR S/N: 20342064)","Stopped (LGR S/N: 20342064)","End Of File (LGR S/N: 20342064)"
1,11/01/23 11:00:00 AM,-0.4,70.48,Logged,,,
2,11/01/23 12:00:00 PM,-0.5,79.92,,,,
3,11/01/23 01:00:00 PM,-0.4,68.40,,,,
4,11/01/23 02:00:00 PM,-0.4,66.78,,,,
5,11/01/23 03:00:00 PM,-0.4,64.98,,,,
6,11/01/23 04:00:00 PM,-3.0,63.37,,,,
7,11/01/23 05:00:00 PM,-0.4,61.50,,,,
8,11/01/23 06:00:00 PM,-0.4,58.75,,,,
9,11/01/23 07:00:00 PM,-0.4,56.41,,,,
10,11/01/23 08:00:00 PM,-0.4,54.79,,,,
11,11/01/23 09:00:00 PM,-3.0,52.92,,,,
12,11/01/23 10:00:00 PM,-0.4,51.89,,,,
13,11/01/23 11:00:00 PM,-0.4,50.58,,,,
14,11/02/23 12:00:00 AM,-3.0,49.59,,,,
15,11/02/23 01:00:00 AM,-0.4,47.68,,,,
16,11/02/23 02:00:00 AM,-0.4,46.78,,,,
17,11/02/23 03:00:00 AM,-0.4,46.38,,,,
18,11/02/23 04:00:00 AM,-0.4,45.63,,,,
19,11/02/23 05:00:00 AM,-0.3,44.96,,,,
20,11/02/23 06:00:00 AM,-0.4,45.25,,,,
21,11/02/23 07:00:00 AM,-0.3,45.14,,,,
22,11/02/23 08:00:00 AM,-0.4,47.66,,,,
23,11/02/23 09:00:00 AM,-0.4,55.71,,,,
24,11/02/23 10:00:00 AM,-0.4,60.24,,,,
25,11/02/23 11:00:00 AM,-0.5,75.94,,,,
26,11/02/23 12:00:00 PM,-0.5,82.08,,,,
27,11/02/23 01:00:00 PM,-0.4,70.61,,,,
28,11/02/23 02:00:00 PM,-0.4,71.62,,,,
29,11/02/23 03:00:00 PM,-3.0,68.86,,,,
30,11/02/23 04:00:00 PM,-0.4,66.87,,,,
31,11/02/23 05:00:00 PM,-0.4,64.65,,,,
32,11/02/23 06:00:00 PM,-0.4,61.61,,,,
33,11/02/23 07:00:00 PM,-0.4,60.33,,,,
34,11/02/23 08:00:00 PM,-0.4,59.90,,,,
35,11/02/23 09:00:00 PM,-0.4,58.28,,,,
36,11/02/23 10:00:00 PM,-0.4,57.07,,,,
37,11/02/23 11:00:00 PM,-0.4,56.07,,,,
38,11/03/23 12:00:00 AM,-0.4,56.52,,,,
39,11/03/23 01:00:00 AM,-0.4,55.53,,,,
40,11/03/23 02:00:00 AM,11.9,54.64,,,,
41,11/03/23 03:00:00 AM,-0.4,54.55,,,,
42,11/03/23 04:00:00 AM,-3.0,54.73,,,,
43,11/03/23 05:00:00 AM,-0.4,54.66,,,,
44,11/03/23 06:00:00 AM,-3.0,54.05,,,,
45,11/03/23 07:00:00 AM,-0.4,53.42,,,,
46,11/03/23 08:00:00 AM,-3.0,55.56,,,,
47,11/03/23 09:00:00 AM,-0.4,62.83,,,,
48,11/03/23 10:00:00 AM,-0.4,68.74,,,,
49,11/03/23 11:00:00 AM,-0.5,80.42,,,,
50,11/03/23 12:00:00 PM,-0.5,83.44,,,,
51,11/03/23 01:00:00 PM,-0.5,75.15,,,,
52,11/03/23 02:00:00 PM,-0.5,73.54,,,,
53,11/03/23 03:00:00 PM,-0.4,70.61,,,,
54,11/03/23 04:00:00 PM,-0.4,68.95,,,,
55,11/03/23 05:00:00 PM,-0.4,65.73,,,,
56,11/03/23 06:00:00 PM,-0.4,65.16,,,,
57,11/03/23 07:00:00 PM,-3.0,63.99,,,,
58,11/03/23 08:00:00 PM,-0.4,64.15,,,,
59,11/03/23 09:00:00 PM,-0.4,62.87,,,,
60,11/03/23 10:00:00 PM,-0.4,61.27,,,,
61,11/03/23 11:00:00 PM,-0.4,60.98,,,,
62,11/04/23 12:00:00 AM,-0.4,60.78,,,,
63,11/04/23 01:00:00 AM,11.8,60.33,,,,
64,11/04/23 02:00:00 AM,-0.4,59.99,,,,
65,11/04/23 03:00:00 AM,-0.4,57.78,,,,
66,11/04/23 04:00:00 AM,-0.4,57.58,,,,
67,11/04/23 05:00:00 AM,-0.4,57.58,,,,
68,11/04/23 06:00:00 AM,-0.4,57.40,,,,
69,11/04/23 07:00:00 AM,-0.4,57.72,,,,
70,11/04/23 08:00:00 AM,-3.0,58.44,,,,
71,11/04/23 09:00:00 AM,-0.4,61.36,,,,
