"Plot Title: Bradford_14cond"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21415362, SEN S/N: 21415362)","Temp, °F (LGR S/N: 21415362, SEN S/N: 21415362)","Coupler Detached (LGR S/N: 21415362, SEN S/N: 21415362)","Coupler Attached (LGR S/N: 21415362, SEN S/N: 21415362)","Host Connected (LGR S/N: 21415362, SEN S/N: 21415362)","Stopped (LGR S/N: 21415362, SEN S/N: 21415362)","End Of File (LGR S/N: 21415362, SEN S/N: 21415362)"
1,02/08/24 02:00:00 PM,54.0,56.80,Logged,,,,
2,02/08/24 03:00:00 PM,55.8,58.10,,,,,
3,02/08/24 04:00:00 PM,56.1,59.25,,,,,
4,02/08/24 05:00:00 PM,57.2,60.04,,,,,
5,02/08/24 06:00:00 PM,57.6,60.39,,,,,
6,02/08/24 07:00:00 PM,57.9,60.40,,,,,
7,02/08/24 08:00:00 PM,59.0,60.31,,,,,
8,02/08/24 09:00:00 PM,59.4,60.21,,,,,
9,02/08/24 10:00:00 PM,58.7,60.01,,,,,
10,02/08/24 11:00:00 PM,58.3,59.81,,,,,
11,02/09/24 12:00:00 AM,58.3,59.52,,,,,
12,02/09/24 01:00:00 AM,57.2,59.23,,,,,
13,02/09/24 02:00:00 AM,56.9,58.84,,,,,
14,02/09/24 03:00:00 AM,55.8,58.44,,,,,
15,02/09/24 04:00:00 AM,55.8,57.99,,,,,
16,02/09/24 05:00:00 AM,54.7,57.54,,,,,
17,02/09/24 06:00:00 AM,54.3,57.16,,,,,
18,02/09/24 07:00:00 AM,53.6,56.79,,,,,
19,02/09/24 08:00:00 AM,53.6,56.55,,,,,
20,02/09/24 09:00:00 AM,53.2,56.46,,,,,
21,02/09/24 10:00:00 AM,53.2,56.64,,,,,
22,02/09/24 11:00:00 AM,53.6,57.06,,,,,
23,02/09/24 12:00:00 PM,54.3,57.92,,,,,
24,02/09/24 01:00:00 PM,55.7,59.00,,,,,
25,02/09/24 02:00:00 PM,57.6,59.92,,,,,
26,02/09/24 03:00:00 PM,59.0,61.00,,,,,
27,02/09/24 04:00:00 PM,59.7,61.90,,,,,
