Plot Title: Bradford_13con,,,,
#,"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10778435, SEN S/N: 10778435)","Full Range, μS/cm (LGR S/N: 10778435, SEN S/N: 10778435)","Temp, °F (LGR S/N: 10778435, SEN S/N: 10778435)"
1,11/1/2023 16:00,319.2,327,65.3
2,11/1/2023 17:00,317.7,325.1,64.92
3,11/1/2023 18:00,316.2,323.6,64.33
4,11/1/2023 19:00,314.7,322,64.13
5,11/1/2023 20:00,313.2,320.5,63.7
6,11/1/2023 21:00,310.9,317.8,63.16
7,11/1/2023 22:00,307,314.3,62.26
8,11/1/2023 23:00,302.5,309.3,61.21
9,11/2/2023 0:00,298.7,305.8,60.33
10,11/2/2023 1:00,295.5,302.3,59.56
11,11/2/2023 2:00,293.2,299.6,59.04
12,11/2/2023 3:00,291.2,297.6,58.62
13,11/2/2023 4:00,288.9,295.3,58.1
14,11/2/2023 5:00,286.5,293,57.54
15,11/2/2023 6:00,284.1,290.3,57.02
16,11/2/2023 7:00,282.8,288.7,56.71
17,11/2/2023 8:00,282.6,288.7,56.71
18,11/2/2023 9:00,285.5,291.8,57.42
19,11/2/2023 10:00,291.3,297.6,58.86
20,11/2/2023 11:00,297.6,304.1,60.53
21,11/2/2023 12:00,302.5,309.5,61.84
22,11/2/2023 13:00,307,314.2,63.07
23,11/2/2023 14:00,311.5,318.8,64.17
24,11/2/2023 15:00,313.6,320.8,64.31
25,11/2/2023 16:00,312.2,319.2,64.2
26,11/2/2023 17:00,311.9,318.8,64.04
27,11/2/2023 18:00,310.7,317.7,63.68
28,11/2/2023 19:00,309.6,316.5,63.45
29,11/2/2023 20:00,309.3,316.5,63.3
30,11/2/2023 21:00,308.1,315,62.92
31,11/2/2023 22:00,306.5,313.5,62.49
32,11/2/2023 23:00,305.6,312.3,62.15
33,11/3/2023 0:00,304.3,311.1,61.97
34,11/3/2023 1:00,302.5,309.6,61.61
35,11/3/2023 2:00,301.2,308,61.34
36,11/3/2023 3:00,300,306.9,61.07
37,11/3/2023 4:00,299.5,306.1,61.07
38,11/3/2023 5:00,298.9,305.7,60.94
39,11/3/2023 6:00,297.7,304.5,60.73
40,11/3/2023 7:00,296.9,303.7,60.64
41,11/3/2023 8:00,297.4,304.1,60.8
42,11/3/2023 9:00,300.2,307.2,61.52
43,11/3/2023 10:00,304.3,311.4,62.69
44,11/3/2023 11:00,308.9,316.4,64
45,11/3/2023 12:00,313.3,320.6,65.1
46,11/3/2023 13:00,317.7,324.8,66.24
47,11/3/2023 14:00,320,327.1,66.79
48,11/3/2023 15:00,319.4,326.8,66.54
49,11/3/2023 16:00,318.7,326,66.31
50,11/3/2023 17:00,318.6,326.4,66.11
51,11/3/2023 18:00,317.2,324.5,65.88
52,11/3/2023 19:00,316.8,324.1,65.7
53,11/3/2023 20:00,316.8,324.1,65.53
54,11/3/2023 21:00,315.7,323,65.28
55,11/3/2023 22:00,314.4,321.8,64.94
56,11/3/2023 23:00,313,320.7,64.63
57,11/4/2023 0:00,311.8,318.7,64.33
58,11/4/2023 1:00,310.9,318.4,64.15
59,11/4/2023 2:00,310.8,318.4,64.06
