"TOA5","15_Bradford_LB","CR800","31023","CR800.Std.27","CPU:15_1hr_02082024.CR8","46304","Test"
"TIMESTAMP","RECORD","BattV_Min","cDOM","CO2"
"TS","RN","Volts","ppbQ","ppm"
"","","Min","Smp","Smp"
"2024-02-12 12:00:00",96,13.28,2.529575,1212.253
"2024-02-12 13:00:00",97,13.28,2.375048,1200.817
"2024-02-12 14:00:00",98,13.28,2.542226,1212.253
"2024-02-12 15:00:00",99,13.29,2.57024,1212.253
"2024-02-12 16:00:00",100,13.28,2.600061,1223.69
"2024-02-12 17:00:00",101,13.28,2.655185,1223.69
"2024-02-12 18:00:00",102,13.27,2.613616,1223.758
"2024-02-12 19:00:00",103,13.27,2.586506,1338.424
"2024-02-12 20:00:00",104,13.27,2.638918,1424.253
"2024-02-12 21:00:00",105,13.27,2.721152,1521.533
"2024-02-12 22:00:00",106,13.26,2.719345,1598.75
"2024-02-12 23:00:00",107,13.26,2.774468,1733.197
"2024-02-13 00:00:00",108,13.26,2.74284,1881.92
"2024-02-13 01:00:00",109,13.26,2.778083,2019.203
"2024-02-13 02:00:00",110,13.25,2.750973,2187.947
"2024-02-13 03:00:00",111,13.25,2.807904,2316.649
"2024-02-13 04:00:00",112,13.25,2.843147,2448.212
"2024-02-13 05:00:00",113,13.25,2.846762,2562.615
"2024-02-13 06:00:00",114,13.25,2.900078,2682.737
"2024-02-13 07:00:00",115,13.25,2.928995,2805.72
"2024-02-13 08:00:00",116,13.25,2.935325,2891.521
"2024-02-13 09:00:00",117,13.25,2.996773,3028.804
"2024-02-13 10:00:00",118,13.26,2.964241,3166.087
"2024-02-13 11:00:00",119,13.27,2.938939,3329.111
"2024-02-13 12:00:00",120,13.3,3.009424,3449.233
"2024-02-13 13:00:00",121,13.31,2.985929,3526.455
"2024-02-13 14:00:00",122,13.31,2.976892,3646.578
"2024-02-13 15:00:00",123,13.3,3.017558,3718.079
"2024-02-13 16:00:00",124,13.29,3.025691,3803.881
"2024-02-13 17:00:00",125,13.27,3.052801,3901.123
"2024-02-13 18:00:00",126,13.26,3.04286,4009.805
"2024-02-13 19:00:00",127,13.25,3.054608,4089.887
"2024-02-13 20:00:00",128,13.23,3.086236,4181.409
"2024-02-13 21:00:00",129,13.23,3.094369,4244.331
"2024-02-13 22:00:00",130,13.22,3.065644,4339.822
"2024-02-13 23:00:00",131,13.21,3.179865,4420.297
"2024-02-14 00:00:00",132,13.2,3.160127,4486.103
"2024-02-14 01:00:00",133,13.19,3.185851,4551.906
"2024-02-14 02:00:00",134,13.19,3.167781,4634.957
"2024-02-14 03:00:00",135,13.17,2.907437,4703.863
"2024-02-14 04:00:00",136,13.17,2.954443,4762.273
"2024-02-14 05:00:00",137,13.16,3.032185,4825.349
"2024-02-14 06:00:00",138,13.14,2.972771,4899.761
"2024-02-14 07:00:00",139,13.15,3.070661,4945.553
"2024-02-14 08:00:00",140,13.14,3.050806,5017.103
"2024-02-14 09:00:00",141,13.14,3.101294,5042.861
"2024-02-14 10:00:00",142,13.15,3.084019,5115.109
"2024-02-14 11:00:00",143,13.17,3.09618,5113.793
"2024-02-14 12:00:00",144,13.17,3.002195,5110.931
"2024-02-14 13:00:00",145,13.17,3.014847,5139.531
"2024-02-14 14:00:00",146,13.18,3.007617,5119.511
"2024-02-14 15:00:00",147,13.2,3.053704,5102.351
"2024-02-14 16:00:00",148,13.18,3.052801,5090.899
"2024-02-14 17:00:00",149,13.17,3.055511,5096.628
"2024-02-14 18:00:00",150,13.17,3.022076,5070.888
"2024-02-14 19:00:00",151,13.16,3.036535,5102.349
"2024-02-14 20:00:00",152,13.15,3.132323,5119.509
"2024-02-14 21:00:00",153,13.15,3.112443,5170.99
"2024-02-14 22:00:00",154,13.14,3.15242,5154.772
"2024-02-14 23:00:00",155,13.14,3.132827,5175.608
"2024-02-15 00:00:00",156,13.13,3.174694,5189.917
"2024-02-15 01:00:00",157,13.12,3.168677,5238.554
"2024-02-15 02:00:00",158,13.12,3.129814,5249.999
"2024-02-15 03:00:00",159,13.12,3.14247,5290.053
"2024-02-15 04:00:00",160,13.12,3.159646,5321.524
"2024-02-15 05:00:00",161,13.12,3.192134,5355.857
"2024-02-15 06:00:00",162,13.11,3.189411,5378.745
"2024-02-15 07:00:00",163,13.11,3.153315,5375.884
"2024-02-15 08:00:00",164,13.1,3.238203,5438.827
"2024-02-15 09:00:00",165,13.12,3.229058,5438.827
"2024-02-15 10:00:00",166,13.12,3.218641,5438.827
"2024-02-15 11:00:00",167,13.12,3.20101,5428.466
"2024-02-15 12:00:00",168,13.15,3.210039,5411.237
"2024-02-15 13:00:00",169,13.16,3.233534,5442.698
"2024-02-15 14:00:00",170,13.16,3.223594,5433.472
"2024-02-15 15:00:00",171,13.16,3.263355,5441.637
"2024-02-15 16:00:00",172,13.15,3.216364,5419.076
"2024-02-15 17:00:00",173,13.15,3.2498,5408.369
"2024-02-15 18:00:00",174,13.14,3.312153,5394.075
"2024-02-15 19:00:00",175,13.13,3.333841,5376.915
"2024-02-15 20:00:00",176,13.13,3.32119,5376.915
"2024-02-15 21:00:00",177,13.12,3.307635,5376.915
"2024-02-15 22:00:00",178,13.12,3.335648,5365.474
"2024-02-15 23:00:00",179,13.12,3.376313,5356.894
"2024-02-16 00:00:00",180,13.12,3.374506,5394.366
"2024-02-16 01:00:00",181,13.11,3.37832,5363.618
"2024-02-16 02:00:00",182,13.11,3.362249,5352.975
"2024-02-16 03:00:00",183,13.1,3.444523,5370.162
"2024-02-16 04:00:00",184,13.1,3.453714,5398.772
"2024-02-16 05:00:00",185,13.1,3.505326,5398.772
"2024-02-16 06:00:00",186,13.1,3.499099,5410.216
"2024-02-16 07:00:00",187,13.1,3.463008,5421.661
"2024-02-16 08:00:00",188,13.09,3.490556,5481.742
"2024-02-16 09:00:00",189,13.1,3.600542,5464.576
"2024-02-16 10:00:00",190,13.1,3.554179,5472.363
"2024-02-16 11:00:00",191,13.11,3.535664,5477.028
"2024-02-16 12:00:00",192,13.12,3.572356,5494.179
"2024-02-16 13:00:00",193,13.13,3.508145,5497.039
"2024-02-16 14:00:00",194,13.13,3.512767,5497.039
"2024-02-16 15:00:00",195,13.13,3.498972,5494.177
"2024-02-16 16:00:00",196,13.13,3.498972,5517.042
"2024-02-16 17:00:00",197,13.13,3.480626,5494.177
"2024-02-16 18:00:00",198,13.12,3.572356,5505.617
"2024-02-16 19:00:00",199,13.12,3.526491,5517.058
"2024-02-16 20:00:00",200,13.12,3.55401,5514.197
"2024-02-16 21:00:00",201,13.11,3.618221,5508.478
"2024-02-16 22:00:00",202,13.11,3.609048,5525.638
"2024-02-16 23:00:00",203,13.11,3.590702,5531.358
"2024-02-17 00:00:00",204,13.11,3.372699,5554.238
"2024-02-17 01:00:00",205,13.11,3.371795,5525.638
"2024-02-17 02:00:00",206,13.1,3.425588,5562.818
"2024-02-17 03:00:00",207,13.1,3.388896,5577.119
