Date,,,,CO2
11/1/2023 14:34,767,12.46,20.46,822.8604
11/1/2023 14:34,768,12.46,20.49,801.5659
11/1/2023 14:34,769,12.46,20.53,782.3149
11/1/2023 14:35,770,12.46,20.57,763.8583
11/1/2023 14:35,771,12.46,20.6,830.5057
11/1/2023 14:35,772,12.46,20.64,802.7839
11/1/2023 14:35,773,12.46,20.68,784.0549
11/1/2023 14:35,774,12.46,20.71,766.979
11/1/2023 14:35,775,12.45,20.75,750.5012
11/1/2023 14:36,776,12.46,20.79,734.824
11/1/2023 14:36,777,12.45,20.82,809.1001
11/1/2023 14:36,778,12.45,20.86,783.7155
11/1/2023 14:36,779,12.45,20.9,764.5159
11/1/2023 14:36,780,12.45,20.93,749.8755
11/1/2023 14:36,781,12.45,20.97,735.1602
11/1/2023 14:37,782,12.45,21,721.2306
11/1/2023 14:37,783,12.45,21.03,798.4058
11/1/2023 14:37,784,12.45,21.06,773.8621
11/1/2023 14:37,785,12.45,21.09,758.2214
11/1/2023 14:37,786,12.45,21.12,743.4664
11/1/2023 14:37,787,12.45,21.15,728.8611
11/1/2023 14:38,788,12.45,21.18,716.7223
11/1/2023 14:38,789,12.45,21.2,800.7703
11/1/2023 14:38,790,12.44,21.23,776.4547
11/1/2023 14:38,791,12.44,21.25,760.0345
11/1/2023 14:38,792,12.45,21.27,746.7374
11/1/2023 14:38,793,12.45,21.3,733.576
11/1/2023 14:39,794,12.45,21.32,720.4534
11/1/2023 14:39,795,12.45,21.35,803.0341
11/1/2023 14:39,796,12.45,21.37,779.5997
11/1/2023 14:39,797,12.45,21.39,765.7861
11/1/2023 14:39,798,12.44,21.42,750.1693
11/1/2023 14:39,799,12.45,21.44,738.1737
11/1/2023 14:40,800,12.45,21.46,726.7147
11/1/2023 14:40,801,12.45,21.48,803.9761
11/1/2023 14:40,802,12.45,21.51,779.8459
11/1/2023 14:40,803,12.45,21.53,763.1201
11/1/2023 14:40,804,12.44,21.55,748.8505
11/1/2023 14:40,805,12.45,21.58,735.7623
11/1/2023 14:41,806,12.44,21.6,723.4191
11/1/2023 14:41,807,12.45,21.62,802.4733
11/1/2023 14:41,808,12.44,21.64,778.9404
11/1/2023 14:41,809,12.44,21.66,763.5311
11/1/2023 14:41,810,12.44,21.69,748.967
11/1/2023 14:41,811,12.45,21.7,735.3577
11/1/2023 14:42,812,12.44,21.72,722.9609
11/1/2023 14:42,813,12.45,21.74,802.3795
11/1/2023 14:42,814,12.44,21.76,779.373
11/1/2023 14:42,815,12.44,21.77,763.267
11/1/2023 14:42,816,12.44,21.78,749.4812
11/1/2023 14:42,817,12.44,21.79,737.2754
11/1/2023 14:43,818,12.44,21.79,724.9987
11/1/2023 14:43,819,12.44,21.8,807.6558
11/1/2023 14:43,820,12.44,21.8,787.2353
11/1/2023 14:43,821,12.44,21.8,774.5892
11/1/2023 14:43,822,12.44,21.8,763.7098
11/1/2023 14:43,823,12.44,21.8,754.987
11/1/2023 14:44,824,12.44,21.8,743.267
11/1/2023 14:44,825,12.44,21.79,832.6185
11/1/2023 14:44,826,12.44,21.79,810.4854
