Result(NPOC),Unit,Vial,Ran
28.093336,PPM,6,3/5/2024
28.093336,PPM,6,3/5/2024
28.093336,PPM,6,3/5/2024
25.196236,PPM,7,3/5/2024
25.196236,PPM,7,3/5/2024
25.196236,PPM,7,3/5/2024
23.097448,PPM,8,3/5/2024
23.097448,PPM,8,3/5/2024
23.097448,PPM,8,3/5/2024
23.097448,PPM,8,3/5/2024
25.543888,PPM,9,3/5/2024
25.543888,PPM,9,3/5/2024
25.543888,PPM,9,3/5/2024
25.543888,PPM,9,3/5/2024
23.612488,PPM,10,3/5/2024
23.612488,PPM,10,3/5/2024
23.612488,PPM,10,3/5/2024
23.612488,PPM,10,3/5/2024
31.694324,PPM,11,3/5/2024
31.694324,PPM,11,3/5/2024
31.694324,PPM,11,3/5/2024
31.694324,PPM,11,3/5/2024
37.080784,PPM,12,3/5/2024
37.080784,PPM,12,3/5/2024
37.080784,PPM,12,3/5/2024
37.080784,PPM,12,3/5/2024
16.208788,PPM,13,3/5/2024
16.208788,PPM,13,3/5/2024
16.208788,PPM,13,3/5/2024
16.208788,PPM,13,3/5/2024
16.457724,PPM,14,3/5/2024
16.457724,PPM,14,3/5/2024
16.457724,PPM,14,3/5/2024
16.457724,PPM,14,3/5/2024
16.457724,PPM,14,3/5/2024
20.82698,PPM,15,3/5/2024
20.82698,PPM,15,3/5/2024
20.82698,PPM,15,3/5/2024
20.82698,PPM,15,3/5/2024
18.98142,PPM,16,3/5/2024
18.98142,PPM,16,3/5/2024
18.98142,PPM,16,3/5/2024
18.98142,PPM,16,3/5/2024
39.04652,PPM,17,3/5/2024
39.04652,PPM,17,3/5/2024
39.04652,PPM,17,3/5/2024
39.04652,PPM,17,3/5/2024
5.272772,PPM,18,3/5/2024
5.272772,PPM,18,3/5/2024
5.272772,PPM,18,3/5/2024
5.272772,PPM,18,3/5/2024
16.59936,PPM,19,3/5/2024
16.59936,PPM,19,3/5/2024
16.59936,PPM,19,3/5/2024
16.59936,PPM,19,3/5/2024
16.59936,PPM,19,3/5/2024
17.90842,PPM,20,3/5/2024
17.90842,PPM,20,3/5/2024
17.90842,PPM,20,3/5/2024
33.642892,PPM,21,3/5/2024
33.642892,PPM,21,3/5/2024
33.642892,PPM,21,3/5/2024
33.642892,PPM,21,3/5/2024
19.101596,PPM,22,3/5/2024
19.101596,PPM,22,3/5/2024
19.101596,PPM,22,3/5/2024
22.453648,PPM,23,3/5/2024
22.453648,PPM,23,3/5/2024
22.453648,PPM,23,3/5/2024
22.453648,PPM,23,3/5/2024
23.432224,PPM,24,3/5/2024
23.432224,PPM,24,3/5/2024
23.432224,PPM,24,3/5/2024
23.432224,PPM,24,3/5/2024
14.663668,PPM,25,3/5/2024
14.663668,PPM,25,3/5/2024
14.663668,PPM,25,3/5/2024
11.371704,PPM,26,3/5/2024
11.371704,PPM,26,3/5/2024
