"sample","a250","a254","a300","a365","a272","a340","a350","a400","a405","E2_E3","E4_E6","S325_375","S275_295","S350_400","S300_700","SR","E3_E4","site_date","site","Date"
"B1S12GWW_11212023",5.80772309798589,5.58426710556583,2.75997330917411,1.03591401225715,4.42976637842271,1.53660812836617,1.31016688522921,0.521503474024945,0.442534994908247,5.60637565402889,-3.38354467230082,0.0153117749826213,0.0172820834373455,0.018303739367828,0.0233037598356623,0.944183212514585,0.275167376366119,"_11212023","",2023-11-21
"B1S13S_11212023",18.9253378702729,18.3562287246813,10.6769082689963,4.27876087720078,15.4538486390033,6.32151902109432,5.44910948024895,2.23145938568548,1.99635246762168,4.42308846262381,-24.6698517520183,0.0148092387737608,0.0135381448918992,0.0174778432758978,0.0169396314862573,0.774588985505349,0.344380053000461,"_11212023","",2023-11-21
"B1S14W_11212023",39.0596834778878,37.7388550734218,20.4894879961235,7.78270275151472,30.8029898095714,11.6742045272223,10.0210528128888,4.04782961291543,3.66451896073562,5.01878135719442,87.9021507085762,0.0154306238496339,0.0150287331471989,0.0179173171379439,0.0162391170186829,0.838782560552678,0.309341777976831,"_11212023","",2023-11-21
"B1S15TFD_11212023",8.47823959822925,8.17636343724715,4.31799935878957,1.36575404341099,6.73807749200366,2.21976036059415,1.83725612963866,0.603103419337732,0.506387406638612,6.20773530866123,-2.89953427426272,0.0185950318740983,0.0155705196912726,0.0220671457560607,0.0527540548833179,0.70559735560709,0.271485040706741,"_11212023","",2023-11-21
"B1S16SURD_11212023",28.6820131480998,27.8127626998135,17.280257985807,7.13939810346631,23.8829161178263,10.422625290852,9.05917197519461,3.72650979795653,3.38804242262828,4.01742734225371,-170.2850599079,0.0143855762235403,0.0114026096402984,0.0175655195529011,0.0155433448326758,0.649147302814346,0.374742538285198,"_11212023","",2023-11-21
"B1S17LLCD_11212023",24.49605752587,23.5217949235279,12.5265397885636,3.89159530751654,19.3259365104821,6.37485383849548,5.25971200249033,1.89109364781727,1.69318957931441,6.2946055769356,-15.3160575173121,0.0189803921494361,0.0149246981714282,0.0207087697267678,0.0191968297530743,0.720694583422635,0.271019021261808,"_11212023","",2023-11-21
"B1S18SFD_11212023",99.0222253726809,96.7401565932529,56.748652428533,17.4614954491604,84.0516014804002,28.9625763652885,23.9139001385853,7.89564709315547,7.06413968731915,5.67089031182847,1038.34991411586,0.0191111990922439,0.0135509391062723,0.0219836012490084,0.019855517073065,0.616411249129785,0.299385254120092,"_11212023","",2023-11-21
"B1S19LLOD_11212023",28.070601553698,27.1399255845544,15.0008169661559,4.50815856277795,22.9583443058195,7.52730919963286,6.18188203352693,2.02608686582994,1.78974365371726,6.22662250291409,-14.667219872534,0.0195264094848563,0.0148908990718333,0.0222454167359973,0.0211406802186734,0.669391778475296,0.277351873209141,"_11212023","",2023-11-21
"B1S20GWD_11212023",3.99496820502971,3.73570903934436,1.59402911933973,0.539999811681921,2.72640781036209,0.863993174887953,0.717997829587695,0.21434221869602,0.150458825659297,7.39809184856325,0.447096363681347,0.0176441970870885,0.0199703739189028,0.0236870847257851,0.114185396978833,0.843091252051107,0.231279568560722,"_11212023","",2023-11-21
"B1S21SFS_11212023",59.2558441787106,57.8770597841727,31.8651309303767,9.25344451899578,48.9642162536081,15.5845896399328,12.7379892283303,4.17851185629341,3.70502853152124,6.40365261358278,-22.1189336320523,0.0199905866232489,0.0149802404688199,0.0222090000764209,0.0205009618669856,0.674512153508625,0.269270583164534,"_11212023","",2023-11-21
"B2S22GWS_11212023",2.59392097802718,2.47842798131328,1.31158801068441,0.474230871819997,1.97903368620135,0.70385729577917,0.603912035695368,0.233384623922331,0.206273001817673,5.4697429715452,22.9456680011114,0.0157246840567702,0.0147368561426439,0.0178389124584261,0.0204656565567694,0.82610731887319,0.283993443055871,"_11212023","",2023-11-21
