Date,,,CO2,
9/8/2023 10:30,2251,12.54,3779,3779
9/8/2023 10:31,2252,12.54,3772,3772
9/8/2023 10:31,2253,12.54,3764,3764
9/8/2023 10:32,2254,12.54,3758,3758
9/8/2023 10:32,2255,12.54,3740,3740
9/8/2023 10:33,2256,12.54,3727,3727
9/8/2023 10:33,2257,12.54,3713,3713
9/8/2023 10:34,2258,12.54,3696,3696
9/8/2023 10:34,2259,12.54,3680,3680
9/8/2023 10:35,2260,12.54,3666,3666
9/8/2023 10:35,2261,12.54,3662,3662
9/8/2023 10:36,2262,12.54,3658,3658
9/8/2023 10:36,2263,12.52,3659,3659
9/8/2023 10:37,2264,12.51,3656,3656
9/8/2023 10:37,2265,12.51,3650,3650
9/8/2023 10:38,2266,12.51,3639,3639
9/8/2023 10:38,2267,12.51,3638,3638
9/8/2023 10:39,2268,12.51,3631,3631
9/8/2023 10:39,2269,12.51,3623,3623
9/8/2023 10:40,2270,12.51,3617,3617
9/8/2023 10:40,2271,12.51,3615,3615
