Date,DO,Temp,ID
2023-12-08T12:00:00Z,2.67,53.96,3
2023-12-08T13:00:00Z,2.25,53.85,3
2023-12-08T14:00:00Z,2.08,54.36,3
2023-12-08T15:00:00Z,1.98,54.79,3
2023-12-08T16:00:00Z,1.96,55.18,3
2023-12-08T17:00:00Z,2,55.58,3
2023-12-08T18:00:00Z,2.07,55.9,3
2023-12-08T19:00:00Z,2.16,56.26,3
2023-12-08T20:00:00Z,2.15,56.55,3
2023-12-08T21:00:00Z,2.18,56.84,3
2023-12-08T22:00:00Z,2.08,57.02,3
2023-12-08T23:00:00Z,2,57.2,3
2023-12-09T00:00:00Z,1.9,57.31,3
2023-12-09T01:00:00Z,1.86,57.34,3
2023-12-09T02:00:00Z,1.77,57.34,3
2023-12-09T03:00:00Z,1.68,57.31,3
2023-12-09T04:00:00Z,1.57,57.2,3
2023-12-09T05:00:00Z,1.51,57.13,3
2023-12-09T06:00:00Z,1.44,57.02,3
2023-12-09T07:00:00Z,1.4,56.91,3
2023-12-09T08:00:00Z,1.35,56.8,3
2023-12-09T09:00:00Z,1.31,56.88,3
2023-12-09T10:00:00Z,1.24,57.09,3
2023-12-09T11:00:00Z,1.19,57.42,3
2023-12-09T12:00:00Z,1.13,57.96,3
2023-12-09T13:00:00Z,1.04,58.5,3
2023-12-09T14:00:00Z,1.01,59.11,3
2023-12-09T15:00:00Z,1.05,59.61,3
2023-12-09T16:00:00Z,1.05,60.01,3
2023-12-09T17:00:00Z,0.91,60.4,3
2023-12-09T18:00:00Z,0.86,60.76,3
2023-12-09T19:00:00Z,0.91,61.09,3
2023-12-09T20:00:00Z,1.05,61.23,3
2023-12-09T21:00:00Z,1.19,61.38,3
2023-12-09T22:00:00Z,1.14,61.56,3
2023-12-09T23:00:00Z,1.13,61.59,3
2023-12-10T00:00:00Z,1.22,61.59,3
2023-12-10T01:00:00Z,1.18,61.52,3
2023-12-10T02:00:00Z,1.2,61.41,3
2023-12-10T03:00:00Z,1.19,61.3,3
2023-12-10T04:00:00Z,1.14,61.23,3
2023-12-10T05:00:00Z,1.15,61.12,3
2023-12-10T06:00:00Z,1.1,61.05,3
2023-12-10T07:00:00Z,1.04,61.02,3
2023-12-10T08:00:00Z,0.96,61.05,3
2023-12-10T09:00:00Z,0.88,61.16,3
2023-12-10T10:00:00Z,0.78,61.38,3
2023-12-10T11:00:00Z,0.7,61.77,3
2023-12-10T12:00:00Z,0.73,62.13,3
2023-12-10T13:00:00Z,0.67,62.49,3
2023-12-10T14:00:00Z,0.7,62.89,3
2023-12-10T15:00:00Z,0.76,63.21,3
2023-12-10T16:00:00Z,2.42,63.36,3
2023-12-10T17:00:00Z,2.99,63.46,3
2023-12-10T18:00:00Z,3,63.57,3
2023-12-10T19:00:00Z,2.96,63.75,3
2023-12-10T20:00:00Z,2.79,63.93,3
2023-12-10T21:00:00Z,2.74,64.08,3
2023-12-10T22:00:00Z,2.57,64.08,3
2023-12-10T23:00:00Z,2.57,63.82,3
2023-12-11T00:00:00Z,2.3,63.5,3
2023-12-11T01:00:00Z,2.26,63.18,3
2023-12-11T02:00:00Z,2.23,62.71,3
2023-12-11T03:00:00Z,2.19,62.24,3
2023-12-11T04:00:00Z,2.15,61.7,3
2023-12-11T05:00:00Z,2.15,61.05,3
2023-12-11T06:00:00Z,2.19,60.37,3
2023-12-11T07:00:00Z,2.24,59.68,3
2023-12-11T08:00:00Z,2.29,59,3
2023-12-11T09:00:00Z,2.32,58.39,3
2023-12-11T10:00:00Z,2.37,57.88,3
2023-12-11T11:00:00Z,2.44,57.56,3
2023-12-11T12:00:00Z,2.49,57.45,3
2023-12-11T13:00:00Z,2.57,57.6,3
2023-12-11T14:00:00Z,2.63,57.56,3
2023-12-11T15:00:00Z,2.66,57.63,3
2023-12-11T16:00:00Z,2.67,57.7,3
2023-12-11T17:00:00Z,2.69,57.56,3
2023-12-11T18:00:00Z,2.72,57.2,3
2023-12-11T19:00:00Z,2.75,56.8,3
2023-12-11T20:00:00Z,2.78,56.44,3
2023-12-11T21:00:00Z,2.79,56.08,3
2023-12-11T22:00:00Z,2.8,55.8,3
2023-12-11T23:00:00Z,2.8,55.47,3
2023-12-12T00:00:00Z,2.8,55.18,3
2023-12-12T01:00:00Z,2.81,54.9,3
2023-12-12T02:00:00Z,2.82,54.54,3
2023-12-12T03:00:00Z,2.85,54.14,3
2023-12-12T04:00:00Z,2.87,53.67,3
2023-12-12T05:00:00Z,2.89,53.2,3
2023-12-12T06:00:00Z,2.93,52.7,3
2023-12-12T07:00:00Z,2.99,52.23,3
2023-12-12T08:00:00Z,3.03,51.8,3
2023-12-12T09:00:00Z,3.11,51.51,3
2023-12-12T10:00:00Z,3.18,51.44,3
2023-12-12T11:00:00Z,3.24,51.58,3
2023-12-12T12:00:00Z,3.32,51.98,3
2023-12-12T13:00:00Z,3.37,52.59,3
2023-12-12T14:00:00Z,3.44,53.17,3
2023-12-12T15:00:00Z,3.45,53.71,3
2023-12-12T16:00:00Z,3.44,54.14,3
2023-12-12T17:00:00Z,3.38,54.46,3
2023-12-12T18:00:00Z,3.34,54.61,3
2023-12-12T19:00:00Z,3.31,54.61,3
2023-12-12T20:00:00Z,3.3,54.57,3
2023-12-12T21:00:00Z,3.27,54.5,3
2023-12-12T22:00:00Z,3.25,54.54,3
2023-12-12T23:00:00Z,3.23,54.61,3
2023-12-13T00:00:00Z,3.2,54.68,3
2023-12-13T01:00:00Z,3.15,54.79,3
2023-12-13T02:00:00Z,3.11,54.82,3
2023-12-13T03:00:00Z,3.07,54.82,3
2023-12-13T04:00:00Z,3.03,54.75,3
2023-12-13T05:00:00Z,3,54.72,3
2023-12-13T06:00:00Z,2.96,54.64,3
2023-12-13T07:00:00Z,2.94,54.61,3
2023-12-13T08:00:00Z,2.92,54.54,3
2023-12-13T09:00:00Z,2.91,54.54,3
2023-12-13T10:00:00Z,2.91,54.57,3
