Date,Rep,,FDOM,CO2,CO2hi
8/5/2023 20:00,80,11.08,1.805564,8522.517,4501.369
8/5/2023 21:00,81,11.08,1.824565,8482.896,4485.276
8/5/2023 22:00,82,11.05,1.899668,8525.113,4489.649
8/5/2023 23:00,83,11.05,1.820041,8570.036,4477.971
8/6/2023 0:00,84,11.02,1.886095,8615.428,4466.467
8/6/2023 1:00,85,11.01,1.873427,8621.646,4453.223
8/6/2023 2:00,86,11.02,1.869808,8581.916,4438.709
8/6/2023 3:00,87,10.99,1.898763,8612.16,4437.906
8/6/2023 4:00,88,10.99,1.884286,8669.11,4435.961
8/6/2023 5:00,89,10.96,1.931338,8737.754,4436.49
8/6/2023 6:00,90,10.96,1.941291,8767.374,4418.929
8/6/2023 7:00,91,10.94,1.928623,8852.218,4415.218
8/6/2023 8:00,92,10.95,1.921384,9083.538,4423.306
8/6/2023 9:00,93,10.93,1.91867,8996.425,4402.244
8/6/2023 10:00,94,10.97,1.917765,8987.134,4413.017
8/6/2023 11:00,95,11.55,1.862569,9113.477,4434.516
8/6/2023 12:00,96,11.23,1.943992,9100.241,4473.401
8/6/2023 13:00,97,11.15,1.920478,9034.1,4487.369
8/6/2023 14:00,98,11.19,1.982008,9077.236,4508.731
8/6/2023 15:00,99,11.1,1.915049,9117.496,4542.007
8/6/2023 16:00,100,11.09,1.950338,9117.496,4550.224
8/6/2023 17:00,101,11.06,1.915954,9169.259,4557.619
8/6/2023 18:00,102,11,1.986532,9285.727,4564.192
8/6/2023 19:00,103,10.97,2.167502,9443.892,4573.23
8/6/2023 20:00,104,10.92,2.310469,9577.233,4575.378
8/6/2023 21:00,105,10.91,2.400049,9579.53,4549.902
8/6/2023 22:00,106,10.87,2.311373,9573.46,4550.708
8/6/2023 23:00,107,10.86,2.337614,9615.853,4555.278
8/7/2023 0:00,108,10.82,2.307754,9594.717,4536.993
8/7/2023 1:00,109,10.81,2.38919,9545.592,4524.971
8/7/2023 2:00,110,10.76,2.367474,9574.735,4518.572
8/7/2023 3:00,111,10.75,2.414526,9523.412,4497.972
8/7/2023 4:00,112,10.7,2.474246,9621.181,4505.761
8/7/2023 5:00,113,10.68,2.48239,9568.481,4478.881
8/7/2023 6:00,114,10.6,2.352997,9606.031,4477.308
8/7/2023 7:00,115,10.59,2.324946,9562.823,4460.432
8/7/2023 8:00,116,10.57,2.316803,9650.381,4467.332
8/7/2023 9:00,117,10.51,2.319517,9739.512,4469.612
8/7/2023 10:00,118,10.54,2.320422,9689.212,4454.588
8/7/2023 11:00,119,11.46,2.184695,9748.766,4483.282
8/7/2023 12:00,120,11.03,2.156644,9609.245,4491.888
8/7/2023 13:00,121,10.96,2.176551,9556.045,4518.18
8/7/2023 14:00,122,10.95,2.192838,9570.423,4523.521
8/7/2023 15:00,123,10.87,2.186504,9730.026,4562.959
8/7/2023 16:00,124,10.86,2.185599,9731.464,4579.392
8/7/2023 17:00,125,10.77,2.134928,9686.891,4583.089
8/7/2023 18:00,126,10.72,2.140357,9825.262,4606.253
8/7/2023 19:00,127,10.6,2.091495,9861.304,4606.708
8/7/2023 20:00,128,10.51,1.952148,9997.103,4616.039
8/8/2023 11:00,129,11.56,1.929813,277.5116,88.738
8/8/2023 12:00,130,11.02,1.925185,9945.706,4530.094
8/8/2023 13:00,131,10.97,1.982195,9987.403,4540.775
8/8/2023 14:00,132,10.99,1.926089,10102.43,4558.851
8/8/2023 15:00,133,10.86,1.929709,10254.85,4582.679
8/8/2023 16:00,134,10.85,1.896226,10290.79,4596.646
8/8/2023 17:00,135,10.75,1.861839,10313.8,4606.506
8/8/2023 18:00,136,10.69,1.879033,10329.63,4606.511
8/8/2023 19:00,137,10.57,1.874508,10470.53,4628.281
8/9/2023 11:00,138,11.13,3.571287,243.0058,76.41434
8/9/2023 12:00,139,10.9,3.612005,10525.17,4549.402
8/9/2023 13:00,140,10.88,3.804318,10586.99,4547.759
8/9/2023 14:00,141,10.88,4.25305,10589.91,4554.348
8/9/2023 15:00,142,10.73,4.427048,10653.13,4563.37
8/9/2023 16:00,143,10.67,4.491152,10709.21,4575.284
8/9/2023 17:00,144,10.54,4.756728,10727.9,4580.625
8/10/2023 11:00,145,11.49,5.920215,186.9297,59.98183
8/10/2023 12:00,146,10.83,5.993451,11242.66,4565.424
8/10/2023 13:00,147,10.77,6.05756,11347.62,4579.392
8/10/2023 14:00,148,10.74,6.048402,11392.2,4583.089
8/10/2023 15:00,149,10.6,5.682065,11438.21,4585.965
8/10/2023 16:00,150,10.52,5.819441,11539.11,4593.871
8/11/2023 11:00,151,10.97,5.718308,163.9266,51.7663
8/11/2023 12:00,152,10.86,5.800716,12125.51,4548.17
8/11/2023 13:00,153,10.78,5.974714,12293.74,4565.835
8/11/2023 14:00,154,10.72,5.983871,12506.54,4583.911
8/11/2023 15:00,155,10.64,5.956398,12693.47,4593.772
8/11/2023 16:00,156,10.55,5.3703,12841.56,4592.127
8/12/2023 11:00,157,11.39,5.086524,186.937,55.05397
8/12/2023 12:00,158,10.81,5.28788,13459.85,4570.354
8/12/2023 13:00,159,10.75,5.3703,13648.22,4581.452
8/12/2023 14:00,160,10.81,5.306195,13790.63,4592.153
8/12/2023 15:00,161,10.66,5.361142,13971.73,4593.36
8/12/2023 16:00,162,10.61,5.306195,14175.99,4596.263
8/13/2023 12:00,163,10.96,4.189537,195.5496,55.04968
8/13/2023 13:00,164,10.82,3.777382,16179.38,4591.868
8/13/2023 14:00,165,10.77,3.804859,16597.27,4615.133
8/13/2023 15:00,166,10.68,3.722427,16919.48,4618.868
8/13/2023 16:00,167,10.65,3.658314,17238.58,4625.41
8/13/2023 17:00,168,10.56,3.713268,17415.42,4607.33
8/14/2023 12:00,169,10.89,4.088212,221.4362,57.51591
8/14/2023 13:00,170,10.72,5.361142,18282.44,4585.554
8/14/2023 14:00,171,10.62,5.095566,18795.87,4615.513
8/14/2023 15:00,172,10.52,4.00579,18569.7,4604.103
8/15/2023 11:00,173,11.35,7.312543,189.8793,46.85333
8/15/2023 12:00,174,10.59,6.038819,16442.38,4503.433
8/17/2023 12:00,175,10.81,2.831565,63.28033,16.43645
8/17/2023 13:00,176,10.71,2.906614,6032.867,4413.17
8/17/2023 14:00,177,10.75,2.978999,6355.509,4445.527
8/17/2023 15:00,178,10.54,3.032382,6316.655,4463.603
8/18/2023 11:00,179,10.9,2.805543,140.942,50.13096
8/18/2023 12:00,180,10.75,2.736655,6676.23,4405.766
8/18/2023 13:00,181,10.7,2.677839,6896.004,4447.524
8/18/2023 14:00,182,10.67,2.585544,7001.113,4454.601
8/18/2023 15:00,183,10.56,2.664266,7080.144,4483.736
8/18/2023 16:00,184,10.54,2.718557,7135.294,4485.7
8/19/2023 12:00,185,10.85,3.186714,139.4743,51.76365
8/19/2023 13:00,186,10.67,3.236427,7397.811,4455.325
8/19/2023 14:00,187,10.66,3.309798,7536.327,4492.175
8/19/2023 15:00,188,10.58,3.373903,7566.188,4492.386
8/23/2023 12:00,189,11.01,2.935515,17.25503,3.286673
8/23/2023 13:00,190,10.9,2.959038,8538.216,4477.192
8/23/2023 14:00,191,10.97,3.043209,9042.149,4482.043
8/23/2023 15:00,192,10.87,2.969899,9312.843,4497.003
8/23/2023 16:00,193,10.79,3.094797,9464.091,4481.369
8/23/2023 17:00,194,10.74,3.086651,9722.885,4488.561
8/23/2023 18:00,195,10.66,3.043209,9984.535,4497.121
8/23/2023 19:00,196,10.63,2.98619,10209.26,4502.192
8/23/2023 20:00,197,10.55,3.160866,10413.8,4502.1
8/23/2023 21:00,198,10.52,3.026918,10622.29,4504.123
8/25/2023 11:00,199,11.16,2.167742,54.66329,16.44009
8/25/2023 12:00,200,10.9,2.276873,11542.72,4447.078
8/25/2023 13:00,201,10.85,1.917663,11814.29,4474.524
8/25/2023 14:00,202,10.88,1.97557,12060.55,4470.963
8/25/2023 15:00,203,10.76,1.95295,12328.68,4483.828
8/25/2023 16:00,204,10.72,1.93033,12487.25,4483.563
8/25/2023 17:00,205,10.61,3.758067,12562.07,4483.989
8/25/2023 18:00,206,10.57,3.849634,12645.78,4483.063
8/27/2023 11:00,207,11.17,2.262716,48.91023,13.97435
8/27/2023 12:00,208,10.9,2.358428,9764.766,4461.428
8/27/2023 13:00,209,10.85,2.325852,9961.942,4476.29
8/27/2023 14:00,210,10.95,2.348474,10185.91,4473.054
8/27/2023 15:00,211,10.77,2.40367,10416.92,4491.924
8/27/2023 16:00,212,10.74,2.404574,10587.72,4473.904
8/27/2023 17:00,213,10.62,2.460675,10830.05,4496.802
8/27/2023 18:00,214,10.58,2.309565,10804.19,4480.154
8/28/2023 11:00,215,11.01,1.590427,250.2911,76.44359
8/28/2023 12:00,216,10.8,1.657169,12294.31,4493.74
8/28/2023 13:00,217,10.76,1.79742,12581.07,4498.993
8/28/2023 14:00,218,10.82,0.8718642,12768.61,4498.883
8/28/2023 15:00,219,10.66,0.8509468,12930.59,4511.747
8/28/2023 16:00,220,10.6,0.8735681,13084.7,4527.85
8/31/2023 11:00,221,10.95,1.008404,37.40033,10.27482
8/31/2023 12:00,222,10.81,0.8469272,6253.637,4383.875
8/31/2023 13:00,223,10.71,0.8762311,6268.005,4428.657
8/31/2023 14:00,224,10.68,0.8463725,6409.571,4445.52
8/31/2023 15:00,225,10.57,0.8318956,6591.358,4476.304
8/31/2023 16:00,226,10.54,0.7149619,6677.795,4479.676
