"Plot Title: Bradford_5"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10776669, SEN S/N: 10776669)","Temp, °F (LGR S/N: 10776669, SEN S/N: 10776669)","Coupler Detached (LGR S/N: 10776669)","Coupler Attached (LGR S/N: 10776669)","Host Connected (LGR S/N: 10776669)","End Of File (LGR S/N: 10776669)"
1,09/13/22 11:00:00 AM,15.6744,79.326,Logged,,,
2,09/13/22 11:15:00 AM,15.6992,76.876,,,,
3,09/13/22 11:30:00 AM,15.6926,76.703,,,,
4,09/13/22 11:45:00 AM,15.6955,76.703,,,,
5,09/13/22 12:00:00 PM,15.6822,76.703,,,,
6,09/13/22 12:15:00 PM,15.6847,76.528,,,,
7,09/13/22 12:30:00 PM,15.6847,76.528,,,,
8,09/13/22 12:45:00 PM,15.6831,76.528,,,,
9,09/13/22 01:00:00 PM,15.6816,76.528,,,,
10,09/13/22 01:15:00 PM,15.6802,76.528,,,,
11,09/13/22 01:30:00 PM,15.6787,76.528,,,,
12,09/13/22 01:45:00 PM,15.6787,76.528,,,,
13,09/13/22 02:00:00 PM,15.6787,76.528,,,,
14,09/13/22 02:15:00 PM,15.6816,76.528,,,,
15,09/13/22 02:30:00 PM,15.6757,76.528,,,,
16,09/13/22 02:45:00 PM,15.6712,76.528,,,,
17,09/13/22 03:00:00 PM,15.6652,76.528,,,,
18,09/13/22 03:15:00 PM,15.6578,76.528,,,,
19,09/13/22 03:30:00 PM,15.6533,76.528,,,,
20,09/13/22 03:45:00 PM,15.6504,76.528,,,,
21,09/13/22 04:00:00 PM,15.6519,76.528,,,,
22,09/13/22 04:15:00 PM,15.6504,76.528,,,,
23,09/13/22 04:30:00 PM,15.6459,76.528,,,,
24,09/13/22 04:45:00 PM,15.6459,76.528,,,,
25,09/13/22 05:00:00 PM,15.6429,76.528,,,,
26,09/13/22 05:15:00 PM,15.6459,76.528,,,,
27,09/13/22 05:30:00 PM,15.6445,76.528,,,,
28,09/13/22 05:45:00 PM,15.6400,76.528,,,,
29,09/13/22 06:00:00 PM,15.6385,76.528,,,,
30,09/13/22 06:15:00 PM,15.6370,76.528,,,,
31,09/13/22 06:30:00 PM,15.6355,76.528,,,,
32,09/13/22 06:45:00 PM,15.6310,76.528,,,,
33,09/13/22 07:00:00 PM,15.6341,76.528,,,,
34,09/13/22 07:15:00 PM,15.6341,76.528,,,,
35,09/13/22 07:30:00 PM,15.6341,76.528,,,,
36,09/13/22 07:45:00 PM,15.6355,76.528,,,,
37,09/13/22 08:00:00 PM,15.6355,76.528,,,,
38,09/13/22 08:15:00 PM,15.6370,76.528,,,,
39,09/13/22 08:30:00 PM,15.6355,76.528,,,,
40,09/13/22 08:45:00 PM,15.6400,76.528,,,,
