Plot Title: Bradford_15,,,,,,,
#,"Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 10776683, SEN S/N: 10776683)","Temp, °F (LGR S/N: 10776683, SEN S/N: 10776683)","Coupler Detached (LGR S/N: 10776683, SEN S/N: 10776683)","Coupler Attached (LGR S/N: 10776683, SEN S/N: 10776683)","Stopped (LGR S/N: 10776683, SEN S/N: 10776683)","End Of File (LGR S/N: 10776683, SEN S/N: 10776683)"
1,7/29/2024 12:00,15.6821,76.528,Logged,,,
2,7/29/2024 13:00,15.6663,76.354,,,,
3,7/29/2024 14:00,15.6509,76.354,,,,
4,7/29/2024 15:00,15.6401,76.354,,,,
5,7/29/2024 16:00,15.6294,76.354,,,,
6,7/29/2024 17:00,15.6249,76.354,,,,
7,7/29/2024 18:00,15.6209,76.528,,,,
8,7/29/2024 19:00,15.6361,76.528,,,,
9,7/29/2024 20:00,15.6458,76.703,,,,
10,7/29/2024 21:00,15.6428,76.703,,,,
11,7/29/2024 22:00,15.6509,76.876,,,,
12,7/29/2024 23:00,15.6539,76.876,,,,
13,7/30/2024 0:00,15.6555,76.876,,,,
14,7/30/2024 1:00,15.6525,76.876,,,,
15,7/30/2024 2:00,15.63,77.05,,,,
16,7/30/2024 3:00,15.6132,77.05,,,,
17,7/30/2024 4:00,15.6178,77.05,,,,
18,7/30/2024 5:00,15.6316,77.05,,,,
19,7/30/2024 6:00,15.6484,77.05,,,,
20,7/30/2024 7:00,15.6539,76.876,,,,
21,7/30/2024 8:00,15.6602,76.876,,,,
22,7/30/2024 9:00,15.6616,76.876,,,,
23,7/30/2024 10:00,15.6602,76.876,,,,
24,7/30/2024 11:00,15.6535,76.703,,,,
25,7/30/2024 12:00,15.6442,76.703,,,,
26,7/30/2024 13:00,15.6274,76.703,,,,
27,7/30/2024 14:00,15.6152,76.703,,,,
28,7/30/2024 15:00,15.6095,76.876,,,,
29,7/30/2024 16:00,15.5974,76.876,,,,
30,7/30/2024 17:00,15.5913,76.876,,,,
31,7/30/2024 18:00,15.604,77.05,,,,
32,7/30/2024 19:00,15.6622,77.05,,,,
33,7/30/2024 20:00,15.6841,77.225,,,,
34,7/30/2024 21:00,15.7025,77.225,,,,
35,7/30/2024 22:00,15.6964,77.225,,,,
36,7/30/2024 23:00,15.6861,77.4,,,,
37,7/31/2024 0:00,15.6924,77.4,,,,
38,7/31/2024 1:00,15.6861,77.4,,,,
39,7/31/2024 2:00,15.677,77.4,,,,
40,7/31/2024 3:00,15.6663,77.4,,,,
41,7/31/2024 4:00,15.6663,77.4,,,,
42,7/31/2024 5:00,15.6673,77.225,,,,
43,7/31/2024 6:00,15.6689,77.225,,,,
44,7/31/2024 7:00,15.678,77.225,,,,
45,7/31/2024 8:00,15.6857,77.225,,,,
46,7/31/2024 9:00,15.6841,77.225,,,,
47,7/31/2024 10:00,15.6837,77.05,,,,
48,7/31/2024 11:00,15.6805,77.05,,,,
49,7/31/2024 12:00,15.679,77.05,,,,
50,7/31/2024 13:00,15.6622,77.05,,,,
51,7/31/2024 14:00,15.6499,77.05,,,,
52,7/31/2024 15:00,15.6316,77.05,,,,
53,7/31/2024 16:00,15.6346,77.05,,,,
54,7/31/2024 17:00,15.6383,77.225,,,,
55,7/31/2024 18:00,15.6383,77.225,,,,
56,7/31/2024 19:00,15.6433,77.4,,,,
57,7/31/2024 20:00,15.6586,77.4,,,,
58,7/31/2024 21:00,15.6652,77.574,,,,
59,7/31/2024 22:00,15.6575,77.574,,,,
60,7/31/2024 23:00,15.6484,77.574,,,,
61,8/1/2024 0:00,15.649,77.749,,,,
62,8/1/2024 1:00,15.6397,77.749,,,,
63,8/1/2024 2:00,15.6291,77.749,,,,
64,8/1/2024 3:00,15.6291,77.749,,,,
65,8/1/2024 4:00,15.6322,77.749,,,,
66,8/1/2024 5:00,15.6383,77.749,,,,
67,8/1/2024 6:00,15.6444,77.749,,,,
68,8/1/2024 7:00,15.6591,77.574,,,,
69,8/1/2024 8:00,15.6652,77.574,,,,
70,8/1/2024 9:00,15.6699,77.574,,,,
71,8/1/2024 10:00,15.6713,77.574,,,,
