"Plot Title: Bradford_15"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10776683, SEN S/N: 10776683)","Temp, °F (LGR S/N: 10776683, SEN S/N: 10776683)","Coupler Detached (LGR S/N: 10776683)","Coupler Attached (LGR S/N: 10776683)","Host Connected (LGR S/N: 10776683)","Stopped (LGR S/N: 10776683)","End Of File (LGR S/N: 10776683)"
1,04/03/23 03:45:00 PM,14.9749,67.221,Logged,,,,
2,04/03/23 04:00:00 PM,14.9738,66.879,,,,,
3,04/03/23 04:15:00 PM,14.9708,66.879,,,,,
4,04/03/23 04:30:00 PM,14.9692,66.879,,,,,
5,04/03/23 04:45:00 PM,14.9662,66.879,,,,,
6,04/03/23 05:00:00 PM,14.9647,66.879,,,,,
7,04/03/23 05:15:00 PM,14.9631,66.879,,,,,
8,04/03/23 05:30:00 PM,14.9631,66.879,,,,,
9,04/03/23 05:45:00 PM,14.9601,66.879,,,,,
10,04/03/23 06:00:00 PM,14.9631,66.879,,,,,
11,04/03/23 06:15:00 PM,15.0852,66.879,,,,,
12,04/03/23 06:30:00 PM,15.0751,67.050,,,,,
13,04/03/23 06:45:00 PM,15.0552,67.050,,,,,
14,04/03/23 07:00:00 PM,15.0475,67.050,,,,,
15,04/03/23 07:15:00 PM,15.0445,67.050,,,,,
16,04/03/23 07:30:00 PM,15.0461,67.050,,,,,
17,04/03/23 07:45:00 PM,15.0445,67.050,,,,,
18,04/03/23 08:00:00 PM,15.0435,67.221,,,,,
19,04/03/23 08:15:00 PM,15.0420,67.221,,,,,
20,04/03/23 08:30:00 PM,15.0390,67.221,,,,,
21,04/03/23 08:45:00 PM,15.0435,67.221,,,,,
22,04/03/23 09:00:00 PM,15.0420,67.221,,,,,
23,04/03/23 09:15:00 PM,15.0435,67.221,,,,,
24,04/03/23 09:30:00 PM,15.0451,67.221,,,,,
25,04/03/23 09:45:00 PM,15.0451,67.221,,,,,
26,04/03/23 10:00:00 PM,15.0465,67.221,,,,,
27,04/03/23 10:15:00 PM,15.0481,67.221,,,,,
28,04/03/23 10:30:00 PM,15.0481,67.221,,,,,
29,04/03/23 10:45:00 PM,15.0496,67.221,,,,,
30,04/03/23 11:00:00 PM,15.0481,67.221,,,,,
31,04/03/23 11:15:00 PM,15.0451,67.221,,,,,
32,04/03/23 11:30:00 PM,15.0465,67.221,,,,,
33,04/03/23 11:45:00 PM,15.0481,67.221,,,,,
34,04/04/23 12:00:00 AM,15.0451,67.221,,,,,
35,04/04/23 12:15:00 AM,15.0451,67.221,,,,,
36,04/04/23 12:30:00 AM,15.0451,67.221,,,,,
37,04/04/23 12:45:00 AM,15.0481,67.221,,,,,
38,04/04/23 01:00:00 AM,15.0451,67.221,,,,,
39,04/04/23 01:15:00 AM,15.0420,67.221,,,,,
40,04/04/23 01:30:00 AM,15.0404,67.221,,,,,
41,04/04/23 01:45:00 AM,15.0384,67.050,,,,,
42,04/04/23 02:00:00 AM,15.0369,67.050,,,,,
43,04/04/23 02:15:00 AM,15.0353,67.050,,,,,
44,04/04/23 02:30:00 AM,15.0323,67.050,,,,,
45,04/04/23 02:45:00 AM,15.0308,67.050,,,,,
46,04/04/23 03:00:00 AM,15.0323,67.050,,,,,
47,04/04/23 03:15:00 AM,15.0292,67.050,,,,,
48,04/04/23 03:30:00 AM,15.0272,66.879,,,,,
49,04/04/23 03:45:00 AM,15.0272,66.879,,,,,
50,04/04/23 04:00:00 AM,15.0272,66.879,,,,,
51,04/04/23 04:15:00 AM,15.0288,66.879,,,,,
52,04/04/23 04:30:00 AM,15.0272,66.879,,,,,
53,04/04/23 04:45:00 AM,15.0252,66.708,,,,,
54,04/04/23 05:00:00 AM,15.0282,66.708,,,,,
55,04/04/23 05:15:00 AM,15.0282,66.708,,,,,
56,04/04/23 05:30:00 AM,15.0329,66.708,,,,,
57,04/04/23 05:45:00 AM,15.0313,66.708,,,,,
58,04/04/23 06:00:00 AM,15.0329,66.708,,,,,
59,04/04/23 06:15:00 AM,15.0324,66.537,,,,,
60,04/04/23 06:30:00 AM,15.0385,66.537,,,,,
61,04/04/23 06:45:00 AM,15.0416,66.537,,,,,
62,04/04/23 07:00:00 AM,15.0430,66.537,,,,,
63,04/04/23 07:15:00 AM,15.0491,66.537,,,,,
64,04/04/23 07:30:00 AM,15.0538,66.537,,,,,
65,04/04/23 07:45:00 AM,15.0568,66.537,,,,,
66,04/04/23 08:00:00 AM,15.0568,66.537,,,,,
67,04/04/23 08:15:00 AM,15.0594,66.366,,,,,
68,04/04/23 08:30:00 AM,15.0609,66.366,,,,,
69,04/04/23 08:45:00 AM,15.0639,66.366,,,,,
70,04/04/23 09:00:00 AM,15.0625,66.366,,,,,
71,04/04/23 09:15:00 AM,15.0655,66.366,,,,,
72,04/04/23 09:30:00 AM,15.0670,66.366,,,,,
73,04/04/23 09:45:00 AM,15.0716,66.366,,,,,
74,04/04/23 10:00:00 AM,15.0730,66.366,,,,,
75,04/04/23 10:15:00 AM,15.0746,66.366,,,,,
76,04/04/23 10:30:00 AM,15.0746,66.366,,,,,
77,04/04/23 10:45:00 AM,15.0700,66.366,,,,,
78,04/04/23 11:00:00 AM,15.0706,66.537,,,,,
79,04/04/23 11:15:00 AM,15.0720,66.537,,,,,
80,04/04/23 11:30:00 AM,15.0690,66.537,,,,,
81,04/04/23 11:45:00 AM,15.0659,66.537,,,,,
82,04/04/23 12:00:00 PM,15.0643,66.537,,,,,
83,04/04/23 12:15:00 PM,15.0613,66.537,,,,,
84,04/04/23 12:30:00 PM,15.0568,66.537,,,,,
85,04/04/23 12:45:00 PM,15.0461,66.537,,,,,
86,04/04/23 01:00:00 PM,15.0416,66.537,,,,,
87,04/04/23 01:15:00 PM,15.0385,66.537,,,,,
88,04/04/23 01:30:00 PM,15.0324,66.537,,,,,
89,04/04/23 01:45:00 PM,15.0247,66.537,,,,,
90,04/04/23 02:00:00 PM,15.0176,66.708,,,,,
91,04/04/23 02:15:00 PM,15.0116,66.708,,,,,
92,04/04/23 02:30:00 PM,15.0024,66.708,,,,,
93,04/04/23 02:45:00 PM,14.9992,66.708,,,,,
94,04/04/23 03:00:00 PM,14.9947,66.708,,,,,
95,04/04/23 03:15:00 PM,14.9901,66.708,,,,,
96,04/04/23 03:30:00 PM,14.9860,66.879,,,,,
97,04/04/23 03:45:00 PM,14.9799,66.879,,,,,
98,04/04/23 04:00:00 PM,14.9754,66.879,,,,,
99,04/04/23 04:15:00 PM,14.9724,66.879,,,,,
100,04/04/23 04:30:00 PM,14.9677,66.879,,,,,
101,04/04/23 04:45:00 PM,14.9651,67.050,,,,,
102,04/04/23 05:00:00 PM,14.9621,67.050,,,,,
103,04/04/23 05:15:00 PM,14.9590,67.050,,,,,
104,04/04/23 05:30:00 PM,14.9590,67.050,,,,,
105,04/04/23 05:45:00 PM,14.9560,67.050,,,,,
106,04/04/23 06:00:00 PM,14.9550,67.221,,,,,
107,04/04/23 06:15:00 PM,14.9580,67.221,,,,,
108,04/04/23 06:30:00 PM,14.9566,67.221,,,,,
109,04/04/23 06:45:00 PM,14.9580,67.221,,,,,
110,04/04/23 07:00:00 PM,14.9596,67.221,,,,,
111,04/04/23 07:15:00 PM,14.9601,67.392,,,,,
112,04/04/23 07:30:00 PM,14.9615,67.392,,,,,
113,04/04/23 07:45:00 PM,14.9646,67.392,,,,,
114,04/04/23 08:00:00 PM,14.9692,67.392,,,,,
115,04/04/23 08:15:00 PM,14.9708,67.392,,,,,
116,04/04/23 08:30:00 PM,14.9743,67.564,,,,,
117,04/04/23 08:45:00 PM,14.9789,67.564,,,,,
118,04/04/23 09:00:00 PM,14.9820,67.564,,,,,
119,04/04/23 09:15:00 PM,14.9865,67.564,,,,,
120,04/04/23 09:30:00 PM,14.9911,67.564,,,,,
121,04/04/23 09:45:00 PM,14.9911,67.564,,,,,
122,04/04/23 10:00:00 PM,14.9941,67.564,,,,,
123,04/04/23 10:15:00 PM,14.9976,67.735,,,,,
124,04/04/23 10:30:00 PM,14.9976,67.735,,,,,
125,04/04/23 10:45:00 PM,15.0023,67.735,,,,,
126,04/04/23 11:00:00 PM,15.0037,67.735,,,,,
127,04/04/23 11:15:00 PM,15.0053,67.735,,,,,
128,04/04/23 11:30:00 PM,15.0053,67.735,,,,,
129,04/04/23 11:45:00 PM,15.0084,67.735,,,,,
130,04/05/23 12:00:00 AM,15.0068,67.735,,,,,
131,04/05/23 12:15:00 AM,15.0114,67.735,,,,,
132,04/05/23 12:30:00 AM,15.0129,67.735,,,,,
133,04/05/23 12:45:00 AM,15.0129,67.735,,,,,
134,04/05/23 01:00:00 AM,15.0114,67.735,,,,,
135,04/05/23 01:15:00 AM,15.0145,67.735,,,,,
136,04/05/23 01:30:00 AM,15.0129,67.735,,,,,
137,04/05/23 01:45:00 AM,15.0159,67.735,,,,,
138,04/05/23 02:00:00 AM,15.0145,67.735,,,,,
139,04/05/23 02:15:00 AM,15.0145,67.735,,,,,
140,04/05/23 02:30:00 AM,15.0114,67.735,,,,,
141,04/05/23 02:45:00 AM,15.0129,67.735,,,,,
142,04/05/23 03:00:00 AM,15.0129,67.735,,,,,
143,04/05/23 03:15:00 AM,15.0114,67.735,,,,,
144,04/05/23 03:30:00 AM,15.0114,67.735,,,,,
145,04/05/23 03:45:00 AM,15.0098,67.735,,,,,
