"Plot Title: Bradford_7LL"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 20501580, SEN S/N: 20501580)","Temp, °F (LGR S/N: 20501580, SEN S/N: 20501580)","Coupler Detached (LGR S/N: 20501580, SEN S/N: 20501580)","Coupler Attached (LGR S/N: 20501580, SEN S/N: 20501580)","Host Connected (LGR S/N: 20501580, SEN S/N: 20501580)","End Of File (LGR S/N: 20501580, SEN S/N: 20501580)"
1,09/14/22 03:00:00 PM,15.6806,80.029,Logged,,,
2,09/14/22 03:15:00 PM,15.6776,76.006,,,,
3,09/14/22 03:30:00 PM,15.6709,75.659,,,,
4,09/14/22 03:45:00 PM,15.6696,75.659,,,,
5,09/14/22 04:00:00 PM,15.6635,75.484,,,,
6,09/14/22 04:15:00 PM,15.6622,75.484,,,,
7,09/14/22 04:30:00 PM,15.6607,75.484,,,,
8,09/14/22 04:45:00 PM,15.6593,75.484,,,,
9,09/14/22 05:00:00 PM,15.6593,75.484,,,,
10,09/14/22 05:15:00 PM,15.6622,75.484,,,,
11,09/14/22 05:30:00 PM,15.6622,75.484,,,,
12,09/14/22 05:45:00 PM,15.6622,75.484,,,,
13,09/14/22 06:00:00 PM,15.6593,75.484,,,,
14,09/14/22 06:15:00 PM,15.6593,75.484,,,,
15,09/14/22 06:30:00 PM,15.6607,75.484,,,,
16,09/14/22 06:45:00 PM,15.6580,75.484,,,,
17,09/14/22 07:00:00 PM,15.6580,75.484,,,,
18,09/14/22 07:15:00 PM,15.6580,75.484,,,,
19,09/14/22 07:30:00 PM,15.6607,75.484,,,,
20,09/14/22 07:45:00 PM,15.6607,75.484,,,,
21,09/14/22 08:00:00 PM,15.6607,75.484,,,,
22,09/14/22 08:15:00 PM,15.6635,75.484,,,,
23,09/14/22 08:30:00 PM,15.6719,75.484,,,,
24,09/14/22 08:45:00 PM,15.6747,75.484,,,,
25,09/14/22 09:00:00 PM,15.6802,75.484,,,,
26,09/14/22 09:15:00 PM,15.6789,75.484,,,,
27,09/14/22 09:30:00 PM,15.6789,75.484,,,,
28,09/14/22 09:45:00 PM,15.6789,75.484,,,,
29,09/14/22 10:00:00 PM,15.6816,75.484,,,,
30,09/14/22 10:15:00 PM,15.6816,75.484,,,,
31,09/14/22 10:30:00 PM,15.6816,75.484,,,,
32,09/14/22 10:45:00 PM,15.6789,75.484,,,,
33,09/14/22 11:00:00 PM,15.6802,75.484,,,,
34,09/14/22 11:15:00 PM,15.6789,75.484,,,,
35,09/14/22 11:30:00 PM,15.6802,75.484,,,,
36,09/14/22 11:45:00 PM,15.6857,75.484,,,,
37,09/15/22 12:00:00 AM,15.6844,75.484,,,,
38,09/15/22 12:15:00 AM,15.6844,75.484,,,,
39,09/15/22 12:30:00 AM,15.6844,75.484,,,,
40,09/15/22 12:45:00 AM,15.6844,75.484,,,,
41,09/15/22 01:00:00 AM,15.6816,75.484,,,,
42,09/15/22 01:15:00 AM,15.6802,75.484,,,,
43,09/15/22 01:30:00 AM,15.6789,75.484,,,,
44,09/15/22 01:45:00 AM,15.6747,75.484,,,,
45,09/15/22 02:00:00 AM,15.6719,75.484,,,,
46,09/15/22 02:15:00 AM,15.6747,75.484,,,,
